astrocytes,endothelial,microglia,neurons,oligodendrocyte,oligo-precursor
SLC6A1,IL2RG,RGS10,LRFN5,HHIP,AMPD3
HGF,TIE1,IGHM,RALYL,ADSSL1,PRKG2
TRIL,ARHGAP29,SLA,MLLT11,SH3GL3,ITGB8
TMEM47,AKR1C14,SPI1,RBFOX1,FEZ1,KCNIP3
GSTM1,ANXA1,SASH3,CALN1,GPR62,PMEL
TRIM9,CTLA2B,SLCO2B1,RIMS3,EPHB1,LRRN1
FXYD1,FLVCR2,CD84,LPPR4,DBNDD2,A930009A15RIK
MEGF10,CAV1,CD180,RIT2,PIGZ,KCNH8
CTH,EBF1,ABCC3,THSD7B,NKX6-2,GPC5
TNC,RASSF9,HK3,CELF6,AGPAT4,GRIA4
NTRK2,CLEC14A,FYB,ZMAT4,PLA2G16,VIPR2
