,Samp242,Samp354,Samp401,Samp402,Samp404,Samp405,Samp409,Samp416,Samp418,Samp419,Samp421,Samp424,Samp427,Samp435,Samp439,Samp441
Gnai3,4556,4053,1130,3732,1108,3536,1290,3747,4648,1263,4372,3893,3707,3247,2699,4033
Pbsn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cdc45,960.979,1151.603,32.802,971.58,54.003,942.999,51.869,872.129,899.025,37,1000.002,1111.768,726.01,855.836,573.034,1020
H19,53282.665,119207.145,68.001,51756.729,116,12563.843,135,67096.619,41625.608,63,37422.887,76089.63,19144.501,49693.123,28357.917,44990.97
Scml2,653.999,931.001,44,551,78,329,36.999,562.001,544,57,565.998,612,412,380.999,334,499.001
Apoh,7,10,5,9,12,9,3,0,7,8,7,6,10,8,4,11
Narf,1257,1167,1355.999,1094,1343,1054.999,1634.001,1226,1011,1452.001,1138,997,1252.999,1121,1282.999,812
Cav2,6669,3535,1222,2384,1141.001,2552,1132,2937,4333,1191,4840,2547,4557,4216,2006.001,3820
Klf6,2752.999,2917.001,1386,2928,1459,3325.001,1593.999,3024,4857.999,1390,2769,3125.999,3220,2760.999,2332,3459
Scmh1,735.009,652.836,905,718.314,1203.998,850.078,1095.982,767.968,1005.991,1195.005,614.001,751.891,763.95,840.097,878.965,668.123
Cox5a,2367.201,2364.257,2357.811,2475.113,2622.246,3333.232,2729.235,2633.748,2565.663,2431.944,2255.356,3033.819,2525.179,2704.678,2590.526,2747.264
Tbx2,361,267,65,218,62,222,74,243,516,68,352,391,258,219,245,232
Tbx4,452,377,7,447,6,348,4,311,682,8,457,376,325,317,275,355
Zfy2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ngfr,1888.883,1458.049,122.422,2574.325,109.169,2488.917,124.613,1536.264,2617.661,106.1,2447.237,2657.312,1601.989,923.554,1973.182,1962.808
Wnt3,20,13,97,12,97,55,96,10,34,63,5,27,36,48,70,9
Wnt9a,71,40,283,71,253,73,283,113,59,325,59,61,201,192,109,59
Fer,451,484.001,398,404,434,424,437,480,410,449,530,352,457,429,450,428
Xpo6,3120.028,3781.799,2293.272,3414.696,2725.732,2804.205,2801.032,3578.789,3022.643,2796.312,3424.004,3536.423,3422.926,3031.306,3226.617,3280.549
Tfe3,1123.001,823.002,808,1126,1000,1359,866.006,1023,1750.999,1017.001,1179.001,1047.998,1298.999,1270,1154.009,1183
Axin2,454.999,456.704,690.811,419,753.857,418.862,807.001,422.999,445.928,797.913,298.91,442.801,556.001,592.758,608.402,452.86
Brat1,1064,1125.001,448.999,1114,557,975,498,998.001,1212,525.999,1042,1100.999,996.999,994,884,1107
Gna12,3999.329,4336.552,3173.074,3886.754,3366.552,4307.404,3660.546,4155.979,5232.29,3199.765,3993.224,4861.51,4232.354,4220.7,4551.005,3414.113
Slc22a18,38,15,20,36,22,43,12,18,67,12,32,38,38,21,26,13
Itgb2l,0,1,1,2,0,1,2,1,1,0,2,0,1,1,2,2
Igsf5,10,2.078,10,15,7.705,12,6,8.105,11,4,8.832,8,7,8,8,17
Pih1d2,41.008,50.059,40.187,51.372,42.177,43.602,31.688,34.006,32.299,46.54,49.857,59.149,45.756,37.179,40.292,34.29
Dlat,2970,2763,3112.001,2710.001,3108,2718.999,3515.001,2975,2631,2987,2808,2909,2721.001,2767,3004.001,2751.001
Sdhd,2436,2609,1329,2455,1467,2729,1600,2463,2536,1432,2359,2920,2338,2570,2134,2455
Fgf23,3,0,4,0,9,4,8,0,2,11,0,0,2,2,4,3
Fgf6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Ccnd2,5966.754,5996.09,2076.554,6809.382,2129.8,4796.236,2440.385,6169.489,5563.55,2331.662,6102.755,6655.847,5471.39,4783.534,5305.473,5756.364
Gpr107,2127.114,2559.756,1345.915,2422.405,1599.111,2309.212,1699.716,2526.196,2731.331,1553.82,2404.768,2773.947,2278.519,2106.955,2219.152,2213.078
Nalcn,737.182,815.3,3923.108,1180.28,3795.017,1578.175,4385.095,1564.069,1027.001,3593.849,615.887,890,1235,1614.055,2174.643,1108.748
Btbd17,103.999,43,653.001,94.999,625.001,175.999,662,93.999,171.999,622,67,71,143.001,206,236,58.999
Slfn4,1357.128,2129.635,5.098,2186.833,3,1080.759,7.574,2004.598,2125.115,4.011,2298.08,1873.396,1845.045,1046.178,1361.225,1576.969
Th,6,4,252,62,359,53,334,29,12,369,17,22,19,11,146,19
Ins2,0,0,3,0,2,0,2,0,0,0,0,0,1,0,0,0
Scnn1g,0,0,7,0,1,1,6,3,0,4,0,0,1,2,2,0
Drp2,216.003,166,1868.701,468,2231,746,2275.999,681.011,287.006,2304.353,203.093,348,764.999,777.076,980,342
Tspan32,45.782,69.233,7.031,66.446,10.125,135.909,9.193,80.306,53.51,9.063,43.112,71.015,83.587,78.407,82.001,77.512
Lhx2,132.001,97,1253,242.001,1393.999,348,1596.001,384,174,1633.001,158.001,257,418,506,693.999,218
Clec2g,6.122,2,0,8,1,4.027,4.176,9.01,3,3.14,7.001,7,5,6.003,4,2.036
Gmpr,294.87,353,698.962,401.111,788.4,775.03,833.716,482.785,544,760.662,250.689,554.156,426.392,490.013,649.611,304.52
Glra1,0,2,131,11,106.278,11,129,9,2,74,14,7,2,2,51.557,26
Mid2,1322.002,942.029,1096.001,1288.103,1090.925,1326.001,1178.295,1158.051,1670.535,967.871,1645.064,1187.001,1421.898,1022.028,1244.001,1527.669
Trim25,5535,7976,257,7194,245,4101,248,6997,4885,217,7543,7449.135,5531,3791,4894,6126
Dgke,1178.985,943.016,2842.921,1129.287,3011.378,1523.688,3272.912,1504.293,1778.935,2866.773,1088.26,1181.152,1451.374,1652.502,1713.133,1207.244
Scpep1,4639.726,4285.806,418,4785.921,479.989,3830.882,455.878,4068.728,6365.585,436,4804.887,3920.769,4022.635,3776.909,3081.84,3785.841
Mnt,1380.001,1082,1140,1242,1328.001,1196,1438,1082,2405,1320,1110,1207,1308,1290,1359,1251
Itgb2,792,1575,159,2023,172,1941.999,182,1387,1154,141,1403,1022,1925,1461,1839,1317
Hddc2,563.136,415.001,135,352,190,491.999,165.031,368.135,532,166.999,345,409.999,382,443,283,415.999
Tpd52l1,442,433,479,342.001,558.001,423,548.001,407.999,589,529,320,468,449,542,394,300.001
Pemt,85,49,34,46,36,78.999,25,58,72,35,49.001,64,66,74,46,56
Cdh1,74,59,54,86,78,123,71,87,126,103,47,55,118,93,86,69
Cdh4,47,57,789,166,959,310,888,298,92,899,92,192,171,189,441,140
Ckmt1,284.999,297,3743.001,684,4602.999,1318,4878.001,931.999,448,4166,367,739,1076,1208,1905.999,567
Bcl6b,56,59,69,73,56,50,62,78,68.999,78,95,78,93,82,57,98
Clec10a,39.527,26.314,18.232,22.983,15.744,48.847,22.229,43.382,17.803,21.081,15.215,17.358,66.351,55.007,30.011,26.212
Alox12,18.205,13.65,16.87,13.485,16.818,23.88,18.087,21.234,13.004,13.111,22.99,10.977,15.827,13.028,14.02,12.008
Arvcf,568.57,456.526,923.019,510.216,993.507,710.921,1057.482,607.653,857.217,1042.939,380.156,766.093,635.427,623.134,861.465,450.316
Comt,881.179,863.347,1320.559,922.317,1656.99,1486.67,1644.013,966.76,1206.903,1632.667,980.607,1165.617,1344.953,1465.089,1417.157,1152.699
Rtca,1099,1000.999,883,901.999,991.999,1369.001,995,1110,1118.001,964,935.001,1148,1077.999,1139,977,1041
Dbt,773.375,1002.267,592.789,878.991,646.226,927.63,734.325,872.513,833.294,604.046,845.322,1015.814,869.872,867.594,730.08,959.997
Dazap2,7584.001,6113,2728,5489,3113,5926,2924.722,5550.712,9232.198,3236,6285,6902.001,6492.001,6592,4802,5660
Mcts1,689,529.001,674,665,805.999,986,773,626,864.999,746.999,651,617.999,757.001,796.999,640,796
Rem1,7,4,17,6,19.999,8,12,7,4,10,3,6,15,7,13,8
Rnf17,5,15,29,25,29,17,26,10,9,32,6,18,18,17,34,7
Trappc10,2534,3175.001,2884.001,2749.999,2928.999,2473,3280.001,3033.001,2877.001,2920,2649,2840.999,2766,2705,3070,2603
Ccm2,1320.999,1456,992.999,1445.999,1152.001,1778.999,1254,1521.998,1349,1196,1385.999,2062.001,1442.001,1434.002,1447.001,1276
Wap,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Tbrg4,1897.905,1717.686,599.473,1595.398,755.273,1717.135,753.534,1635.924,1867.028,804.834,1716.499,1902.253,1639.465,1679.687,1265.318,1907.154
Tmprss2,2,7,2,6,2,7,1,10,4,2,10,5,7,3,12,9
Mx1,392.738,706.999,5,677.425,14.299,360.055,5.088,753.274,415.52,15.473,548.889,669.745,580.74,400.75,572.646,556.845
Fap,70,52.033,59.018,44.022,62.251,36.037,61.171,56.639,55.044,50.306,53.086,41.001,157.994,53,46.005,61
Gcg,0,1,0,1,1,0,0,2,1,1,0,1,0,1,0,0
Ndufa9,2098.771,2129.804,2135.643,2082.004,2419.527,2694.051,2613.38,2271.017,2343.832,2234.321,1955.005,2540.95,2033.017,2396.099,2248.004,2090.004
Egfl6,1,5,62,7,71,11,70,12,13,54,6,6,28,7,33,2
Lck,379.001,497,22,418,36,460.001,31,403.001,308.999,31,384,588.001,465.999,299.001,329.999,410
Tssk3,4,0,3,1,0,4,5,4,6,1,0,1,1,3,0,2
Cttnbp2,291.44,309.559,3492.367,714.093,4242.505,1143.861,4270.373,1038.567,345.376,4370.308,248.675,531.702,1144.562,1017.483,1890.09,546.552
Galnt1,4353.018,3403.75,1757.492,3406.377,1794.11,3568.507,1874.15,3663.144,4927.962,1625.705,3839.69,3754.775,3858.513,3606.453,2806.352,3821.683
Myf5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Mkrn2,1051.896,904.297,1013.618,913.903,1215.596,1019.243,1135.876,1006.282,1167.588,1160.296,865.38,1000.17,1095.934,928.032,1041.439,861.332
Pparg,21.001,14,64,20,52,24,82,26,20,88,32,27,36,35,27,34
Raf1,3712.901,3541.824,1364.673,2768.786,1523.893,2561.174,1653.054,3164.427,3356.836,1704.178,2926.264,3247.505,2943.545,3001.108,2356.777,3067.708
Septin1,113,96,25.001,80,66.001,236,47.001,76,102.001,45,90,115,150.001,133,109,97
Pdgfb,262,415.999,789,550,826.999,701.001,982.999,590,311,904,452,643,761,664,823.999,651
Acvrl1,271,340,334,423,355,547,453,375.999,375.001,347,384,389.999,502.001,451,516,429
Grasp,1637,1709,921,1270,1202,986,1247,1271,1659,1268,1679,2523,1071,1175,977,1498
Acvr1b,891,799,2959,1217,3269,1540,3456,1499,1153,3112,833,1012,1559,1884,1909,1020
Tom1l2,4038.551,3318.81,7360.24,3836.544,7845.755,4188.365,8560.893,4551.705,5146.384,8003.598,3688.317,4130.186,4676.345,4918.578,5637.571,3895.365
Gpa33,0,1,0,0,1,3,0,1,0,0,0,0,0,3,0,2
Zfp385a,1075,803,1570,920,1807,1319,1735.999,1093,2177,1888,914,1526,1183,1254,1447.999,866
Itga5,1812,1294,121,1241,125.001,1145.999,168,1229,1725,137,1597,1566.999,1712,1013,964,1378
Gabra2,102.872,125.804,1856.968,361.037,2507.128,759.778,2405.307,538.577,117.195,2530.629,143.693,349.155,414.525,344.514,997.689,282.575
Wdr77,2368.558,2641.343,1328.27,2351.816,1571.873,2907.508,1579.483,2412.786,2079.291,1551.007,2446.993,2625.769,2403.05,2333.837,1931.81,3147.469
Adora3,38.121,61.968,39.052,92.353,24.858,133.172,37.008,83.078,80.264,21.09,37.01,67.915,84.918,115.051,112.194,62.045
Atp5pb,5057.544,5056.565,4649.824,4909.032,5223.189,6808.899,5388.676,5149.683,4779.009,4977.424,4723.619,5823.492,4835.739,5537.244,4980.127,5706.741
Sox9,238,270,1117,474,1200,681,1161,510,452,1158,252,504,746,766,1046,370
Hnrnpd,6269.705,4868.323,4768.396,5206.816,5645.809,6670.743,5733.842,5549.73,6149.665,5378.078,5014.869,4494.087,5680.436,6284.111,4985.551,5365.704
Dynlt1c,133.943,148.294,86.807,109.583,148.399,77.311,104.698,130.495,105.697,117.445,110.297,149.4,86.632,64.651,125.734,96.719
C1d,1192.999,1023,1040.001,912,1103.999,1521,1023.001,1070.001,1091,1154.999,903,1138.001,1074,1205,879,1168.001
Gm2a,3615,3489,1354,4012,1514,4391,1509,3548,5865,1422,4150,3920,4217,4308,3500,2922
Krit1,2838.657,3267.397,2419.198,2975.187,2812.738,2738.746,2823.051,3113.126,2632.424,2639.059,2650.352,3091.059,2948.401,2720.176,2664.914,3133.656
Clcn4,2786.235,2890.106,5486.982,2959.136,6069.76,3549.83,6602.073,3451.763,3260.918,6219.528,2750.066,3318.562,3788.884,3792.869,4032.429,3348.353
Vmn2r88,9.734,5.79,3.375,6.378,10.244,9.556,15.153,4.266,7.033,6.584,6.25,6.381,7.825,9.184,1.175,5.328
Grm6,3,6,0,5,0,4,1,6,7,0,7,2,5,13,3,8.524
Sema4f,643.001,151.999,1033.999,379,1332,666.001,1364,520,728,1232,493,376,875,568,714,419
Hk2,1639.999,1732,115,1724,136,1487,171,1495,1123,134,1851,1509,2172,1531,1385,1649
Myo18a,3463.523,2922.447,5054.909,4223.857,5897.415,4512.678,6604.02,3870.683,4617.343,5693.053,4361.231,4310.9,4671.507,4283.599,5512.081,4193.095
Sez6,354.001,444.176,4564.003,1106.141,5523,2383.046,5282,1735.29,719,5737,599.001,1177.494,1474.593,1846.088,2799.843,1018.999
Haao,15.962,36.522,7.001,24.308,6.064,39.963,11.7,23.053,11.504,9.196,13.146,24.955,34.249,34.056,36.322,29.06
Cd52,258,419.099,24,478,37,770,24,518,370,34,333,418,604,477,525,411
Abhd15,122.279,178.062,26,124.382,31,145.432,37,132.352,160.353,29.048,94.503,144.314,113.003,130.711,96.392,115.179
Hoxb6,0,1,0,0,1,2,0,0,0,0,1,1,0,1,1.185,1
Loxl3,1310.51,2013.678,94.861,1702.159,136.545,857.349,126.631,1722.001,1391.253,144.842,1334.402,1714.829,1619.73,1149.208,1115.38,1149.847
Tcl1b5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Btn1a1,1,7,2,4,2,2,5,4,1,2,2,10,2,5,6,3
Kat2b,1449.001,1435,871,1473.931,870,1459,953.938,1478.947,1544,810,1347,1314.999,1537,1371.948,1444.001,1370
Rab5b,2963,2675,3441,2891.743,3870,2930,4153.928,3181,3426,3756,2764,3017.525,3091.037,2902,3513,2425
Cryba1,4.77,0,3,3.007,0,2.537,0,2.715,2.028,2,3.099,1,2,4,1,0
Dnmt3l,9,12,1,10,6,4,5,7,12,2,9,14,15.001,4,5,15
Aire,174.016,109,4.454,42,7,18,4,69.999,25,5,78,94.001,146,54.001,27,36
Icosl,187.952,369.99,135,293.999,143,322.5,153,324,134.999,163,212,313.991,279.097,330.999,396.001,224
Spg7,1696.001,1262.001,1106.002,1417,1382,1755.528,1403,1488.019,1937.999,1399.001,1304,1379,1649.999,1671.999,1377.001,1454
Sult5a1,58.339,45.409,30.706,48.389,44.549,45.015,50.409,40.694,64.571,42.328,36.501,47.82,46.548,40.649,32.185,53.917
Rpl13,12794.466,10213.691,3566.282,10014.739,4249.316,12295.465,3867.022,9709.149,13776.841,4621.757,11619.543,12954.096,10958.373,9711.626,7347.576,10852.795
Chmp1a,1700,1389.999,1894,1632,2235,2452.001,2407,1765,2336.001,2272,1436,1757,1991.999,2182,1970,1708
Rpa1,3233.999,3402.001,1345,3155,1454.001,3324.999,1482,2979,2901,1457,3335,3292,2883.999,2939.999,2542,3084
Serpinf1,1293.999,550,213.001,623,202.001,956,253.999,727,2247.999,260,700.999,684.999,1343.001,783,512,583.999
Tubgcp3,1137.052,1026.995,1053.006,1009.102,1357.001,1145.89,1261.999,1099.002,1129.045,1246.251,997.248,968.286,1121,1100.009,1124.055,1041.735
Oprm1,2,6,76.08,22,66.093,19,74,24,6,37.999,2,9,12,14.999,41.999,6
Polr3d,805,672.999,407,836,425,951,453,679.001,1158.999,443,806.001,753,769,846,627,857.999
Tcf7,302,371,111,287,126.001,258,138.001,268,322,138,293,306.001,365.999,204,241,265
Ddx3x,15447.188,10477.171,8926.223,11755.371,9224.154,14770.524,10450.348,11988.522,17579.812,8745.002,14320.602,9240.495,12773.103,13140.557,9744.903,14060.828
Il12rb1,654,3411,37,3267,32,2430.999,24,1983.001,1868.999,27,1885,2018,1354,1490.078,2356.001,1797
Slc5a5,62,41,415,80,456,140,464,125,38,446,57,77,130,182,188,99
Kcnn3,64,117,1082,234,1064,407,1116,343,148,1047,113,233,284,366,679,181
Usp32,2315,2309.001,4953,2502,4884,2384.001,5620,2792,2454.999,4551,2382,2218,2767,2553.999,3308.999,2454
Car4,82.999,39,509.999,112,578,158.001,639.999,158.999,65.001,650,75,144,222.001,204,327.001,121
Txnrd3,40,43,139,47,132,85,128,58,62,101,32,40,81,70,83,51
Fasl,10,23,2,12,4,39,2,16,8,6,8,22,39,21,9,22
Zfp512b,1469.399,1168.293,1209.304,1141.06,1881.716,1497.526,1685.992,1282.154,1847.24,1958.279,921.54,1050.076,1287.403,1546.397,1252.112,1229.835
Dnajc5,4058.001,3895.001,10754,4701,11276,5638.001,12156.002,5719.001,5223,10751.001,4309.999,4912,5587.999,5867.001,7284.001,4755
Tpd52l2,1627.576,1660.828,1040.438,1526.095,1245.55,1896.652,1192.483,1585.533,1839.323,1167.387,1602.258,1807.467,1574.356,1557.34,1428.004,1647.46
Fmr1,3141.06,2205.276,2408.943,2410.246,2435.542,3067.773,2636.041,2660.337,3037.489,2450.372,2818.015,2062.512,2736.036,2639.183,2143.489,3052.707
Bcl11a,248.528,115.726,2111.537,469.888,2408.069,811.243,2533.988,686.256,304.707,2832.905,194,292.663,739.066,777.63,1064.992,254.296
Il4,20,34,155,33,158,56,130,51,25,164,17,46,43,47,62,30
Pxmp4,327.271,216.753,273.811,256.209,358.689,293.616,291.943,299.785,389.85,370.993,202.875,215.832,324.501,364.906,296.975,210.289
Dlg3,2359,1344.001,4331,1931,5173,2305.999,5456.998,2162,2385.001,5379,1409.999,1955.001,2498,2405.001,2856.999,1574
Gnb1l,148.05,110.101,72.441,120.068,94.694,139.283,84.432,140.117,178.021,99.525,135.045,177.359,122.829,143.256,139.956,131.527
Dbh,0,0,11,2,16,3,5,1,2,4,0,1,0,1,1,0
Mmp11,275.384,142.047,37.999,167.54,62.166,157.079,50.726,165.774,558.721,36.95,194.221,180.883,184.273,130.904,123.358,168.001
Smarcb1,2665.008,2592.801,1251.239,2265.499,1503.806,2465.308,1537.117,2444.353,2984.152,1560.351,2239.978,2949.393,2304.585,2304.48,1973.821,2366.419
Vpreb3,1,0,2,4,2,2,3,2,0,2,0,3,5,0,2,3
Hip1r,1600.112,1660.589,2121.698,1424.16,2566.006,1741.661,2671.613,1699.689,2454.876,2748.103,1142.249,1622.231,1943.87,2482.295,2078.996,1478.128
Nsun5,639.491,757.217,234.396,582.139,289.784,629.91,308.53,616.579,580.489,349.314,588.866,856.361,632.856,560.32,499.086,683.683
Top1mt,484.599,452.737,300.834,540.254,320.955,797.865,316.968,503.728,669.87,320.936,533.534,509.686,529.97,605.854,468.96,587.839
Hoxa10,317,162,1,175,0,165,3,139,386,0,207,253,145,140,117,188.001
Hoxa4,89.842,122,0,57.7,0,61,0,79,91,0,98.673,92.937,62,110,51,85.862
Gm38393,92.541,92.539,614.35,168.814,543.933,222.191,729.04,247.649,119.255,474.943,78.898,115.944,238.988,255.631,351.82,145.514
Mmp14,1941.555,1747.246,372.145,1605.768,486.914,1988.831,462.962,1693.203,2186.122,492.9,1585.989,1439.558,2879.756,1638.928,1311.857,1394.261
Slc7a7,116.684,189.072,39.475,235.223,52.793,223.207,64.086,201.337,187.191,56.989,198.613,156.873,228.36,187.665,203.392,171.147
Oxa1l,1175.318,884.929,960.525,1036.777,1063.207,1270.792,1116.915,1028.663,1288.809,1078.01,1020.387,1069.126,1238.641,1291.335,1083.606,943.854
Heatr6,1409.487,1817.488,505.425,1642.829,616.009,1201.077,585.196,1531.049,1474.821,710.761,1658.61,1776.355,1280.672,1152.608,1241.26,1454.722
Ccl3,21,59,2,93,3,107,1,71,31,2,47,71,85,72,90,77
Wfdc18,1,2,13,3,13,5,16,6,7,9,1,5,5,5,4,5
Icam4,4.751,3.741,18.375,14.796,4.549,10.859,13.02,8.554,11.197,22.103,14.385,23.302,7.61,11.169,8.08,6.533
Ilf2,3438.927,3006.216,1767.377,2809.209,1993.433,3449.927,2075.858,2970.553,3043.878,2104.748,2758.218,3351.905,2951.016,3039.086,2320.04,3290.717
Chtop,4131.001,4480.948,3950,4097,4429.86,4645.961,4683.999,4096.939,4346,4492.001,3814.829,4868.999,4218,4283.953,4135,4465.762
Snapin,908.113,766.733,994.744,812.357,1176.482,1019.784,1067.912,888.867,1187.974,1074.41,653.774,877.78,989.219,1146.773,1056.511,750.462
S100a4,584,158,7,184,12,449,17,206.508,481,16,602,208,451,246.885,191,260
S100a3,20.001,9.999,6,16.001,9,28,5.001,14.03,35,12,18,19,24,22.04,23,22
S100a5,0,0,1,2,0,2,6,0,0,27,0,0,0,0,0,1
S100a6,2250.999,1056,134,1233,177,2140,194.001,1478.999,2321.001,192,1792,1292.001,1924,1785,1039.001,1502
Scn4a,16,7,2,1,1,5,2,10,13,5,2,8,5,1,4,3
Icam2,69,199,58,125,44,65.001,60.001,110.001,61,63.999,89.999,148,88,81.001,108,101.999
Mapk7,916.999,878,431.853,831.002,574.999,856.999,558.001,740,1190.995,582,816.999,1107,831,874,774.999,834.001
Epn2,3352.999,4576.999,3213,3376,3629.999,3193.001,3932,3696.999,4342.001,3610,3307.001,4177.999,3108,3987.001,3528.001,3272
B9d1,226.001,284.002,140,261,211.001,267,193.001,263,250.999,165,244,343,209.001,235.999,244,199
Sec24b,2004.001,2460,1763,2427.999,1998,1856,2082,2205.999,2312,1956,2280,2171,2207,1958.001,2183.999,2225
N4bp3,507,476,356,500,397,484,435,503,447,383,461,681,466,486,439,517.001
Rmnd5b,861,823.999,916,738,1016,919.001,1082.001,874,1114.999,1050,632.001,918,820,960.999,842.999,766.999
Nhp2,3787,3409,465,3237,533,4995,636,2858,3900,633,3787,4015,3107,3236,2271,3542
Vps9d1,612.983,566.596,1069.761,650.12,1501.783,910.625,1297.991,703.177,843.855,1570.084,502.183,759.786,895.109,910.892,918.753,716.667
Zfp276,1723.949,1238.568,534.38,1307.536,685.747,1459.437,718.098,1272.142,1746.383,779.029,1452.254,1454.325,1632.697,1622.26,1071.813,1442.604
C1ql4,6,7,25,6,30,7,28,6,4,12,10,12,5,5,12,5
Mfsd10,2914,2259.001,279.001,2183.001,428,2070,370.002,2060.999,2666.001,473.999,2152.001,2790.003,2225.998,2134,1533.001,2019
Luzp1,1343,1570,3359,1597,3260.001,1468.999,3895,1933,1201,3275,1569.999,1671,2107.001,1611.999,2284,1544
Slc13a2,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0
Kctd10,2626.309,2610.362,1505.472,2599.502,1604.102,2644.917,1758.199,2682.536,3566.279,1628.212,2578.413,2661.829,2445.754,2360.237,2390.029,2393.715
Poldip2,2018.045,1705.424,1659.572,1774.336,1946.103,2219.976,2134.502,1887.324,2196.6,1965.927,1839.945,1906.785,1949.028,2028.769,1861.431,1790.752
Sebox,11,8,35,14,34,21,41,12,12,45,6,3,22,56,26,7
Ift20,1141.999,1104,871.001,1121,1064,1403,1011,1104,1303,1132,1201,1452,1316,1288,1086,1284
Col6a1,2625,732,1158,1379,2030,2009,1638,1661,2816,2626,2501,1057,4306,1195,1213,1279
Pcbp3,165,156.001,1020.998,354,1172,478.001,1270,378,279,1474.001,135.001,250,444,553,631.001,312
Lgals9,3318,4946,143,4429,146,3298,124,4576.999,3608,145,4840,4454,3139,2509.999,3031,3321
Araf,4609.63,4878.032,4057.14,4284.295,4640.854,4607.703,4520.183,4675.877,4924.801,4394.113,3792.117,5326.453,4707.964,4631.711,4434.826,4269.978
Cfp,344,350,153,448,272,596,228,376,428,343,441,462,560,421,345,440
Timp1,3067,1786,14,2191,21,3010,15,2119,3306,18,2855,2214,3510,2273,1424,2637
Uxt,494.995,413.887,69,345,69.201,392.668,90,380.994,488.235,74,383.314,405.048,377.996,364.082,280.038,413.001
Cnnm3,585.48,566.926,859.753,599.607,978.648,711.258,1023.418,685.803,696.515,1058.304,494.017,619.013,712.346,690.686,775.897,604.322
Lman2l,898.092,1438.856,1099.284,1216.897,1461.406,1079.134,1480.259,1340.419,1024.125,1299.64,1065.846,1587.535,1253.2,1097.32,1476.537,1215.636
Mcm3ap,1964.667,2529.383,1556.427,2419.32,1777.374,1863.168,1797.877,2280.111,2226.656,1760.129,2365.113,2375.445,2010.104,1752.4,2074.986,2107.269
Pcnt,2428,2780,1057.731,2254.234,1064.82,1848.03,1243.019,2295.538,2420.34,1076.624,2393.738,2244.414,1981.116,1971.994,1890,2336.735
Ftcd,2,2,5,1,2,0,0,0,2,0,0,1,4,0,3,0
Mxd1,423,590,788,772,886,592,859,735,580,857,440,654,685,613,747,508
Gmcl1,991.104,1063.781,880.091,917.575,1019.215,911.212,1052.986,1009.625,951.3,1044.323,895.667,1015.654,958.151,954.087,908.797,889.79
Snrnp27,830,816,505,698.001,617,952,591,773,883.999,693,748,973.999,808,828,703,750.001
Oas1c,181.986,148.483,24,150.499,25,179.863,27.463,142.716,216.657,31,136.777,213.692,119.739,139.843,145,138.896
Oas1h,24,63,1,60,1,24,0,60,13,1,30,43,41,36,40,48
Ocrl,1178.264,825.938,2083.156,1032.82,2473.348,1305.958,2455.411,1226.739,1367.112,2450.848,963.075,877.809,1453.904,1313.515,1534.14,898.506
Calm1,17234.001,12903.999,75665,21439.999,79234.001,36037,87280,30283,22706,78699,19956,24067,32775,36238,41088.428,24869
Agpat3,3514,3116,6573.999,3726,6852,4401.999,7655,4273.001,3889.001,6681.999,3407,4104.999,4559,4650,5499.999,3490.002
Slc26a3,2,0,6,1,6,5,5,1,4,6,1,5,8,5,1,2
Sema6b,662,438,3255,892,3524,1648,3856,1236,1208,3687,695,969,1238,1621,2043,741
Uhrf1,3739,3983.999,35,3491.814,46,2712,36,2963.993,3239,40,3735.608,3743.999,3195.991,3136,2012.829,3602.791
Dpp9,1968,2580.999,1868,2495,2249,2160.999,2271,2458,2349,2212,2453.001,2725,2225.999,2061,2473.001,2313
Ramp2,308.802,243.186,255.03,337.274,326.409,338.026,355.588,268.437,475.908,355.866,254.407,293.612,325.691,483.169,336.171,304.138
Lsr,83.395,105.233,187.333,111.449,183.911,181.518,216.375,160.517,147.335,187.189,76.177,131.731,138.337,140.856,192.449,157.805
Gramd1a,3020.828,2780.191,2215.279,2849.897,2965.438,2797.464,2794.348,2719.427,3719.34,3404.801,2805.894,3464.933,3267.727,2895.315,2992.286,2436.967
Hpn,46,53.001,25,58.999,60.999,96.001,45.999,57.001,118,66,54,67.001,79.001,72.001,65.999,80
Gabrg1,52,86,1222,279,1193.999,635,1282.001,402.999,145,1029.999,58,240,199,287,602.999,98
Ckb,26113.997,21178.781,29418.72,25338.967,32969.431,44291.063,36151.829,27705.397,36056.428,32971.989,26794.171,36221.224,29149.763,33744.39,32522.219,28284.243
Sp1,3892.999,4452.063,781,3888,843.999,2467,905.999,3560.999,3881.999,808.999,4263.895,3818.996,3035.999,2593.998,2582,3767.996
Itgb7,109,219,12,251,25,386.999,13,206,169.001,20,144,195.001,336,203,237,196.001
Myg1,736.896,794.991,556.01,817.075,612.945,1126.308,648.181,805.872,902.066,737.211,714.769,932.134,799.296,919.992,754.759,852.952
Rarg,1181.999,1027,227,1145,274,782.999,253,1130.999,1268,268.001,1308,1703,1075,1011,950,951.001
