,Samp242,Samp354,Samp401,Samp402,Samp404,Samp405,Samp409,Samp416,Samp418,Samp419,Samp421,Samp424,Samp427,Samp435,Samp439,Samp441
Mfsd4b1,3.014,1.005,24,9.068,34.211,7.018,25.201,6.095,2.008,22.173,3,1,5.2,9.181,7.875,3
1700003F12Rik,185.001,62.999,25,52,38,75,38,92,178,32,48,81,90,91,55.999,73
Fchsd1,286.608,260.655,218.578,269.338,297.852,282.355,239.62,303.232,373.601,287.567,234.241,367.343,291.474,311.54,315.993,251.241
Armc10,2077,2023.998,486,1893,567,2043,528,1749.001,2325.001,567,2011,1944,1697,1656,1170,1833
Car14,39.201,42.426,303.933,57.775,311.159,139.539,317.778,72.976,35.998,306.419,22.098,79.782,133.541,124.248,237.082,26.528
C1rl,167.049,142.113,16.751,205.104,18.005,177.085,10.022,136.051,271.549,15.838,133.963,172.529,171.039,156.05,114.28,95.667
Mfsd4b5,104.911,107.174,7.826,95.302,7.396,96.349,7.716,88.282,44.26,15.629,113.659,139.521,129.852,71.978,54.659,95.88
Rgs4,390,740,9567,1385,10194.001,3274,11025,2298,918,10180.001,1363,2126,3095,2523,4042,2010
Cbfa2t2,1191.088,1071.616,1596.993,1272.423,1625.898,1188.608,1820.554,1333.504,1394.634,1623.299,1174.893,1193.698,1140.036,1116.005,1314.138,1109.794
Osbpl7,379.718,335.148,442.15,339.092,517.871,434.882,528.566,350.523,441.07,529.99,246.205,445.859,423.971,456.471,469.067,364.638
Zfp280d,1168.203,1057.109,1363.069,1025.41,1432.473,1136.108,1482.473,1145.147,1266.363,1391.838,918.218,1063.306,1024.78,1168.868,1033.752,1081.847
Mc3r,2,7,17,6,38,15,31,8,1,18,0,5,11,8,32,3
Ubn2,3920.261,4121.856,2157.554,3538.83,2756.232,2903.784,2600.913,3751.402,3356.962,2651.298,3458.903,3582.421,3531.39,3096.675,2931.155,3827.098
Atf5,3369.941,3820.91,478.297,3143.051,620.815,2253.004,645.456,3078.005,3959.26,657.815,2293.597,4812.372,2633.312,3397.145,2890.395,3663.526
Tmc3,36.71,41.191,27.597,29.087,48.158,53.838,41.525,19.904,27.299,35.259,30.016,3.797,47.011,28.281,25.317,15.892
Srd5a2,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0
Pcid2,1160.911,1049.645,669.456,1037.056,818.135,1124.43,780.86,1018.574,1451.47,804.855,1083.506,1189.149,1109.432,1111.86,907.801,1101.84
BC028528,76.049,98.076,43.983,112.445,50.443,151.698,46.675,97.031,119.785,48.518,84.686,113.491,132.237,100.607,115.294,102.123
Inip,1054.572,1042.108,565.027,988.4,617.842,1103.353,632.505,937.004,1022.863,621.992,977.601,1222.662,945.062,948.352,806.018,1060.051
Cul7,3870.998,3654.817,920.331,3488.015,1036.996,2898.668,1108.985,3222.734,4336.004,1021.271,3524.021,3672.106,2754.012,2675.002,2608,3139.014
Ranbp9,1884.377,2558.996,2353.857,1903.815,2489.464,2121.728,2850.705,2324.157,2324.577,2554.092,1809.234,2251.584,2075.208,2433.158,2278.313,2093.338
Ciart,204.001,146.999,214,156.001,282.999,237,267.999,223,195.999,281,129,190,287,289.001,197.828,134.939
Fndc4,1321.001,1503.999,1677,1454.001,1930.001,1622.999,1977,1438,1687.001,2045,1355.999,1497,1493,1609,1523.002,1501.999
Reep2,182,154,2076,406,2651,886,2543,655,325,2665,209,463,739,730,1227,290
Sp6,7.69,15,15,16,13.929,15.824,15.842,25,9.387,21.009,10,13,15.752,14.804,12,6.336
Efl1,790.113,916.414,360.934,832.263,412.102,755.689,385.76,798.906,814.212,377.04,831.001,816.589,738.9,613.552,615.609,772.146
Ift172,1418,1741.999,1542.999,1677.998,2067,1174,1978.999,1692,1559,2157,1415,1658,1734.999,1403,1821,1544.001
Cyp24a1,10,5,3,6,3,9,5,3,11,3,9,6,7,6,2,12
Rad9b,209.61,193.004,132.289,207.624,188.847,217.228,170.373,192.383,235.669,193.423,167.585,225.978,193.877,214.94,180.05,181.163
Saxo2,35,46,56.001,35,92,42,87,39,49,85,22,39,60.001,48,67,38.001
Bpifb5,0,0,1,1,2,2,1,1,3,0,0,2,1,2,4,1
Susd4,233.999,146,2895.999,498,3438.001,884.999,3477,782,396,3592,334,546,826,1077.999,1564,588
Susd1,127.999,241,218,206,263.001,185,220,217.909,158.44,234,111.001,210,154.995,170.001,213,146.999
Sct,0,0,0,5,2,0,2,0,0,2,2,0,4,2,5,6
Pptc7,1364.39,1214.996,2399.712,1269.376,2454.153,1621.773,2823.628,1584.617,1303.332,2214.577,1145.415,1431.023,1465.123,1500.061,1851.95,1205.837
Pln,5.262,18.548,38.372,11.728,41.892,8,31.925,13.95,12.284,34.12,7.065,14,8.279,9.622,21.851,11.787
Akap12,2692,2084.999,1263,2628,1193,2281,1380,2548,3984,1153,2628,1947,2187,2697.999,2225,2484
Colec10,0,0,0,0,0,2,4,3,1,2,0,0,0,2,2,0
Tctn1,356.232,335.918,503.326,322.043,646.668,442.279,591.965,419.393,378.625,660.561,276.793,355.59,455.851,386.846,430.558,264.609
Cep85l,727.43,644.969,818.053,659.8,846.392,640.763,932.416,620.647,1008.413,793.729,782.443,675.372,697.906,542.351,706.588,647.331
Shoc1,5.031,4.016,2.007,1.002,3.005,5.024,4.018,0,4.022,1.002,3.017,1.003,5.015,0,3.009,3.058
Capn8,0,0,2,0,1,1,0,0,0,0,0,0,0,2,0,1
Atp6v0a4,9.184,6,8.63,1,10.588,10.211,14.925,12.263,6.152,4.189,3.071,1,11.296,21.639,3.073,10
Slc35f1,1142.293,1090.892,2216.781,1669.215,2391.299,1604.907,2628.937,1569.202,982.123,2222.511,1449.817,1442.2,1771.368,1257.632,2021.565,1558.425
Ripor1,827,588,2337,958,2874,1124,2888,1154,1082,2999,878,1052,1356,1341,1694,922
Samd10,320,299.999,468,297,472.001,292,406,345,401,466,288,368,286,366.999,395,317
Gng10,1743.093,1359,794.078,1288.006,892,2152.212,889,1476.209,1826.561,976,1451,1473.594,1618.703,1648.895,1209.939,1522.119
Dock10,1839.999,3095.758,1828,2784.999,2067.102,2439.015,2169,2679.999,2477.001,1958.033,1982.001,2275,2235,2275.999,2790.874,2359
Phrf1,2287.896,2477.415,1319.471,2478.207,1488.415,1925.642,1672.108,2406.907,2459.48,1565.117,2481.385,2555.49,2298.596,1967.849,2188.916,2257.392
Mcl1,6534,6168,2154,6375,2201,6944,2431,6247,7775,2297,6423,6375,7414,5822,5132,6703
Nfe2l1,6577.999,6827,8262,7129,9240.998,7163.001,9955.001,7474,8554.999,8827.999,6627.002,7347,8058.999,7869.999,8387,6933.001
Rassf7,127,115,27,97,35,105,33,110,157,20,125.999,152,131,79,80,89
Ensa,3350,3620,5327,3480.997,6464,4450,6666.999,4057,3412.999,6741.001,3559.999,4388,4071.001,4174.001,4558,4281
Med30,1252,1041,307,897,347,1237,331,1009,1180,317,984,1080,999,1222,692,1073
Tm6sf1,570.536,1659.252,327.776,1179.291,429.675,773.872,448.698,1049.918,961.729,406.959,902.25,1303.721,768.393,678.172,998.101,895.526
Nepn,0,4,1,1,1,1,0,0,1,0,4,4,2,1,3,1
Polr3k,2475.254,2813.704,1159.077,2063.707,1170.842,2427.87,1303.513,2265.13,2297.824,1117.023,1885.778,2563.576,1812.153,2227.429,1539.655,2315.29
Zkscan16,105,68,894,173,862,301,943,344,112,746,58,81,203,313,459,83
Degs1,2638,1839,1759,2167.999,1880.001,2842,1875,2093,2400,1680.001,2629.997,2196,2561,2156.999,2042.001,2181
Lrrc56,97.001,68.001,59.999,83,99,71.001,87,94.999,97,106,74,115,94,108.999,87,66.999
Akr1d1,4,3,1.001,2.024,0,2.008,2,4.017,0,1.699,0,0.764,4,2,0,2
Ctss,5397,8970,1432,11422,1443,21939,1417,10068,9401,1420,6052,8293,13719,11929,12746,9675
Pold1,2055,2430.999,171.999,1968.999,225.001,1760.999,237.999,1749.998,2041,251,1974.999,2310,1645.001,1811,1334.999,2026.999
Ramac,993.642,900.848,1692.461,835.181,1974.041,1189.778,1804.736,1183.504,1130.84,2088.257,869.509,1075.335,1128.715,1192.589,1188.658,969.922
Creb3l2,6279,3973,570,4284,569,3166,644,3939,7754,553,5379,4260,4475,3654,2873,4215
Rnh1,3697,2835.001,852.001,3046,885,4021.001,945,2996,4728.001,805,3787.999,3082,3003.999,2915,2437.001,3190.999
Sycp2l,1,1,3,4,5,2,6,6,2,8,0,1,5,2,2,1
Cyp3a16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ric1,1202,1271,1429,1286,1634,1126,1753.001,1363,927,1691.001,1104,1145.001,1398.999,1270,1399,1179
Fsd2,3,30,8,10,8,4,8,11,2,8,6,15,11,3,15,4
Herc1,2416.86,2779.305,7071.11,3184.788,7987.607,3160.767,8745.581,3972.297,2610.871,7673.684,2451.193,2774.262,4188.841,3930.878,4759.874,2680.749
Dgki,103,100,896,177.001,796,256,1166,272,132,755.999,141,188,328,347,545.001,220
Lpar1,112,209,972,303,943,502,1098.001,366,203,979,161,276,501,352,801,294
Mybpc2,16,7,15.561,9.959,12.086,12.001,9,4,17,12.266,6.201,10,17.028,19,10,6
Arfrp1,885.196,1009.534,639.207,884.75,861.6,1027.336,816.574,940.006,950.477,882.36,803.305,1156.019,1000.032,1064.66,920.012,990.81
