,Adipocytes,Astrocytes,B-cells,Basophils,CD4+ T-cells,CD4+ Tcm,CD4+ Tem,CD4+ memory T-cells,CD4+ naive T-cells,CD8+ T-cells,CD8+ Tcm,CD8+ Tem,CD8+ naive T-cells,CLP,CMP,Chondrocytes,DC,Endothelial cells,Eosinophils,Epithelial cells,Erythrocytes,Fibroblasts,GMP,HSC,Hepatocytes,Keratinocytes,MEP,MPP,MSC,Macrophages,Macrophages M1,Macrophages M2,Mast cells,Megakaryocytes,Melanocytes,Memory B-cells,Mesangial cells,Monocytes,Myocytes,NK cells,NKT,Neurons,Neutrophils,Osteoblast,Pericytes,Plasma cells,Platelets,Preadipocytes,Sebocytes,Skeletal muscle,Smooth muscle,Tgd cells,Th1 cells,Th2 cells,Tregs,ly Endothelial cells,mv Endothelial cells,naive B-cells,pro B-cells
10,hadha,bst1gng3,col19a1cd79a,ssx5,ctla4,cd247,ctla4,ctla4,cd5,dhx15,alk,cd2,,aimp1,gpr27mapk14crhbp,apoc3cacna1c,cd1c,flt4,giprca4,grb7prss8,gypa,gstm5cacna1c,crhbp,lect1,,cyp27b1,bcs1l,ergcpa3,pla2g5prb3,atp6v1e1bpi,cd163,aldh9a1,,,aspa,s100gms4a1,cnn1,fcn1fgr,anxa5,sept7,klhl26,kcnq2,csf2rb,znf16,htr2bcalr,fkbp2,,cyp19a1,,rapsn,cetn2,,ppm1g,rgs9,icos,cldn5,arvcf,cd180spibtcl1acd79bcd79acsnk1g3fcrl2,ccr8
11,ppp1r1a,gpc4,tnfrsf13b,gpr183,cd4itkcd40lg,cd28,selplg,gpr15itk,prmt2fktn,ctsw,gzmkctsw,gzmk,,igbp1tomm20,ltc4smpobysl,prelp,apoc3,kdrercc1,bmxtacstd2defa4il5ra,dsg3,cenpf,arl1,csf1r,mpl,,krt14,cdk4,dntt,cdkl5,c1qa,anxa2atp6v0c,arsb,,,bcl2a1apod,odc1,foxf1,cfpbnip2cybb,musk,lim2,tcof1gemin7,chrnb2,hbb,atf6bfoxc2dpagt1,arnt,arl1,,cdk7slc25a6ssr1,,atp1a2,copb1,,pkmyt1,nup37,lair2,vwfrobo4,hcrtr1,ccr6,cshl1
12,tf,cenpi,rapgef1,adh1a,plcl1tnfsf8ccr7snph,ctla4,cd48,btf3pkp4,il16,plcg1,cd7,rhog,,,lyl1,lbp,cd80dnase1l3cd1e,art4,camp,lad1,birc5gypbspta1,aldh9a1,chd4,mmrn1,,dsc3,crhbp,cd52,polr2g,atp6v1c1fdx1,dagla,fdx1,,,oca2,casq2cd22cd79aspib,hoxa11,rhoa,myf5arf4,ptpn4,gmip,atp2b2cpe,pglyrp1mefv,htr2a,dpagt1,cd27,,irf4,,myod1,arf4ndufs4,,taco1,,il10ra,cetptnfsf18,bmxsele,,dnttcrx
13,ppp2r1b,col1a2,snx2,pi4kb,ccr4,dab1,sptan1,arl2,tatdn2cd247,ptgdrly9mmp19,ptprcapnck1,atr,,,zmym4,glg1,fut7,hyal2clta,rgs13,slpi,des,eln,ms4a3,ctnna3,,f3,hbd,caprin1,ccl21,clcn7,atp6v1e1,gpd1,,,sox10,cd37,foxc2,f13a1,myh7,ifng,,atp6v1g2,ddx3x,gdf5drg2,hic1,gpld1,,hist1h2bb,,mylpf,arcn1,,tmem39b,,banp,cxorf36,arf1,,alox15b
14,adipoq,tnc,ptpn6stap1,bcl2l11,ppwd1cd7,tnfsf8,cd6,cd5,dsc1,cx3cr1,il2rbsgcd,cd8acd8b,,,c1qb,arntarcn1,f13a1,cldn5,sycp1,ap1m2,gype,islraspa,defa4,laptm4b,,krt6b,cct6a,igll1mpl,lamp1,atp6v0a1hk3,adamdec1,abcd1,,,s100bmmp17,ccr6,col4a1,tspo,sgca,xcl1il18rap,,cacnb3,hspa6ceacam8,fibpibsp,masp1,pnoc,,cenpetmem11,,atp2a1ca3,pls3,,slamf1,,hs3st3b1,erg,rhoctie1,,flt3
15,ptger3,cdh11serpinh1,ndufa9,art3,phf3,ccr7,ccnt1,gzmalims1,ctswcd7glg1,nfkb1,gpr171,lag3,,,fancg,col14a1,c1qb,arhgef15,ceacam8kcna5,efna1,bub1bhbdaurka,fktn,ap2m1dntt,slc4a1,,cdh3,pnmttmed1,btf3,hand2,cd63,c1qb,anxa11,,,ceacam1tyr,mbd4,arid3a,rnase2,des,dr1prkag1,,neurod2,vnn3,glud1lonp1,atp5g1p2rx1,ssr4,,anxa1anxa5bub3,,ebf2,aldoafktn,,pttg1,,rgs1,tpm3,casp10,,anxa3
16,,col3a1,pnoc,c8a,ccr8,ern1csnk1dcd48gpr15dnmt1dnajb1golgb1,dnajb1tradd,gzmkprepldnaja2,cd40lg,psd,sh2d1a,cd3dcd3g,,,crygdtgm5,ogncamlg,il3ra,fbl,hic1,itgb4,klf1,jak3csnk1a1fgf7,cdh9,phf20,,serpinb5ptk6,kel,p2rx1,pkd2l1,cd9,scamp2,msr1atp6v0a1hexa,,,capn3,sp140,hoxd1,s100a12,myl1sim1,prf1grik4,,atp1b2,p2ry13,hist1h1a,elk1,phox2a,,tnxb,,,sod1hdlbpanxa1,,,,,kalrnmyct1,cav2,,cenpa
17,,clu,gpr25vpreb3rad17hla-dqb2mbd4prdm4,ern1nr2e3,,krt1,ccr6,hmgb2,dido1krt2,myom1prmt2,hist1h4f,capzb,,,ctsg,nfatc4,adprh,cav1gpr4,ms4a3,lama5hbegf,hbb,fmo2,ctsgflt3fen1ddost,scarf1,,sox15sult2b1gjb3,hdc,ercc8,eif4e2,msr1cd48cetn2tpp1,atp6v1a,guca1anpr1,,,tyrp1,htr3a,atp7b,bpi,ckm,gzmmhist1h3a,,atp2a3,gpr27,mfap3,colec10,rgs13,,glg1,,,dctn1,,,,,fez2,rhoa,,dccapoc3
18,,lrp4,traf3,adprh,,,cd28,rbl2,dnajb1,tbcc,esr2dnajb1,zap70casp8,,,cacna1ehdac6elane,foxd2,anxa1,fdps,raraksr1,itgb6,fen1,csnk1g3,lpar4,gypa,,fgfbp1ereg,krt1,mpo,adamts12,ccr1,calr,hexb,,,pir,inhbcly86,hoxa3col1a1,folr2,cadmybph,tktl1,,crabp1,fcars100a12,hlcs,pou2f2,rngtt,,ipo5,,,tmed7,,,,,kank3mmrn2,atp1b3,,cetp
19,,pou3f3,gga2,nmur1,,,smarcc2,,npat,slc1a7,stub1,cx3cr1,,,trim27,runx1rgs11,cd86,robo4pttg1ipmmrn2sema6b,kif5aphlda2,stxbp2egfrb3gnt3cblcevpl,hmbs,bad,ercc3,emcnfam124b,,ly6d,erg,serpini2,ercc1,slc31a1,trem2,cd63,,,runx3,grm6,lhx1col3a1,rhogarf5hus1btk,myl4mstn,ncr1med1sacm1lgolga4,,pcdh8ca8crmp1actl6bcacnb4calb1ncancamkv,mmp25,,mllt1,cnr1npas1,,hand2adamts8,,,rpl10anxa5pfn2,,,,,arhgef15,tspo,,igll1gabra6
20,,col5a1cdh6,csnk1g3,adra1a,,,rgs1clip1,,rbl2,eef1d,lag3crtamelp3,c21orf2colq,,,camk2a,pgk1,alox15bil12brhog,emcn,kcnk7ltf,efnb1,krt1,gria3mmp19,mpo,,,ap1m2,ddx1,csf3r,ndufa8,ccl22,blvrachit1,aqp8,,,clec11a,cd72,hoxa7hoxa10,upk3anubp1,bag2,nmur1,,,btnl8,,btn2a1,arsa,,bag3,,,dync1li2dpt,,,,,fus,kdrcd34,,ly6h
21,,gli2,fcrl2,cd72,,,lztr1,,ly9,il16,cd28,dusp8,,,tfcp2,lpar4,gzmbccl13,erg,ccr1,krt7,cdc20,hexaidua,dhx9prg2,,,fat2pi3jag2,gstm5,itga9clns1actsw,npas1,,,kcnj1,,,gpr137b,c4bpamgat5tnfrsf13b,bmp4,cd300cmefvarnt,cast,gnly,,,zdhhc18,,gnas,golga3aup1,,hdlbp,,,prkag1,,,,,,nova2,,fcar
22,,grm7,cd53,ssx3nxt1fgr,,,cd3e,,rev1,gzmh,parp11,gzmb,,,star,tbx4,fkbp2fcer2fcer1accl17,mmrn1,tnfsf11abtb2,sema3f,cdkn3,htr2b,dnmt1,,,,hpgds,csf2rb,tnp2,,,hs3st2,,,cdk2,pnoc,micb,ventxkcnmb1,shq1,gtf3c1aste1,,,,,mybpc2,spats2,,rhoa,,,rps19,,,,,,calm1,,prtn3mybl2
23,,,pax5,agtr2,,,ccr8,,hmox2,tspan32rbl2,,rgs9capn2,,,flt3,runx2,hist1h2bbdbicxcl9,foxc2,,sdc4nr2f6,bub1,nfatc4prkg2golga1,gpr3,,,,ntrk1ddx10myl4,tec,gstm5,,,atp2a2,,,slc16a6,,ephb2col5a1,fpr2,cav1,hnrnpl,,,,,p4hb,hsf4campcasp10,,abca6,,,ddx47rhoc,,,,,,cav1,,rag2
24,,,stag3,defa5,,,myo16mcf2l2,,cd28,krt2,,ctsw,,,znf197,,fpr3,pls3,,hes2,glrx5myl4,hic1,mefv,,,,mrps2pole2,nup98,znrf4cul7parnctrb2,,,ucp3,,,farp2,,tll2,cd1e,myograpsn,dnajb14,,,,,hand2,sec24a,,slc1a2,,,prkg1ufc1,,,,,,bysl,,gck
25,,,,pcdha2,,,cd4ern1,,inpp4atnfsf8,gzmm,,cxcr6,,,runx1tpsab1,,idh3a,flt1cd93,,krt6a,ahsp,,crygdrnase2,,,,ctnnbl1,kiaa0125,hic1,,,elk1,,,,,,pnp,impact,kpnb1,,,,,kif26b,uba5,,glud1,,,s1pr2,,,,,,cldn5atp2b3,,art4
