,BASO,CMP,EOS,ERY,GMP,GRAN,HSC,MEGA,MEP,MONO,PREB
Lin-_1,0.225088979,0.072790116,0,0,0,0.045828685,0.054934565,0,0.216442747,0.18387563,0.201039278
Lin-_2,0.225508513,0.026987301,0,0,0,0.060674907,0.105277801,0,0.196677983,0.176970282,0.207903213
MNC_1,0.18540856,0.093032563,0,0.005597529,0,0.200254053,0.020904827,0,0,0.377333959,0.117468508
MNC_2,0.188766093,0.0870099,0,0.006998599,0,0.197902307,0.026429136,0,0,0.362051423,0.130842542
