,Bcells,CD4_Tcells,CD8_Tcells,NKcells
LOC100288846,0.277395481,1.586150879,1.971138132,17.74626833
LOC100288911,0,0,1.019162977,0
LOC100288974,0.27934582,0,0.08979214,0
LOC100289019,26.32838501,26.87509114,30.29480372,19.01700977
LOC100289092,0,0,0.47975747,0
LOC100289137,0.077416333,3.446674001,0.800456574,0
LOC100289187,0,0.079613614,4.198470185,0
LOC100289230,2.204838382,6.735709268,15.26747609,6.175823193
LOC100289341,20.00033102,25.33326194,25.56633762,19.2502854
LOC100289361,0,0,1.638232152,0
LOC100289473,2.914676551,4.828624501,2.602474666,1.394838615
LOC100289495,4.806355432,4.740926743,5.266005569,3.831390028
LOC100289509,0,0,0.004931385,0
LOC100289511,15.09315917,21.15520896,15.0307883,12.52041642
LOC100289561,2.039722502,6.394403654,4.739221665,2.95873929
LOC100289650,0,0.336779865,0.353461585,0
LOC100289656,0,0,0.038931953,0
LOC100289673,0,0,0,0
LOC100292680,0.413680344,0.930511692,2.621182622,0.608084365
LOC100294145,37.58988095,6.637571813,16.86768216,5.550690576
LOC100294362,3.48402536,16.07020342,8.114856095,3.966577263
LOC100302640,0,0,0,0
LOC100303749,16.15621759,7.97197281,16.72936273,0.313238246
LOC100335030,7.654386166,9.26630828,15.3796362,7.939228122
LOC100379224,4.429902138,6.747174766,7.220841844,4.420444748
LOC100422737,0.219341071,0,0.271672367,0
LOC100498859,3.015465997,0.242156178,1.084734298,0
LOC100499183,0,0,0.956324238,1.728468389
LOC100499194,0,0.392715719,0.14062627,0
LOC100499227,0,0.945152075,0,0
LOC100499405,0.707697571,2.766155534,11.50767177,2.2897362
LOC100499484,0.081931195,2.380875185,1.496553616,5.721902818
LOC100499484-C9ORF174,0.966218415,3.500686952,1.404525448,0
LOC100499489,0.867859383,0.147385883,3.52879297,0
LOC100500773,0.131442863,0.11539287,0.313145234,0
LOC100505474,0,0.286900593,0.021699326,0
LOC100505478,0,0,0.0935376,0
LOC100505495,4.556003898,5.012288063,6.534238618,9.172560278
LOC100505540,0,1.114192571,0.154211243,0
LOC100505545,0,0.116540087,0.163210144,0
LOC100505549,52.60078828,15.33662962,18.73188775,9.896299292
LOC100505619,0,0,0.010144336,0
LOC100505622,13.07212044,5.171022293,0.608056836,0
LOC100505624,1.097035754,0.562370662,0.915958179,0.773584343
LOC100505633,0.496752968,1.07443552,0.286890302,2.03945089
LOC100505648,37.58640242,69.02423371,25.28582119,115.6309956
LOC100505658,0,12.03190809,3.350806808,17.95001287
LOC100505659,7.75066596,7.837541859,9.533434262,7.38347435
LOC100505666,0,1.403746699,0.887771996,0.441636938
LOC100505676,1.367501466,2.289705566,3.061676183,3.569473429
LOC100505679,0,0.404378449,1.202383362,6.466053295
LOC100505687,10.51904942,5.950109759,9.042450374,42.75727612
LOC100505695,0,0,0.027680811,0
LOC100505702,2.698545639,2.28492203,3.269186442,1.790680496
LOC100505715,4.001200595,1.090098599,8.042835471,6.875272752
LOC100505716,26.18136053,7.154320144,14.54911346,64.94715153
