,0,1,2,3,4
1,0.617129124,0.102634487,0.096112406,0.089785623,0.09433836
2,0.120533864,0.549646519,0.11045002,0.108372014,0.110997583
3,0.1430425,0.140318113,0.463625052,0.125610959,0.127403376
4,0.139508688,0.141886442,0.129097025,0.461010748,0.128497097
5,0.18427606,0.183207028,0.167974965,0.180065386,0.28447656
6,0.617129124,0.102634487,0.096112406,0.089785623,0.09433836
7,0.120533864,0.549646519,0.11045002,0.108372014,0.110997583
8,0.1430425,0.140318113,0.463625052,0.125610959,0.127403376
9,0.139508688,0.141886442,0.129097025,0.461010748,0.128497097
10,0.213360092,0.211159927,0.204556886,0.203085081,0.167838015
