gene,T.cells,memory.B.cells,naive.B.cells
CPSF2,374.89584573483535,183.7789121745112,192.21261698948555
CPSF3,124.5175179923353,279.99273476341733,206.70207793138616
CPSF3L,119.17545391625085,95.43162351688277,120.40599763638458
CPSF4,127.51064860735111,175.3968130217086,196.80993599003796
CPSF6,139.80606760338017,110.93982117741268,138.04406293118996
CPSF7,97.26512524925765,27.098897451357505,83.58798413419123
CPT1A,20.910686221430296,17.15063555284412,16.077398463804382
CPT1C,9.926266414204898,10.23648059679145,12.621958534914144
CPT2,42.80802949249147,68.22603519338996,51.13434345398938
CPTP,59.569179462601404,99.08677594591789,71.5313577215847
CPVL,5.825171387078359,9.436073135044582,7.805968135278338
CPXCR1,5.6013733177435965,6.109214716003787,6.188894106597764
CPXM1,12.78473373029882,17.619323606929203,12.07616489994327
CPXM2,36.80716504195331,38.06858252458624,26.98613749959725
CPZ,28.213036766445697,25.3206056822425,21.508709716956506
CR1,22.465900994094692,95.92466552829107,222.5354176183232
CR1L,10.248703015594428,9.434130114256956,10.552716686786765
CR2,11.339916121308411,80.22102587983288,960.3507824250686
CR936796,98.39979451741762,35.6069186211816,39.196608942694944
CRABP1,16.677585722601822,12.51651263306636,15.838883920804092
CRABP2,42.81294861025975,66.6665506306823,35.67249339341161
CRADD,35.616956856399035,82.05095973634236,45.379629375819576
CRAMP1L,42.958544320306544,26.742365046420446,48.586766522248276
CRAT,64.27762609099211,49.70670016774392,49.5049879591599
CRB1,12.940515631857037,14.268461644909246,11.062799922303432
CRB2,15.161481547956322,11.134536699260844,15.302984185407597
CRB3,38.45716083075613,47.88436370071921,31.451963792820578
CRBN,403.1846086185404,355.69045599500834,274.27864554152626
CRCP,50.264230674453664,73.41138172948621,49.97233197068376
CRCT1,9.132043573286639,7.8291631858157835,8.09452003349794
CREB1,172.20001712104917,199.9520356650245,187.11420838879448
CREB3,66.36026915330147,142.55137688461355,77.44885861518766
CREB3L1,27.11702191671586,26.756040671042697,22.095882579609864
CREB3L2,32.197718692008934,47.96420578942419,54.51377858623533
CREB3L3,7.275647840425793,9.802527203065784,6.907014725275299
CREB3L4,33.361473497488895,40.28657991133203,38.803351507183955
CREB5,15.500347391190983,15.088757579704014,14.997492054992195
CREBBP,101.81288121739766,48.98414939261651,113.56027623129732
CREBL2,280.49139710790274,216.02137054441005,111.61181370549538
CREBRF,212.69712897968483,134.5554252306629,143.9602028604826
CREBZF,74.21261851269792,83.2795555263017,75.74508471646935
CREG1,40.972492592984054,66.76598582342672,35.31043295010351
CREG2,7.11835787708576,6.828321670602136,7.129437713656599
CRELD1,50.336074573733846,43.831857122352886,39.025054090435056
CRELD2,195.05598074173872,464.0300116423639,241.0639959903555
CREM,57.474050029761976,32.87338798216192,38.72497488575063
CRH,16.593443685577267,13.097120367964555,16.870881128750643
CRHBP,15.677950830871877,14.042523731950439,10.041201620817633
CRHR1,17.35256954220758,17.055286897567644,18.151656964001393
CRHR1-IT1,30.45730007907579,21.477256150606106,23.538235922865834
CRHR2,18.995173185547937,12.690816142577527,12.933163050938958
CRIM1,44.8721354219872,18.527321224407302,27.47629503082858
CRIP1,321.4241322051874,583.4776894740876,287.7389881858043
CRIP2,15.460216824379325,26.934169741908587,24.0976352183756
CRIP3,29.949245822430957,49.03425413932212,53.7835477844587
CRIPAK,55.196792455674746,44.7675965497401,41.318039504877724
CRIPT,78.26061319720996,78.03438461179343,80.80084321652417
CRISP1,7.489805962590293,7.7789724561952935,8.5888888487624
CRISP2,6.601571120896504,5.469627211346455,6.627943423928355
CRISP3,5.619175958275893,5.71045912189791,4.997939529800735
CRISPLD1,8.96731481321993,9.303044342429068,11.70666056470504
CRISPLD2,23.215464449240585,22.787220742896938,19.060709572219302
CRK,71.54759780589525,97.41650689379473,83.22069228207233
CRKL,103.58675466446259,100.8550889591487,104.37432634189916
CRLF1,24.855978071069817,15.566846439460088,20.49412207003549
CRLF2,18.747962810982337,16.754011163416315,18.668481949743697
CRLF3,818.5050523964936,788.1916792247424,554.3148253189629
CRLS1,41.69622743250088,31.954648897629607,46.54722938011671
CRMP1,58.14926800553159,50.27035836867106,34.6162898463135
CRNDE,9.58404144843068,13.886822922966706,10.324837101538924
CRNKL1,36.02552710462054,61.34508338873574,50.05093687644794
CRNN,16.845457626091328,19.117849310705818,23.518592319983952
CROCC,42.793877780646284,26.769354387394444,24.704143470050116
CROCCP2,170.82546276042362,123.65910347171285,145.6426838480211
CROCCP3,22.06241788697613,23.336957903574895,20.60815217287815
CROT,50.13341577400763,16.73261074259312,26.90374103556273
CRP,13.289775150925072,11.7549758159142,9.931631216553145
CRTAC1,19.460766663036505,25.41787231729715,21.955543858735762
CRTAM,200.92430508964023,137.39482551196764,20.05358828451835
CRTAP,75.88018705738783,72.68044723156882,62.69435258827284
CRTC1,66.7476007858063,80.56000207892401,72.86161201627995
CRTC2,61.39375473317559,55.046951706392925,56.87325892658953
