Symbol,CD4.T.cells,CD8.T.cells,monocytic.lineage,neutrophils,NK.cells,B.cells,fibroblasts
Ig alpha 1-[alpha]2m,22.802851329461586,25.03649199278786,18.130642361618342,26.870622352621638,21.681874173259892,131.13857382019265,0.6405968592829052
JADE1,105.62900895143036,120.93122030800677,53.07364379804644,355.43197396438865,129.6273739443193,0.14110051903715573,0.09816635104891173
JADE2,73.54233421860535,73.96687479212058,50.13322477274053,48.88717944252138,73.51603670352578,0.500056529347901,0.4205035251520887
JADE3,26.608488296706568,10.813733640660415,19.720979772813095,11.369544505218094,11.149354341028307,0.11879657929814269,0.2862532543308321
JAG1,19.101741086697864,8.75782304556443,47.33792284835612,61.91219622003321,13.893642533285144,0.251202669366427,0.8731100784354836
JAG2,56.015415427802054,63.55733739174247,57.068527321472615,62.63555822435726,56.910850824715034,0.3037137436688157,0.29672533142838925
JAGN1,181.04515867184617,319.6184326912448,323.22921557691507,168.54977146944375,168.05823191685806,1.2071472588929841,1.0323081171357564
JAK1,262.2207749176314,82.3615067920783,84.01865687931138,165.56866298453468,340.33182046605,1.075120867540542,0.9802673631101952
JAK2,18.810897984631147,14.127214258839459,144.23961421366633,143.1799349367032,34.52887703957107,6.504980805802309,0.8280006469081164
JAK3,166.021570964984,223.17187774151145,38.20251778728723,112.0704681223143,65.24935832982241,0.4048331960446268,0.4224053463505943
JAKMIP1,110.4126148543083,35.58698310248392,32.210779048734025,37.84856548709502,493.06585845638415,1.5446043077162428,0.22485954017173035
JAKMIP2,10.070965677728049,10.841509733936812,8.532099675889276,8.949280667925445,18.439957058174336,0.1363637987412871,0.010502663097056764
JAKMIP2-AS1,13.763942413081987,15.374136419468494,12.297523040770743,15.608967714752794,18.44639774665334,0.005801656518385934,0.07000539895150279
JAKMIP3,23.071259207699132,23.45632456221828,32.37369789264476,24.397728469678203,19.610254939092915,0.24827794242086113,0.17391324311163622
JAM2,15.05536697383781,13.989429176664583,11.5938834203944,13.80439197876507,16.486255699109385,0.09827315611156606,1.1090675973301305
JAM3,33.43292876015071,73.82127074722419,15.912954485310264,13.288580347594664,22.7100417314846,0.17569937932395524,0.9997085255771976
JARID2,467.457859426046,323.8414745568426,879.2501897672205,1136.3804801228728,716.6663910888026,0.11381452570014947,0.016082792080340726
JARID2-AS1,31.300715459921197,26.12901176725693,120.66456520571943,111.81635023241148,18.448168663796395,0.7358271072137994,0.7263386066841873
JAZF1,109.50960213221147,65.0246376204633,336.4527449041104,316.9930351186356,319.9619135768574,0.10325777346502914,1.7651080501392147
JAZF1-AS1,10.62896497383944,9.460463035795803,13.17600858434866,11.401676212046157,9.272672773113573,2.773477458548557,7.27963593002151
JDP2,18.2437026471447,18.00307006095292,127.25973462279184,257.2978723592234,16.568636636306344,0.7140548232759363,2.2133047353626867
JHDM1D-AS1,43.71383131209856,92.41817823573767,84.92961612488556,117.13482616267453,53.87048750873529,0.31284206136646747,1.893512375067737
JKAMP,31.031744102449792,91.5679084198696,78.66788473273131,218.8120462927005,70.8071270926659,0.7953771933481616,0.986761905657417
JMJD1C,62.948862052951355,31.4973746527889,63.6691019897248,91.58372899509529,52.14041721848445,0.24497642074354803,0.11844705222577583
JMJD1C-AS1,113.60634023799946,21.20062816927541,70.58205643084841,72.85767519724726,103.16214989259446,0.8670964120052328,0.954571851625854
JMJD4,28.90095650929116,41.60181484463546,39.869878230795784,23.551533070462895,33.50978128189113,1.5397157108439805,0.27729146188959053
JMJD6,38.774081492859374,14.739616231165602,41.98745444291733,131.48271618748706,54.43351108288784,0.3018950066596163,0.3131919420759133
JMJD7,236.02674150746765,264.63985006133964,156.21521897904236,110.64253574861132,200.25683512240278,0.5449794745128174,0.3444050494765382
JMJD7-PLA2G4B,96.81133440187851,99.46239908462704,84.52817665650309,51.7521708663366,109.03480742021372,0.5449794745128174,0.15902608115762001
JMJD8,240.69316771261649,203.05303698150777,228.24564086073877,166.6104710395606,182.57755732356395,0.9309116257479442,1.0107503029321112
JMY,168.53766868731262,226.52812570327617,85.73549748734507,29.441420303707538,289.0184108529956,0.9385673244777989,0.3978242704883797
JOSD1,228.24740172059475,263.17300886100287,266.16535147881757,474.81843927644877,379.5360764569706,4.601093582554471,2.9206075250507295
JOSD2,131.81109153640094,173.1018803384598,258.0512180136702,199.87752073546187,139.67935258826324,0.965974193938826,1.3148327893835752
JPH1,10.64352780273396,10.568400045985864,11.859104256126612,11.675980019233121,9.382341856125915,0.025959048245354627,0.021418430850923525
JPH2,16.609780696336202,16.88945021248553,16.807120439642876,15.156471026295092,13.552984621774868,0.08142248143452085,0.6630104616810675
JPH3,15.416863517269007,17.923782091220712,12.240413464372102,11.77438106779462,15.535382191058666,0.008283161884436726,0.006669632565933021
JPH4,62.22040515252398,52.05190257354411,74.4446438358229,25.434201574550737,32.21590850602556,0.29133246821333153,0.02238213857243504
JPX,174.8881381439763,187.091272166277,103.7696290456,239.18799345288224,163.7696391656312,0.41933710567859694,0.9376916917237181
JRK,21.70170623777783,26.09855564897919,20.684480557596867,22.68820468306256,26.010465828191204,0.6806130411509631,0.3782926628300026
JRKL,30.548690061702743,48.42358530509155,41.16256597360747,28.044721243448247,66.05987112563857,0.6204269240299699,1.6677285664588848
JSRP1,84.77790397877358,62.09720926210826,69.69602062554792,72.27569953131862,48.71853966191293,0.36293145382828196,2.966156460717178
JTB,386.03891613191695,819.051710791244,801.0986235131081,950.7609688638635,810.6376491178892,1.6582548667579748,1.0918443161618068
JUN,450.33667531796254,171.28549649964367,1578.8995782947748,76.75929308625565,912.8215315752541,1.086720407424513,0.8085714111974498
JUNB,4162.449200595322,2898.510185537989,3167.2054287566143,3288.203632634147,1809.4244551343963,12.700956990243617,1.9855597837406855
JUND,285.7825291321873,117.64345635534526,231.93472072842303,233.47208423233926,154.41084091164075,0.1599736503527025,0.7454001425087692
JUP,16.027992047981222,19.36043097327247,17.29646130546587,17.838002621655953,15.50861427071974,0.11965677582130398,0.07048199154645116
KAAG1,28.620746113056114,29.479580568587323,27.735507715288993,34.74735628480547,22.091659098194356,2.962297836655006,0.699308836316054
KAL1,10.351626988081591,11.902353339178708,12.220509318417072,13.160125681353495,9.628934767338636,0.04011272257800859,0.015226466555891827
KALRN,10.37389255913222,9.850979838850606,9.58168097966825,10.29908783510349,8.856931892744257,0.11528513441584926,0.1262833375101794
