GeneSymbol,naive.B.cells,macrophages,Macrophages.M2,monocytes,neutrophils,NK.cells,naive.CD4.T.cells,naive.CD8.T.cells,regulatory.T.cells,myeloid.dendritic.cells
TRAT1,0.064227928,0.175857134,0.643153243,0,0,1.825276862,116.6620551,42.55944082,45.85886972,0.066990061
TSHZ2,0.282395366,0.069492786,0.073706823,0.014394697,0.283270997,0.077094464,10.34022567,0.530722197,6.078331672,0.035520521
TSPAN18,1.773110891,0.224973143,0.299670126,0.303297482,0.282454969,2.768856895,50.12014098,14.03722561,4.733244412,0.434106048
WNT7A,0,0,0,0,0,0,17.08839638,4.576358717,0.606321578,0
CD248,0.259603866,0.087740068,0.299374045,0.042849994,0,0.021761677,1.506528209,16.71318924,0.477844627,0
CD8A,0.123493752,0.611395299,0.53185578,0.077605529,0.104437399,5.167328431,1.992497271,538.2167975,1.223523649,0.218412818
CD8B,2.292333594,1.804481683,3.846844623,1.287112933,2.298570715,5.633725019,4.941548245,690.1969517,6.559120299,2.722077739
FCGBP,4.194988156,0.044944194,0.057125749,0.098906873,0.005018993,4.871860576,2.602280201,13.82714234,1.010479097,1.155353962
CCR4,0.127506702,0,0.30773594,0,0,0.034765792,58.06760885,7.439073277,150.7511927,0
CD5,4.877370291,2.235288354,1.642349664,0.453178382,1.148389382,0.892182557,193.0104702,130.7973075,317.9121812,4.301204345
CTLA4,0,0.939719254,1.145404884,0.084501495,0,0.465862454,49.53927986,8.406744477,325.1213451,0.362548596
FAM160B1,11.67279633,16.30662698,18.78709132,11.55747873,35.64284614,27.6647242,15.37678344,18.7547778,86.39749339,8.531514655
FAM46C,116.5200913,0.786458366,1.029495676,0.121436258,3.585779263,105.6553497,95.02973327,98.51889295,276.8840338,0.153696326
FOXP3,0.966707151,0.572910937,0.825734358,0.599754931,0,0.933221453,24.97899122,1.756471973,313.685821,0.816092789
GCNT4,0,0.128566978,0.094194958,0.012948795,0,0.521541095,13.50846293,6.379368902,27.07676415,0.299027574
HPGD,0.297346138,2.406758699,0.423144116,0.437543776,1.262525718,8.866919288,5.436634082,8.744816121,94.51148585,0.331635153
ICOS,0,0.293128153,0.256209509,0.017688289,0,0.961526296,115.1121487,36.11422323,260.9343714,0.155628375
LAYN,0,0.083562608,0.587878541,0,0,0.920713691,0.495056559,1.516722993,23.36694099,2.520773846
LRRC32,1.921045335,10.20176636,0.837196974,0.599752724,0.041668765,0,1.268758008,0.05580002,26.86286404,0.106702948
PLCL1,0.10498503,2.446856866,5.080209131,1.624466782,2.169528788,0.361016216,16.90774278,5.589509228,46.27981267,2.135980329
RTKN2,3.570358008,1.001770093,1.125225336,1.774211111,2.117889492,3.237450146,13.38312966,4.522484141,105.3965585,2.075972606
SEMA3G,0.038976574,0.577584859,1.072540186,0.035448738,0,0.011518663,1.369636883,0.083772454,13.68662319,0
AATBC,0.446909422,1.543006573,4.909942793,27.10384779,0.239048944,0.862381186,0.169612371,0.395075723,1.515827072,122.6700671
FZD1,0.388966763,13.77845542,14.82845358,14.03848567,0.046971375,0.090930604,0.206749189,0,0.0431762,47.57192358
GRK3,45.93278013,49.01792851,66.80580338,61.5685769,3.436398679,1.68403818,1.357504537,1.287120271,4.641675857,116.1426558
GUCY1A3,0.568909388,0.191756591,0,0.404019093,0.014867531,4.362788352,0,0.029021266,0.125262149,17.56092193
KDM1B,14.94536862,59.95688389,46.52949705,64.39653048,38.72899874,9.949989181,6.196047453,5.860261952,5.632081703,144.1940338
LMO2,12.14792265,65.70256648,116.9387337,108.0977399,73.58974336,1.639121464,0,0,0.24297935,298.5971976
RNF144B,7.19277801,40.0586271,32.44353896,36.90458275,52.94647844,1.465791761,1.637388856,1.304526478,0.891397177,151.249057
SLC2A6,62.2190546,37.12313305,24.76839261,99.00556541,1.27878371,14.08155837,1.959981683,8.792033611,3.469836342,315.9215375
TTYH2,2.122215977,6.619239591,22.46695118,43.31621696,0.910160869,5.02131346,11.36723445,6.973162482,6.566632858,107.4982192
