ID,memory.CD8.T.cells,naive.CD8.T.cells,myeloid.dendritic.cells,monocytes,naive.B.cells,NK.cells,memory.B.cells,regulatory.T.cells
SASS6,0.23932912367956252,0.32316421531553147,0.05908825736512062,0.09578900146715835,1.9158977905116312,6.511101675842917,0.0,4.957632763473464
COX6A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITGAD,0.0044898760488476025,0.0460505791476986,0.057714372827835154,0.0,0.23642806265291383,0.1964925934041421,0.34807343338252195,0.1976399053052952
ADGRG4,0.016463028020309283,0.015082783351005734,0.04301034163113473,0.043743875977842864,0.041393671856818415,0.08120900342682726,0.37275540524457734,0.04106792721700451
ZIC3,0.0,0.0,0.06294905842563145,0.0,1.069103013862472,0.0,16.45916411606189,0.4331949701755677
MALSU1,16.46683154996968,16.04906318498008,3.8772156301718423,23.17525400244405,22.722818236833863,32.354306262071006,4.489296903294087,63.9436848853101
VPS8,0.33601296733144476,0.3735429379305852,0.2571142263721032,0.8680557745324522,1.0241859941701408,1.0623275625465598,0.2858614955877634,0.6937436109901123
GALK2,0.4647004973811257,0.297811778049573,0.39341335464840393,0.0449204802018145,1.081297445955151,0.4442886491258128,1.3931929445198665,0.21465722733997636
LHFPL4,0.03252940479223313,0.06192537969113593,0.004039000140118159,0.0,2.9954243825006084,0.006911612195378575,0.45251905967963574,0.17422398280835844
B3GNT7,10.297300185068227,67.16192139699027,247.72887572830737,0.11492443286807348,47.20723797938946,9.37162435910819,13.849402415691648,0.1258254057113996
MPV17L,1.0399980738538899,1.477672443657437,3.4092986290193865,3.9819884825072625,25.828903727458744,6.374622208170588,17.54712730914668,7.6050642610920045
BUB1B,0.004073035514047765,0.0476836308888598,0.026565304625565948,0.10443770614836255,0.4710698372022636,1.6073129113510929,1.0635199718687345,1.177225451430244
PDE6D,2.9223997480808768,2.9188941206383343,6.343450282022959,0.005651373367938345,0.2784769728577418,3.968561074141533,0.11290169107005266,4.726785860283572
EIF4A2,371.90408250895814,391.2347896083017,113.1010388263531,148.66927208748498,166.72991510707675,250.26780698311273,13.636165845404065,158.25097671688414
BRPF1,2.4314770730804747,4.181928779874644,5.344198682170451,0.15297302779678157,79.27192250655165,0.3599557350939719,2.0125855141776197,1.6128882408229184
RPUSD3,3.8762354584975767,20.673315889817445,29.169127911106223,4.1172025854224925,17.876357270922973,8.333529421833738,151.82324379875323,31.04214936936941
SST,0.0,0.0,3.8808210072866736,0.0,3.783394609609105,0.0,0.0,0.0
TATDN2,2.5911612002365523,1.6635908329609295,1.1525593893758606,1.523875437433684,0.4328663376540152,0.9351244088622735,0.07957752109716475,2.1186201539510234
GHRL,0.0,0.0,16.49426000607993,3.231020239954937,0.20327462149703335,0.0,0.1153951372413107,0.7808650590609048
SEC13,14.389350975014873,9.489948297063371,31.299869231401974,3.064505730579844,5.828928658416922,4.766254765793718,8.70185972329466,6.391673604495459
EXOG,1.4999710262272776,1.9042011114879231,0.3692998569777731,0.571738737359632,4.263659436311139,1.7926490531197417,0.3302130699185607,1.7165401120396382
NTAN1,28.00996447583374,19.988768420582016,9.920497477928764,0.3673059621735576,9.475226258979767,22.91962739353349,5.555949727459631,8.664536617912626
SHCBP1L,0.012795314729677603,0.029821448323527632,0.004790261879790983,0.0,0.016324867872636283,0.03471101288423644,8.255723411192918,0.013578432452717493
