,mix0,mix1,mix2,mix3,mix4,mix5,mix6,mix7,mix8,mix9,mix10,mix11,mix12,mix13,mix14,mix15,mix16,mix17,mix18,mix19,mix20,mix21,mix22,mix23,mix24,mix25,mix26,mix27,mix28,mix29,mix30,mix31,mix32,mix33,mix34,mix35,mix36,mix37,mix38,mix39,mix40,mix41,mix42,mix43,mix44,mix45,mix46,mix47,mix48,mix49,mix50,mix51,mix52,mix53,mix54,mix55,mix56,mix57,mix58,mix59,mix60,mix61,mix62,mix63,mix64,mix65,mix66,mix67,mix68,mix69,mix70,mix71,mix72,mix73,mix74,mix75,mix76,mix77,mix78,mix79,mix80,mix81,mix82,mix83,mix84,mix85,mix86,mix87,mix88,mix89,mix90,mix91,mix92,mix93,mix94,mix95,mix96,mix97,mix98,mix99,mix100,mix101,mix102,mix103,mix104,mix105,mix106,mix107,mix108,mix109,mix110,mix111,mix112,mix113,mix114,mix115,mix116,mix117,mix118,mix119,mix120,mix121,mix122,mix123,mix124,mix125,mix126,mix127,mix128,mix129,mix130,mix131,mix132,mix133,mix134,mix135,mix136,mix137,mix138,mix139,mix140,mix141,mix142,mix143,mix144,mix145,mix146,mix147,mix148,mix149,mix150,mix151,mix152,mix153,mix154,mix155,mix156,mix157,mix158,mix159,mix160,mix161,mix162,mix163,mix164,mix165,mix166,mix167,mix168,mix169,mix170,mix171,mix172,mix173,mix174,mix175,mix176,mix177,mix178,mix179,mix180,mix181,mix182,mix183,mix184,mix185,mix186,mix187,mix188,mix189,mix190,mix191,mix192,mix193,mix194,mix195,mix196
neutrophils,0.588235294,0.6328125,0.463350785,0.445555556,0.685585586,0.63003096,0.73651192,0.705787781,0.722689076,0.658848614,0.7453125,0.70212766,0.608087092,0.58974359,0.520900322,0.605729877,0.690303907,0.634651601,0.477810651,0.681102362,0.669166667,0.694444444,0.617475728,0.660024907,0.654761905,0.555331992,0.559498956,0.651202749,0.580717489,0.714285714,0.667136812,0.728241563,0.803962461,0.601522843,0.709511568,0.769166667,0.576086957,0.673603505,0.593451569,0.741273101,0.784545455,0.592517695,0.619893428,0.696090794,0.7,0.794052863,0.559297218,0.718,0.526766595,0.614754098,0.691994573,0.776946108,0.579470199,0.579831933,0.508064516,0.674698795,0.689542484,0.438709677,0.50862069,0.772956609,0.622077922,0.678082192,0.643092105,0.812148481,0.699453552,0.708661417,0.561160151,0.627478754,0.656756757,0.560311284,0.762987013,0.42,0.664444444,0.771186441,0.661795407,0.174904943,0.370143149,0.631090487,0.570032573,0.747761194,0.63960396,0.734888653,0.56442577,0.713717694,0.508843537,0.790669856,0.679671458,0.741967871,0.804347826,0.594755662,0.685452163,0.600638978,0.697885196,0.237916667,0.518072289,0.677165354,0.712606838,0.767605634,0.855693348,0.678947368,0.670229008,0.801745636,0.685214626,0.613636364,0.52848723,0.640791476,0.607751938,0.684313725,0.706521739,0.549210207,0.623126338,0.672535211,0.611650485,0.780188679,0.592727273,0.665322581,0.638376384,0.667525773,0.517884914,0.629268293,0.602917342,0.663907285,0.542801556,0.619277108,0.598275862,0.77619532,0.633769322,0.768089054,0.653521127,0.5302391,0.772005772,0.541471049,0.816153029,0.498091603,0.667058824,0.814302191,0.771306818,0.547235023,0.677419355,0.690737834,0.757377049,0.515828678,0.64516129,0.653726708,0.717026379,0.858333333,0.72195122,0.573913043,0.556719023,0.664220183,0.719081272,0.766927083,0.792191436,0.659701493,0.751393534,0.670761671,0.531755915,0.728813559,0.570687419,0.646118721,0.630558723,0.62716763,0.800761421,0.738938053,0.67032967,0.644230769,0.862,0.656534954,0.69803516,0.649305556,0.66507177,0.573997234,0.725090036,0.846774194,0.668202765,0.746538871,0.650254669,0.81766055,0.625204583,0.759055118,0.611420613,0.789583333,0.706870229,0.546492659,0.570032573,0.621533442,0.733606557,0.651551313,0.835789474,0.588235294,0.752380952,0.590361446,0.551724138,0.708333333,0.546296296,0.620689655,0.672413793
monocytic.lineage,0.099159664,0.074665179,0.147382199,0.048888889,0.107207207,0.06625387,0.085069009,0.088102894,0.069579832,0.082729211,0.075703125,0.063430851,0.111041991,0.09321267,0.067684887,0.045566166,0.098263386,0.090207156,0.132840237,0.088188976,0.1275,0.12037037,0.148932039,0.081070984,0.105714286,0.17444668,0.148016701,0.116666667,0.103363229,0.106385281,0.095486601,0.094316163,0.073201251,0.095304569,0.070308483,0.079666667,0.085869565,0.07645126,0.081446112,0.099589322,0.062272727,0.11223458,0.108170515,0.096595208,0.095050505,0.05969163,0.099414348,0.0805,0.086509636,0.073360656,0.091316147,0.057185629,0.101986755,0.038571429,0.087903226,0.119427711,0.055392157,0.116344086,0.119334975,0.057618567,0.081948052,0.148458904,0.096217105,0.044431946,0.079234973,0.115905512,0.096343001,0.082152975,0.101621622,0.187743191,0.075811688,0.100888889,0.089333333,0.077966102,0.087265136,0.007858048,0.090797546,0.141299304,0.096905537,0.077910448,0.089108911,0.094061506,0.105602241,0.090457256,0.096190476,0.054784689,0.09650924,0.08062249,0.072134387,0.099761621,0.079816514,0.131629393,0.082477341,0.038041667,0.088219545,0.097506562,0.088675214,0.054577465,0.0578354,0.13,0.069465649,0.070698254,0.053259141,0.063068182,0.108840864,0.1304414,0.087906977,0.064411765,0.07173913,0.054434994,0.204496788,0.08028169,0.077864078,0.075188679,0.112,0.096774194,0.093357934,0.096649485,0.092534992,0.060609756,0.120745543,0.104304636,0.092801556,0.112771084,0.082931034,0.083316378,0.090368609,0.096289425,0.058028169,0.100562588,0.102308802,0.080125196,0.098405951,0.096183206,0.123529412,0.058477509,0.105397727,0.094009217,0.103225806,0.078021978,0.080983607,0.107821229,0.093701997,0.13742236,0.076978417,0.060333333,0.123577236,0.087391304,0.07609075,0.08293578,0.082862191,0.107942708,0.064483627,0.138507463,0.087736901,0.078746929,0.083935243,0.095338983,0.108041505,0.109360731,0.109350057,0.074566474,0.075253807,0.072123894,0.08010989,0.079206731,0.0394,0.105319149,0.082006205,0.093402778,0.065869219,0.093914246,0.079711885,0.063951613,0.141474654,0.057401491,0.08098472,0.076146789,0.081505728,0.080629921,0.064763231,0.105625,0.110687023,0.094453507,0.087839305,0.133115824,0.055327869,0.085202864,0.057368421,0.073529412,0.076190476,0.084337349,0.068965517,0.083333333,0.083333333,0.103448276,0.086206897
