Symbol,CD4.T.cells,CD8.T.cells,monocytic.lineage,neutrophils,B.cells,NK.cells
A1BG,100.3,123.0,91.1,21.9,92.9,57.6
A1BG-AS1,40.6,31.8,14.4,4.1,41.4,12.5
A1CF,1.4,1.6,1.9,9.9,0.2,4.2
A2M,10.7,0.9,16.1,18.0,14.1,5.5
A2M-AS1,216.6,304.9,35.0,15.4,7.4,371.0
A2ML1,0.7,1.5,10.1,2.5,2.2,0.7
A2MP1,13.5,2.4,2.1,9.6,8.4,23.3
A4GALT,2.2,13.6,2.5,7.4,2.5,18.9
A4GNT,10.8,10.3,22.5,30.4,33.2,20.8
AA06,5.1,16.0,13.9,1.6,15.3,14.6
AAAS,40.8,43.8,15.9,28.6,74.1,45.7
AACS,149.4,210.6,164.4,70.5,243.2,261.6
AACSP1,8.5,5.4,8.2,2.0,11.5,6.7
AADAC,3.6,2.3,1.3,2.4,2.5,1.5
AADACL2,1.1,6.6,3.8,0.6,6.3,6.8
AADACP1,0.9,13.1,0.3,6.1,0.3,7.9
AADAT,4.7,14.4,7.5,10.0,7.3,2.4
AAED1,304.4,364.0,460.7,30.2,438.5,262.7
AAGAB,31.1,21.9,2.2,1.3,28.5,26.1
AAK1,16.0,3.3,1.0,1.1,1.1,4.7
AAMDC,28.4,25.9,23.4,7.1,29.0,24.6
AAMP,309.2,247.2,698.7,121.8,300.0,292.7
AANAT,2.3,1.5,2.9,3.6,11.0,10.8
AAR2,197.0,177.5,230.0,74.2,146.1,191.1
AARS,340.3,265.7,181.3,50.1,644.4,265.4
AARS2,57.7,58.3,43.1,16.1,52.7,86.9
AARSD1,158.4,152.6,84.5,17.0,148.1,137.6
AASDH,150.1,159.2,127.2,48.9,204.6,141.1
AASDHPPT,1.1,2.2,1.5,3.6,14.0,6.1
AASS,24.9,27.5,1.4,0.8,25.5,9.0
AATF,457.5,478.5,468.8,495.9,416.9,390.2
AATK,13.2,26.0,92.4,580.0,10.1,63.9
AB074162,2.8,19.2,0.7,3.7,15.9,177.5
AB488780,122.5,73.0,21.5,4.0,84.4,54.8
ABAT,16.7,14.4,40.6,49.0,5.5,8.0
ABCA1,2.4,0.9,1.9,21.6,3.2,1.2
ABCA11P,112.7,77.9,13.7,26.5,109.9,86.5
ABCA12,0.4,0.5,3.5,8.4,0.5,0.6
ABCA13,4.4,0.7,4.9,3.1,0.3,0.7
ABCA17P,52.1,35.1,4.4,13.2,24.2,46.2
ABCA2,2.4,1.3,2.4,1.7,1.9,2.4
ABCA3,34.6,54.1,15.6,5.7,7.0,54.2
ABCA4,1.1,0.7,0.4,1.2,1.1,1.0
ABCA5,11.2,28.7,2.6,7.7,7.8,19.8
ABCA6,1.8,4.8,34.3,10.9,1.8,23.7
ABCA7,282.0,230.1,201.3,1184.1,326.1,263.0
ABCA8,0.8,2.1,1.0,1.2,1.4,1.0
ABCA9,1.4,0.7,1.9,1.2,2.1,1.9
ABCB1,58.0,287.6,2.1,13.3,33.8,458.4
ABCB10,670.3,630.0,659.0,144.3,540.0,695.8
ABCB11,0.5,6.4,4.8,2.1,0.7,0.8
ABCB4,0.4,3.1,1.5,4.3,169.8,3.5
ABCB5,1.4,0.6,0.3,0.3,0.2,1.9
ABCB6,3.7,2.5,5.1,3.1,33.0,12.6
ABCB7,556.0,469.9,539.7,44.0,592.1,310.9
ABCB8,12.1,2.8,4.7,12.4,2.5,4.4
ABCB9,2.4,17.2,1.2,15.1,45.5,4.1
ABCC1,101.9,61.6,80.4,48.7,94.7,40.4
ABCC10,141.8,110.0,54.7,56.5,93.2,159.6
ABCC11,0.8,0.7,1.3,1.3,1.7,1.6
ABCC12,0.6,1.0,1.3,0.9,1.1,0.6
ABCC13,0.9,0.5,3.6,2.6,2.2,1.0
ABCC2,3.5,1.6,3.9,57.4,32.5,7.1
ABCC3,0.8,2.0,22.9,3.7,2.1,1.0
ABCC4,1.4,2.3,9.5,3.5,0.7,0.6
ABCC5,14.8,17.1,2.7,1.1,1.3,18.5
ABCC6,1.4,1.2,1.1,1.2,3.7,1.4
ABCC6P1,1.7,13.4,7.3,6.9,12.8,6.5
ABCC6P2,3.5,15.9,148.8,23.1,12.8,6.5
ABCC8,1.4,1.9,1.5,1.3,1.9,2.1
ABCC9,0.7,0.9,0.6,0.8,0.4,1.0
ABCD1,24.9,54.2,46.6,33.4,43.1,47.6
ABCD1P2,2.9,16.7,9.8,3.3,3.5,16.6
ABCD2,81.1,51.9,7.3,0.6,13.1,6.5
ABCD3,87.3,114.8,51.3,20.5,84.8,170.7
ABCD4,19.4,26.8,11.5,2.7,18.7,24.3
ABCE1,378.6,407.3,311.1,20.8,320.7,222.6
ABCF1,436.4,447.2,316.8,200.0,368.1,444.0
ABCF2,24.9,14.9,8.6,2.0,1.7,3.9
ABCF3,147.1,127.2,94.8,78.9,128.4,116.7
ABCG1,57.6,55.2,21.3,152.2,52.0,42.2
ABCG2,17.9,22.7,11.1,2.2,13.2,1.2
ABCG4,13.0,31.7,19.0,20.9,28.3,23.9
ABCG5,1.1,1.0,2.3,0.5,0.6,0.6
ABCG8,1.0,2.7,2.7,6.6,8.7,6.9
ABHD1,3.0,13.5,4.9,2.4,18.8,15.3
ABHD10,198.5,163.1,230.7,48.3,234.8,140.6
ABHD11,5.2,16.0,33.7,21.9,23.5,11.2
ABHD12,38.4,48.4,21.9,1.2,14.5,28.9
ABHD12B,0.5,0.4,0.4,1.4,1.7,0.2
ABHD13,206.8,140.9,231.0,254.7,87.5,153.8
ABHD14A,263.7,327.2,81.2,18.8,208.6,250.0
ABHD14A-ACY1,40.6,73.1,80.4,10.2,100.5,105.5
ABHD14B,439.0,395.3,184.8,7.5,376.0,214.7
ABHD15,187.2,260.5,117.4,22.7,181.2,417.6
ABHD16A,4.8,18.3,3.1,35.6,4.4,7.8
ABHD16B,1.3,2.5,1.1,1.4,1.9,1.1
ABHD17A,2059.7,3481.7,895.4,871.2,1031.7,5383.5
ABHD17B,13.2,13.9,12.5,7.2,22.7,4.9
ABHD17C,63.8,112.8,28.6,89.6,52.7,93.3
ABHD2,19.8,11.3,28.2,118.6,6.1,66.3
ABHD3,2240.8,2076.2,2311.6,7363.7,1206.0,1841.8
ABHD4,40.3,40.0,49.4,135.4,42.3,49.1
ABHD5,7.5,25.9,35.9,186.3,13.2,8.3
ABHD6,1.2,16.3,1.4,1.7,4.1,1.7
ABHD8,27.3,21.4,10.2,17.8,14.9,2.3
ABI1,0.3,0.4,0.4,2.4,0.4,5.6
ABI2,3.2,12.2,0.3,1.3,8.1,3.5
ABI3,64.5,169.1,294.7,46.6,40.3,308.3
ABI3BP,2.0,5.8,0.3,0.8,6.4,0.8
ABL1,146.6,197.2,178.8,64.3,136.6,224.0
ABL2,28.8,16.4,17.0,26.5,10.8,16.5
ABLIM1,971.1,285.1,2.7,30.5,114.3,149.1
ABLIM2,2.8,2.7,2.2,1.6,2.1,5.1
ABLIM3,0.8,2.2,4.5,7.6,28.0,1.4
ABO,3.6,2.4,2.2,6.3,1.7,1.0
ABR,44.2,37.5,58.6,62.5,23.1,41.9
ABRA,0.3,0.3,0.6,2.0,1.4,0.7
ABRACL,3048.9,2506.1,2306.8,605.2,1364.1,2588.1
ABT1,243.2,277.0,195.3,143.4,240.8,260.7
ABTB1,1.0,1.3,1.0,8.3,1.3,2.6
ABTB2,1.1,1.9,1.0,1.4,1.2,2.0
AC000111.3,7.2,15.7,6.8,5.4,1.9,0.2
AC002059.10,15.6,15.0,9.3,0.7,34.6,21.2
AC002064.5,5.0,1.5,8.2,9.9,9.9,8.5
AC002310.12,95.5,76.2,37.6,36.2,63.7,60.3
AC002310.7,19.5,7.2,23.4,15.2,25.7,26.4
AC003973.4,3.7,2.7,3.9,19.0,8.3,10.4
AC003986.5,4.2,17.0,17.9,25.4,24.0,4.4
AC003989.4,2.3,19.0,6.0,4.7,3.2,22.8
AC004158.3,1.7,7.3,0.6,0.6,7.5,0.4
AC004490.1,0.9,1.1,1.5,1.8,1.8,1.1
AC004538.3,2.6,10.7,1.6,1.5,14.0,3.7
AC004692.5,331.7,325.5,159.1,36.1,293.8,179.5
AC004941.5,446.0,323.8,242.0,883.3,238.9,282.4
AC004951.6,634.0,426.6,187.0,277.7,469.7,350.1
AC005162.4,3.3,1.4,4.0,2.8,11.1,2.8
AC005224.2,25.8,25.2,13.1,5.7,33.4,28.4
AC005256.1,1.7,3.8,1.3,2.0,12.6,4.5
AC005306.3,100.7,91.7,29.4,213.5,90.2,48.9
AC005498.3,18.7,11.0,7.8,17.7,14.8,5.3
AC005523.2,54.4,57.9,64.5,39.5,51.7,47.1
AC005523.3,0.9,5.2,3.4,2.6,3.5,3.5
AC005537.2,2.5,1.4,4.7,4.1,1.4,0.5
AC005592.3,5.2,15.2,1.0,1.2,1.5,0.9
AC005606.14,9.6,15.0,27.1,5.2,3.4,17.3
AC005754.7,0.8,2.0,1.4,8.6,9.1,1.5
AC005785.2,15.0,18.5,14.7,11.3,22.2,15.3
AC005838.2,1.7,1.2,7.0,3.9,1.3,2.5
AC006026.13,37.7,32.1,25.1,1.3,23.2,24.8
AC006129.2,219.5,96.7,0.5,3.0,89.5,50.6
AC006538.1,20.9,25.1,15.2,13.0,18.6,20.0
AC007228.11,33.0,29.9,21.3,30.8,15.3,6.2
AC007255.8,2.6,42.3,31.5,18.8,12.4,40.8
AC007292.3,26.5,23.9,12.3,59.2,29.5,23.9
AC007349.5,7.1,25.3,0.8,0.7,9.2,44.1
AC007362.3,3.4,1.9,2.9,3.3,1.5,0.9
AC007364.1,1.2,17.2,7.4,16.3,6.4,9.2
AC007365.3,23.8,25.6,7.6,44.2,31.1,42.5
AC007389.3,18.7,39.4,5.7,9.5,25.6,22.8
AC007401.2,44.0,50.5,34.8,46.2,90.2,98.3
AC007557.2,7.4,6.3,10.9,5.4,11.9,9.7
AC007680.2,2.7,2.0,1.1,21.5,1.4,2.8
AC007787.2,1.2,1.1,1.9,5.8,1.3,2.7
AC007967.3,2.8,20.8,6.1,16.0,6.9,12.6
AC008088.4,14.6,22.5,6.4,8.0,21.3,25.7
AC008746.12,33.4,12.7,2.5,9.2,34.2,30.4
AC008753.4,40.4,22.4,22.8,38.9,46.0,16.6
AC009120.6,138.6,146.7,93.3,91.9,119.4,136.5
AC009133.15,45.2,43.2,27.5,11.4,53.4,49.0
AC009237.8,1.0,18.6,2.4,0.9,13.9,15.7
AC009502.4,17.2,6.8,9.8,30.1,3.2,17.3
AC009947.3,1.1,2.9,1.7,20.5,5.0,1.6
AC010095.5,9.0,2.6,1.4,0.9,2.7,3.0
AC010145.3,20.8,20.7,1.6,49.0,2.3,28.2
AC010145.4,1.1,1.7,1.8,1.8,1.8,1.0
AC010524.4,36.4,35.9,22.8,5.9,44.5,2.1
AC010980.2,23.4,23.5,11.4,5.4,20.7,21.8
AC011997.1,11.7,11.0,6.1,8.0,16.8,9.2
AC012065.7,44.8,8.3,3.1,13.8,242.9,7.0
AC012360.6,2.3,12.5,7.0,13.7,5.7,3.8
AC012499.1,6.2,0.9,0.9,3.2,14.0,4.9
AC012531.25,2.5,14.0,8.4,20.3,1.6,2.1
AC013463.2,11.8,4.9,23.4,12.1,11.6,7.9
AC013733.4,0.3,0.7,0.7,6.0,1.3,0.6
AC016831.7,1.3,12.9,7.2,12.9,15.5,6.3
AC016999.2,20.7,29.3,19.9,8.5,4.9,26.7
AC017002.2,93.8,58.9,29.0,49.4,29.7,24.9
AC017104.6,4.1,4.4,4.3,8.1,37.1,136.3
AC018462.2,47.0,57.9,18.2,85.7,50.3,60.0
AC018755.16,83.3,55.9,90.0,38.5,100.8,62.4
AC018755.17,0.5,1.1,1.2,14.7,0.6,0.5
AC018766.6,6.0,17.3,1.0,1.6,1.5,2.1
AC018816.3,65.9,41.1,21.6,22.5,20.9,59.1
AC024560.2,53.8,37.5,18.9,8.7,23.9,6.2
AC025442.3,7.0,13.8,11.9,8.2,16.3,9.8
AC064852.4,0.8,9.5,6.7,11.4,8.9,12.3
AC067956.1,0.8,0.6,1.0,4.6,1.9,0.7
AC068039.4,74.6,48.7,46.2,4.8,126.6,83.2
AC068138.1,15.6,19.6,21.5,32.0,19.2,16.0
AC068831.3,1.8,1.7,1.6,2.4,4.7,3.4
AC069277.2,1.5,15.6,1.9,0.9,0.7,1.7
AC073283.7,32.3,26.2,25.4,13.2,88.3,7.6
AC073321.4,37.7,20.8,32.6,46.2,21.0,11.4
AC074212.6,1.3,1.7,1.1,1.8,1.4,1.4
AC078842.4,2.4,2.9,9.4,16.2,2.0,1.3
AC078883.3,3.6,5.6,4.8,1.9,2.3,1.0
AC078883.4,3.6,5.6,4.8,1.9,2.3,1.0
AC079305.10,70.7,98.5,120.7,129.8,52.8,132.5
AC079741.2,23.7,15.2,6.2,15.1,16.3,19.1
AC079767.4,10.8,20.3,23.2,36.1,984.4,12.7
AC079807.4,0.4,0.8,2.1,1.9,9.0,0.5
AC083843.1,3.0,2.7,3.5,2.0,5.3,2.6
AC083949.1,96.5,58.7,22.2,64.1,71.9,46.8
AC084219.3,8.8,2.6,3.7,5.4,7.8,14.6
AC087501.1,1.7,1.6,4.6,12.3,7.1,4.6
AC090627.1,1.2,8.8,0.3,9.2,0.6,1.5
AC091133.1,80.0,80.2,40.5,23.2,55.7,53.5
AC091633.3,15.7,20.5,19.2,2.3,21.4,44.7
AC092155.4,1.1,1.5,0.5,0.6,7.5,11.7
AC092192.1,3.9,4.8,6.1,14.1,1.4,7.9
AC092620.2,30.9,37.0,119.8,798.0,241.5,81.9
AC092660.1,4.8,3.9,15.8,2.0,2.5,4.0
AC092667.2,2.1,17.4,9.9,0.9,10.5,17.1
AC099684.1,11.0,6.3,7.4,14.3,3.1,4.1
AC099850.1,49.9,32.9,31.5,11.5,33.9,22.6
AC100830.4,30.7,37.7,10.2,7.6,21.2,30.8
AC104537.2,14.2,4.8,5.2,16.3,9.2,1.8
AC104667.3,2.6,1.8,1.5,3.1,2.8,3.3
AC106801.1,16.4,13.9,24.9,12.0,29.2,16.5
AC108056.1,1.8,7.3,0.7,6.8,2.3,0.5
AC112198.1,2.9,9.2,2.2,9.1,20.4,2.6
AC114730.11,14.6,3.0,1.5,1.5,3.2,9.0
AC114752.3,0.4,5.2,0.6,3.2,0.6,1.3
AC124997.1,4.9,3.1,6.5,10.9,14.0,1.0
AC128677.4,79.5,69.4,13.7,84.0,8513.9,95.8
AC136289.1,2.0,1.4,9.4,1.1,1.0,6.8
AC139100.2,4.9,4.0,3.9,5.6,4.5,5.6
AC139100.3,0.7,21.7,0.9,3.0,1.9,6.1
AC141928.1,12.0,1.4,2.0,2.7,2.3,1.5
AC144652.1,73.4,82.8,24.0,18.8,60.3,125.4
AC145343.2,10.2,2.0,2.1,0.9,2.1,16.2
ACAA1,226.1,193.5,416.7,648.8,212.5,220.6
ACAA2,32.0,12.2,14.7,3.7,3.8,21.4
ACACA,27.5,7.7,31.2,16.8,43.3,40.4
ACACB,11.4,2.2,2.4,0.7,4.1,1.1
ACAD10,25.7,15.1,4.3,11.3,22.2,29.0
ACAD11,218.5,283.0,107.5,20.4,174.1,174.2
ACAD8,346.3,411.6,215.4,196.4,329.1,378.2
ACAD9,160.7,171.4,192.6,45.1,190.2,172.7
ACADL,0.9,3.1,2.3,1.1,0.7,0.6
ACADM,1024.5,1145.1,859.2,103.5,1498.8,965.8
ACADS,60.0,69.4,62.0,42.0,60.4,72.1
ACADSB,59.4,166.0,39.8,28.1,77.3,108.7
ACADVL,396.2,502.6,851.9,481.7,666.6,493.1
ACAN,1.3,7.9,3.1,24.0,2.4,1.7
ACAP1,1.7,29.0,20.7,18.2,32.4,13.2
ACAP2,34.7,11.0,31.0,25.8,15.6,13.4
ACAP3,27.5,54.3,49.9,23.2,38.4,26.5
ACAT1,1.9,2.2,2.8,1.2,7.8,3.1
ACAT2,389.9,300.8,186.6,98.5,314.0,357.2
ACBD3,209.4,113.7,146.5,94.8,396.4,152.0
ACBD4,74.8,67.2,27.8,6.7,65.8,62.7
ACBD5,101.1,123.0,146.5,78.9,58.1,106.6
ACBD6,273.9,276.7,248.2,39.0,272.2,231.6
ACCS,179.9,122.3,250.6,45.5,98.9,90.6
ACD,201.7,214.4,103.9,144.3,184.8,217.6
ACE,2.2,8.3,1.6,2.0,5.8,0.9
ACE2,0.3,0.9,1.9,1.9,8.7,2.1
ACER1,2.0,15.9,23.9,32.0,3.6,4.9
ACER3,6.8,3.8,27.5,2.6,2.2,8.7
ACHE,2.0,2.2,2.0,1.4,2.9,4.8
ACIN1,327.0,247.3,188.0,281.7,409.8,229.7
ACKR1,0.5,1.7,1.1,0.8,2.2,1.5
ACKR2,1.9,3.1,1.3,1.4,3.3,1.4
ACKR3,0.7,2.9,0.7,2.2,1.9,11.3
ACKR4,3.8,2.5,1.8,8.3,15.6,0.3
ACLY,129.3,166.3,182.6,148.7,131.1,113.8
ACMSD,8.5,5.4,1.1,1.0,11.5,8.3
ACN9,235.6,299.2,90.2,84.7,230.4,198.3
ACO1,19.2,30.3,6.4,9.9,16.7,19.0
ACO2,5.8,25.0,26.9,21.0,11.3,36.0
ACOT1,130.7,115.3,56.2,12.0,109.7,194.5
ACOT11,0.7,1.4,0.9,1.1,1.1,1.2
ACOT12,8.5,7.7,2.0,13.4,2.4,6.8
ACOT13,209.7,185.2,211.7,319.5,306.7,207.9
ACOT2,130.7,115.3,56.2,12.0,109.7,194.5
ACOT4,48.8,66.3,3.4,3.3,18.5,87.9
ACOT6,0.8,3.2,1.3,2.8,6.1,3.1
ACOT7,30.8,32.4,6.3,2.3,9.2,59.6
ACOT8,49.6,68.4,49.8,31.8,46.7,45.0
ACOT9,264.5,236.1,733.6,750.9,248.3,316.5
ACOX1,1.9,2.8,2.2,1.3,0.8,3.4
ACOX2,4.0,32.3,41.7,19.2,28.8,1.8
ACOX3,37.9,53.0,65.8,22.8,28.8,36.5
ACOXL,1.0,1.2,1.5,9.1,13.2,0.9
ACP1,44.8,17.8,19.3,5.3,33.3,11.2
ACP2,110.9,83.5,211.9,41.8,102.0,90.9
ACP5,198.7,109.9,210.6,76.6,1107.9,90.7
ACP6,38.4,43.0,6.7,35.9,31.9,27.1
ACPP,1.2,1.7,36.9,45.1,1.3,1.9
ACPT,33.3,38.8,39.2,42.2,34.8,3.0
ACR,2.0,15.8,1.7,4.6,20.8,7.6
ACRBP,1.9,1.4,2.1,2.3,1.5,1.4
ACRC,239.2,212.4,109.4,237.1,200.7,265.8
ACRV1,0.8,8.4,1.3,1.8,1.5,0.8
ACSBG1,1.1,6.2,5.7,9.5,7.0,5.4
ACSBG2,2.4,4.6,2.4,0.9,13.7,10.6
ACSF2,59.1,72.7,97.2,62.1,307.0,73.2
ACSF3,20.6,10.0,10.1,4.0,32.8,32.7
ACSL1,47.6,77.9,1080.2,8262.8,72.4,50.6
ACSL3,172.4,162.7,199.3,159.4,127.8,199.1
ACSL4,64.6,45.5,58.2,210.7,53.0,47.8
ACSL5,437.0,596.0,422.0,123.6,429.1,357.4
ACSL6,19.1,20.0,1.1,1.7,0.3,2.2
ACSM1,1.3,0.6,1.4,2.9,1.9,0.8
ACSM2A,0.3,0.8,0.6,0.4,2.3,0.4
ACSM2B,1.4,1.3,3.0,6.8,3.1,0.8
ACSM3,39.5,28.8,4.6,9.7,11.0,15.5
ACSM5,8.6,8.9,2.8,3.7,5.3,1.3
ACSS1,0.8,1.1,1.0,1.7,2.4,0.9
ACSS2,73.4,29.3,238.7,240.2,25.8,10.3
ACSS3,0.8,1.4,0.4,22.1,2.6,4.6
ACTA1,11.2,15.6,15.8,21.3,22.7,3.8
ACTA2,2.6,2.3,0.4,2.0,1.8,6.1
ACTA2-AS1,9.3,18.2,10.4,3.3,3.5,1.4
ACTB,7179.6,4426.8,7490.9,8904.8,4377.0,6036.8
ACTBP9,229.1,168.3,236.5,377.8,182.6,108.3
ACTC1,8.4,45.3,34.8,34.5,9.4,23.0
ACTG1,10116.0,9998.1,10504.1,10197.8,9745.6,10300.3
ACTG1P4,445.3,360.4,129.8,277.4,218.0,288.7
ACTG2,1.3,4.5,1.6,2.3,1.5,1.0
ACTL10,53.3,33.4,22.2,29.8,72.1,51.8
ACTL6A,459.2,468.8,418.4,78.8,483.9,416.6
ACTL6B,1.5,0.9,1.2,0.8,1.0,1.6
ACTL7A,1.3,4.4,2.2,22.2,8.5,6.1
ACTL7B,5.3,1.2,1.6,1.3,1.3,1.1
ACTL8,2.1,2.1,3.2,8.6,2.4,16.5
ACTL9,1.5,5.8,0.5,18.5,4.2,1.8
ACTN1,5.5,33.2,4.4,7.7,3.2,4.0
ACTN2,0.5,1.2,0.7,0.6,0.9,1.0
ACTN3,29.0,8.6,13.5,47.8,2.9,2.5
ACTN4,219.6,300.3,221.4,722.4,168.4,508.0
ACTR10,1165.6,1417.1,1315.9,1244.1,917.1,1294.0
ACTR1A,145.9,224.6,220.3,298.5,127.6,216.0
ACTR1B,460.3,406.7,361.5,164.3,385.3,428.3
ACTR2,2.4,1.6,6.5,17.4,1.0,8.5
ACTR3,84.2,74.7,123.7,127.9,63.2,77.0
ACTR3B,64.1,35.7,25.6,23.8,46.0,30.1
ACTR3BP2,1.9,1.5,0.5,2.2,1.0,0.7
ACTR3BP5,1.9,1.5,0.5,2.2,1.0,0.7
ACTR3C,38.4,29.8,8.1,14.3,64.6,22.8
ACTR3P2,5.4,18.8,13.8,23.2,9.8,4.6
ACTR5,109.7,102.7,34.8,23.9,107.6,79.4
ACTR6,32.3,34.7,19.5,4.0,13.0,5.7
ACTR8,93.3,79.4,65.3,41.4,63.2,94.6
ACTRT2,6.2,6.7,6.1,6.4,2.2,20.2
ACTRT3,5.1,8.1,2.4,1.2,2.3,3.4
ACVR1,694.1,250.2,468.4,143.0,258.5,113.2
ACVR1B,3.8,1.3,2.5,3.5,1.5,9.3
ACVR1C,161.4,40.2,10.4,10.1,13.0,1.0
ACVR2A,129.1,85.1,119.5,12.3,32.2,123.8
ACVR2B,7.7,14.3,3.0,2.2,17.2,1.6
ACVR2B-AS1,14.8,21.9,17.1,11.1,20.7,15.0
ACVRL1,2.1,2.8,1.4,1.1,1.1,1.0
ACY1,1.5,1.1,1.3,1.3,1.2,2.9
ACY3,3.7,5.6,14.9,2.8,27.8,15.5
ACYP1,423.1,299.1,102.5,19.2,414.2,431.0
ACYP2,213.4,191.9,217.3,51.2,229.2,185.7
ADA,263.5,298.5,128.9,40.1,189.8,394.7
ADAD1,13.4,13.3,9.8,3.4,9.6,3.0
ADAD2,6.3,9.5,19.9,17.2,24.2,12.6
ADAL,37.6,30.8,34.1,4.1,35.6,33.4
ADAM10,141.8,119.2,232.9,391.2,107.2,175.9
ADAM11,1.7,2.7,1.8,3.6,3.1,2.0
ADAM12,9.6,7.4,6.8,1.9,1.4,2.8
ADAM15,7.5,29.8,36.0,5.9,33.9,8.5
ADAM17,54.3,62.3,139.1,143.9,120.3,71.6
ADAM18,0.5,0.4,3.0,2.3,0.3,1.3
ADAM19,15.1,20.0,12.2,4.4,33.7,1.7
ADAM1A,243.3,201.5,110.5,37.9,239.5,232.4
ADAM2,1.4,1.4,3.2,1.3,25.8,4.7
ADAM20,11.2,7.4,3.9,4.3,2.5,2.6
ADAM21,5.9,1.6,5.5,0.6,7.2,8.5
ADAM22,1.0,1.4,1.1,0.6,2.2,2.1
ADAM23,16.7,0.5,0.9,0.9,1.1,0.7
ADAM28,0.8,7.9,3.3,8.9,22.8,2.6
ADAM29,2.1,23.3,1.8,11.4,3.7,6.0
ADAM30,1.2,3.4,0.2,3.2,0.8,4.4
ADAM32,4.3,2.5,0.2,0.8,5.4,0.5
ADAM33,11.9,4.3,1.6,14.2,3.3,6.5
ADAM3A,1.1,1.5,4.1,1.5,2.7,0.7
ADAM3B,0.4,2.0,1.8,2.3,0.6,16.8
ADAM5,2.0,12.5,11.9,16.2,3.8,7.2
ADAM6,14.0,15.0,0.6,9.9,18.9,8.4
ADAM7,0.6,0.6,0.9,0.5,1.1,1.0
ADAM8,15.3,23.4,31.5,72.6,2.8,18.6
ADAM9,0.6,0.9,19.7,6.8,2.3,2.3
ADAMDEC1,5.7,5.7,102.0,22.9,59.6,16.3
ADAMTS1,10.3,1.4,0.9,2.4,0.9,51.9
ADAMTS10,8.9,18.2,4.9,2.0,3.0,14.7
ADAMTS12,16.6,1.0,2.2,15.5,13.9,5.7
ADAMTS13,4.5,28.7,1.8,5.7,29.3,17.7
ADAMTS14,12.4,15.2,17.6,1.3,2.5,41.3
ADAMTS15,6.9,1.9,1.0,6.6,2.8,6.6
ADAMTS16,11.1,15.0,27.9,6.9,10.0,13.4
ADAMTS17,4.4,17.0,1.5,3.3,3.4,8.8
ADAMTS18,0.8,11.7,5.9,2.8,3.3,2.7
ADAMTS19,0.8,7.6,0.8,1.2,4.6,7.4
ADAMTS2,2.0,0.7,3.0,1.9,0.8,2.1
ADAMTS20,1.3,0.4,1.3,3.5,0.8,2.2
ADAMTS3,4.6,1.1,6.8,5.9,6.5,9.4
ADAMTS4,4.0,4.0,24.2,33.6,29.1,6.3
ADAMTS5,1.0,0.3,15.5,1.0,1.3,0.7
ADAMTS6,6.6,6.6,1.6,1.4,3.3,1.1
ADAMTS7,1.3,2.8,2.1,14.0,2.7,3.4
ADAMTS8,3.3,6.4,3.4,4.2,1.9,1.2
ADAMTS9,0.5,0.9,3.8,1.8,1.3,0.8
ADAMTS9-AS2,1.3,1.7,0.3,4.3,0.5,2.0
ADAMTSL1,1.5,0.6,1.4,1.2,0.5,1.9
ADAMTSL2,1.6,1.2,2.5,2.7,1.7,0.9
ADAMTSL3,3.2,3.7,7.3,5.3,4.1,2.6
ADAMTSL4,14.9,6.0,51.4,45.3,2.7,5.0
ADAMTSL5,7.4,11.7,24.6,3.2,10.8,3.0
ADAP1,39.1,36.9,201.0,94.5,6.7,72.1
ADAP2,1.7,1.6,316.2,4.9,8.5,1.8
ADAR,1724.7,1655.1,1467.0,4824.4,1567.6,1510.4
ADARB1,2.6,3.0,1.3,1.2,2.6,1.4
ADARB2,1.4,4.0,2.3,4.8,2.9,1.0
ADARB2-AS1,8.5,8.8,18.7,28.1,8.5,16.6
ADAT1,333.9,298.8,187.4,252.2,304.6,331.0
ADAT2,92.5,59.0,15.1,15.3,70.9,58.6
ADAT3,10.6,28.9,24.3,23.7,31.7,28.4
ADCK1,42.0,83.1,70.2,2.0,98.6,64.8
ADCK2,9.9,24.1,7.8,3.3,8.0,27.2
ADCK3,25.9,12.2,15.5,12.0,5.4,4.1
ADCK4,31.2,26.1,24.5,46.4,2.9,25.6
ADCK5,22.7,32.0,34.6,17.4,34.2,31.0
ADCY1,0.7,2.1,1.4,1.6,1.3,1.3
ADCY10,3.7,2.4,2.3,12.6,2.4,8.9
ADCY10P1,27.5,30.8,15.3,52.0,11.7,3.8
ADCY2,0.8,0.8,1.0,1.7,0.8,2.9
ADCY3,101.5,66.3,27.2,7.1,94.3,34.3
ADCY4,2.6,18.3,4.5,92.2,1.6,4.8
ADCY5,1.4,3.7,1.4,3.8,2.7,3.6
ADCY6,19.0,21.4,26.9,29.8,7.6,45.5
ADCY7,16.9,15.1,31.8,12.0,30.7,68.3
ADCY8,0.6,5.0,14.7,1.4,1.7,3.4
ADCY9,10.6,14.7,30.7,0.7,4.8,27.4
ADCYAP1,0.9,0.4,1.2,1.5,0.7,1.4
ADCYAP1R1,1.4,12.0,4.4,12.6,3.1,9.4
ADD1,52.2,14.1,3.0,6.4,61.6,39.7
ADD2,2.6,3.7,7.1,4.6,38.3,3.7
ADD3,4508.9,3535.8,1511.8,2435.7,3346.8,2947.7
ADD3-AS1,2.6,5.4,1.5,7.0,3.0,0.8
ADGB,1.1,5.1,2.8,1.8,19.3,6.1
