Symbol,CD4.T.cells,CD8.T.cells,monocytic.lineage,neutrophils,B.cells,NK.cells
RPL38,1108.4,1016.4,960.8,397.2,697.7,1132.8
RPL39,16096.9,16006.1,12476.6,4115.1,19154.8,13534.5
RPL39L,28.2,69.3,34.8,6.6,71.0,40.4
RPL3L,11.3,22.6,7.0,4.8,0.9,1.1
RPL4,11341.9,11327.7,7212.4,1030.3,11510.2,6517.9
RPL41,15276.7,17054.5,13247.6,9351.5,18526.5,14183.3
RPL5,12.4,21.6,5.5,5.2,11.3,7.7
RPL6,12790.6,11998.8,10544.8,2136.7,13744.0,10400.2
RPL7,41.9,16.1,29.8,23.5,42.3,48.9
RPL7A,11121.9,12367.1,7805.9,1408.5,13373.1,8405.5
RPL7AL2,103.4,172.4,97.5,39.3,92.3,57.3
RPL7AP10,386.5,404.1,216.9,36.3,354.4,226.6
RPL7AP71,40.6,62.3,43.0,5.8,22.9,29.7
RPL7L1,1123.9,1250.1,1581.2,210.0,1031.3,1315.8
RPL7P25,4.8,4.2,0.9,0.6,14.7,0.8
RPL7P27,21.4,17.6,9.6,11.9,12.8,24.2
RPL7P52,3745.0,3280.1,2164.6,518.1,3155.3,2071.6
RPL8,10158.5,10746.2,7646.5,1149.5,13282.0,6132.7
RPL9,15776.9,16313.0,11956.6,3660.6,17968.6,12925.9
RPLP0,8032.4,7831.8,5377.0,358.8,11722.1,5125.1
RPLP0P1,57.8,69.4,33.4,9.1,49.3,42.2
RPLP1,1.6,3.5,1.3,2.1,1.2,1.6
RPLP2,15.8,45.3,19.8,3.1,25.5,27.2
RPLP2P1,43.4,149.6,46.2,28.9,64.9,72.5
RPN1,782.7,1062.9,1202.1,1186.9,1337.8,757.1
RPN2,1428.8,1181.2,1472.8,321.5,2334.4,1342.8
RPP14,52.0,53.8,40.1,2.3,29.4,59.6
RPP21,398.2,294.8,278.6,65.8,292.7,319.6
RPP25,5.7,22.6,29.8,4.6,41.5,3.9
RPP25L,423.7,370.5,465.4,228.9,421.0,350.3
RPP30,40.7,50.0,11.7,0.4,60.1,44.9
RPP38,223.7,255.7,238.1,84.1,230.0,165.0
RPP40,186.4,174.6,160.8,8.4,178.8,85.0
RPPH1,31.8,24.0,363.1,46.7,36.8,29.9
RPRD1A,42.2,21.4,40.7,50.6,37.7,28.8
RPRD1B,5.2,15.0,37.0,24.8,20.6,20.9
RPRD2,242.4,166.8,122.2,43.1,194.5,170.5
RPRM,24.0,6.1,2.0,22.1,16.7,1.8
RPRML,20.9,2.8,3.1,3.8,1.9,1.2
RPS10,414.1,679.1,479.6,209.1,298.6,700.1
RPS10-NUDT3,169.2,166.8,347.4,176.1,168.5,182.5
RPS10L,5051.0,3912.5,1983.1,303.1,4460.4,2208.8
RPS10P2,251.1,271.9,108.8,23.3,220.4,112.6
RPS10P7,64.8,48.8,12.6,4.5,48.7,21.7
RPS11,265.4,347.3,306.3,541.4,139.5,333.6
RPS11P1,38.4,49.9,48.5,12.8,28.3,26.9
RPS11P6,44.7,59.7,37.2,2.0,44.9,37.1
RPS12,17017.5,15821.6,10701.6,1608.0,18723.1,12876.3
RPS13,16965.0,15288.1,13385.6,2220.4,19227.6,11460.7
RPS14,1.7,1.3,1.5,2.8,1.5,4.6
RPS15,38.6,41.3,25.8,33.4,37.8,68.9
RPS15A,84.7,73.8,23.8,22.6,57.9,89.1
RPS16,105.4,125.9,83.2,39.0,181.5,94.0
RPS16P5,240.5,239.6,77.6,744.5,515.8,229.3
RPS17,10966.4,11460.0,6841.7,1216.4,12821.6,8935.2
RPS17P5,1562.3,1272.6,659.6,110.5,978.6,758.7
RPS18,13760.0,14721.6,11171.6,2183.3,16259.9,12251.6
RPS19,58.5,29.7,39.4,43.6,56.0,37.3
RPS19BP1,433.0,465.0,479.3,476.7,521.5,591.6
RPS2,3153.6,2122.8,1237.9,234.7,1940.8,1545.4
RPS20,49.5,44.0,17.9,8.7,35.9,41.5
RPS21,888.3,711.7,301.6,17.4,680.8,443.3
RPS23,313.5,168.1,86.9,23.4,93.2,103.4
RPS23P6,30.3,31.4,16.9,32.1,32.2,29.8
RPS24,145.6,115.7,71.1,50.7,191.9,148.8
RPS25,13725.9,13860.8,9815.2,2999.6,15869.3,11471.7
RPS26,4559.6,5448.7,4390.9,1581.7,13898.0,10202.1
RPS26P11,4559.6,5448.7,4390.9,1581.7,13898.0,10202.1
RPS27,151.3,152.8,79.6,248.7,333.7,188.2
RPS27A,21.3,11.7,3.0,13.2,21.3,25.9
RPS27L,104.9,115.0,115.6,12.5,154.7,171.8
RPS28,54.5,47.6,1.9,7.0,45.3,37.7
RPS29,88.2,70.3,43.5,36.2,46.9,77.2
RPS29P28,4.4,1.1,1.8,14.6,8.6,1.4
RPS2P45,51.6,25.8,23.5,1.5,46.9,36.3
RPS3,12441.7,12320.4,5862.6,1273.7,12037.5,9365.0
RPS3A,182.7,105.4,136.2,54.7,177.1,169.7
RPS4X,13733.4,15044.8,10778.9,2041.2,16439.3,13055.1
RPS4XP2,11222.3,10339.7,5775.8,960.2,11562.7,8961.7
RPS4XP3,100.7,256.4,80.0,13.5,123.6,115.7
RPS4XP9,46.0,74.6,35.9,20.1,108.1,73.0
RPS4Y1,7.8,24.5,1.0,1.4,8.2,6.8
RPS5,9409.8,9965.3,4999.1,484.9,12238.7,6511.4
RPS6,1.6,2.1,2.0,5.2,14.2,1.5
RPS6KA1,490.2,616.8,633.6,1915.0,231.6,625.6
RPS6KA2,1.1,2.4,3.0,7.9,2.8,1.6
RPS6KA2-AS1,2.8,13.3,13.6,3.6,14.1,19.2
RPS6KA3,560.7,537.2,366.0,560.7,183.0,452.7
RPS6KA4,1.8,1.5,2.7,5.1,11.6,2.1
RPS6KA5,25.5,9.9,7.6,44.0,9.1,22.6
RPS6KA6,0.4,1.2,1.7,0.3,2.5,0.3
RPS6KB1,139.8,94.6,98.6,109.4,140.7,99.3
RPS6KB2,121.6,85.1,115.1,124.3,112.7,121.8
RPS6KC1,190.3,192.8,502.2,137.2,130.6,224.5
RPS6KL1,19.5,15.5,2.1,15.9,15.4,2.4
RPS7,11761.7,12021.5,7999.4,1790.6,12802.0,9311.9
RPS8,12.6,11.7,1.6,2.0,0.9,1.2
RPS9,5.1,6.9,25.4,31.6,4.4,3.3
RPSA,13694.2,14198.1,6169.1,645.5,13633.8,10034.7
RPSAP19,13694.2,14198.1,6169.1,645.5,13633.8,10034.7
RPSAP58,13694.2,14198.1,6169.1,645.5,13633.8,10034.7
RPSAP9,13694.2,14198.1,6169.1,645.5,13633.8,10034.7
RPTN,1.1,1.1,0.7,2.2,1.6,1.2
RPTOR,56.7,55.1,47.8,24.8,54.7,59.8
RPUSD1,51.5,61.4,38.6,28.9,48.0,65.2
RPUSD2,100.2,118.0,12.9,13.8,132.0,85.7
RPUSD3,28.0,29.8,27.0,16.7,6.9,26.0
RPUSD4,189.9,181.7,148.7,11.0,192.4,181.6
RQCD1,3.0,8.1,8.5,2.7,7.1,1.2
RRAD,1.5,1.0,4.5,2.0,5.2,5.7
RRAGA,962.7,699.7,812.0,703.2,876.6,874.1
RRAGB,58.3,63.4,53.9,22.0,122.8,70.2
RRAGC,12.1,19.4,8.5,25.9,9.6,17.6
RRAGD,108.5,44.7,293.8,711.0,45.4,2.0
RRAS,104.6,89.0,431.7,4.7,72.7,45.0
RRAS2,104.9,366.9,0.4,13.5,330.2,363.7
RRBP1,11.6,16.0,5.4,3.8,21.3,14.5
RREB1,0.6,2.8,6.1,0.9,0.8,0.7
RRH,8.4,7.6,9.1,2.9,2.2,17.3
RRM1,94.0,71.4,24.2,18.4,58.6,26.3
RRM2,72.7,40.5,3.9,19.2,373.2,93.5
RRM2B,192.0,214.6,406.7,1356.5,381.8,261.9
RRN3,119.1,95.6,90.4,16.8,100.3,166.8
RRN3P1,21.8,3.1,2.1,2.3,10.8,26.7
RRN3P2,119.1,95.6,90.4,16.8,100.3,166.8
RRN3P3,11.8,22.1,7.8,2.8,21.9,15.1
RRNAD1,45.6,39.3,65.3,18.7,94.7,44.5
RRP1,82.6,66.3,10.9,40.7,55.5,49.4
RRP12,4.1,9.5,7.4,25.8,2.0,5.2
RRP15,142.2,148.8,45.1,10.3,151.0,72.6
RRP1B,59.0,45.2,42.4,4.5,63.5,67.5
RRP36,128.9,170.7,86.3,37.3,108.5,128.8
RRP7A,45.9,35.0,36.0,4.5,61.5,49.7
RRP7B,6.7,1.5,13.6,11.1,0.5,2.8
RRP8,4.7,14.6,7.8,7.7,4.1,2.8
RRP9,19.0,29.0,19.9,2.2,27.3,34.3
RRS1,542.3,369.8,473.3,58.8,489.8,356.2
RRS1-AS1,14.4,11.0,2.2,1.4,1.2,0.7
RS1,4.5,2.6,2.8,2.6,0.4,1.5
RSAD1,454.8,475.1,248.3,54.1,545.4,440.5
RSAD2,60.4,74.7,154.7,616.4,61.8,84.8
RSBN1,549.9,489.6,174.4,211.2,370.8,462.2
RSBN1L,125.2,156.0,30.1,190.5,71.9,123.4
RSC1A1,6.5,1.1,1.0,2.3,4.5,2.3
RSF1,178.4,143.8,95.4,140.9,87.3,141.0
RSG1,25.5,42.3,15.1,5.2,27.2,48.4
RSL1D1,115.2,109.3,113.6,13.9,93.5,74.4
RSL24D1,2187.9,2277.6,2002.9,436.9,1804.3,1717.0
RSPH1,2.6,9.7,8.5,9.5,15.7,0.9
RSPH10B,1.1,0.7,1.4,1.6,2.8,4.1
RSPH10B2,1.1,0.7,1.4,1.6,2.8,4.1
RSPH3,18.6,22.3,91.3,77.7,23.2,14.2
RSPH4A,8.4,18.9,13.1,0.9,13.2,23.6
RSPH6A,5.5,15.4,11.7,6.1,21.5,15.6
RSPH9,4.6,9.8,6.4,55.2,2.6,1.6
RSPO1,21.9,4.4,3.8,2.7,3.8,1.8
RSPO2,1.7,14.4,5.9,1.9,0.5,4.6
RSPO3,1.3,8.5,5.6,26.4,1.4,0.7
RSPO4,18.8,25.6,9.8,17.4,2.2,3.9
RSPRY1,330.9,286.1,336.6,326.1,310.1,258.6
RSRC1,47.4,29.7,39.9,15.3,21.1,7.6
RSRC2,912.3,716.6,554.9,556.2,610.9,456.9
RSRP1,2326.7,1113.6,660.6,2755.5,1142.1,2217.1
RSU1,1.2,8.8,2.5,3.3,1.9,9.6
RSU1P2,1.3,0.3,0.6,0.4,3.2,1.8
RTBDN,1.3,7.4,2.4,7.6,2.7,2.4
RTCA,129.2,168.5,89.3,73.3,117.2,135.5
RTCB,362.0,433.8,480.5,30.5,485.2,369.0
RTDR1,3.5,13.3,0.7,13.2,2.1,1.4
RTEL1,2.8,5.9,2.2,1.7,3.7,25.1
RTEL1-TNFRSF6B,2.8,5.9,2.2,1.7,3.7,25.1
RTF1,64.5,44.0,50.5,73.2,59.5,51.0
RTFDC1,1.2,4.8,1.3,6.5,5.8,3.3
RTKN,2.2,2.2,1.2,2.6,2.6,5.9
RTKN2,1.2,7.0,0.5,1.0,1.4,0.3
RTN1,4.2,1.5,695.5,87.4,0.9,5.7
RTN2,4.5,20.0,16.7,65.1,21.4,25.1
RTN3,356.2,354.8,2017.2,4268.6,463.0,404.0
RTN4,207.8,130.3,77.4,302.6,190.5,255.3
RTN4IP1,60.7,64.0,74.9,0.7,91.6,39.2
RTN4R,38.9,38.7,9.9,22.8,1.8,20.9
RTN4RL1,11.1,24.7,2.7,5.7,10.8,11.8
RTN4RL2,1.7,1.4,0.5,5.6,2.0,0.8
RTP1,0.9,8.2,5.1,3.2,5.5,1.1
RTP3,1.3,2.3,5.1,4.8,0.7,2.6
RTP4,201.2,262.8,248.6,111.1,88.9,180.7
RTP5,2.7,2.2,2.4,5.3,2.3,1.8
RTTN,4.9,0.9,3.3,4.4,15.6,13.7
RUFY1,2.0,1.5,7.5,3.4,9.6,1.8
RUFY2,13.7,4.0,2.1,1.1,4.6,13.3
RUFY3,34.7,48.0,68.5,4.8,72.3,24.7
RUNDC1,106.0,48.4,112.9,211.3,104.0,70.7
RUNDC3A,2.1,22.0,19.3,14.1,2.0,4.3
RUNDC3B,10.1,28.3,2.1,1.3,9.6,19.2
RUNX1,1.6,0.6,0.6,0.6,0.6,1.0
RUNX1-IT1,166.9,153.2,52.9,121.9,87.0,182.0
RUNX1T1,0.6,1.0,0.3,0.4,0.9,0.6
RUNX2,1.2,1.3,0.9,2.0,0.9,0.9
RUNX3,2.5,8.2,1.3,3.2,3.6,7.5
RUSC1,144.1,149.3,180.2,59.1,104.6,165.0
RUSC1-AS1,62.1,53.0,36.7,20.5,63.0,41.4
RUSC2,2.3,2.1,104.2,3.2,3.4,13.9
RUVBL1,240.5,300.3,121.6,32.4,237.9,149.8
RUVBL2,38.7,21.4,15.9,23.9,48.0,43.3
RWDD1,40.9,41.4,45.0,13.1,39.3,33.4
RWDD2A,29.8,29.1,17.1,3.2,16.2,10.5
RWDD2B,115.8,116.5,102.1,19.5,190.9,174.9
RWDD3,646.0,979.9,933.7,297.3,1152.2,686.8
RWDD4,307.5,351.7,361.8,171.4,357.4,426.3
RXFP1,1.8,2.8,1.1,0.9,0.4,5.9
RXFP2,1.0,5.0,4.0,1.1,1.9,1.1
RXFP3,3.5,1.1,3.7,1.9,3.2,1.1
RXRA,16.2,16.7,280.8,450.2,11.6,26.0
RXRB,25.5,20.0,13.7,25.0,11.0,15.9
RXRG,19.0,35.1,8.3,7.4,19.9,2.7
RYBP,44.0,43.9,28.3,61.2,33.3,40.1
RYK,159.7,112.3,56.9,42.3,91.6,95.3
RYR1,0.8,9.1,19.5,2.0,5.0,12.0
RYR2,1.7,1.8,0.4,1.1,0.5,0.8
RYR3,0.4,2.8,5.7,1.3,13.8,1.3
S100A1,21.5,26.4,3.9,29.3,23.8,3.1
S100A10,145.8,128.8,489.5,36.8,106.1,110.8
S100A11,754.6,472.0,5511.0,12896.3,283.4,484.6
S100A11P1,762.1,436.1,4291.3,10383.1,327.1,235.2
S100A12,1.1,5.4,7512.8,9102.8,35.7,35.5
S100A13,14.3,22.3,18.6,23.6,10.5,19.9
S100A14,9.0,1.9,17.7,13.5,33.8,20.3
S100A16,65.8,46.5,49.7,66.1,46.5,42.3
S100A2,2.6,11.6,2.7,5.9,4.1,1.8
S100A3,1.0,6.6,2.0,24.5,3.1,1.4
S100A4,9996.2,10813.7,13816.4,10854.5,4284.2,8136.7
S100A5,2.9,3.5,5.1,5.5,2.7,4.6
S100A6,2.2,24.3,4.7,27.4,20.3,30.2
S100A7,0.5,0.7,0.5,2.0,0.9,2.0
S100A7A,7.0,0.8,3.5,28.0,7.7,9.1
S100A8,2.7,0.7,204.2,118.2,2.5,53.6
S100A9,10.2,20.7,12626.6,17982.9,169.2,220.2
S100B,0.6,0.5,1.9,9.2,0.6,2.2
S100G,0.8,0.8,7.1,9.0,2.3,20.8
S100P,3.8,19.2,514.0,9764.9,44.5,55.6
S100PBP,180.4,196.5,100.6,171.3,212.3,276.9
S100Z,3.5,0.8,328.3,92.0,50.4,3.1
S1PR1,2410.5,1498.9,13.7,64.4,595.0,586.5
S1PR2,2.0,2.0,2.8,4.5,2.1,1.6
S1PR3,3.4,4.8,24.0,6.5,2.8,8.8
S1PR4,725.4,557.0,244.8,1346.8,583.8,355.9
S1PR5,6.5,45.2,1.0,2.4,1.7,91.7
SAA1,1.4,1.6,1.5,7.0,2.1,1.8
SAA2,1.4,1.6,1.5,7.0,2.1,1.8
SAA2-SAA4,5.1,17.8,1.5,14.4,10.9,2.4
SAA3P,2.7,1.0,9.2,1.4,6.4,0.6
SAA4,15.4,25.9,27.6,22.1,21.9,8.5
SAAL1,192.7,215.1,202.5,43.0,230.0,198.9
SAC3D1,357.0,216.6,303.5,16.0,211.9,193.9
SACM1L,1727.2,2430.5,1448.4,1148.6,1129.0,3507.8
SACS,643.8,670.2,121.1,56.6,471.8,522.7
SACS-AS1,1.0,1.2,4.5,4.2,1.2,0.6
SAE1,36.4,4.6,12.3,9.5,28.0,16.5
SAFB,88.0,80.7,69.0,82.4,56.6,83.4
SAFB2,53.0,60.4,30.2,31.2,60.1,49.8
SAG,18.6,15.5,10.4,6.4,16.6,7.4
SAGE1,0.6,6.4,0.8,3.3,2.9,2.1
SALL1,0.2,0.7,0.8,3.0,0.6,1.8
SALL2,71.2,83.0,3.1,21.5,8.8,26.7
SALL3,1.6,2.0,2.1,1.5,5.5,2.3
SALL4,12.1,7.6,4.7,4.5,8.5,4.0
SAMD1,5.4,7.4,14.5,4.8,17.8,8.2
SAMD10,27.5,2.4,3.2,10.3,8.1,2.8
SAMD11,13.6,16.0,15.8,28.7,18.5,42.8
SAMD12,2.7,4.4,0.2,5.4,1.5,1.3
SAMD13,20.0,11.1,27.8,29.5,17.7,33.4
SAMD14,5.7,10.5,2.2,4.9,2.0,6.2
SAMD15,1.2,1.4,1.2,3.1,6.5,1.1
SAMD3,8.9,70.9,0.8,0.6,20.5,124.4
SAMD4A,1.0,1.3,2.3,1.2,1.2,2.7
SAMD4B,2.1,1.3,2.2,19.9,14.9,3.2
SAMD5,1.2,2.6,0.5,3.4,1.0,0.5
SAMD8,25.7,41.3,30.7,62.4,21.2,29.8
SAMD9,240.5,271.6,212.4,909.1,163.0,261.8
SAMD9L,251.1,312.0,347.4,772.5,367.5,208.4
SAMHD1,425.9,178.6,185.9,72.6,12.9,154.4
SAMM50,5.7,4.5,1.5,3.9,2.9,5.2
SAMSN1,102.4,39.8,49.4,239.5,14.3,19.0
SAP130,274.4,307.9,225.6,403.5,286.0,251.5
SAP18,198.4,242.4,194.9,174.0,118.4,197.7
SAP25,128.7,65.2,93.8,186.4,59.6,97.6
SAP30,0.9,3.1,11.3,2.7,1.1,11.6
SAP30BP,124.2,76.4,132.5,130.6,142.6,123.6
SAP30L,1.3,12.2,3.9,15.7,3.4,14.6
SAPCD1,14.5,5.3,3.9,1.0,12.6,3.9
SAPCD1-AS1,22.2,24.3,11.1,33.7,60.0,15.7
SAPCD2,47.3,40.2,97.8,9.6,57.6,41.4
SAR1A,35.3,38.0,46.0,31.3,26.9,63.3
SAR1B,33.4,14.9,11.7,1.6,15.7,2.7
SARAF,10065.4,8608.3,6081.0,9562.2,4437.8,6263.8
SARDH,1.6,4.2,1.2,2.0,1.6,1.0
SARM1,9.9,11.0,16.4,5.2,18.8,17.4
SARNP,158.9,208.4,124.6,120.0,240.0,142.6
SARS,156.1,165.3,94.7,43.1,142.2,137.0
SARS2,88.1,87.5,65.4,3.5,114.0,145.8
SART1,12.0,17.5,9.2,14.1,3.0,3.5
SART3,3.0,20.9,1.8,6.1,13.6,44.1
SASH1,2.8,1.2,95.7,11.6,2.6,2.5
SASH3,1107.5,1726.3,1279.4,1470.8,1043.0,1999.5
SASS6,71.9,86.7,32.7,57.9,68.0,73.1
SAT1,2.3,31.4,6.1,8.8,25.6,5.5
SAT2,399.8,444.4,1359.4,122.3,502.4,386.9
SATB1,69.6,35.8,0.5,7.3,12.3,17.5
SATB2,1.6,10.4,12.2,3.0,1.2,5.8
SATB2-AS1,7.7,3.1,1.0,2.4,1.2,2.3
SAV1,0.7,9.1,20.6,1.0,27.3,28.1
SAYSD1,1.4,4.6,3.7,3.8,2.9,4.5
SBDS,1188.1,1534.7,713.1,138.7,852.2,944.8
SBDSP1,1188.1,1534.7,713.1,138.7,852.2,944.8
SBF1,7.2,7.0,3.5,8.1,3.9,6.7
SBF2,1.2,0.7,2.6,14.4,2.2,4.7
SBF2-AS1,7.9,1.9,0.8,0.9,13.1,9.2
SBK1,204.7,475.1,3.7,1.6,5.5,446.3
SBNO1,1.2,6.8,13.1,11.7,0.8,18.1
SBNO2,15.2,26.3,15.1,67.1,19.8,29.8
SBSN,0.6,10.7,1.5,2.3,2.9,1.6
SBSPON,5.7,2.6,0.9,0.5,6.4,10.9
SC5D,0.5,1.9,1.7,1.7,0.7,1.6
SCAF1,20.9,1.8,21.6,7.1,27.4,7.7
SCAF11,48.4,64.9,33.8,40.0,98.5,70.6
SCAF4,86.4,78.0,76.7,21.4,108.5,124.8
SCAF8,1789.2,1793.9,1172.5,1508.9,1415.4,1563.9
SCAI,45.7,21.5,14.8,1.3,31.1,41.5
