gene,endothelial.cells,fibroblasts,macrophages,NK.cells,memory.B.cells,memory.CD4.T.cells,memory.CD8.T.cells,monocytes,myeloid.dendritic.cells,naive.B.cells,naive.CD4.T.cells,naive.CD8.T.cells,neutrophils,regulatory.T.cells
LRRC36,0,0,0,2.49739245,2.389856413,1.796124175,1.514864838,1.557943528,2.0197641,1.797901813,1.868862825,2.642455775,1.278061,1.1711778
TMCC3,3.445,0,1.46,33.532509,15.45423975,3.78107875,8.552952175,19.31918996,6.459674,12.76918488,1.325866025,0.62697525,107.30748,0.870306075
TFPI,107.7,95.42,7.93,4.8016479,6.644819236,4.915521675,4.78463565,3.304493858,2.920842295,5.568519912,5.50470685,6.142732125,4.100965175,4.89797715
NCR3,0,0,10.185,126.72097,50.95680401,22.773015,31.19597456,2.566483476,0.342488,31.34419611,6.546055,15.86384561,1.30596185,21.74271646
RNF25,0,14.08,93.8625,42.0702225,23.818645,28.70655,31.20180887,24.71148692,21.29211359,24.65748888,28.4227175,25.361981,14.42490303,31.14736878
ZMYM1,0,0,0,20.0206535,12.6037654,14.40360604,14.30912596,9.800713459,8.534623986,9.69278195,16.27166704,17.79834936,1.886833394,16.68728012
NKG7,0,0,1092.5875,1970.826238,15.943336,70.80533025,605.8300302,31.99761367,12.78639225,23.87659969,39.7613925,7.1320535,6.41498,33.2412975
MDN1,6.2825,0,7.1725,15.792877,17.9174625,19.6840675,22.45074638,4.560133117,9.9995735,12.51783513,20.5580895,25.46733075,0.563425,19.78472675
MED6,120.025,9.345,25.1575,89.03709653,71.885241,101.0770302,103.928039,44.00054227,47.4616701,65.9390243,106.391652,99.39530475,22.03095555,92.83508545
KLRC2,26.89,154.6525,14.5,281.0867124,2.288038725,0.8070675,16.02663028,1.988227992,0.06297875,1.830637519,1.400945,4.63767625,0.133798575,1.405544185
BLNK,21.4925,0,128.6275,1.544527505,304.5345038,0,0.084014863,3.022286,47.139914,270.8208774,0.095991,0.2902675,0.17685125,0.0187259
MRFAP1L1,44.015,71.5075,85.5275,176.4937,71.74610625,147.9768,167.1295838,42.13761808,56.98348,58.701345,129.088825,124.451,33.63691,155.579325
IL4,0,0,0,0,0.23970875,0,0.83134525,0.06869775,0,0.989839,0,0,2.19790225,0.206672
C1orf127,0,0,0,0.7205795,0.537332513,0.6055565,0.420023,0.963825792,3.7751537,0.30297975,0.6322785,0.37750875,0.81371105,0.46018475
SREBF1,0,9.0575,3.4925,7.1523901,5.632718212,9.28635996,13.47090912,8.452464004,4.856496804,5.050369075,19.79043248,35.6796295,10.15373825,9.096820015
GIMAP4,124.975,0,172.345,347.3437275,19.27990562,327.56162,353.807495,364.0162358,105.93063,21.80347035,366.0664253,279.8864225,338.4936193,383.8546655
SLC1A7,0,0,0,17.88154013,0.011730988,0.12640225,3.404753125,0.218822575,0,0.261090375,0.121752,0,0,0.18303475
GNAL,4.27,6.22,3.0375,19.25964575,1.584284063,1.15602125,2.951088222,1.25016975,1.226748,1.588599912,1.07257225,1.5194,2.949625,1.536667
TMEM176A,73.26,290.18,0,0.60011,6.07177004,0.219759,0.38313325,41.55182897,12.41761525,10.20714513,0.4219515,0.120711,1.42986225,0.314637
SEC16A,16.5,5.68,7.0775,44.50906897,24.27229933,30.58551455,37.48569388,29.07657572,24.81320675,25.94564262,29.57561822,33.39938853,17.83784175,30.10528387
CCDC149,0,0,0,0.182354575,0.456946525,0.17243325,0.162293413,6.410193858,2.61135395,0.662685863,0.2183375,0.160682425,1.3407347,0.1825885
MRPS22,40.84,17.07,15.72,48.74879925,39.9419157,56.01371459,58.23013488,51.24030761,47.39313475,43.79322504,52.9350925,49.2310296,7.9150855,60.4657327
ROR2,0,2.725,0,0.3215015,0.37790773,3.1952135,3.6869445,0.072692183,0,1.32586425,0.15711925,0,0,0.05361175
FZD1,0,0,0,0.0128857,0.034137,0,0,3.246846417,2.88922,0.120029375,0.0038933,0,0.048136825,0.117092
CPXM1,43.3475,5.235,13.9475,1.276995,1.453750375,0,0,0.004048283,0.721508,0.460043125,0.2920561,1.371775,0,0.0359155
MSC,0,261.2725,8.4275,3.9560876,5.9540305,4.539052725,16.90934178,1.048116742,0.4201175,3.82489725,1.26578425,0,0.163131225,7.73105775
PTGFRN,1.385,28.06,0,0.1332709,0,0.087036825,0,0.357520425,4.184666,0.017395038,0.699840225,0.04390475,0,0.51060925
KCNH7,0,0,0,0,0.0646085,0,0,0.11879065,0.033284075,0.080641,0,0,2.59925875,0
CPNE5,0,0,0,0.351525142,231.0753662,0.968107137,0.314546437,1.863564217,1.444984587,145.9244738,0.071328163,0.073695364,1.843577167,0.363736164
OR6K3,0,10.7475,0,0,0.34249125,0,0,0,0,0,0,0,0,0
PDZRN3,0,0,0,0,0.009717013,0,0,0,0,0,0,0,0,0
DHX16,13.4075,2.55,2.7425,50.8055025,36.15436563,61.9744475,62.406865,45.17154083,34.97978297,37.485288,50.3895,57.74039,29.928135,54.6967425
PTPRS,6.7525,22.375,29.45,0.58109525,0.786868588,0.55427985,0.514709238,0.496354858,0.553703825,2.124285171,0.76494425,1.0515142,0.95269475,0.476414
VNN3,0,0,5.07,2.85512395,1.662677663,0.86706875,1.696268488,12.52474003,0.67775275,2.149619949,1.567615,1.97112875,432.5313608,0.94059075
GIMAP6,0,0,52.6475,223.4601475,6.089114,176.563595,178.068215,105.2896238,30.30146475,6.980273625,155.3283125,151.4154675,7.29926425,172.5926025
FBLN7,0,47.3475,0,0.270995425,0.1591721,18.65858419,1.588895588,0.118231833,0.0911496,0.190882988,19.27274268,0.758628125,0.1787555,28.91450528
KLF1,0,0,0,0.4151405,2.07085025,0.03531625,0.009617738,0.765567583,0.01650175,1.243247875,0.022625075,0.017282525,0.43356725,0.0212033
MARCH3,0.3175,2.6975,7.2,10.40209525,58.67515037,6.7528735,6.336168188,8.226866917,4.06436675,93.34662313,21.711499,19.8714145,19.23528175,33.213125
EPHA1,0,0,2.56,4.7326805,1.999709312,23.37078572,18.17644288,8.043254717,5.303781901,1.917394925,54.36133675,71.44809025,22.54393625,27.55161968
PLXDC1,0.425,2.8175,6.5275,35.60200802,2.036829438,28.10418177,43.54811916,1.585727308,0.9535695,1.9941841,84.72117293,78.49563729,0.583576,20.9996115
DNAJB1,182.26,40.81,556.345,178.7345067,62.00332338,778.2030818,676.2614353,112.6972271,58.93649775,61.205051,613.1404363,710.5835883,132.7883493,724.1974344
THEM5,0,0,0,2.952725,0.77682075,12.33909,7.856042125,0,0.15168125,1.25419525,0.7394405,0.93987775,0,6.2053155
TRIM64,0,0,0,0,0.008870475,0,0,0,0.005110475,0.004950238,0,0,0,0.003236675
