Gene Symbol,mix0,mix1,mix2,mix3,mix4,mix5,mix6,mix7,mix8,mix9
A1BG,5.346210077,5.430233848,4.956454427,5.47110461,5.423389712,5.370811676,5.389699004,5.137030488,5.482314915,5.5904009
A1BG-AS1,7.042982245,7.240511265,6.917173155,7.086863062,7.416352812,6.914667768,7.316233297,6.923461769,7.40875112,6.827903806
A1CF,4.265377669,4.199002029,4.285504093,4.279381964,4.30185852,4.323580741,4.387085296,4.16986322,4.224328321,4.319893015
A2M,7.450253402,7.170040337,6.652685967,7.780055709,7.741774822,7.405255701,7.260560524,7.259318645,7.9452811,7.023059817
A2M-AS1,7.492708592,6.547285774,6.105184968,8.543220948,7.802662928,7.199930584,7.228112675,7.563452514,8.684295873,6.406970381
A2ML1,3.520924204,3.561728665,3.587872422,3.614597564,3.527253795,3.572270366,3.550585821,3.56838023,3.5395086,3.544879961
A2MP1,7.266518688,7.074190398,6.019521119,8.506217474,7.547826765,7.633785751,7.167794951,7.598697154,7.870082419,6.171676866
A4GALT,6.966292861,7.098775,6.758723999,6.762299188,6.909354364,6.958433875,7.009782532,6.671779241,7.078133936,6.927249164
A4GNT,3.640855409,3.914706882,3.635331839,3.69205142,3.726903651,3.759149267,3.771513811,3.693994259,3.779208273,3.737957654
AA06,5.217618296,5.220630424,4.942217117,5.022002389,5.018332434,5.232994335,5.249952241,5.113788557,5.203139191,5.303512288
AAAS,8.363493623,8.310494075,7.917015142,8.017149891,8.28421722,8.507549065,8.031501771,7.842856047,8.258830303,8.31535893
AACS,6.962194827,6.934242413,6.976327214,6.963945596,6.802233025,7.017791374,6.67042078,7.07769093,6.365174816,6.779623303
AACSP1,5.620000677,5.982525034,6.023541066,6.39220225,5.822535659,5.78027072,5.916409205,6.122918736,6.055689037,6.082900063
AADAC,4.18794296,4.525648408,4.29162319,3.869743833,4.420698201,4.189356172,4.29162319,4.285792382,3.931263864,4.394135612
AADACL2,2.862129009,2.815580924,2.950354868,3.053532813,2.932020205,3.033977523,2.92204332,2.961638204,2.855649164,3.025721925
AADACP1,4.379801137,3.994863689,4.686675082,3.966489191,3.446120533,4.758770234,3.798540473,4.443536035,3.822176008,4.374710462
AADAT,6.991115336,6.947894538,7.65242662,6.941146132,7.182918331,7.05749594,7.306084361,6.680932746,6.745301565,7.299076816
AAED1,7.861949859,7.539917859,7.186506484,6.845990073,7.635940936,7.437024194,7.240629677,7.295152699,7.093153957,7.842018651
AAGAB,6.936375044,7.029824533,7.006201756,6.95392034,6.947776385,6.936106488,6.990180464,6.88718092,7.000702935,6.887524217
AAK1,7.926939552,7.39898217,7.204429984,8.802093669,8.306441676,7.600170435,7.698063604,8.097249791,8.911318279,7.231880797
AAMDC,6.992274701,6.97618564,7.063809192,6.960758015,7.021125606,7.061428162,7.056990742,7.153500746,6.960002162,7.138638685
AAMP,8.151651492,8.122332499,7.918412534,7.984728154,8.204741531,8.240052708,8.081571792,7.921950951,8.078282972,8.274592788
AANAT,4.365410888,4.113042018,3.88601055,4.255170543,4.082975518,4.113042018,4.298673761,4.146356606,4.320051647,4.087872582
AAR2,7.207605842,7.030475287,7.094551242,6.829142058,6.686351181,7.287561551,6.851464063,7.192075252,6.964884111,7.09216745
AARS,10.29138207,10.35864181,10.02471447,10.0587989,10.03430293,10.23914994,10.14126812,9.978556786,10.10630374,10.02559215
AARS2,7.830231651,7.854947081,7.589920595,7.991773401,7.80415833,7.996772692,7.827666,7.821334848,7.882116548,7.657949576
AARSD1,7.674457472,7.539282644,7.72553723,7.717181304,7.447430807,7.708193328,7.733038618,7.69799584,7.469357774,7.769795588
AASDH,8.098833305,7.936422347,8.014943756,7.838712348,7.977804938,8.135065546,7.732858977,7.910734196,7.907832431,7.915576014
AASDHPPT,7.601409961,7.65940549,7.439212493,7.39623049,7.349810005,7.760634266,7.384299175,7.267026471,7.542393807,7.603803179
AASS,5.081081527,5.420434953,5.266518018,5.13429997,4.986528695,5.20481256,5.332068115,4.770428583,5.166287512,5.279831945
AATF,9.558956375,9.475243663,9.157626143,9.257672175,9.490944642,9.454822939,9.306716906,8.970148154,9.309946312,9.437256521
AATK,6.762325653,6.810152828,7.710035676,7.237471401,7.001476309,7.053802469,7.188929549,7.761316408,6.726891343,6.881575745
AB074162,6.516884662,6.012839461,8.73024706,7.409575878,6.624797263,6.574615056,7.513072579,8.49361448,6.049952307,6.321311623
AB488780,7.434263421,7.441109076,7.035682934,8.163176795,7.746839059,7.283469881,7.398954262,7.396044796,7.86705614,7.269390504
ABAT,7.050708034,6.67471956,7.984322149,7.05127557,7.250955375,7.27327455,7.173871027,8.040133054,6.771672219,7.160745526
ABCA1,5.657896553,5.882615919,7.387908226,6.427907361,6.191033199,6.103208237,6.695680726,7.024270191,5.774335232,6.185877461
ABCA11P,5.7021982,5.557331542,5.480432026,5.84131281,5.262157664,5.401748748,5.837789446,5.757230196,5.649118214,5.860203162
ABCA12,3.912020928,3.883232649,4.200961345,3.893755435,3.766466439,3.912542967,3.998732294,3.846332871,3.945549149,3.941173733
ABCA13,3.181963397,3.108094988,3.429006408,3.163102778,3.117390023,3.097448207,3.114459594,3.167105687,3.09102586,3.224305277
ABCA17P,4.948424457,4.710784452,4.664312283,4.868734554,4.929505404,4.767902721,4.863502237,5.422952509,5.830848999,4.247704674
ABCA2,6.197332504,6.364997139,5.852894617,6.064798146,6.109362245,6.245220277,6.202121972,5.841398429,6.173088528,6.223577593
ABCA3,6.800981294,6.845028785,6.561550997,6.65083685,6.627330461,6.689150153,6.604189364,6.768884187,6.720385507,6.700961583
ABCA4,4.880116126,4.839620686,4.875394462,4.802664727,4.857847167,4.858278605,4.879840661,4.8674233,4.903106988,4.912632293
ABCA5,7.147815002,6.326820098,6.955833273,7.570073957,6.750752481,6.984234832,7.036950655,7.072340496,7.284175706,6.462299865
ABCA6,3.992111438,3.630912297,3.777151821,3.609212041,4.029417283,4.255370395,3.690142602,3.788052606,3.936583707,4.045779977
ABCA7,7.79291412,7.871438665,8.460950907,8.325544009,7.990971389,7.975039637,8.291720797,8.360146123,7.988211293,7.922019692
ABCA8,4.275421054,4.341314592,4.386674222,4.438436567,4.36602925,4.26818978,4.36600039,4.387083791,4.358170667,4.22901339
ABCA9,4.245036766,4.22172201,4.347409651,4.214351083,4.135685799,4.093024282,4.013154697,4.211453478,4.148048388,4.37473472
ABCB1,7.668545817,7.160893414,6.718341616,6.473294247,6.035816016,7.646236866,6.49458779,6.601144094,6.706896455,6.676134124
ABCB10,8.722710513,8.310072271,8.453197034,8.467880022,8.672884213,8.546715369,8.365222948,8.734710323,8.404020464,8.711410063
ABCB11,3.902480644,3.872121833,3.868528426,3.769267777,3.96325177,3.916438967,3.934099763,3.953904692,3.802399313,3.76473513
ABCB4,5.086606287,6.302717842,6.330281086,5.787995232,5.313727283,5.979779823,6.890247515,5.454842609,5.384996449,5.666842774
ABCB5,4.140140039,4.287193067,4.185327865,4.234569142,4.296456965,4.248241974,4.192147995,4.17744052,4.030098062,4.251743854
ABCB6,7.112285814,7.326559208,7.198406094,7.312346872,7.106136801,7.259247315,7.261941077,7.159436686,7.203166064,7.245633227
ABCB7,8.93481402,8.780699362,8.963062583,8.676029512,9.141058772,8.700006263,8.78113382,8.833391448,8.971697964,9.157371267
ABCB8,5.580295944,5.418688401,5.474591777,5.790889943,5.614883899,5.504661201,5.403151542,5.398146481,5.658223729,5.443624595
ABCB9,4.984688709,5.134770116,5.189628057,5.015651769,5.091648014,4.920664881,5.079359465,5.000739458,5.127814586,5.054473838
ABCC1,9.573629805,9.721055279,9.591275518,9.612246044,9.709525144,9.480590971,9.691048248,9.571257761,9.671867446,9.549312228
ABCC10,8.23100794,7.61031337,8.068927194,7.963718811,7.938507629,7.843723373,7.643468315,7.996654437,8.106987865,8.001049652
ABCC11,4.280947908,4.501922548,4.208228218,4.4246217,4.395827188,4.355457705,4.504719219,4.501146162,4.335483341,4.296897098
ABCC12,4.006326866,3.944529987,3.930464353,3.98201813,4.01721753,3.971125243,3.964052067,3.965822181,3.987023866,4.009147585
ABCC13,3.828402082,3.774130732,4.00761798,3.987021931,3.850548583,3.792972902,3.825538791,3.89579114,3.886315227,3.859380051
ABCC2,7.831515001,8.039760575,8.038787965,7.799777681,7.719085503,7.906782332,7.977572259,7.704653936,7.705609454,8.032280267
ABCC3,6.488157381,6.564556439,6.308045895,6.363445511,6.640828809,6.48955032,6.388757982,6.359255634,6.501307866,6.74276441
ABCC4,6.7315004,6.844841202,6.590316425,6.537287645,6.470244649,6.734028038,6.524792899,6.610754157,6.415281196,6.715320825
ABCC5,6.912420745,6.865020232,7.138952693,6.873887007,6.902324965,6.963359185,6.851975531,7.244933599,6.866015906,6.896336673
ABCC6,5.501391599,5.236045087,5.506414733,5.160653303,5.628076772,5.10477713,5.368783335,5.757984243,5.241034433,5.703804515
ABCC6P1,3.669843428,3.926151955,3.727641582,3.628433978,3.80941968,3.662048056,3.743091915,3.781999073,3.698221432,3.5935277
ABCC8,6.163383305,6.219026535,6.024646388,6.169138556,6.404189791,6.145577228,6.233917311,6.335546188,6.421464788,6.169638096
ABCC9,3.828358424,3.92949078,3.918085535,3.932927747,3.913528281,3.794705647,3.866724052,3.885178781,3.806097294,3.855966647
ABCD1,7.142640341,7.027906113,6.988164504,6.884354493,7.163671857,6.700242755,6.972844687,6.969471372,6.989746745,7.01712132
ABCD1P2,5.077329777,5.088219123,5.110580573,5.015756936,5.198813349,5.097670429,5.019169737,5.125640756,5.055221377,5.122970834
ABCD2,3.867365346,4.179665497,3.839886017,5.091670648,4.389525455,4.08491525,3.804561275,4.426827158,5.648426855,3.724633653
ABCD3,9.316858022,9.318165382,8.877543446,8.925221651,8.918778062,9.148578033,9.03037239,9.147759758,9.181656811,9.192112642
ABCD4,6.507709682,6.500009462,6.542110444,6.814751388,6.560830425,6.335543766,6.533979554,6.490450088,6.993421626,6.370813806
ABCE1,10.72241168,10.74532389,10.58922953,10.74401529,10.63257219,10.74246177,10.71771664,10.74751142,10.73474674,10.68619687
ABCF1,9.985355755,9.661242256,9.273150801,9.320509235,9.494097312,9.810686793,9.435227592,9.107570993,9.722459026,9.716791273
ABCF2,8.478278131,8.439048268,8.129017885,8.103072644,8.129731958,8.313470728,8.176702361,7.743209796,8.289683762,8.403018224
ABCF3,7.378981605,7.502755806,6.915777281,7.333685714,7.584114549,7.463119386,7.62558811,7.146891476,7.536154227,7.683258174
ABCG1,6.92301142,6.728663976,7.672449454,7.405826782,6.747564414,7.133617912,7.486311926,7.702696197,6.904180572,6.632019655
ABCG2,5.683960313,5.584040379,5.492174938,5.65989925,5.336722003,5.696837242,5.353315742,5.404931242,5.653546809,5.495740224
ABCG4,5.59137863,5.968990645,5.642320636,5.737008323,5.836502924,5.745978904,5.868617445,5.668625714,5.744567158,5.732023586
ABCG5,3.956844966,3.817746663,3.914150034,4.000331423,4.062033049,3.839797785,3.945757043,3.866248921,3.871211698,4.011041244
ABCG8,3.940205306,3.964044875,4.0398914,4.008017918,4.123940669,3.981957599,3.992133589,4.09016848,3.974958388,4.187924494
ABHD1,4.658591961,4.720893824,4.803917157,4.627164999,4.643358529,4.64760003,4.808228316,4.587068046,4.77423324,4.778709079
ABHD10,10.68011678,10.90123015,10.64172917,10.50913572,10.51178172,10.73187529,10.72310904,10.41533093,10.58412148,10.69694022
ABHD11,7.050440854,7.172361744,6.760269518,6.543383812,7.038457471,7.070837788,6.740679717,6.461177978,6.743984823,7.035353375
ABHD12,7.279635359,7.144876472,6.715326629,6.751746802,7.094171971,7.122346314,6.667793184,6.532359397,7.156487327,7.107961314
ABHD12B,4.414730633,4.622478547,5.663638897,5.042289759,4.899439535,4.442078593,5.048410712,5.742651777,4.608118579,5.049618008
ABHD13,6.754847798,6.883015035,7.370088444,6.882227649,6.999753073,6.867873036,6.966180476,7.280457325,6.3919431,6.891675405
ABHD14A,7.015853543,6.804487081,6.213188246,6.961579973,6.410414933,6.980833564,6.515359516,6.489974503,6.852873022,6.730791898
ABHD14A-ACY1,7.484324599,7.579627299,7.210826361,7.345229758,7.16708025,7.551351432,7.794767783,6.778126608,7.199957697,7.490695154
ABHD14B,8.87056121,9.39244387,7.84857555,8.525526245,8.675415308,9.126440944,8.796081762,7.526325928,9.000626614,8.981270574
ABHD15,7.35347812,7.40684069,6.468399432,6.567616837,6.228213955,7.485832785,6.303974569,6.157776785,6.653817768,7.020149082
ABHD16A,7.149518647,7.054880197,7.626158136,7.448146181,7.410999097,7.217079307,7.382113522,7.539135207,7.09310301,7.412700125
ABHD16B,5.838982784,5.879293897,5.718638149,5.834310908,5.960806165,5.908540768,5.835536682,5.739866863,5.967928905,5.884012687
ABHD17A,7.591827694,7.224505235,6.705638233,6.695450685,6.668451697,7.750079162,6.688924372,6.181035929,6.829261248,7.00933889
ABHD17B,7.787042833,7.716623169,6.964815058,7.44716257,7.160368759,7.886488748,7.218309642,7.128540144,7.146652284,7.502487056
ABHD17C,6.727907139,6.15919481,6.45682094,5.926124668,5.77639388,6.667559482,6.378653623,5.978161439,6.087200401,6.798148583
ABHD2,9.123752123,8.62212089,9.266537383,8.511560158,8.89485465,9.176173008,8.740892087,9.014278439,8.609106047,8.971083508
ABHD3,8.632525911,8.775339917,9.739600927,9.458833803,8.848593338,8.868092355,9.364788511,10.09427012,8.822114986,8.833008809
ABHD4,6.110224964,5.886364496,6.897338898,6.143610531,6.243873748,6.302179912,6.446621962,6.94396038,5.784462038,6.217267554
ABHD5,7.532508394,7.279696918,9.155441837,8.182565924,8.110989181,7.748520442,8.552479769,9.035624375,7.139585646,7.763853994
ABHD6,6.793021066,6.807338632,6.534059766,6.283264442,6.570487305,6.649758215,6.319492943,6.598354534,6.473381521,6.536631522
ABHD8,6.239155215,5.824360865,5.639003021,5.797670551,6.035105825,5.977354126,5.773218529,5.787614894,6.063846333,6.006559606
ABI1,9.388092072,9.549515239,9.781640301,9.827168542,9.470764169,9.540234373,9.523642174,9.898538522,9.684236365,9.454792429
ABI2,7.459391292,7.499449488,7.400569087,7.513575501,7.425310522,7.472312845,7.250698658,7.384326092,7.384919415,7.400031146
ABI3,8.904545034,8.175407769,7.834117084,7.500305326,7.833475591,8.895864855,7.620856406,7.490455694,7.819630333,8.621607732
ABI3BP,3.861368836,3.760811435,3.777756555,3.910241031,3.812735261,3.820350141,3.722647339,3.829609301,3.912950146,3.725400814
ABL1,7.58444518,7.563707094,7.113396571,7.114220973,7.292325028,7.661449775,7.205000294,6.719668812,7.208877021,7.214079036
ABL2,7.533975032,7.553789601,7.452397246,7.590220986,7.561731817,7.707134925,7.306373821,7.3192912,7.578732506,7.663276182
ABLIM1,10.46543376,10.43472077,9.979879714,10.85520473,10.34079446,10.43317628,10.38216886,10.29809717,10.67644623,9.93141642
ABLIM2,5.338891203,5.489368405,5.545521177,5.498074081,5.408985249,5.497074083,5.4107137,5.418182205,5.381330348,5.286161044
ABLIM3,6.634093721,6.615266103,7.121373635,6.375260835,6.43389782,6.275508962,6.668017896,6.665277879,6.216922479,6.428833882
ABO,7.367124925,7.538076993,7.368537922,7.549211419,7.574905548,7.335644302,7.504388169,7.558602254,7.398687913,7.423159436
ABR,7.431253173,7.338254123,7.18631244,7.244287816,7.333289754,7.278041703,7.153814101,7.210752641,7.185295934,7.609056725
ABRA,5.164388568,5.313339711,5.164034157,5.463582108,5.070872968,5.051710987,5.286404916,5.054207007,5.390698194,5.096066681
ABRACL,10.52316237,10.37394818,9.982284808,10.39558739,10.64118032,10.37350557,10.2141457,10.34191117,10.66618335,10.47329671
ABT1,7.205712902,7.424654055,7.31509519,6.714672965,7.13431474,7.229980872,6.915420772,7.109833198,6.978033349,7.334683625
ABTB1,6.382731646,6.396293701,7.140108149,6.695948125,6.746117638,6.649416855,7.115727317,6.8258812,6.345485672,6.580312289
ABTB2,6.097514086,6.20641619,6.046986267,5.971668432,5.882046662,5.948544213,6.157043134,6.158863401,5.768697748,6.128748079
AC000111.3,3.752219001,3.667252547,3.763513748,3.610998817,3.650488051,3.575473813,3.749670947,3.624570191,3.660193184,3.739246957
AC002059.10,4.816155386,5.171206911,4.838367695,5.046722592,4.880497033,4.841860155,4.627416219,4.765708679,4.54711681,4.813478394
AC002064.5,3.528618336,3.578421259,3.555579411,3.601858712,3.639412369,3.566482996,3.573904096,3.776635603,3.582815538,3.452365274
AC002310.12,7.653711284,7.465982553,7.801748745,7.769258075,7.677872188,7.627886306,7.852781969,7.851486978,7.880813909,7.531392172
AC002310.7,5.598348694,5.866085046,5.766120174,5.705272718,5.892796878,5.704445157,5.524440166,5.51778018,5.888414329,5.814206699
AC003973.4,3.981826996,4.049571467,3.962656492,4.021196969,4.410969177,3.99334705,3.995953249,4.025610739,3.988597679,4.033786774
AC003986.5,5.372760019,5.64019745,5.282428017,5.352883902,5.435124611,5.307227216,5.28419881,5.352883902,5.338995632,5.34252507
AC003989.4,6.209359859,6.122213244,5.823437306,6.346089845,6.308953959,6.110654079,6.233026455,5.805999411,6.569197144,6.118386544
AC004158.3,3.688589143,4.082510472,3.727803811,3.970953494,4.082510472,3.900576429,4.201348285,4.044881287,3.934918344,4.03450685
AC004490.1,7.610513769,7.488086323,7.03328143,7.160490819,7.769617402,7.693726936,7.558423185,6.687027692,7.494660617,7.785391009
AC004538.3,3.349942855,3.46390072,3.41577651,3.400519632,3.572310635,3.347410937,3.663165971,3.352308008,3.351756608,3.447258245
AC004692.5,8.121795372,8.280170179,7.469985242,8.077016223,7.811626282,8.136074784,8.17511312,7.630797382,8.234955148,8.092052711
AC004941.5,9.653344877,9.811700964,9.631726772,9.387492071,9.449113948,9.723806079,9.740567283,9.577654228,9.832766523,9.691053339
AC004951.6,9.214814458,9.268234578,8.731983195,9.668805184,9.437445141,8.851826014,9.178894967,8.997771079,9.650881893,8.805164135
AC005162.4,5.603938917,5.696397232,5.765993056,5.152830774,6.402463916,5.26745008,5.339344251,5.243623968,5.710028465,6.3152059
AC005224.2,4.08566194,4.016923117,4.23373514,4.597364816,4.124967222,4.261538272,4.99898045,4.221539132,4.658780419,4.190615722
AC005256.1,5.061668413,5.199169006,4.932083076,4.998219458,5.38046299,5.22005989,5.066489845,5.064134885,5.133492989,5.208791228
AC005306.3,7.559107868,7.935539231,7.569078868,7.74564665,7.808473449,7.512853304,7.965712676,7.73118032,7.792143958,7.633695285
AC005498.3,4.845766438,4.957871944,4.886034105,4.831995882,4.86424773,4.901687706,4.644013309,5.222092435,5.083447242,4.998883703
AC005523.2,9.266423508,9.219438211,8.671757733,8.585103569,9.002192293,9.215686132,8.971370544,8.551241082,9.080688783,9.202698258
AC005523.3,5.870319584,5.974496322,5.704185966,5.654715986,6.03657398,5.754811664,6.044292214,5.875196575,5.808704785,5.916150635
AC005537.2,3.504769351,3.845202787,3.651265616,4.14544876,3.735605636,3.597286165,3.878773759,3.708783971,3.752776927,3.589316824
AC005592.3,3.079191579,3.254191951,3.495010658,3.099040163,3.118821022,3.099040163,3.046317851,3.276524379,3.133866105,3.093700474
AC005606.14,7.475769124,7.762565524,7.487638028,7.178544111,7.514286161,7.873245677,7.422261548,6.716463756,7.186850476,7.74868539
AC005754.7,3.408325477,3.330904947,3.163534299,3.330383466,3.364126621,3.375299126,3.308164685,3.319954916,3.282438179,3.200393176
AC005785.2,5.674306404,5.892356557,5.461818766,5.792861956,5.708435865,5.743557904,5.372777435,5.973852326,5.617922847,5.583807691
AC005838.2,4.282745293,4.320165403,4.678391343,4.437152675,4.701095133,4.670353966,4.467851542,4.745413517,4.206163972,4.405994031
AC006026.13,5.137605077,4.837420833,4.617438163,5.058704879,4.880003557,4.965000203,4.8129195,4.810654572,4.932236963,4.754053647
AC006129.2,7.845748357,8.059375547,6.631973685,8.5448202,8.14864074,7.667080515,8.353832287,7.926584396,8.898240061,6.914614415
AC006538.1,5.114930395,4.850325542,4.869303892,4.712463256,4.697002536,4.681570473,4.933196733,5.091659332,4.941761507,4.688870035
AC007228.11,4.820266723,5.01813139,5.165993962,5.246830351,5.132989098,5.171206911,4.800717154,5.076590693,5.210482244,5.125407241
AC007255.8,5.539660719,5.398623171,5.516255008,5.312881333,5.747471566,5.868238547,5.61377735,5.504162465,5.551309707,6.004430203
AC007292.3,7.030194026,6.911647273,7.278798355,7.372748511,7.084845728,7.034138183,7.304660683,7.31812034,7.129764813,7.01951061
AC007349.5,4.148861063,4.063627068,4.102783616,4.011387245,3.831160138,4.332524045,4.072990412,3.887909256,4.429205637,4.243919332
AC007362.3,5.375984983,5.529787839,5.506745748,5.285311565,5.808870882,5.446062092,5.573878731,6.019403042,5.575665076,5.87461356
AC007364.1,3.403590448,3.488836033,3.508179787,3.437200274,3.624264382,3.508067387,3.347896585,3.395235807,3.333324337,3.461221014
AC007365.3,7.625374365,7.829805342,7.973322957,7.614724864,8.027376417,7.646529068,7.744804046,7.690842264,7.526645434,7.854583034
AC007389.3,4.694337141,4.694789004,4.72254646,4.626791242,4.73316417,4.735881846,4.616344571,4.751270176,4.614329588,4.59105328
AC007401.2,5.556508112,5.405688504,5.241066835,5.817067373,5.104140824,4.995256006,5.180680532,5.345532015,5.192295862,4.985548083
AC007557.2,5.228131939,5.063067971,5.201555197,5.135135599,5.188777159,5.168884783,5.180358561,4.979705297,5.065292682,5.225820704
AC007680.2,4.761076627,4.882009891,4.88228271,4.940718815,4.934250331,4.836784392,5.016339709,5.154856935,5.107599947,4.891266018
AC007787.2,5.856385119,6.312185878,5.677382014,5.888176727,5.980280554,6.067856335,5.906091529,5.948774649,5.876596814,6.168100429
AC007967.3,3.958229903,4.039910033,4.078971442,3.889854461,4.012010939,3.853373125,3.905609643,3.951794877,3.787635559,4.029327017
AC008088.4,4.879717595,5.145361109,5.032877617,5.077983645,5.03795994,4.803028516,4.914436488,5.197003038,5.168069393,4.920711847
AC008746.12,5.118921101,5.125879118,4.791249504,5.596258272,5.331806868,4.929726255,5.378450401,4.973058819,5.287187759,5.264455292
AC008753.4,6.805690961,7.008631467,7.472898617,6.906797336,7.238599129,6.826189914,7.171501809,7.222623393,7.035835103,7.145453589
AC009120.6,10.45342424,10.38335517,10.1188113,10.22350447,10.37235876,10.5091287,10.3460474,10.07021269,10.41902571,10.48167813
AC009133.15,6.269566225,6.036297941,5.580039766,5.713419398,6.138238334,6.015326078,6.069661648,5.305160356,5.951376088,5.79583505
AC009237.8,5.596233911,5.558252256,5.758559805,5.609068613,5.171899623,5.335183725,5.198259501,5.186265652,5.737481179,5.414017488
AC009502.4,5.391138865,5.106971433,5.117862519,4.816035185,5.140990909,5.41663446,5.090593924,4.91862431,5.219557059,5.014830973
AC009947.3,4.773493979,4.786867331,4.875224638,4.995066976,4.807785802,4.6518906,5.048820885,4.916615258,4.723486242,4.820516294
AC010095.5,6.691650233,6.364241477,5.892023185,6.92689189,6.557099678,6.072409469,6.316796929,6.278946281,6.757965529,6.215356233
AC010145.3,4.179076176,4.271433632,4.24979487,4.108368784,4.472507496,4.454556869,4.334034799,4.275268101,4.277636733,4.053322901
AC010145.4,4.071485667,4.388222974,4.426943607,4.464276823,4.380013972,4.245095961,4.463192146,4.416891025,4.415288432,4.351254322
AC010524.4,3.486362487,3.625435507,3.652883653,3.655665525,3.693297003,3.510955139,3.531704063,3.796868476,3.433808218,3.65287531
AC010980.2,4.537396418,4.753335916,4.711868987,4.534003539,4.688870035,4.59637127,4.775115574,4.688870035,4.743919107,4.533902703
AC011997.1,3.032214032,3.022739385,3.261840597,2.965279338,3.110349501,3.128407469,3.169237843,2.997120098,3.164093434,3.094267737
AC012065.7,6.762194855,7.292586279,6.810071088,7.044139349,6.863713424,6.63771292,7.401520716,6.564995756,6.72930404,6.762260489
AC012360.6,4.593234073,4.814368807,4.709824278,4.714225019,4.820200012,4.85583597,4.815950313,4.696121061,4.769357981,4.713570831
AC012499.1,3.957126902,3.811026633,3.975376392,3.9616554,4.017090628,3.917742365,4.003953129,3.815363765,4.055183511,3.886662907
AC012531.25,3.418147363,3.733086976,3.832354345,3.571634804,3.703400469,3.535153467,3.80762094,3.803901096,3.561216978,3.55692653
AC013463.2,6.1124541,7.325845289,6.747785097,6.31013403,6.269617168,6.646405343,6.804336668,5.6259979,6.019408513,5.987790624
AC013733.4,3.331721042,3.411400843,3.304506771,3.399093635,3.37819862,3.193434684,3.374575628,3.359745533,3.257551625,3.319438586
AC016831.7,6.300665773,6.234473386,6.402858481,6.763411117,6.546782181,6.342344413,6.773396179,6.257092181,6.783137025,6.169025051
AC016999.2,6.049930328,6.370824379,5.433598242,5.563053585,5.850831737,6.31376448,5.514724756,5.270802946,5.959101045,6.10072504
AC017002.2,6.309529878,5.586446918,6.045046698,6.168083149,6.148498993,6.026922854,5.98525379,5.580494193,6.001221659,5.869096262
AC017104.6,7.633892923,7.794555115,7.448770617,7.532323841,7.438230412,7.748441361,7.708754431,7.402777144,7.597206894,7.606842556
AC018462.2,3.412758376,3.368080468,3.442280614,3.617358003,3.467864565,3.280267359,3.467983444,3.298814433,3.508438139,3.368322319
AC018755.16,5.924419543,6.277925645,6.119922506,6.083671238,5.817892192,6.246139292,6.313475025,6.071071643,6.117024637,6.063279413
AC018755.17,5.042829547,5.118782193,5.041292259,4.729952696,5.09844378,5.368837879,4.949800822,5.265563311,4.886419734,5.108226371
AC018766.6,7.797094316,7.929287894,8.022720669,7.959881803,7.844503112,7.684942151,7.523225251,7.812306657,7.153600049,7.764360608
AC018816.3,5.270935525,5.444783618,5.492618374,5.852426208,5.455768972,5.856285177,5.541621399,5.506261671,5.592584532,5.463639589
AC024560.2,4.050544278,4.007107542,4.177581138,3.909760144,3.892100022,4.206077646,3.996413779,4.035401222,4.080757208,4.092147423
AC025442.3,6.94109793,6.992767049,6.504168342,6.680698318,6.942200298,6.687505802,6.973813177,6.189293706,7.079259973,7.056955075
AC064852.4,6.323154246,6.137900229,6.385414926,6.471287367,6.727867423,6.486581323,6.436830066,6.335693151,6.664355754,6.371888329
AC067956.1,3.162918793,3.367104414,3.521923459,3.138143775,3.329944429,3.198824464,3.344224466,3.32709385,3.211772215,3.306288237
AC068039.4,4.837347288,4.930368877,4.955013196,5.392163074,4.949516573,4.871411429,5.049643583,5.218585454,5.232984001,4.8454947
AC068138.1,4.662176608,5.516517141,5.309136886,5.176188151,5.305763784,5.277972546,5.313171575,5.655952111,5.35548727,5.257467428
AC068831.3,6.228987172,6.312623753,5.957917684,6.144177474,6.113079688,6.122615835,6.294689119,5.967478031,6.059776381,6.096370711
AC069277.2,3.879474996,3.647692087,3.869996209,3.675381974,3.600290203,3.66281552,3.723886784,3.674792952,3.637477165,3.627238319
AC073283.7,6.432817534,6.572598611,6.301863911,6.674135714,6.919671279,6.737005424,6.581490001,6.731449093,6.667817513,6.594071531
AC073321.4,6.845663858,6.783840851,6.133211286,6.351456244,6.781852389,6.824807756,6.763201278,6.077659315,6.622887524,6.927853319
AC074212.6,5.723642204,5.871772282,5.379889718,5.762804308,5.790133279,5.862745172,5.801142759,5.54708105,5.707487415,5.8452317
AC078842.4,3.233296355,3.338167269,3.167365672,3.3350263,3.614840254,3.169898101,3.364126621,3.36346821,3.298051904,3.234331961
AC078883.3,7.057142768,6.838626893,6.282091435,7.237857209,7.034927249,6.739622248,6.783752619,6.352344095,7.356629186,6.742378806
AC079305.10,6.870827715,5.682497398,7.560936859,6.035114059,7.131603439,4.862625217,6.577758022,6.649088767,6.01250134,7.296215586
AC079741.2,4.054295686,3.992765856,4.357369064,4.52569218,4.050424545,3.992765856,4.632326808,4.642167331,3.826047609,4.004287922
AC079767.4,7.428035273,9.573621145,8.956486583,7.940131754,6.767078543,8.894426373,9.63210002,6.909241294,6.936031911,7.866297288
AC079807.4,3.70054942,3.385509927,3.590099406,3.693052326,3.529563092,3.646548009,3.99462012,3.510039954,3.585270518,3.446723159
