Gene Symbol,mix0,mix1,mix2,mix3,mix4,mix5,mix6,mix7,mix8,mix9
CHRNB4,5.752178213,5.864767489,5.923942491,5.651651737,5.938520466,5.668431054,5.734753097,5.807371573,5.979825327,5.699063341
CHRND,6.042111939,6.244460289,5.986883135,5.902941824,6.21682081,6.055761778,6.172586106,5.806813363,6.242571495,6.014475474
CHRNE,7.073051005,7.028338347,6.838241582,6.43787299,7.020936794,7.073791684,6.753289889,6.240051864,6.958222034,6.975468015
CHRNG,6.091647111,5.966940869,5.824185865,5.822092504,6.006051347,5.840560412,6.079704037,5.97557229,6.074132412,5.923661504
CHST1,4.999428287,4.951681729,5.01503679,4.8804932,5.13022233,5.00898589,4.959059364,4.992730173,4.920239072,5.043411297
CHST10,6.982259336,6.702116708,6.419844563,6.237753849,6.35289743,6.807838706,6.046318836,6.041217326,5.951376088,6.767260663
CHST11,9.262147142,8.832713746,9.578282762,8.781458516,9.12740181,9.463222002,9.161668184,9.297075784,8.692369936,9.272035514
CHST12,8.37116745,7.893388142,7.302852204,7.269583264,7.35979844,8.427146321,7.363516434,7.122595924,7.286172344,7.603273853
CHST13,6.255995138,6.29482968,6.470365372,5.906867228,6.437281662,6.170500414,6.33346194,6.453933103,6.14428052,6.551340983
CHST14,8.082523137,7.85994941,7.827975075,7.226805946,7.409957675,7.880733512,7.649186241,7.00791551,7.496891824,7.853258516
CHST15,8.338845516,8.14647112,9.37208515,8.529627945,8.909822866,8.095597007,8.900886841,9.556379147,7.692906461,9.019716799
CHST2,7.818452381,7.127862001,6.430438529,6.179475503,5.994182698,7.836506005,6.292526301,6.262668101,6.30295596,7.020755071
CHST3,5.891789634,5.971078853,5.820375457,5.890572954,5.837371176,5.844773161,5.795825498,5.928857441,5.893440327,5.79081485
CHST4,4.029828444,4.091549536,3.999118644,4.199816553,4.271001855,4.38667572,4.060127333,4.099838685,4.093415172,4.039635588
CHST5,5.128877972,5.290223519,5.12211002,5.40366016,5.43129899,5.122871931,5.041748703,5.121996554,5.292977951,5.273815538
CHST6,6.011359944,5.891778307,6.006051347,5.947757195,5.874687208,6.094375627,5.727242336,6.084300808,5.859371304,6.292691952
CHST7,7.451541255,7.222341374,8.243097047,7.358092956,7.629151805,7.362904992,7.332262904,8.062754651,7.196693763,7.63458264
CHST8,5.461255853,5.652323741,5.325770415,5.499844223,5.327714047,5.438425261,5.588477541,5.404928437,5.673332456,5.541661079
CHST9,3.436188258,3.387350835,3.571568289,3.425526084,3.436773738,3.447815556,3.369147254,3.480922967,3.295842374,3.347650135
CHSY1,10.23537036,10.06723432,11.25987603,10.70687062,10.39339235,10.42289613,10.71669976,11.34759292,9.870179494,10.31311507
CHSY3,4.094435145,4.096633824,4.438488063,4.325716809,4.280859698,4.848934563,4.247879013,4.533926147,4.177529694,4.415689222
CHTF18,9.049645995,9.301092517,9.367221203,9.033759789,8.993044658,9.207999224,9.394891186,9.23738563,9.13419063,8.973985061
CHTF8,10.24017056,10.33311201,9.745671667,9.760533185,10.05878289,10.14493094,10.1656691,9.360326199,10.14406032,10.25474207
CHTOP,10.28474462,10.3097466,10.07231369,10.31183069,10.2074971,10.33894026,10.24707245,10.1117472,10.33570929,10.23312046
CHUK,7.903619632,7.767505339,8.409820551,7.762029677,7.962197231,7.932023422,7.875850513,8.776095176,7.958296426,7.936446868
CHURC1,8.558637504,8.447679683,8.968005035,8.78019569,8.55634442,8.590763774,8.764564986,8.946936661,8.554722042,8.495298197
CHURC1-FNTB,7.670775503,7.670846125,7.805792846,7.842179509,8.048186995,7.769465819,7.643529076,7.947849843,7.828260679,7.8070913
CIAO1,8.511181473,8.246131439,8.153411592,8.383178326,8.375250425,8.461768387,8.220076352,8.085427514,8.03518944,8.492162812
CIAPIN1,7.20586821,7.050353514,7.470087091,7.193967703,6.993034813,6.99962987,6.942998026,7.343821183,6.869888781,7.037805798
CIART,4.117686408,4.504859273,4.421327497,4.292707765,4.463906831,4.374933915,4.309429849,4.210481616,4.438488063,4.359436899
CIB1,9.899551064,9.864373254,9.355684402,9.514657625,9.713400912,10.11268048,9.794169523,9.312541941,9.758285769,10.06201132
CIB2,6.551301296,6.454492541,6.506053726,6.094034375,6.22632405,6.467933533,6.302039248,6.283113845,6.095853503,6.288802812
CIB3,5.15053816,5.26064944,5.526624652,5.361355642,5.355708427,5.266230739,5.510161202,5.317934465,5.267405218,5.185678333
CIB4,4.061289673,4.299049232,4.317197525,4.085107763,4.101851467,4.14779626,4.147081659,4.198376766,4.163819979,4.183693793
CIC,7.288002305,7.264520165,7.189009995,7.581217612,7.45404179,7.31672706,7.384786898,7.305762992,7.354635878,7.405977112
CIDEA,6.388119112,6.400346754,6.440455228,6.321984656,6.373622834,6.416809352,6.45155169,6.251512061,6.431156668,6.387797189
CIDEB,9.474316926,8.977593664,8.995108905,8.603376732,9.428417691,9.255152492,8.774978311,9.021482687,9.007201737,9.787251714
CIDEC,6.513508656,6.688194023,6.749677619,6.575492992,6.558775932,6.713076223,6.440835713,7.101252848,6.543753809,6.776189855
CIDECP,5.893158398,5.329778057,6.399551422,5.747652047,5.844064523,6.375683711,5.97376902,6.435289431,5.872919598,6.403245195
CIITA,7.960419983,9.156589215,8.135746823,7.575618384,8.551555228,8.486543315,8.868186254,7.18261402,8.031625468,8.796647159
CILP,4.074205031,4.220910475,3.94225629,4.093205916,4.213755448,4.124975583,4.113120299,4.135466544,4.078413531,3.900518791
