,mix0,mix1,mix2,mix3,mix4,mix5,mix6,mix7,mix8,mix9
NK.cells,0.5434783,0.2631579,0.210084,0.0828025,0.0342857,0.5714286,0.0382166,0.1092437,0.1315789,0.2717391
B.cell,0.0326087,0.5263158,0.4201681,0.1592357,0.0742857,0.2857143,0.6369427,0.0504202,0.0684211,0.1358696
monocytic.lineage,0.2717391,0.1315789,0.1092437,0.0382166,0.5714286,0.0342857,0.0828025,0.210084,0.2631579,0.5434783
neutrophils,0.0163043,0.0105263,0.210084,0.0828025,0.0342857,0.0342857,0.0828025,0.210084,0.0105263,0.0163043
CD8.T.cell,0.1358696,0.0684211,0.0504202,0.6369427,0.2857143,0.0742857,0.1592357,0.4201681,0.5263158,0.0326087
