Symbol,naive.B.cells,endothelial.cells,fibroblasts,memory.B.cells,memory.CD8.T.cells,monocytes,naive.CD4.T.cells,naive.CD8.T.cells,neutrophils,regulatory.T.cells,NK.cells,memory.CD4.T.cells,myeloid.dendritic.cells,macrophages
ST6GALNAC4,348.926843,616.6592813,320.2550081,554.8709788,1.347825397,276.2135081,354.7184453,490.7045438,229.2021384,404.1960624,298.8642642,365.7799877,463.0246485,826.7922465
REN,124.1884498,55.42603314,64.85137003,103.5218836,3.549007937,59.75654515,57.45313272,56.78850041,70.28879676,45.0014407,62.80287489,123.9702556,47.75806748,89.10322261
TNFRSF10C,29.05553783,80.8403132,37.74286798,28.46917258,0.696079365,148.4496517,23.37262494,22.65182537,1685.158215,92.17238419,36.91582733,40.77809239,35.04356112,32.91567341
MXD1,65.12868024,31.98338489,27.33151038,40.14753132,117.7373671,375.6814846,143.055987,106.558563,3934.672804,58.6032358,213.3100053,87.99709936,272.2866645,121.3825625
LOC654342,18.5531311,219.6778688,2690.895514,22.00723872,0.850690476,40.69862301,44.59653088,27.51500371,36.75235143,58.78972023,74.26013053,49.48100023,53.16990299,136.3014271
LCK,526.5917104,34.79677589,44.9587697,437.3168124,9818.007512,135.1538919,7548.724304,8770.556653,426.9641069,3606.973272,2509.405366,6035.241124,121.4190737,81.81069792
SLAMF8,149.8511513,38.15469546,28.86378639,122.8878961,2.562507937,281.9730501,71.89887446,124.2685123,61.44183915,261.1948591,281.6490107,82.45979661,2421.473438,3036.959125
TNFRSF11A,110.1831477,464.4771362,26.32778609,71.23037839,3.665698413,46.02566668,110.6497779,24.73491774,150.6507937,76.74658007,142.2417607,62.41555486,878.1293938,81.78603162
FOXP3,49.09000423,39.83079272,33.92792719,60.10786862,1.546079365,41.50174206,43.60617305,57.45313272,57.6216452,33.37210676,36.38120716,50.34325607,33.26874077,40.7303237
CXCL5,32.2505813,9.507077359,25.20989017,34.66695858,0.286992063,149.0926387,14.77181682,14.23261156,78.40377985,16.79370813,20.31617224,17.64543497,42.32436208,291.1836814
NCR3,249.2852855,35.13459201,39.53370543,895.1093027,354.4959953,69.24145927,553.6174081,1572.210961,103.4916648,742.0870064,2472.925678,456.6685167,85.0760329,42.7735463
CA8,66.52783665,265.160313,69.01971369,69.49310185,0.598111111,37.05301584,65.27058373,51.98940735,106.3363181,60.06878169,37.02811902,32.35525241,59.90203282,41.32973745
EGR2,219.5945646,101.4321818,99.67474855,223.5179158,19.06638519,987.7820949,410.9316705,127.640892,359.1037816,303.3965075,1553.97204,2497.440941,3649.815589,4381.871747
NTRK1,30.23443694,27.75452968,23.56081764,39.8588064,0.856373016,33.32540962,21.888945,26.51987033,32.56923807,49.57488943,35.60401726,59.98886498,21.42484045,24.28028765
DKK1,641.6239981,2141.222633,19645.99099,367.692221,145.0325343,230.142562,161.0541885,129.4257033,582.9157497,64.85137003,162.4083552,191.5830268,198.9331266,248.8286968
CD3E,1075.578852,803.6610938,286.6180649,709.1297779,8342.565416,286.0782879,7520.65961,7987.983632,1053.745286,870.6054356,719.7468776,6872.008628,254.6076045,267.1315504
ELANE,37.20477348,31.66841996,45.75382422,44.59653088,0.787642857,125.8137707,337.1130969,375.3484081,202.1078236,134.9180155,1223.939915,22.96752155,35.20746555,49.93507035
HMGB3P30,38.37782055,52.30115194,38.59374527,42.95290464,3.047507937,28.67544366,64.65362441,38.42658527,63.08469001,77.50678589,33.04369804,46.95331206,47.0096331,39.83079272
CCL17,44.09497093,30.11958267,42.35760141,57.40715452,42.08653558,69.31319425,42.85322372,56.21347362,76.49927315,85.16282478,62.82267305,194.395318,10216.56064,129.8773858
COL11A1,63.312049,63.63045057,1265.078577,59.98886498,0.214563492,33.21654794,39.94666634,38.31778891,40.96384795,17.54876813,24.9745201,22.77176492,39.55409144,25.28095975
GPR1,85.74689463,37.50384877,389.0297913,90.50323903,22.71029544,115.4795623,169.1939214,66.46519127,58.64173317,184.59653,112.2632668,61.95074654,66.21462501,57.22245241
PCOLCE,68.16440536,85.65815766,4796.07351,82.53911501,37.05301584,80.62214587,106.2977921,94.06298005,138.172523,164.43352,105.5838924,58.78972023,82.3312562,89.60805575
LILRB2,48.29310135,21.95306729,20.21398761,37.53614687,1.88581746,4664.726127,501.4114561,45.53960132,3758.16334,2101.939201,393.6627115,33.79079298,404.4025927,856.0523198
CD4,24.13434817,14.69418136,15.65674553,19.05234492,1.279484127,14.36257545,16.49096296,13.231797,33.80285491,18.68478196,15.6441733,15.2043541,14.9969438,12.37425334
TRAV8-6,39.7324916,211.22946,44.07452278,39.28543776,657.6483428,51.82153456,416.9950379,348.4915235,164.9998765,242.9140895,29.64708325,434.0350107,40.92552192,56.2343611
PBXIP1,63.28872799,66.73600122,25.34479238,198.4162595,1913.474922,35.05398598,1294.636034,985.9579886,262.9857382,709.5016308,307.7044576,1361.37098,320.3996166,24.76977972
IGFBP6,143.055987,281.3458764,5678.755199,123.0621122,152.0390387,155.8310119,182.2364233,326.0923099,167.7919365,270.4434467,114.8937042,102.0956919,121.9782242,350.2904792
ALOX15,59.6089304,22.29032152,28.48402335,50.11037808,0.644531746,41.4512203,54.99635201,22.17373125,257.5776059,26.14274831,50.95734523,29.38639957,2946.241348,33.9469301
KLRG1,1989.692625,925.0859391,382.0016165,1645.71976,1800.376925,474.4088864,1405.143281,4751.033349,1212.805268,1472.503006,1615.143926,1835.754357,385.3541926,442.4742055
IL21,861.3491593,312.0164759,130.2622691,665.4848447,31.65438925,215.6038117,196.410627,151.7870742,518.1330732,42.43358702,126.542001,677.1588199,168.2687709,244.9571209
SLC12A8,32.48643929,79.65899836,258.401026,54.4370259,1.266452381,74.22004203,17.41160815,61.49944025,50.78208321,86.25078901,74.86361872,21.87113041,108.5055654,676.5671396
SLC15A3,166.8363275,40.64731574,103.1700981,547.1008925,2.258944444,2714.05582,151.3104339,51.06788114,1770.666654,1125.754093,224.3249542,49.20086915,7759.130611,6958.581981
SELL,14283.11087,463.0246485,117.7880692,10922.17301,10071.90787,10380.78891,12518.87772,9765.573285,27413.56907,10380.78891,7249.267433,7153.425655,261.5121478,186.2646598
THY1,148.019416,160.245403,3233.681169,104.5815997,3.079111111,142.2013315,167.2692279,164.1396541,217.8622044,48.8385339,163.8913107,104.5573655,144.6169374,114.0802224
