Gene,memory.CD8.T.cells,naive.CD8.T.cells
NYAP1,0.110518269,-0.765369245
OAF,2.269414073,2.702668955
OARD1,3.951138037,4.324709768
OAS1,3.938619538,2.90167545
OAS2,6.657443057,6.467602157
OAS3,6.299456025,6.374399594
OASL,4.567285694,1.153940799
OAT,5.408051452,5.421526178
OAZ1,9.038132576,8.552807788
OAZ2,5.159245099,4.936889714
OBFC1,6.10777074,6.896849562
OBSCN,6.760021146,8.646261405
OCEL1,3.192509124,3.261724355
OCIAD1,6.71485302,6.812233329
OCIAD2,5.401984839,5.262342088
OCLM,-0.299818121,0.442133029
OCLN,3.847809802,4.307273892
OCRL,2.384647941,3.590559604
ODC1,6.9356507,6.615186193
ODF2,6.068093206,5.93664074
ODF2L,6.117984637,5.854993465
ODF3B,1.907747504,1.122384237
OFD1,7.084645971,7.241995022
OGDH,7.687606951,6.600230091
OGFOD1,5.314259546,5.193781127
OGFOD2,4.108434022,4.47594331
OGFOD3,4.643826965,4.852855323
OGFR,6.454048293,6.166752889
OGFRL1,4.567285694,4.087930247
OGG1,4.145217191,3.753922688
OGT,9.413191876,9.934917905
OIP5,-0.998413715,-2.689621794
OIP5-AS1,5.382090291,5.950184944
OLA1,5.887742815,6.045804402
OLFM2,1.624837859,2.15050985
OLIG1,1.218368877,0.802206407
OLMALINC,0.33089123,2.367933254
OMA1,4.260348696,4.763621672
OMG,0.566092098,-1.171791271
OPA1,6.405599576,6.446254506
OPA3,3.736506141,4.654781469
OPHN1,3.098104474,3.164369677
OPLAH,-0.013728973,1.153940799
OPN3,2.069586472,2.844801744
OPRL1,2.129559162,2.102797108
OPTN,7.411183968,5.875251021
OR2A4,-0.875424112,-0.546684978
OR52N4,-0.222804044,0.160778315
ORAI1,6.075735441,5.014149743
ORAI2,5.903931973,5.914932259
ORAI3,3.437580628,3.290404319
ORAOV1,4.588809326,4.716845969
ORC1,0.768269434,0.279980721
ORC2,5.029496235,5.180435447
ORC3,4.716511163,4.983740404
ORC4,5.701477489,6.179267007
ORC5,4.388605063,4.463404043
ORC6,0.768269434,0.720258627
ORMDL1,6.431889336,6.342229629
ORMDL2,3.811654367,3.117120664
ORMDL3,7.299767124,8.2417152
OS9,7.662768806,7.262044043
OSBP,5.983276133,5.885861551
OSBP2,0.522019856,0.221610302
OSBPL11,4.971277701,4.5783436
OSBPL1A,2.590709374,2.795631934
OSBPL2,5.736853267,5.763340923
OSBPL3,6.683310515,5.538222128
OSBPL5,3.15692692,4.845626406
OSBPL7,5.587156254,5.431217192
OSBPL8,7.736036041,7.828758177
OSBPL9,6.12996311,6.271164672
OSCAR,2.897112866,2.326991208
OSCP1,-1.132873601,-2.299394161
OSER1,5.695289572,5.43764189
OSER1-AS1,3.584094429,3.635963319
OSGEP,4.561854236,4.643709727
OSGEPL1,3.149703943,4.116241532
OSGIN1,1.218368877,1.302132093
OSGIN2,4.512028387,4.213045966
OSM,5.248163087,3.537711933
OST4,6.862982257,6.671463948
OSTC,5.669006538,5.478719202
OSTF1,6.190168845,5.997700119
OSTM1,5.951437183,5.691238323
OTOF,0.110518269,-3.226208962
OTUB1,6.386523472,6.156078571
OTUB2,-0.222804044,-0.546684978
OTUD1,5.603109001,5.589609794
OTUD3,4.965118797,5.466204142
OTUD4,6.939844222,6.951745868
OTUD5,6.806116865,6.910193335
OTUD6B,4.216084228,4.503764423
OTUD6B-AS1,5.007688988,4.862437877
OTUD7A,1.010801469,0.988766428
OTUD7B,3.721969429,3.669102301
OTULIN,6.490954589,6.482437442
OVCA2,2.359824062,1.93129379
OVGP1,3.213444682,3.56731041
OXA1L,6.792268201,6.953428168
OXCT1,6.240332417,6.175428057
OXCT2,-2.405487138,-6.563717529
OXLD1,4.759850359,4.771272274
OXNAD1,6.930918371,8.841196854
OXR1,5.529890132,5.551611926
OXSM,2.780367928,2.713298974
OXSR1,6.403323717,6.254885542
OXTR,-0.875424112,-0.448635238
P2RX1,2.187137976,2.086535642
P2RX4,4.884741207,4.335071034
P2RX5,2.622363195,2.910940181
P2RX5-TAX1BP3,1.399794358,0.988766428
P2RX7,4.534385917,4.216786237
P2RY1,-0.998413715,-2.689621794
P2RY10,6.322925035,5.346691134
P2RY13,2.853321763,2.34076806
P2RY14,1.782586076,-0.765369245
P2RY2,1.538985496,0.953334633
P2RY8,9.431176344,8.578835298
P3H1,4.902038949,4.941417811
P3H3,1.324815834,0.279980721
P3H4,2.525238783,2.691960031
P4HA1,5.169994986,5.005526568
P4HA2,-2.793838948,-4.090114912
P4HA2-AS1,-6.563717529,-6.563717529
P4HB,8.690683838,7.883022421
P4HTM,5.217402193,5.184261113
PA2G4,6.98417113,7.051983876
PA2G4P4,-1.281165392,-0.651887541
PAAF1,2.853321763,3.059966915
PABPC1,11.29628184,11.34666891
PABPC1L,4.047557773,4.748197668
PABPC3,2.129559162,2.211767262
PABPC4,7.732414391,8.02924048
PABPN1,4.904186656,4.860048199
PACRGL,2.321768514,2.591825046
PACS1,8.03154566,8.398958469
PACS2,5.823377494,5.901051404
PACSIN1,1.873081217,1.330027528
PACSIN2,5.501800408,5.434433117
PADI2,3.113036454,3.051614075
PADI4,2.590709374,3.804509779
PAF1,5.468806274,4.954917451
PAFAH1B1,7.561969439,7.633763964
PAFAH1B2,5.826778108,5.591051452
PAFAH1B3,3.75089784,3.79453327
PAFAH2,4.376280511,4.920928506
PAG1,8.946018973,8.910675643
PAGR1,5.279936737,5.12578282
PAICS,5.115426183,5.388744424
PAIP1,5.73081555,5.427994082
PAIP2,7.20320684,7.272414367
PAIP2B,3.746116541,4.609975376
PAK1,4.561854236,5.278537766
PAK1IP1,3.339415824,3.412843996
PAK2,7.526160492,7.276900057
PAK4,3.52391354,3.068271673
PAK6,-0.998413715,-4.090114912
PALB2,3.988054687,4.147931274
PALD1,-0.149693634,-0.448635238
PALLD,1.133040237,-1.023228196
PAM,4.480709856,2.508833874
PAM16,-0.559102639,0.879748529
PAN2,6.272277096,6.99594921
PAN3,6.800939182,7.094279257
PAN3-AS1,0.049731782,0.221610302
PANK1,1.399794358,0.390081306
PANK2,4.989598212,4.460252122
PANK3,5.037345122,5.461482863
PANK4,5.122822385,5.630843851
PANO1,-1.281165392,-0.038810595
PANX1,3.774569496,3.339261959
PANX2,-1.446464651,-3.226208962
PAOX,2.547394081,1.817666226
PAPD4,6.536663668,6.649492359
PAPD5,5.798191685,5.765896131
PAPD7,5.92100249,5.963603176
PAPLN,1.890518481,1.837236566
PAPOLA,8.112953588,8.353813221
PAPOLG,5.429085927,5.436038396
PAPSS1,5.189497456,4.682094696
PAPSS2,2.653337392,2.755052705
PAQR3,4.070688432,4.100131747
PAQR4,1.645525773,-0.111986841
PAQR6,2.022912032,1.244669009
PAQR7,2.007012184,2.496578446
PAQR8,4.808820258,5.401946646
PARD6A,2.359824062,1.535669345
PARD6B,2.844401746,2.544987625
PARD6G,1.686032344,-0.448635238
PARG,4.236682868,4.587039457
PARGP1,1.705866972,2.734326886
PARK2,0.168846794,2.15050985
