,mix0,mix1,mix2,mix3,mix4,mix5,mix6,mix7,mix8,mix9,mix10,mix11,mix12,mix13,mix14,mix15,mix16,mix17,mix18,mix19
ABCC9,12.847481660442716,15.089550827085102,22.86959584497479,20.4117537082208,20.11412524287004,15.79040581200106,22.76299257945115,14.75423128454121,17.691840667416205,11.09578287305274,11.293972886944063,13.779162958754505,13.438162134685678,12.72113800286588,25.855732792061236,12.061564656015724,18.24334165522577,21.714472594965834,17.79999115369297,15.490457229308921
ABCD3,30.840835230886434,32.72986399292764,20.18494734786418,19.44062726165125,32.1423730504751,28.130287740910344,29.5294114378825,19.248871823371893,30.10676026705563,19.152894363455342,24.78852608510866,26.55916041914803,19.43108567081383,27.360606591069896,30.411186194344964,24.42533161820999,32.68388184274029,34.44521462704964,34.89396025185803,21.67362202158948
ABCD4,27.27091877746357,20.923745916335783,26.790969868119394,29.090650699603355,20.837641562738064,25.320069410093026,23.741307951829008,15.370808623686038,24.583447197052894,16.77252953081368,16.834737114750148,20.989975677128044,20.06586171642438,18.593817807170876,21.054030759377756,23.162910879344214,24.71785969326681,25.522524353145982,21.873172443039206,18.24751427906442
ABCF1,141.29582833572914,139.86062337676896,156.93307294675571,172.1283940992116,140.35819377682733,186.63573074605915,111.72827298795421,90.57880821019211,115.72016291556068,136.6554414347813,126.60151330116734,151.33182373936484,150.76455323873193,176.06467228165127,165.07731919794423,163.7152628875129,140.99179580874414,175.5780317998252,133.02330840972883,115.94861183278995
ABCF2,26.727787095017703,23.09872819427077,14.457648356496072,16.1051346601511,21.94567503899117,27.598367380393793,22.916101896037716,28.129556287914387,17.59041981079538,28.62252705315839,29.048469302041777,30.9832901969469,30.194195623956666,30.169210440448275,26.881641491966697,21.298298790289692,19.045294164082094,22.667295178227878,27.17873877320888,19.850758632366045
ABCF3,78.01136613824372,65.68344235923581,69.20895337793283,54.605007366972046,61.443316352486875,51.51673333765891,68.3294151152108,60.87217127570115,73.18783339711479,76.44209092542198,59.10848541682829,67.21424032393293,66.2484790835622,70.2533361727369,72.16733164519479,51.394061393918555,67.05175425180717,65.1762102949436,76.9665563043472,51.02849597941556
ABCG1,33.73382656991511,29.487889443241848,47.95506909187146,60.523823235208795,34.2911940361889,33.49599606989602,32.841400318572695,33.449482617199955,23.19620725210305,31.564435216893486,19.948900835320135,25.336608165944035,26.537478619375232,21.087475081949787,34.02221075400204,32.22115902053123,32.40318822676617,37.23591862385841,23.965381414686497,32.16133324368048
ABHD10,63.34894314949335,47.26258726112926,42.22715225457537,41.109566636957354,43.080274706140045,66.03566519137416,43.214104892570646,68.01607371439974,38.531997447980714,83.41180445900353,69.76628465648628,50.74126156610626,57.075483366143594,82.74981938936797,50.621447728233164,47.93074163525061,43.55163816238685,34.998246829516674,49.621375620582796,48.55916784158578
ABHD11,54.84278357771471,66.02406065154263,53.47028237403853,71.58129087674806,47.911750477514126,51.768734478405875,58.292003722624024,57.71856498539321,75.25760572015827,55.009725306162046,43.44942802598024,52.77193262719629,44.9304626934123,39.18706004212973,50.223416581670755,54.19860759348689,51.43230594618072,56.831375950101716,50.30137748540537,58.797350699960866
ABHD12,24.59924722055608,16.476930632453943,27.027687211464006,23.092239523214573,18.65753750346442,16.064160947442073,19.409947427037082,18.256620365956746,14.430665032266402,17.627284483275222,13.198175446307308,16.12000344077994,13.75152042033496,14.846623649778602,28.110884028075446,22.020188516473265,15.006832574715215,22.413582125300962,19.247540771810723,16.12178584304773
ABHD13,18.595764428567467,19.957002124398024,23.956823794674495,16.887559009719823,16.48996583799384,16.16136072532395,14.874757617705185,28.044992900402523,16.107781747558413,24.77985618934949,19.957080801502542,21.021959855233746,21.02753961868027,18.131865949333484,16.737740469328138,28.18539990045086,21.23905993648063,15.711675044795339,20.634291666169208,24.48537304412472
ABHD14A,38.29722797977083,41.43878027045911,29.992940296989612,31.733202592475166,35.19574922939097,49.49517482404136,41.10534645436716,44.30422717576033,41.87380166694073,44.842798770729374,60.50972245056153,47.29301097461219,52.80229647107338,48.224002369439376,47.568060177868645,42.36531013894171,33.26484125279838,58.712396799212826,47.227874020311475,32.160936802697705
ABHD14B,78.67844453417878,78.70227596765608,49.44394143705679,31.426175188351237,75.88574342137294,59.30197382090068,62.745355780123084,61.42271997314008,43.60422632003384,64.94438282829252,114.2531789480285,96.92751014609281,83.32035425630313,133.10741705485822,77.57993110072445,47.01670793975911,59.9949669532904,58.97290263409545,78.91642871080705,55.55387377055773
ABHD15,39.86863566028348,40.56974622728733,33.415361884190055,24.660747164644103,38.32661020338866,46.861026254157444,34.93146591794929,28.516977233278283,49.27647929007569,41.67495851997147,48.08316877510952,41.116966531009645,58.146831225384936,49.35143453304531,55.18314908613662,38.10347331251347,38.377267211556145,34.09049244726931,46.36021094907504,31.89633124848569
ABHD16A,122.51013948581372,131.25051662053988,118.56051924151866,169.63068071650378,107.15324201291428,84.69968742124837,96.44147232730104,166.46824954756676,127.82072043868104,129.12868406983847,119.44835609481215,109.44884892689271,125.90953873938373,124.1183726986716,83.23261136958327,161.05627263106663,125.67078883370957,101.73487833403232,128.55315316831604,140.38224436246554
ABHD17B,62.832700873381064,22.283912160906922,115.58554633732538,105.63166927519042,51.65267755137189,66.65640365864704,84.62653981169507,32.59039565372019,13.601644578021887,34.84857212567914,22.22269670165674,29.830609059354007,24.588442623815272,21.987035601833327,96.391620656282,64.84969997286564,36.617430386317864,56.3102912930721,42.50298750752695,24.339000258922134
ABHD17C,20.015216648579788,18.76524791025851,32.0112925595615,36.974647411829565,27.55827526172631,29.25992483710401,31.769646206994405,24.723429078069547,30.37508270408431,20.261401607305004,16.60025665601911,19.176339998762238,16.98563095607319,15.171971966786973,34.99744246980394,26.810750849552292,31.815008132978097,28.319657901201296,28.971417349804067,20.9922117333534
ABHD2,29.962726475198696,46.619281141929854,56.074882798865296,53.933188957398485,28.50664758053455,21.556273067877463,31.063923248469045,72.02655383712418,64.78731830455368,40.32402636845169,25.40624098121303,24.915230106985284,42.479682005251895,22.694809174187192,22.122637519639177,94.7538607161862,42.834924816913414,35.11270200328152,25.088870898630113,47.72647807894811
ABHD3,55.64546984693293,118.2144953781858,117.11011910228305,125.68800086462072,86.29446344140017,70.02923640774681,74.15443356616694,149.75401784399116,127.56273011666319,53.38532763333324,83.50783817370323,81.7847698077576,82.55159233180345,62.306099407159785,47.91927540375597,101.47523813337403,104.38090566902041,71.07795612520978,70.49956469586287,114.46614244398404
ABHD4,56.63597518216679,61.48954122681186,74.25811692659292,101.45921612621576,37.431559413182896,52.21458346591511,52.77874938609808,79.81851758493622,83.01797225429635,77.89752097147938,51.07847429371577,51.360710976407454,67.90456347069654,61.485824046439646,58.42103816708688,91.74337493440107,88.15407886882076,55.14594510660096,60.74568242998969,62.890937165883834
ABHD5,17.66667215324455,28.672108967068397,27.48499811763952,44.17044305447988,21.172881929659233,12.990268368682417,20.66903639605656,27.768513480909572,27.694517423566996,26.960850666646873,16.070237228629523,18.390690908505853,23.820486526075282,16.232614099703945,12.237135671026852,41.42545107447477,33.14834130116894,24.427092997327097,22.319723449058365,30.377299236660072
ABI1,214.02513729643,270.0624589600212,246.26582302757967,266.00173484074,296.2081026781859,276.19103733890665,231.3084057615191,270.8969481897038,226.21742167996211,283.0292728015322,249.62646080375535,285.34592062271014,263.03335863006185,175.0947083967281,282.3764821272907,253.4946713227516,262.40757931452436,273.44164585620024,272.5080791499056,299.92347723508954
ABI2,47.76476548983824,33.55233343505718,29.466658647297812,38.646105019540045,28.192020538858714,39.579826770839276,37.02243334798446,28.22421118827127,31.472840257814173,28.317259833072566,26.157289133477786,30.279411652385683,26.930942823614334,38.73858423711211,37.16913709706128,24.273694173084237,34.15534107011264,23.632356342878587,34.15016864537576,27.2998900643445
ABI3,77.87674134990192,118.48607181373852,63.88467539094985,74.1527840944172,60.21631305057052,103.95598578153674,81.81779964895705,67.48002988789938,175.39036892238832,99.94141721374532,81.10981699714831,92.26871703017396,61.45952111724132,78.62382774097675,90.23756782989994,72.69927029469136,126.0809679060023,101.46825397416701,98.35083267067009,99.39864393680088
ABL1,103.07551437970967,84.10034488838352,95.1957272018685,75.97163957343912,129.56926659034906,115.61272464615327,112.01090083555032,105.4139860398621,115.99844834945876,111.67386862806053,116.77399810582561,106.22208100711426,97.97221417743536,88.32859190156007,107.30365668207023,73.56639368301157,106.49423945661445,99.57116466920684,119.72719462741392,113.58545043402401
ABL2,32.78972293430003,31.799446451343545,36.59764350703365,22.60289359198368,32.73040346620341,34.284829310922234,27.26525758790453,28.699670721212307,28.6589489803137,28.909484761739275,32.449587862190235,31.17194027598197,24.62374283034342,42.41710208532225,34.49060466257788,27.59108752797129,33.61400463764537,25.43600823161953,30.18318458197333,26.02288546067952
ABLIM1,140.7918298242408,109.35985561288994,178.44206153650845,194.35116704066684,270.5016662799451,208.4816489307252,209.13402084981368,130.06405355109683,70.78172230853163,87.61680105519346,244.91641790604874,197.6272574174576,162.50777925951405,123.04864113744289,202.1870221585101,141.90135134449145,100.44147742765037,241.58664048700928,168.1014326232244,123.56392791739339
ABLIM2,16.965182844593297,18.59842186060918,30.52163147483897,28.978958475380615,20.805472877339966,22.71716836830164,24.792878212714164,17.548782943202447,20.22370236338674,15.054816137788878,18.158886101805415,18.993769560904155,21.783669881776486,17.138382913316768,17.87468505309198,17.81260137736081,15.392318953230413,24.54705973123056,18.808452841461865,22.008145809960237
ABR,38.36830441423116,36.42778573979504,43.782701311398014,43.10297867661804,35.58882925747985,26.006761548080537,33.553937750946645,31.316494014808455,37.478790778329206,35.38227992311758,27.21553420990548,36.2699661338537,22.444849355640198,26.17855985396154,40.95164910562968,37.9607346432346,33.984615496363574,34.69918840068925,39.134694149290816,24.815594962960432
ABRACL,214.7229868213327,187.28403745764544,146.3673285110877,160.8803522265384,225.1014581297231,216.1988907063743,213.4684941094744,128.86365413597903,137.19499627782756,180.49753572947176,179.1896765863943,294.65935492644724,169.24922426162857,229.99722964730708,215.10118007771516,150.95683510572536,193.18636470801326,175.97114109149334,231.95238413813465,235.62621288912874
ABT1,102.08623979389012,85.98589448586922,68.36930107328358,109.40580476437472,80.94786990181291,133.1192792203721,114.34800624072864,96.1781665615244,87.9510935740815,96.58636036160455,90.31941956261862,68.23622996459922,97.86648113609557,83.21561848790722,78.34150450830842,93.69754039947247,95.51497757547767,79.31558922725543,112.7821287823347,95.06847137504037
ABTB1,96.55127062723037,133.89190776624758,349.47313857225026,311.9812345538384,146.1872605308337,77.97966906595501,108.94511727622925,266.0201969783984,222.6939727849981,156.5880784319047,123.79172324555476,115.74424166170752,136.15760366572016,110.43027683364869,78.44561376467459,369.774384562378,219.30648693827558,126.04997089478138,73.73196801398099,220.8958232606466
ABTB2,32.251335876578814,34.91198742984596,43.9173187373827,35.966125833102225,29.289985615296537,28.150054716091724,41.32798155315757,26.595755854249777,34.07743107875464,31.85397625032819,35.48140335042256,32.83802741673047,30.022223009296898,25.893627759725554,23.051877012261322,31.265295042735104,41.20997646123463,28.705432509447014,29.283914253245385,31.38560351265955
AC004692.5,82.991221710221,66.57164008447162,66.44849468227542,89.19546080400008,102.22132537465296,87.47525083513509,90.4249286518347,68.44554951607023,54.45203081915554,90.23071052338878,100.46995742902303,53.239328411202045,72.02046952047665,77.24642927271971,67.1762334473503,56.34877969616602,60.1848746348348,71.36209506673151,82.47883704683179,59.56052576302111
AC004951.6,298.8422760067241,294.0622921626243,177.2706723844662,141.52193184049975,242.55906625100025,301.3353561348169,248.41373005821714,225.57353711607502,208.46712548200668,279.85405135625615,347.6952534179132,324.4276609885426,259.54013156495296,455.13416466770525,201.935667073435,179.40650962606983,186.64301340762398,262.1215338108206,387.7424672165016,259.89332564275287
AC007967.3,34.80971564627194,38.90540926933306,43.2914028147388,45.699470892127735,30.13748437773087,36.250508613304795,42.70807335164169,37.577363584188554,41.45647621247392,31.729191327022694,27.206445175893545,28.77514091616619,34.530469460766255,33.230325316026985,40.37056149201141,39.32518500790849,32.320541099907196,38.21124222838463,40.12954349153394,42.022289085368364
AC018755.16,27.336652083221008,20.565119758243796,23.102547959967282,26.508996346662634,30.478385972908278,24.671109631822247,24.037643737097298,28.74685611899309,18.05002192588573,26.8764837008798,31.344877763143142,20.91415280299544,26.852389142233488,20.160281266450266,22.969756234922492,22.547563934657617,20.122293295174725,23.478187829094452,27.074310692034402,24.48128970007968
AC073283.7,43.00920437744679,42.748642904154906,41.889484000596056,48.79840862811471,38.14859831762671,47.37617916828637,44.86836796527791,44.175684381188866,28.581661187862192,48.14162482283676,46.70069944540708,35.66996415380432,49.2102273516336,38.359424433298926,39.270622599723765,35.75542906786141,44.569178112541024,30.984347630096117,35.75660894498301,44.97078220395701
ACAA1,158.26388332836245,156.33086723227404,124.49090163127988,181.50836037017078,135.64191453719994,113.86995979605655,129.85207852027793,180.7774062678532,114.07942293139482,150.57134431168987,148.406977053183,113.41921225412213,163.83615562669746,183.97452290731943,101.46898574748585,168.45982974131658,179.1735519201762,132.31476805513893,117.0791689030037,177.6189320745434
ACAA2,35.11778835851622,32.98493059816173,29.53091391224569,31.82127997812344,37.29398597478415,33.89415864109134,24.26747536839914,26.707855695473498,34.01097497023123,34.70433677506926,39.35434215077838,25.560686385266,32.12369639465179,30.74586097452622,32.81572303361975,26.307482656904607,30.33911250667133,36.25189680933691,34.55623794157496,25.43413034750054
ACACA,57.08955836435823,32.41978208169978,37.723527425448594,28.068510978908435,36.27007985668503,40.91163927004678,35.67568160600056,39.51155095793119,29.215472075431872,34.799444713998064,49.61386076247483,68.81890448823566,50.41861834726252,45.058405323900146,41.99382097672845,30.776781378236205,50.278291798686,35.02021371321662,50.60111996725077,36.101264166359066
ACACB,19.364391558322442,19.224439822590988,11.877970093002748,10.7851224936135,26.923441283061685,23.970824618111592,20.245727630221708,17.792110196908794,21.49978394266139,13.789652240506555,26.550319697578658,33.323983520773105,25.840509480802798,27.653618312559328,20.123129283183324,20.34125731813616,18.263477275860705,19.586591735579344,20.70227965705407,21.225343469805754
ACAD11,39.179488511938835,45.96012907739428,26.25316360273186,29.155226934657314,49.415153615165565,49.026212398984,34.47121429999163,38.16914323825237,33.208417656682016,40.87382070492958,45.78322373273287,45.54751460459658,45.911033919271745,51.184835013537544,43.14702471256255,32.38898652679892,32.237213856120746,42.656976741041184,42.70233825791538,37.07287526770534
ACAD8,60.39922730432332,50.88600254075278,43.11780954145199,25.48467281876635,61.26308571131802,41.26531824812449,39.13652855089473,52.66228058248818,54.89045204486618,53.545048189287016,56.44325520765959,53.97953034182714,49.34483589209025,64.43091188027492,49.17664728012641,37.373127150333886,56.77209894919088,41.366434249019164,60.6431868479302,47.250801693316795
ACAD9,37.346247958673864,39.13006782184934,32.684736645419775,28.398820409507074,32.51380729072443,44.46718546373894,36.45684445105034,31.703864772801083,25.29899164904398,43.66579601194988,38.96190574279525,54.80521610561256,40.14823767629407,57.34959835560653,27.25333996502343,31.41541559934425,36.38234713548101,33.36277653865927,50.585052088100106,41.60357605278506
ACADM,52.302423463344695,59.86598779831063,51.43662632535835,30.401608784777927,73.12611254977737,86.6388753846729,52.10646371484471,52.540331404179994,55.462186153171835,87.87497157571715,99.88614740960682,84.37170041097424,78.82668015056073,98.52734920271322,50.690587482016866,41.58618768871768,52.67763862794285,47.04206479305596,64.2244389979826,60.9002989028072
ACADS,37.94842898814488,46.15349933861551,38.4623127401273,32.865582501242805,29.443639588630383,37.32752827601286,38.09357884387948,44.63740223317001,51.54337702347224,44.16096846748711,44.1210184920207,38.18975588293233,47.05089504358958,48.333294016652395,42.74952597315353,41.72752644280131,36.24307832605376,42.30822414897066,32.220213819094994,52.22682216124469
ACADSB,35.642909491889704,53.3449941580771,44.96338471096933,29.219759946935742,68.32908811764071,78.30794153598649,56.184478475562315,57.06874303760963,39.93263125191837,49.69672197948996,90.79082203880631,74.01435881309095,76.60797191336829,84.29561374422862,65.01866044263211,50.1724989446365,40.69290667067793,49.50648153219753,46.66898152910166,40.55348857039123
ACADVL,190.87730371978705,232.08356291329773,195.21543830236743,150.74801835917108,181.61972959843527,189.452592177632,165.94740049740443,160.89707904227294,218.14619978241248,237.92820590796967,254.2538504926089,218.24187900253142,247.66336982837888,192.07765920957291,124.83588795053646,146.91137228743355,270.04389572239586,127.96773184043491,187.93111931822648,212.00167600327174
ACAN,23.24954777991202,28.38003772973302,23.724472858810365,31.118045333804865,26.360839245055686,20.206318875237706,22.272842353286975,24.637732412449772,23.60383454844115,25.419188231966423,24.395177395371118,20.292910750289785,23.962450895308397,24.98855973507695,23.201381731058802,28.869094845946805,22.396757919630176,27.99389573540095,20.174850505899133,23.764830702246087
ACAP1,64.05457479453099,60.44519676730942,63.30586214919404,49.18654239895322,75.04675580628857,74.54427141475652,64.77850394934889,58.52265826957716,56.52213453094214,57.29744467403844,87.68279791438461,86.2685167358885,87.35783942679662,61.65936883650389,79.71155398721875,63.42285618055969,77.37200543613535,64.42029441971452,68.88400100507201,55.53400807280085
ACAP2,63.46914243337059,79.3931203963915,98.90557157690081,125.88342063793942,58.051099006187044,65.0212566851101,57.4933463382129,79.42495694155475,80.69833581972254,75.22924469518955,67.61227135979996,45.13828852137188,67.5391193959588,64.81949840754869,61.80446348690461,72.16711319412119,102.74810621848233,75.28611192388564,61.262683140982446,97.95441361269448
ACAP3,54.45387266610207,75.1586166979437,58.0418324784243,36.14726228209244,57.6514961952314,54.90526547973934,48.285107628748285,55.54543032586142,45.35177120185822,48.61734952327887,58.73979293831953,66.01389130660225,63.070685581623714,62.103321520146814,52.24573335970169,54.015477465289955,62.07400689059828,53.32286588350298,52.379928391359016,66.89471975792523
ACAT1,20.539824041488515,19.047553186387226,29.927055261522543,32.21960719391183,27.171756919365166,22.751858179302257,31.634094861262177,16.831535300822754,20.41187803298944,21.274359471385726,14.497068240434796,13.453702160324838,14.104737066433296,12.260487022487753,29.497025773001567,27.184682284552785,18.621125822451795,28.57311255931064,25.412271957070125,20.368884408708524
