Symbol,monocytic.lineage,B.cells,CD4.T.cells,NK.cells,CD8.T.cells,myeloid.dendritic.cells,neutrophils
AGPAT5,14.305222182148324,47.09395559856139,14.015584441173326,17.89382615320753,27.113510275635115,15.821012214328782,7.174011211838061
AGPAT9,199.54633895917024,6.712080413664348,44.16035914120457,5.788943195227852,17.782915899754133,329.86913848534726,426.93422203225253
AGPS,23.494481107150733,11.155783992622315,13.891302760146967,53.18324863234599,39.349952796773316,22.019045103270113,12.0764121941178
AGTPBP1,278.5282786665074,26.385803280345772,83.07140211794797,301.35495998453877,207.0851080989334,168.51812980368945,239.0933178287885
AGTRAP,59.67190789792898,13.687433022536363,31.5109206309884,52.59158236942816,31.825471876007914,12.936540884375866,45.67427741757288
AHCTF1,14.701077554632574,24.263739348565327,16.725993473179788,6.5047788098107056,6.669136603410878,16.76615538412337,28.477685655405946
AHCTF1P1,14.701077554632574,24.263739348565327,16.725993473179788,6.5047788098107056,6.669136603410878,16.76615538412337,28.477685655405946
AHCYL1,139.3143442642325,132.0115180056419,87.02512041093891,155.87978105274175,127.54123977609304,73.55492307290433,94.39116992421035
AHCYL2,44.85696168607695,23.34691461995627,34.242829213395204,42.4549244476408,47.954689549666746,48.236388822745035,21.86012885622414
AHDC1,18.397527678565773,23.850870218722658,25.014279619972832,105.15765023898126,39.22495807285477,25.276240624008842,14.893696923541306
AHI1,12.016209781971567,13.882543390203038,14.26205532027426,12.473288783523316,21.33351818404617,18.134184962525506,12.605749552884328
AHNAK,76.8812559824111,14.227595912188892,20.965131875736404,110.53504219551058,42.72296887019603,47.5185859437053,17.94189041350574
AHR,257.3057701451217,12.795281656679855,40.42931906610075,19.298676419885073,34.297463989460134,208.77714827723076,4.299235085026489
AHSA1,148.65147826746392,216.77731781070582,198.52680467928562,278.78710070911126,273.27885023243687,165.202304312409,106.96685360717859
AHSA2,86.18530506702822,154.15950135704847,215.9165470180533,98.96455506527494,177.37267950641203,62.40328190528197,20.52143908910769
AIF1,2583.838171469767,28.426606919426316,390.8225767418683,43.52945342463195,121.01398733305555,772.6654079213395,2200.0185913211885
AIF1L,24.535691041419277,23.82030531756276,21.31844050137108,20.004463050321043,17.652614874134414,33.259855600824075,25.324291463692816
AIFM1,53.94584724079516,45.16520963570795,48.595472390733875,102.6955601098619,101.07132939393775,67.41837738182592,18.092627082353225
AIFM2,29.57323166694195,35.558436861591154,32.45007707980674,24.500512115781984,23.99579988365224,35.33656745025017,35.525178663830275
AIFM3,43.25604927911914,20.587974562189952,20.895639396551918,17.903379054747564,14.10407356904685,50.94045709365942,24.8695758926851
AIG1,14.121388060121227,16.10436644192759,18.529473707779353,33.948360556108035,58.03575126484198,56.67497718169108,22.506190886407467
