gene,naive.CD4.T.cells,memory.CD4.T.cells,regulatory.T.cells
HCFC1R1,17.747972533333336,21.408327777777775,17.712979999999998
HCFC2,126.27953000000002,126.00377333333334,94.05685
HCG11,5.1858303333333335,8.178153611111112,6.908200266666667
HCG18,87.42958555555556,78.26392500000001,94.57186000000002
HCG22,25.03730733333333,24.992833333333333,13.416326666666665
HCG26,245.04507619047618,142.27861777777778,195.72802222222222
HCG27,57.583866666666665,33.47648111111111,49.51026033333333
HCG4,30.826185,10.77093,21.266858333333335
HCG4B,5.632643333333334,11.228733333333333,7.876033333333333
HCG8,26.588303333333332,11.874335666666667,19.805358166666664
HCG9,28.131247777777777,3.8982966666666665,2.6033055555555555
HCK,41.575337,29.847016666666665,24.613943333333335
HCLS1,3447.5957,4314.4695563333335,3765.8558377777777
HCN1,13.333036666666667,8.413789999999999,13.136652333333336
HCN2,7.881446666666666,11.935145,11.927594999999998
HCN3,2.6153033333333333,1.4349166666666668,9.28859
HCN4,17.704086666666665,15.734797,13.237461111111111
HCP5,482.66446399999995,483.34666666666664,415.3324833333333
HCP5B,11.543999999999999,14.271036666666665,21.828284999999997
HCRP1,235.59094444444443,150.40560000000002,106.56579666666666
HCRT,15.635910277777777,20.2846,5.746292666666666
HCRTR1,0.28126966666666664,0.738941,0.9126243333333334
HCRTR2,10.154366666666666,9.931955,6.849995333333333
HCST,534.2482333333334,523.1266166666666,496.0620777777778
HDAC1,2205.6399444444446,1970.758111111111,1963.429277777778
HDAC10,23.870608333333337,20.084873333333334,31.33021666666667
HDAC11,29.653866666666662,26.16416666666667,31.169492
HDAC2,172.31517499999998,130.41398333333333,204.48597833333335
HDAC3,405.7443916666667,367.5854595238095,413.9209333333333
HDAC4,217.12789222222224,218.98330666666666,251.37375277777778
HDAC5,104.92708333333333,78.75055555555555,96.46504333333333
HDAC6,47.758782499999995,80.02210150793651,117.74535555555555
HDAC7,47.230916666666666,42.546481666666665,38.72516533333333
HDAC8,25.811444444444444,32.851106666666674,28.989796666666667
HDAC9,4.685937333333333,11.138323399999999,14.735645
HDC,15.336543333333333,16.052756666666667,3.3222
HDDC2,329.6003333333333,297.889774,291.72296666666665
HDDC3,249.37766666666667,190.14416666666668,193.24013888888894
HDGF,404.71935,484.16814999999997,442.26950000000005
HDGFL1,29.455188888888888,45.36060416666667,55.132875000000006
HDGFRP2,146.39625,141.50290833333335,172.4484666666667
HDGFRP3,34.37121416666667,20.189650416666666,3.8941549999999996
HDHD1,153.5944333333333,230.68933333333334,156.47127333333333
HDHD2,607.8178333333334,525.6503333333334,509.8167
HDHD3,114.554285,145.05978666666667,116.42107200000002
HDLBP,109.37813322222222,136.17377444444446,95.82752222222223
HDX,1.5771075555555554,0.4791383333333334,3.3510000000000004
HEATR1,199.5847311111111,282.6531753333333,233.7648685
HEATR2,159.85030166666667,166.89209277777778,154.55273166666666
HEATR3,75.14722666666667,76.63881666666667,57.94285
HEATR4,10.238288333333331,13.81078,1.0296366666666665
HEATR5A,79.69096666666667,85.29541666666667,99.16022222222223
HEATR5B,444.09895,472.1245333333333,419.29105000000004
HEATR6,72.65414055555554,88.04252208333332,79.12495555555556
HEATR9,3.575463333333333,7.296857777777777,0.74744
HEBP1,339.2798166666667,196.22558333333333,324.0931516666667
HEBP2,349.13056111111115,383.9806077777778,485.9843733333334
HECA,1326.2036444444445,1241.2631222222224,1206.5895555555555
HECTD1,215.08066499999998,221.27978,252.59425055555553
HECTD2,14.278075944444444,10.254401222222223,17.105716083333334
HECTD3,55.814492,83.139562,50.53950833333332
HECTD4,106.37474888888892,126.47067777777777,88.48609900000001
HECW1,21.001283333333333,19.71061877777778,23.345624444444443
HECW1-IT1,2.0138933333333333,2.187353111111111,1.7649033333333335
HECW2,7.0979269333333335,4.691728333333333,5.917545999999999
HEG1,271.74339722222226,254.30049999999997,210.33719444444444
HEIH,501.67381666666665,405.57266666666663,580.38935
HELB,101.56896666666667,109.68185777777778,88.00336111111109
HELLS,47.631834,63.233934000000005,54.092456
HELQ,131.580645,99.08462444444444,145.05978666666667
HELZ,399.84885,401.2452,315.98487777777774
HELZ2,33.819475833333335,40.913644277777784,43.87315566666666
HEMGN,44.8237,16.1756,25.03217066666667
HEMK1,170.70002833333334,113.29693249999998,184.5105422222222
HENMT1,242.80100000000002,298.10966666666667,268.67900000000003
HEPACAM,5.706683333333333,11.282199999999998,10.326633333333332
HEPACAM2,10.56256,4.003303333333333,1.1476745
HEPH,0.9353565,6.439446055555556,1.4171449999999999
HERC1,521.3935666666666,464.1706372222222,399.22781444444445
HERC2,198.46782444444443,164.39871033333336,186.72333444444442
HERC2P2,1106.1573333333333,703.3483333333334,1098.36
HERC2P3,2.0050391666666667,18.61666666666667,32.601866666666666
HERC2P5,10.492105,4.72726,9.931955
HERC2P7,8.1457345,9.197497499999999,4.582431222222222
HERC3,70.03747777777778,45.58159066666667,62.10076666666666
HERC4,160.80086222222224,139.12258333333332,123.05575666666668
HERC5,408.6291833333334,498.0514350925927,574.7916944444445
HERC6,118.47435,182.467834,179.59710000000004
HERPUD1,870.6814,1097.2112166666666,1203.9819444444445
HERPUD2,524.9623977777778,668.6143694444445,510.04815555555564
HES1,3.822731111111111,6.760746666666667,8.341588888888888
HES2,10.149796666666667,14.901592777777779,10.618114444444446
HES4,2.277295,1.54998,4.096050333333333
HES5,8.125355555555556,8.348201666666666,8.19036
HES6,2.2580633333333333,14.76181111111111,12.490833333333333
HES7,6.516061111111111,24.3979945,27.072119999999998
HESX1,0.9700586666666666,0.45497133333333334,1.5093366666666668
HEXA,147.13000916666667,163.53091480555554,158.37092166666667
HEXA-AS1,15.140616666666666,0.8764090000000001,3.656458333333333
HEXB,734.5374833333332,781.0745666666667,728.852888888889
HEXDC,190.20234666666667,183.66521,245.77554999999998
HEXIM1,353.885634,317.21168694444447,529.2460166666666
HEXIM2,19.670366666666666,19.614666666666665,15.746899555555556
HEY1,14.505375,15.926753333333332,17.46507166666667
HEY2,8.033756666666667,2.94406,9.102465
HEYL,12.38191,12.741260222222223,10.526699166666667
HFE,20.19580732222222,22.34120302222222,20.680318
HFE2,10.244708888888889,17.251566666666665,5.4507505555555555
HFM1,1.4276143333333333,2.6702341666666665,4.509168333333333
HGC6.3,1.8356065000000001,1.5268366666666668,9.051544111111111
