,mix0,mix1,mix2,mix3,mix4,mix5,mix6,mix7,mix8
RUFY1,46.338583,29.94809705,60.20447,47.40201,47.939495,44.1328,46.932812,47.07677,48.10993
RUFY2,2.52260722,2.5402945,7.7881861,7.6054309,1.6628489,2.79901,1.8605911,2.577002,3.346302
RUFY3,9.604611,6.692972024,19.99250024,23.6721,9.609088,9.47958745,8.601493303,13.41894501,11.42067005
RUFY4,0.2717428,0.245001,3.0579199,4.968287,0.189173,0.4345122,0.4916251,0.432246,0.2865236
RUNDC1,9.077596,12.12850552,16.96667,10.05942781,6.08055,6.99544,6.495400967,8.45809,8.13237
RUNDC3A,0.402839,0.058879387,0.598339134,0.2237966,0.622944,0.0876377,2.453659,0.205001,0.364038532
RUNDC3B,0.102578,0.2804371,0.429871945,0.260270006,0.1348321,0.1029858,0.151507,0.2180848,0.128123
RUNX1T1,0.0140304,0,0.2347835,0,0,0.00567176,0.00609254,0.021162,0
RUNX1,25.08956178,19.08812878,32.52258253,34.9048885,23.5129396,26.2686851,23.2636973,24.17483224,25.6852476
RUNX2,8.3050982,4.19252666,11.708113,11.543098,5.87365,5.108341,5.950714,5.677536,8.003215
RUNX3,153.020282,162.180055,278.5057435,303.362443,167.374932,281.45682,243.1097583,148.593596,278.177466
RUSC1,9.982779872,9.479900579,21.25699208,18.49378117,11.4122402,11.64457314,9.959582252,13.5276929,10.605387
RUSC2,1.5872998,1.316049,5.04211,5.5593,1.5300676,1.053056,1.437096,1.704835,1.554233
RUVBL1,33.244071,22.639399,17.77102,21.40875,26.89115,25.892407,19.578607,26.363841,26.542626
RUVBL2,45.165805,36.7227,37.0734,35.81654003,35.191428,35.716975,34.516605,40.3767111,35.644987
RWDD1,94.86206,104.92374,90.46057,86.89403,90.13111,116.81599,103.09394,90.80997,100.18076
RWDD2A,2.780815,4.334634,4.014448,4.84509,2.751215,2.615799,1.7818687,1.872420001,2.48325
RWDD2B,7.26319038,4.084313,6.73516,5.571978,6.8234294,6.23491,5.554791,7.320855,6.77511
RWDD3,15.732386,19.411751,22.50136,14.49634,16.545213,15.708706,17.1932965,15.518638,19.373919
RWDD4,19.935926,12.22567,14.80483,18.84935,19.52741398,19.230819,18.13159202,18.44178,22.00042
RXFP1,0,0,0.0958192,0.0451184,0,0,0,0,0
RXFP2,0.561796,0.190343,0.475617,0.791048,1.18466,0.682888,0.523762,0.387791,0.513192
RXFP3,0,0,0,0,0,0,0,0,0
RXFP4,0.4061,0.256935,1.35759,1.39571,0.14492,0.012285,0.404665,0.177895,0.193166
RXRA,54.3875252,43.040373,39.947052,67.293825,58.5689976,51.277794,51.50932738,68.4038664,53.56889327
RXRB,25.70177173,24.73771834,59.37738,56.24102,23.01487421,24.22225157,18.1237766,19.961368,20.868639
RXRG,0.0191034,0,0.0148252,0,0,0,0,0,0
RYBP,16.7252,10.1259,15.8912,17.2396,12.9107,15.0639,11.8936,11.3017,13.6755
RYK,11.44663,8.44069,15.36271,13.27489,7.64056,9.03452,6.62717,9.5969,9.52943
RYR1,0.499042,0.593422,0.616873,0.4136775,0.821787,0.61047745,1.08661,0.5014209,1.143683
RYR2,0,0,0.1462675,0.1251277,0.3018983,0.09596966,0.135867,0.02986412,0.1216951
RYR3,0.01325182,0.02611351,0.1456901,0.1368364,0.01366178,0.00521151,0.01430565,0.00586963,0.01820979
S100A10,415.135,394.83,291.986,335.822,494.818,388.065,463.207,475.642,443.532
S100A11,603.839,499.555,363.445,552.622,701.97,512.222,691.515,714.485,623.905
S100A12,589.468,449.086,222.991,203.228,1018.25,440.923,636.156,582.617,348.409
S100A13,3.74793,4.045062,10.090771,12.178254,2.957645,2.889903,3.47661,4.48665,1.972246
S100A14,0,0,0,0,0,0,0,0,0
S100A16,0,0.0345446,0,0,0.181854,0.0396407,0.142326,0.0191341,0
S100A1,0.0936869,0,0.926574,2.28826,0.434628,0.331593,0.465222,0.2743567,0.386214
S100A2,0.225507,0.154566,0,0.11195,0.232481,0.118245,0.194749,0.12842,0.174305
S100A3,0,0,0,0.207253,0,0,0.150225,0,0.0768315
S100A4,2192.528,2067.057,1758.251,1745.094,2321.511,2598.62,2788.683,2537.265,2128.969
S100A5,0.752335,0.880179,1.44956,0.865455,0.962814,1.16306,0.828952,0.994755,0.427782
S100A6,950.729,995.872,674.287,706.003,1017.06,1035.26,1107.35,1200.28,820.334
S100A7A,0,0,0.0565191,0.00482066,0,0,0,0,0
S100A7L2,0,0,0,0,0,0,0,0,0
S100A7,0,0,0,0,0,0,0,0,0
S100A8,4452.63,4748.68,1946.01,2486.49,5634.23,3844.99,4942.71,4765.87,2713.9
S100A9,8052.83,5807.95,2679.5,4254.66,9544.33,5484.33,7447.63,7977.44,4539.82
S100B,2.63264,18.27252,8.78139,6.11455,41.85714,4.89624,10.46638,1.699807,39.91455
S100G,0,0,0,0,0,0,0,0,0
S100PBP,6.134450001,4.845847251,18.03499095,14.34944455,4.497028,6.88422,4.39146,3.93899,5.12234
S100P,24.8325,74.2191,24.1541,22.0013,45.1365,43.3967,40.2865,2.69966,17.3813
S100Z,5.280609,6.80754,13.49304,15.47739,8.19969,6.703394,11.885905,7.2046,8.352861
S1PR1,75.8809,48.9256,27.5299,33.4561,43.6837,27.4797,34.9996,43.2274,55.5486
S1PR2,3.48806,7.6746,31.7045,7.53439,3.10403,6.72467,3.78065,3.67827,3.42512
S1PR3,3.56003,1.69715,3.40114,2.62586,2.85438,2.19081,2.47608,3.30933,2.40509
S1PR4,138.124,121.506,78.4756,78.1578,111.209,95.6732,92.3054,123.086,105.799
S1PR5,45.62454,37.75457,88.19423,76.15314,42.85363,111.1462,80.60291,30.54553,81.29077
SAA1,0.0329316,0,0,0,0,0,0,0.125024,0
SAA2,0,0,0.108048,0,0,0,0,0,0
SAA3P,0,0,0,0,0,0,0,0,0
SAA4,0,0,0.227153,0,0,0,0,0.155575,0
SAAL1,6.928139,3.547628148,9.2198929,8.20731,7.09561,6.58518,4.99056952,4.78288,6.74755
SAC3D1,10.97306,14.87502,7.62779,5.64242,11.17481,8.72122,9.13874,11.43088,8.93439
SACM1L,13.2965848,10.254332,35.755356,28.61915,8.776980001,14.310445,8.756962,8.422409,11.91380026
SACS,4.4827587,3.102116,6.142765,5.9758812,3.93871,3.809384,2.856136,2.47844,3.683044
SAE1,75.225251,62.398476,48.347925,51.008491,67.958825,62.0555,55.512821,63.77861957,63.82634
SAFB2,47.946437,47.30155603,80.59163254,72.07776,47.213837,41.093293,41.589358,47.717154,48.39214
SAFB,68.98897089,63.76869102,74.103365,73.992474,54.313172,56.36882001,50.05109,63.087584,59.943701
SAGE1,0.0587196,0,0,0,0,0,0,0,0
SAG,0.268395,0.530157,2.02441,0.285522,0.243677,0.084305,0.356749,0.228702,0.452587
SALL1,0.117606,0.186529,0.125153,0.104077,0.127268,0.0849569,0.0725467,0.2347,0.0969518
SALL2,1.954824,1.1662837,0.556964,0.6985564,1.276429,1.824547,1.298872,1.2242563,1.168408012
SALL3,0,0,0.254464,0,0.0307305,0,0,0,0
SALL4,0.00997097,0,0.2411063,0.2035891,0,0,0,0,0
SAMD10,7.0778,4.88636,16.06263,7.17286,5.69596,5.67449,5.18175,4.716232,6.471965
SAMD11,0.0403554,0.11536,0.0163827,0.0585332,0,0,0.0440371,0,0.0417891
SAMD12,0.68503,0.184459457,0.850536,0.545322034,0.559751683,0.2214582,0.396237493,0.336425307,0.281812012
SAMD13,0.189495,0.779294,0.294115,0.436493,0.0586065,0.198724,0.0974457,0.383687,0.182273
SAMD14,0.238147,0.386648,0.528443,0.4534504,1.57949,0.1937947,1.814282,0.693159,0.721701
SAMD3,27.805327,23.54136,65.17346,66.1946,31.5029787,45.558145,30.01198,19.940756,41.215458
SAMD4A,0.8070235,1.399543,6.30497,4.444331,0.73295943,1.415489,1.174193072,1.2120168,1.2844527
SAMD4B,11.619763,7.46978,27.36835,22.882,11.262619,10.68048,9.60674,9.712054,10.617909
SAMD5,0.309033,0.636052,2.48809,0.821033,0.244504,0.588975,0.244472,0.22233,0.218459
SAMD7,0,0.076205123,0.24962886,0.069136995,0,0.024781041,0.090556797,0.003067667,0
SAMD8,5.587132,1.54396,8.27492,12.29306,6.44064,5.77425,4.855544,4.39271,6.626438
SAMD9L,14.165409,8.281344305,20.05753256,27.95463592,12.229842,10.04713575,10.94557798,9.2961153,20.15814806
SAMD9,13.605681,5.04838,7.911348,12.85365,9.459839,9.41762,8.30422,8.54629,13.9915
SAMHD1,244.022,101.2368,120.677,207.6994,222.7359,141.6263,178.9571,187.7911,209.9335
SAMM50,38.5380899,30.9276,26.313454,30.348459,35.9113768,32.98927884,28.19532541,36.13063,33.6126833
SAMSN1,23.605841,16.20175,38.589,47.89352,22.8706,26.34231,21.69470002,19.145,26.1775
SAP130,10.05690031,4.9674298,11.769417,14.49493011,11.26814684,7.280323,9.05151,8.040004001,9.718750057
SAP18,77.8776,62.5796,52.8602,58.2431,69.9151,69.5479,70.2431,66.7849,74.6261
SAP30BP,38.800498,29.781978,65.46503,63.315301,30.054019,35.218444,31.349151,29.497266,31.019384
