,Tregs,memory.B.cells,naive.B.cells,naive.CD4.T.cells,memory.CD4.T.cells,monocytes,naive.CD8.T.cells,endothelial.cells
AC092326.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092326.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092327.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092327.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092329.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092329.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092329.4,0.0,13.14351127,13.96893068,0.0,0.0,0.0,0.0,0.0
AC092332.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092335.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092336.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092337.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092338.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092338.2,0.0,0.634327441,0.0,0.0,0.0,0.0,0.0,0.0
AC092343.1,0.0,1.26604448,0.0,0.0,0.0,0.0,0.0,0.0
AC092349.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092354.1,0.0,0.0,0.594773067,0.0,0.0,0.0,0.0,0.0
AC092354.2,0.0,0.0,1.3052607390000002,0.0,0.0,0.0,0.0,0.0
AC092364.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092364.2,0.0,4.199886226,3.322952054,0.0,0.0,0.0,0.0,0.0
AC092368.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092368.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092368.3,0.0,22.62407958,43.99601051,0.0,0.0,0.0,0.0,0.0
AC092373.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092375.1,0.0,0.692902722,0.0,0.0,0.0,0.0,0.0,0.0
AC092375.2,0.0,13.16515172,18.93843179,0.0,0.0,0.0,0.0,0.0
AC092375.3,0.0,10.15821538,39.63336864,0.0,0.0,0.0,0.0,0.0
AC092376.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092376.2,0.0,0.22423382600000002,0.10866602199999999,0.0,0.0,0.0,0.0,0.0
AC092378.1,0.0,1.4718657830000001,1.5104780930000001,0.0,0.0,0.0,0.0,0.0
AC092378.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092384.1,0.0,7.130932652,7.898796406000001,0.0,0.0,0.0,0.0,0.0
AC092384.2,0.0,39.89018533,17.24018253,0.0,0.0,0.0,0.0,0.0
AC092384.3,0.0,5.4612214560000005,4.670407377,0.0,0.0,0.0,0.0,0.0
AC092393.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092418.1,0.0,0.7407274690000001,0.0,0.0,0.0,0.0,0.0,0.0
AC092421.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092422.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092423.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092427.1,0.0,0.647227508,0.0,0.0,0.0,0.0,0.0,0.0
AC092431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092431.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092435.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092435.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092435.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092435.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092436.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092436.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092436.3,0.0,0.0,1.7403476519999999,0.0,0.0,0.0,0.0,0.0
AC092436.4,0.0,13.37603516,5.55614095,0.0,0.0,0.0,0.0,0.0
AC092437.1,0.0,0.880674071,0.426783728,0.0,0.0,0.0,0.0,0.0
AC092440.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092442.1,0.0,0.836002198,0.0,0.0,0.0,0.0,0.0,0.0
AC092447.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092447.10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092447.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092447.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092447.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092447.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092447.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092447.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092447.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092447.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092451.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092451.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092451.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092468.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092470.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092471.1,0.0,5.41317552,3.4977074989999997,0.0,0.0,0.0,0.0,0.0
AC092471.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092473.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092474.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092474.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092474.3,0.0,0.81245284,0.0,0.0,0.0,0.0,0.0,0.0
AC092484.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092490.1,0.0,4.859744236,6.476475838,0.0,0.0,0.0,0.0,0.0
AC092490.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092490.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092506.1,0.0,0.14668570000000003,0.0,0.0,0.0,0.0,0.0,0.0
AC092535.1,0.0,2.451243395,3.202159294,0.0,0.0,0.0,0.0,0.0
AC092535.2,0.0,1.149850199,0.37148616799999995,0.0,0.0,0.0,0.0,0.0
AC092535.3,0.0,0.896064491,2.605452504,0.0,0.0,0.0,0.0,0.0
AC092535.4,0.0,1.16240104,4.506492156,0.0,0.0,0.0,0.0,0.0
AC092542.1,0.0,1.299924544,0.0,0.0,0.0,0.0,0.0,0.0
AC092546.1,0.0,0.7110527170000001,0.0,0.0,0.0,0.0,0.0,0.0
AC092552.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092567.1,0.0,9.652328161,3.860890773,0.0,0.0,0.0,0.0,0.0
AC092568.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092569.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092570.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092570.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092570.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092573.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092573.2,0.0,1.0097882120000001,0.0,0.0,0.0,0.0,0.0,0.0
AC092574.1,0.0,1.098745745,3.194781046,0.0,0.0,0.0,0.0,0.0
AC092574.2,0.0,6.741308557000001,7.12779835,0.0,0.0,0.0,0.0,0.0
AC092580.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092580.2,0.0,0.9839514140000001,0.0,0.0,0.0,0.0,0.0,0.0
AC092580.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092587.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092590.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092593.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092593.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092597.1,0.0,12.23603216,17.18404957,0.0,0.0,0.0,0.0,0.0
AC092598.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092601.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092608.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092608.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092608.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092610.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092611.1,0.0,5.937082273,5.579968455,0.0,0.0,0.0,0.0,0.0
AC092611.2,0.0,0.0,0.735640373,0.0,0.0,0.0,0.0,0.0
AC092611.3,0.0,0.642720352,0.934406713,0.0,0.0,0.0,0.0,0.0
AC092612.1,0.0,0.924796018,0.44816567799999996,0.0,0.0,0.0,0.0,0.0
AC092614.1,0.0,0.0,0.49204548600000003,0.0,0.0,0.0,0.0,0.0
AC092620.1,0.0,1.357274156,0.657749039,0.0,0.0,0.0,0.0,0.0
AC092620.2,0.0,36.44365051,40.53511442,0.0,0.0,0.0,0.0,0.0
AC092620.3,0.0,1.335667766,1.4563763090000001,0.0,0.0,0.0,0.0,0.0
AC092625.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092628.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092628.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092634.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092634.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092634.3,0.0,1.448895488,3.159673562,0.0,0.0,0.0,0.0,0.0
AC092634.4,0.0,4.741163148,3.063488675,0.0,0.0,0.0,0.0,0.0
AC092634.5,0.0,0.8702350459999999,0.7832033279999999,0.0,0.0,0.0,0.0,0.0
AC092634.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092634.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092636.1,0.0,14.455787400000002,6.466544767999999,0.0,0.0,0.0,0.0,0.0
AC092637.1,0.0,0.0,0.876998719,0.0,0.0,0.0,0.0,0.0
AC092638.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092638.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092639.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092641.1,0.0,1.195526459,2.317457754,0.0,0.0,0.0,0.0,0.0
AC092642.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092645.1,0.0,2.0311320999999998,0.0,0.0,0.0,0.0,0.0,0.0
AC092646.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092646.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092647.1,0.0,1.6079206030000002,0.0,0.0,0.0,0.0,0.0,0.0
AC092647.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092647.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092647.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092647.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.229100431
AC092648.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092650.1,0.0,0.320356274,1.241983607,0.0,0.0,0.0,0.0,0.0
AC092650.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092651.1,0.0,7.789825605,9.222541012,0.0,0.0,0.0,0.0,0.0
AC092652.1,0.0,2.511418847,1.8255891690000001,0.0,0.0,0.0,0.0,0.0
AC092652.2,0.0,0.522028522,2.0238431969999997,0.0,0.0,0.0,0.0,0.0
AC092652.3,0.0,2.7378107560000005,2.35870453,0.0,0.0,0.0,0.0,0.0
AC092653.1,0.0,12.16690204,9.265466688,0.0,0.0,0.0,0.0,0.0
AC092653.2,0.0,1.79911584,4.359350356,0.0,0.0,0.0,0.0,0.0
AC092656.1,0.0,2.811575222,0.635841882,0.0,0.0,0.0,0.0,0.0
AC092658.1,0.0,0.517927287,1.003971597,0.0,0.0,0.0,0.0,0.0
AC092660.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092666.1,0.0,0.0,0.324108222,0.0,0.0,0.0,0.0,0.0
AC092666.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092667.1,0.0,3.747462287,5.67878714,0.0,0.0,0.0,0.0,0.0
AC092669.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092670.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092673.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092674.1,0.0,0.0,0.783308838,0.0,0.0,0.0,0.0,0.0
AC092675.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092675.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092681.1,0.0,1.784045927,3.458268143,0.0,0.0,0.0,0.0,0.0
AC092681.2,0.0,0.0,0.07346737,0.0,0.0,0.0,0.0,0.0
AC092681.3,0.0,1.616517524,1.154456278,0.0,0.0,0.0,0.0,0.0
AC092683.1,0.0,71.9467166,33.33546403,0.0,0.0,0.0,0.0,0.0
AC092683.2,0.0,30.987599600000003,12.13153343,0.0,0.0,0.0,0.0,0.0
AC092685.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092687.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092687.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092687.3,0.0,4.696928377,2.27617988,0.0,0.0,0.0,0.0,0.0
AC092691.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092691.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092691.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092692.1,0.0,0.17783168100000002,0.517074389,0.0,0.0,0.0,0.0,0.0
AC092701.1,0.0,7.140784728,4.613997127,0.0,0.0,0.0,0.0,0.0
AC092709.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092718.1,0.0,0.424148174,0.411093149,0.0,0.0,0.0,0.0,0.0
AC092718.2,0.0,1.4273499330000001,3.671375792,0.0,0.0,0.0,0.0,0.0
AC092718.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.24811371
AC092718.4,0.0,7.089672267999999,12.49355716,0.0,0.0,0.0,0.0,0.0
AC092718.5,0.0,0.7782010340000001,0.0,0.0,0.0,0.0,0.0,0.0
AC092718.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092718.7,0.0,2.468465948,2.392488058,0.0,0.0,0.0,0.0,0.0
AC092718.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.51400814
AC092720.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092720.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092723.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092723.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092724.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092725.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092725.2,0.0,0.830585337,0.080502042,0.0,0.0,0.0,0.0,0.0
AC092745.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092745.2,0.0,0.7443116340000001,0.0,0.0,0.0,0.0,0.0,0.0
AC092745.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092746.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092747.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092747.2,0.0,2.581996614,5.687555271,0.0,0.0,0.0,0.0,0.0
AC092747.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092747.4,0.0,47.61034761,52.39372248,0.0,0.0,0.0,0.0,0.0
AC092754.1,0.0,0.0,0.933756464,0.0,0.0,0.0,0.0,0.0
AC092754.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092755.1,0.0,0.0,4.611024191,0.0,0.0,0.0,0.0,0.0
AC092755.2,0.0,33.57734199,37.27244554,0.0,0.0,0.0,0.0,0.0
AC092756.1,0.0,1.0300741359999999,0.998369077,0.0,0.0,0.0,0.0,0.0
AC092757.1,0.0,0.988165338,0.0,0.0,0.0,0.0,0.0,0.0
AC092757.2,0.0,3.645128065,3.1796399039999996,0.0,0.0,0.0,0.0,0.0
AC092757.3,0.0,2.549575763,0.0,0.0,0.0,0.0,0.0,0.0
AC092769.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092783.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092794.1,0.0,15.06527671,24.59212902,0.0,0.0,0.0,0.0,0.0
AC092794.2,0.0,9.836018751000001,12.71102939,0.0,0.0,0.0,0.0,0.0
AC092798.1,0.0,37.23378003,27.33920211,0.0,0.0,0.0,0.0,0.0
AC092800.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092801.1,0.0,0.0,1.539653516,0.0,0.0,0.0,0.0,0.0
AC092802.1,0.0,0.184220844,0.17855063699999998,0.0,0.0,0.0,0.0,0.0
AC092802.2,0.0,17.89917258,9.462680108999999,0.0,0.0,0.0,0.0,0.0
AC092802.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092803.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092803.2,0.0,5.103179291,7.536924217,0.0,0.0,0.0,0.0,0.0
AC092807.1,0.0,1.809698875,0.0,0.0,0.0,0.0,0.0,0.0
AC092807.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092807.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092809.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092809.2,0.0,0.479701885,0.9298739009999999,0.0,0.0,0.0,0.0,0.0
AC092809.3,0.0,23.97263444,24.20288671,0.0,0.0,0.0,0.0,0.0
AC092809.4,0.0,6.743624681,10.02947136,0.0,0.0,0.0,0.0,0.0
AC092810.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092810.2,0.0,18.48442428,21.00436158,0.0,0.0,0.0,0.0,0.0
AC092810.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092811.1,0.0,0.23259738600000002,0.0,0.0,0.0,0.0,0.0,0.0
AC092811.2,0.0,0.41276673799999997,0.0,0.0,0.0,0.0,0.0,0.0
AC092813.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092813.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092814.1,0.0,1.195526459,2.317457754,0.0,0.0,0.0,0.0,0.0
AC092818.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092819.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092821.1,0.0,3.6520096,1.1940829240000002,0.0,0.0,0.0,0.0,0.20892047800000002
AC092821.2,0.0,0.451981599,0.0,0.0,0.0,0.0,0.0,0.0
AC092821.3,0.0,23.79576211,20.47543078,0.0,0.0,0.0,0.0,0.0
AC092824.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092824.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.58951933
AC092828.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092832.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092832.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092834.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092835.1,0.0,5.407889215,7.5709655,0.0,0.0,0.0,0.0,2.658499838
AC092839.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092839.2,0.0,1.224066878,0.0,0.0,0.0,0.0,0.0,0.0
AC092849.1,0.0,62.95124138,58.43040143,0.0,0.0,0.0,0.0,0.0
AC092849.2,0.0,63.16963152,62.56845963,0.0,0.0,0.0,0.0,0.0
AC092850.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092850.2,0.0,0.042776531,0.0,0.0,0.0,0.0,0.0,0.0
AC092851.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092862.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092865.1,0.0,0.09021959199999999,0.08744268699999999,0.0,0.0,0.0,0.0,0.0
AC092865.2,0.0,0.330981597,0.246764756,0.0,0.0,0.0,0.0,0.0
AC092865.3,0.0,0.08995579199999999,0.087187007,0.0,0.0,0.0,0.0,0.0
AC092865.4,0.0,0.18759073699999998,1.45453446,0.0,0.0,0.0,0.0,0.0
AC092865.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092865.6,0.0,4.565564513,3.403876305,0.0,0.0,0.0,0.0,0.0
AC092865.7,0.0,4.389965878,4.254845381,0.0,0.0,0.0,0.0,0.0
AC092868.1,0.0,5.178627079,5.019232068,0.0,0.0,0.0,0.0,0.0
AC092868.2,0.0,0.0,3.599753292,0.0,0.0,0.0,0.0,0.0
AC092868.3,0.0,1.765841376,0.570496615,0.0,0.0,0.0,0.0,0.0
AC092881.1,0.0,18.404895800000002,17.18378389,0.0,0.0,0.0,0.0,0.0
AC092892.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092894.1,0.0,0.0,0.5723216210000001,0.0,0.0,0.0,0.0,0.0
AC092896.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092902.1,0.0,0.0,2.3025448980000003,0.0,0.0,0.0,0.0,0.0
AC092902.2,0.0,1.5423569959999999,1.3287859370000001,0.0,0.0,0.0,0.0,0.0
AC092902.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092902.5,0.0,0.0,1.1657758809999998,0.0,0.0,0.0,0.0,0.0
AC092902.6,0.0,0.0,6.15508275,0.0,0.0,0.0,0.0,0.0
AC092903.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092903.2,0.0,2.7018338,0.0,0.0,0.0,0.0,0.0,0.0
AC092905.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092910.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092910.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092910.3,0.0,8.834035984,6.523527387000001,0.0,0.0,0.0,0.0,0.0
AC092916.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092916.2,0.0,7.746552737000001,2.145176722,0.0,0.0,0.0,0.0,0.0
AC092919.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092919.2,0.0,1.4026541430000001,0.271896259,0.0,0.0,0.0,0.0,0.0
AC092920.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092924.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092925.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092933.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092941.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092941.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092943.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092944.1,0.0,4.782105835,3.041663302,0.0,0.0,0.0,0.0,0.0
AC092944.2,0.0,0.519092478,0.0,0.0,0.0,0.0,0.0,0.0
AC092952.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092953.1,0.0,1.699717175,3.294801816,0.0,0.0,0.0,0.0,0.0
AC092953.2,0.0,35.65029114,37.43241312,0.0,0.0,0.0,0.0,0.0
AC092954.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092954.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092957.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092958.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092958.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092960.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092964.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092965.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092966.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092967.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092978.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092979.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092989.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092991.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092994.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092999.1,0.0,2.398509423,3.0220901789999997,0.0,0.0,0.0,0.0,0.0
AC093001.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC093004.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC093010.1,0.0,18.18613648,12.94437148,0.0,0.0,0.0,0.0,0.0
AC093010.2,0.0,25.03800971,14.35127377,0.0,0.0,0.0,0.0,0.0
AC093010.3,0.0,21.56868086,15.41953281,0.0,0.0,0.0,0.0,0.0
AC093012.1,0.0,12.12846265,9.843748437999999,0.0,0.0,0.0,0.0,0.0
AC093014.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC093019.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC093019.2,0.0,12.01753159,18.34503179,0.0,0.0,0.0,0.0,0.0
AC093023.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC093025.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC093027.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC093028.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC093063.1,0.0,1.271276069,0.0,0.0,0.0,0.0,0.0,0.0
AC093072.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC093074.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC093083.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC093084.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC093106.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC093106.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC093107.1,0.0,1.515511373,0.0,0.0,0.0,0.0,0.0,0.0
AC093107.2,0.0,3.111055369,0.0,0.0,0.0,0.0,0.0,0.0
AC093110.1,0.0,50.12360749,53.64699079,0.0,0.0,0.0,0.0,0.0
AC093117.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC093142.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC093151.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC093151.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
