,Tregs,memory.B.cells,naive.B.cells,naive.CD4.T.cells,memory.CD4.T.cells,monocytes,naive.CD8.T.cells,endothelial.cells
AATK-AS1,0.0,1.279737141,0.9922780840000001,0.0,0.0,0.0,0.0,0.340555851
AB015752.1,0.0,0.798396562,2.321467196,0.0,0.0,0.0,0.0,0.0
ABALON,0.0,15.21673364,12.10424138,0.0,0.0,0.0,0.0,0.0
ABAT,23.09318341,31.05614321,31.82157989,0.0,0.0,7.76,2.71,16.34728227
ABBA01000935.2,0.0,1.652052075,3.202405822,0.0,0.0,0.0,0.0,0.0
ABBA01006766.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABBA01006766.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABBA01031660.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABBA01031661.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABBA01031663.1,0.0,0.5841433079999999,0.0,0.0,0.0,0.0,0.0,0.0
ABBA01031674.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABBA01040607.1,0.0,4.312833767,0.0,0.0,0.0,0.0,0.0,0.0
ABCA1,1.0,15.28757076,28.29421945,1.2744478320000001,1.050641903,14.16,0.43,1.343592066
ABCA10,5.1760630999999995,2.388350359,0.745005455,0.244788405,0.0,0.0,0.72,10.02388991
ABCA11P,4.07564,33.03916642,33.144422,6.988582732999999,4.381962368,1.88,3.27,0.0
ABCA12,0.0,0.784151594,0.285005956,0.0,0.0,0.0,0.0,0.004691516
ABCA13,1.9681302,0.0,0.0,0.032794892,0.013239168999999999,0.16,0.14,0.36301697899999996
ABCA17P,30.7375,0.21059014899999998,0.068036104,0.0,0.0,0.0,0.0,0.0
ABCA2,15.62572307,71.74197076,52.40284423,1.4493145269999999,0.517049732,2.03,14.44,20.82455749
ABCA3,2.141682,1.8922530519999998,1.547446483,1.510337707,0.841581776,0.59,1.37,11.01167166
ABCA4,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.252291675
ABCA5,47.581348999999996,20.11361056,19.85144386,0.7509960240000001,2.267742639,0.93,10.89,16.412126699999998
ABCA6,3.326247,10.85934421,0.8849934070000001,0.0,0.0,0.15,0.0,6.439330036
ABCA7,52.07500437,94.80966335,102.47583809999999,3.6781842210000004,3.069840588,15.84,24.15,17.93049038
ABCA8,3.1257610000000002,0.12313614199999999,0.0,0.0,0.0,0.0,0.0,39.54588903
ABCA9,13.224607999999998,4.367811897,0.24470365800000002,0.0,0.0,1.61,3.67,1.144187772
ABCA9-AS1,0.0,0.38584716799999996,0.0,0.0,0.0,0.0,0.0,0.0
ABCB1,3.763869,37.118152,90.51696213,7.976418581,15.7987418,0.06,13.01,0.009308326
ABCB10,9.145307,45.05218986,45.55715735,3.433591983,2.860731468,13.48,10.03,3.0823247539999996
ABCB10P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCB10P3,0.0,0.0,0.10324777199999999,0.0,0.0,0.0,0.0,0.0
ABCB10P4,0.0,0.316945888,0.0,0.0,0.0,0.0,0.0,0.0
ABCB11,0.0,0.089589053,0.260494669,0.0,0.0,0.0,0.0,0.0
ABCB4,2.52028,67.98324356,111.3100255,0.0,0.0,0.07,0.0,0.0
ABCB5,1.9183709999999998,0.09970254099999999,0.0,0.09115350300000001,0.206070545,3.08,5.31,0.0
ABCB6,11.22868623,15.09429674,18.41065466,0.60686849,0.0,0.79,1.97,28.54163431
ABCB7,28.37489361,79.08749678,86.74314599,16.17218182,12.58074923,22.19,19.4,12.19669893
ABCB8,28.906449,26.39531874,27.13989768,1.624576152,0.510093906,4.46,6.19,14.81261803
ABCB9,18.694829000000002,9.134445199,9.509507398,5.838749131,0.058199509,0.22,1.36,6.72801515
ABCC1,18.22748001,94.42686208,80.59705056,3.58496185,6.9328624670000005,20.47,18.93,8.680315672999999
ABCC10,140.14381,34.36927802,36.07814103,6.085156946000001,2.956192096,6.99,9.81,4.329293112
ABCC11,2.5800259999999997,1.6560805440000002,1.4970713119999999,0.0,0.0,0.06,0.0,0.035547436
ABCC12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC13,2.357839,0.0,0.0,0.240914593,0.038902511,0.5,1.7,0.0
ABCC2,5.5278730000000005,6.146064936,7.727214319,0.0,1.463831154,0.38,1.19,0.164224957
ABCC3,27.320241999999997,0.288000757,0.046522710999999994,0.0,0.0,2.72,0.0,0.244951383
ABCC4,49.0783,11.50879608,3.489375897,0.0,0.0,3.22,4.35,0.04377957
ABCC5,20.38606,30.81597192,33.30770765,0.07982258,3.528534853,8.48,16.1,19.44952478
ABCC5-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC6,7.303792999999999,0.36581309,0.47273811200000004,0.0,0.0,4.93,0.51,3.038196428
ABCC6P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC6P2,0.0,0.428480235,0.0,0.0,0.0,0.0,0.0,0.0
ABCC8,0.0,0.06808398,0.06598839599999999,0.0,0.0,0.0,0.0,0.0
ABCC9,5.587643,0.079454754,0.0,0.199792277,0.094097919,40.44,59.19,0.0
ABCD1,2.549618,29.43486122,37.29886116,1.99948592,3.042465123,17.65,3.58,2.8274660289999995
ABCD1P2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCD1P3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCD1P4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCD1P5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCD2,6.53594,5.622309104,1.864219783,4.088646766,1.767707938,0.0,27.79,0.0
ABCD3,23.18702,23.19947793,25.45967287,9.610138317999999,12.37269913,15.47,21.82,29.21769366
ABCD4,105.7746105,56.05056768,54.72916054,14.81610248,7.242299375,7.11,7.25,16.91573227
ABCE1,36.33016,71.93408598,87.94869312,75.28074389,54.65144158,15.81,29.42,18.61551557
ABCF1,51.540168,103.66057579999999,118.1708753,3.359637535,5.390877711,28.32,22.11,28.93790269
ABCF2,20.90529,67.22901125,76.12025524,8.745464747,29.97209182,14.5,15.06,31.3853913
ABCF2P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCF2P2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCF3,27.527475,72.58432139,76.36305916,74.98993125,57.22928366,16.14,18.86,38.69368766
ABCG1,3.014242,50.66329018,44.64655623,32.63260003,64.40101815,5.63,4.91,40.3438851
ABCG2,1.0,0.0,0.276775586,0.0,0.0,0.0,1.79,0.163612852
ABCG4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7116355990000001
ABCG5,1.622975,0.0,0.120233695,0.0,0.0,0.0,0.0,0.328530532
ABCG8,0.0,0.0,0.0,0.37005927899999996,0.0,0.0,0.0,0.089708789
