"ROW_ID","ROW_VERSION","objectId","submitterId","repo_name","submitter","is_latest","dataset","celltype","metric","metric_value"
"540","1","9696348","3392907","r3-sc2-s2-reupload","Rubbernecks","true","FIVA2","NK.cells","spearman","0.6"
"541","1","9696347","3392907","r3-sc2-s1-reupload","Rubbernecks","false","FIVA2","NK.cells","spearman","0.916"
"542","1","9696229","3390884","lb3sc2s2","Aboensis IV","true","FIVA2","NK.cells","spearman","0.962"
"543","1","9696203","3390884","lb3sc2s1","Aboensis IV","false","FIVA2","NK.cells","spearman","0.962"
"544","1","9696024","3390893","my-model","D3Team","true","FIVA2","NK.cells","spearman","0.609"
"545","1","9695993","3390893","my-model","D3Team","false","FIVA2","NK.cells","spearman","0.585"
"546","1","9695973","3397741","beda-decon","Tonys Boys","true","FIVA2","NK.cells","spearman","0.917"
"547","1","9695901","3397741","beda-decon","Tonys Boys","false","FIVA2","NK.cells","spearman","0.935"
"548","1","9695845","3392392","celest_fine","CCB","true","FIVA2","NK.cells","spearman","0.935"
"549","1","9695844","3392392","celest_fine","CCB","false","FIVA2","NK.cells","spearman","0.735"
"550","1","9695725","3396736","dc_round3_fine2","Aginome-XMU","true","FIVA2","NK.cells","spearman","0.919"
"551","1","9695579","3396736","dc_round3_fine1","Aginome-XMU","false","FIVA2","NK.cells","spearman","0.919"
"552","1","9695136","3394057","my-model2","Northwestern Polytechnical University","true","FIVA2","NK.cells","spearman","0.103"
"553","1","9694643","3394515","model12","REGGEN_LAB","true","FIVA2","NK.cells","spearman","0.725"
"554","1","9693959","3360851","baseline_method1","andrewelamb","true","FIVA2","NK.cells","spearman","0.944"
"555","1","9693922","3360851","baseline_method5","andrewelamb","false","FIVA2","NK.cells","spearman","0.857"
"556","1","9693920","3360851","baseline_method4","andrewelamb","false","FIVA2","NK.cells","spearman","0.476"
"557","1","9693918","3360851","baseline_method3","andrewelamb","false","FIVA2","NK.cells","spearman","0.45"
"558","1","9693916","3360851","baseline_method2","andrewelamb","false","FIVA2","NK.cells","spearman","0.941"
"559","1","9696412","3396685","finep3cps","DA_505","true","FIVA2","neutrophils","spearman","0.959"
"560","1","9696409","3392762","izi_fine","IZI","true","FIVA2","neutrophils","spearman","0.821"
"561","1","9696405","3390926","ictdtest","ICTD","true","FIVA2","neutrophils","spearman","0.901"
"562","1","9696401","3395690","test","Cancer_Decon","true","FIVA2","neutrophils","spearman","0.901"
"563","1","9696400","3396685","finep3drg","DA_505","false","FIVA2","neutrophils","spearman","0.908"
"564","1","9696397","3391057","main_fine","LeiliLab","true","FIVA2","neutrophils","spearman","0.811"
"565","1","9696393","3391553","r3_fine_elasticnet","mitten_TDC19","true","FIVA2","neutrophils","spearman","0.823"
"566","1","9696391","3391553","r3_fine_median","mitten_TDC19","false","FIVA2","neutrophils","spearman","0.88"
"567","1","9696382","3392762","izi_fine","IZI","false","FIVA2","neutrophils","spearman","0.893"
"568","1","9696376","3391057","fine_coarse_k","LeiliLab","false","FIVA2","neutrophils","spearman","0.815"
"569","1","9696372","3393206","lnvi_sub2","VUmc_TGAC","true","FIVA2","neutrophils","spearman","-0.101"
