,monocytes,myeloid.dendritic.cells,NK.cells,naive.CD4.T.cells,memory.CD4.T.cells,naive.CD8.T.cells,naive.B.cells,neutrophils
A1BG,1.0,4.0,2,3.0,3.0,3.0,3.0,1.0
A1BG-AS1,2.0,2.0,2,2.0,1.0,2.0,3.0,2.0
A1CF,0.0,1.0,0,1.0,1.0,0.0,1.0,1.0
A2M,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
A2M-AS1,0.0,0.0,2,0.0,1.0,1.0,0.0,3.0
A2ML1,1.0,1.0,0,1.0,1.0,0.0,0.0,1.0
A2MP1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
A4GALT,2.0,2.0,2,2.0,2.0,2.0,2.0,1.0
A4GNT,1.0,1.0,1,1.0,1.0,1.0,2.0,1.0
AA06,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AAAS,2.0,3.0,2,3.0,2.0,3.0,3.0,3.0
AACS,1.0,3.0,5,4.0,2.0,5.0,2.0,3.0
AACSP1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AADAC,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AADACL2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AADACP1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AADAT,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AAED1,45.0,12.0,10,5.0,12.0,6.0,5.0,3.0
AAGAB,1.0,1.0,1,1.0,1.0,0.0,0.0,1.0
AAK1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AAMDC,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AAMP,3.0,9.0,5,4.0,3.0,4.0,4.0,6.0
AANAT,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0
AAR2,6.0,6.0,6,4.0,4.0,6.0,4.0,5.0
AARS,2.0,5.0,8,14.0,5.0,10.0,6.0,12.0
AARS2,1.0,2.0,3,3.0,2.0,2.0,2.0,2.0
AARSD1,2.0,6.0,6,10.0,5.0,6.0,5.0,4.0
AASDH,1.0,2.0,2,2.0,2.0,1.0,2.0,2.0
AASDHPPT,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AASS,0.0,0.0,1,1.0,0.0,1.0,1.0,1.0
AATF,29.0,29.0,27,42.0,35.0,24.0,26.0,36.0
AATK,2.0,2.0,5,1.0,1.0,2.0,1.0,4.0
AB074162,1.0,1.0,2,1.0,1.0,1.0,1.0,3.0
AB488780,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ABAT,1.0,1.0,1,1.0,2.0,1.0,1.0,1.0
ABCA1,1.0,0.0,0,1.0,1.0,0.0,1.0,1.0
ABCA11P,1.0,1.0,1,1.0,2.0,1.0,1.0,1.0
ABCA12,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0
ABCA13,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
ABCA17P,1.0,1.0,1,1.0,1.0,2.0,1.0,1.0
ABCA2,1.0,1.0,1,1.0,2.0,1.0,1.0,1.0
ABCA3,1.0,1.0,3,2.0,2.0,2.0,1.0,2.0
ABCA4,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0
ABCA5,0.0,0.0,1,1.0,1.0,7.0,2.0,2.0
ABCA6,1.0,0.0,0,0.0,1.0,0.0,0.0,0.0
ABCA7,5.0,24.0,27,67.0,40.0,16.0,47.0,18.0
ABCA8,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
ABCA9,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0
ABCB1,1.0,1.0,9,1.0,1.0,3.0,1.0,4.0
ABCB10,17.0,5.0,10,4.0,3.0,8.0,5.0,5.0
ABCB11,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0
ABCB4,1.0,1.0,0,0.0,1.0,1.0,7.0,1.0
ABCB5,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0
ABCB6,1.0,1.0,1,2.0,1.0,2.0,2.0,1.0
ABCB7,8.0,10.0,7,9.0,6.0,6.0,6.0,5.0
ABCB8,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ABCB9,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ABCC1,1.0,1.0,1,1.0,2.0,2.0,1.0,1.0
ABCC10,3.0,3.0,7,7.0,9.0,7.0,4.0,6.0
ABCC11,1.0,1.0,0,1.0,1.0,0.0,1.0,1.0
ABCC12,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
ABCC13,1.0,1.0,0,1.0,1.0,0.0,1.0,0.0
ABCC2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ABCC3,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ABCC4,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
ABCC5,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ABCC6,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ABCC6P1,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0
ABCC6P2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ABCC8,1.0,1.0,1,2.0,2.0,1.0,1.0,1.0
ABCC9,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
ABCD1,2.0,2.0,2,2.0,2.0,1.0,2.0,2.0
ABCD1P2,1.0,1.0,1,1.0,2.0,2.0,2.0,1.0
ABCD2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
ABCD3,11.0,2.0,5,5.0,1.0,3.0,1.0,1.0
ABCD4,1.0,1.0,1,1.0,0.0,1.0,1.0,1.0
ABCE1,1.0,2.0,1,3.0,2.0,2.0,1.0,3.0
ABCF1,20.0,10.0,22,7.0,11.0,7.0,17.0,15.0
ABCF2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ABCF3,12.0,4.0,7,5.0,6.0,4.0,4.0,4.0
ABCG1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ABCG2,1.0,1.0,1,1.0,1.0,0.0,0.0,1.0
ABCG4,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ABCG5,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ABCG8,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ABHD1,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0
ABHD10,4.0,3.0,2,3.0,2.0,3.0,1.0,2.0
ABHD11,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
ABHD12,6.0,5.0,3,2.0,1.0,2.0,2.0,1.0
ABHD12B,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0
ABHD13,2.0,1.0,3,1.0,1.0,3.0,2.0,1.0
ABHD14A,2.0,5.0,14,10.0,15.0,9.0,5.0,8.0
ABHD14A-ACY1,3.0,4.0,4,5.0,3.0,5.0,4.0,4.0
ABHD14B,2.0,14.0,20,54.0,57.0,15.0,21.0,5.0
ABHD15,2.0,5.0,19,2.0,2.0,4.0,6.0,7.0
ABHD16A,2.0,2.0,2,2.0,1.0,2.0,2.0,1.0
ABHD16B,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ABHD17A,35.0,146.0,2109,331.0,525.0,171.0,141.0,1550.0
ABHD17B,1.0,1.0,1,1.0,1.0,0.0,1.0,1.0
ABHD17C,2.0,1.0,1,0.0,0.0,0.0,0.0,1.0
ABHD2,1.0,1.0,1,1.0,0.0,0.0,0.0,1.0
ABHD3,27.0,8.0,21,23.0,9.0,39.0,8.0,49.0
ABHD4,1.0,1.0,2,1.0,1.0,1.0,1.0,1.0
ABHD5,1.0,1.0,0,0.0,1.0,1.0,1.0,1.0
ABHD6,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ABHD8,1.0,2.0,1,2.0,1.0,1.0,1.0,1.0
ABI1,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0
ABI2,1.0,1.0,0,1.0,1.0,1.0,0.0,0.0
ABI3,6.0,4.0,4,1.0,1.0,1.0,1.0,10.0
ABI3BP,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
ABL1,7.0,21.0,42,13.0,7.0,9.0,7.0,7.0
ABL2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ABLIM1,1.0,1.0,3,3.0,4.0,1.0,1.0,2.0
ABLIM2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ABLIM3,2.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ABO,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ABR,2.0,3.0,2,2.0,2.0,1.0,2.0,3.0
ABRA,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
ABRACL,266.0,150.0,47,177.0,112.0,213.0,18.0,236.0
ABT1,8.0,5.0,14,15.0,8.0,15.0,7.0,11.0
ABTB1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ABTB2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC000111.3,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC002059.10,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC002064.5,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0
AC002310.12,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC002310.7,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC003973.4,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC003986.5,1.0,1.0,1,1.0,2.0,0.0,1.0,1.0
AC003989.4,1.0,1.0,1,1.0,2.0,1.0,1.0,1.0
AC004158.3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AC004490.1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC004538.3,1.0,0.0,0,1.0,1.0,1.0,1.0,1.0
AC004692.5,19.0,66.0,31,143.0,107.0,64.0,94.0,37.0
AC004941.5,5.0,4.0,14,9.0,11.0,9.0,6.0,7.0
AC004951.6,6.0,5.0,13,36.0,6.0,17.0,48.0,9.0
AC005162.4,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC005224.2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC005256.1,1.0,2.0,1,1.0,2.0,2.0,2.0,1.0
AC005306.3,2.0,3.0,2,3.0,2.0,5.0,3.0,3.0
AC005498.3,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC005523.2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC005523.3,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC005537.2,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0
AC005592.3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AC005606.14,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0
AC005754.7,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0
AC005785.2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC005838.2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC006026.13,1.0,1.0,1,1.0,0.0,1.0,1.0,1.0
AC006129.2,0.0,0.0,0,1.0,1.0,0.0,0.0,1.0
AC006538.1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC007228.11,1.0,1.0,1,1.0,2.0,1.0,2.0,1.0
AC007255.8,2.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC007292.3,2.0,3.0,2,3.0,2.0,2.0,2.0,2.0
AC007349.5,1.0,0.0,1,0.0,0.0,1.0,0.0,0.0
AC007362.3,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC007364.1,0.0,0.0,0,0.0,1.0,0.0,0.0,1.0
AC007365.3,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC007389.3,2.0,2.0,2,2.0,3.0,2.0,2.0,1.0
AC007401.2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC007557.2,0.0,1.0,0,0.0,1.0,0.0,1.0,0.0
AC007680.2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC007787.2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC007967.3,2.0,1.0,1,1.0,1.0,1.0,1.0,2.0
AC008088.4,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC008746.12,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC008753.4,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC009120.6,4.0,2.0,4,2.0,3.0,4.0,5.0,3.0
AC009133.15,1.0,2.0,1,4.0,3.0,3.0,2.0,1.0
AC009237.8,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC009502.4,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC009947.3,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0
AC010095.5,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC010145.3,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC010145.4,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC010524.4,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0
AC010980.2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC011997.1,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0
AC012065.7,1.0,1.0,1,1.0,1.0,1.0,3.0,1.0
AC012360.6,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC012499.1,1.0,1.0,1,1.0,2.0,0.0,0.0,1.0
AC012531.25,2.0,2.0,2,2.0,3.0,1.0,1.0,2.0
AC013463.2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC013733.4,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AC016831.7,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0
AC016999.2,2.0,1.0,2,2.0,3.0,2.0,1.0,1.0
AC017002.2,1.0,1.0,1,1.0,2.0,1.0,1.0,1.0
AC017104.6,2.0,2.0,8,2.0,2.0,2.0,5.0,4.0
AC018462.2,5.0,5.0,6,9.0,6.0,5.0,8.0,10.0
AC018755.16,1.0,2.0,2,2.0,2.0,1.0,2.0,2.0
AC018755.17,1.0,0.0,0,0.0,1.0,1.0,1.0,0.0
AC018766.6,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC018816.3,1.0,1.0,1,2.0,2.0,1.0,1.0,1.0
AC024560.2,1.0,1.0,1,2.0,2.0,2.0,1.0,1.0
AC025442.3,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC064852.4,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0
AC067956.1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC068039.4,4.0,3.0,5,5.0,4.0,6.0,6.0,5.0
AC068138.1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC068831.3,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC069277.2,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0
AC073283.7,6.0,2.0,1,1.0,1.0,1.0,5.0,1.0
AC073321.4,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC074212.6,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC078842.4,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC078883.3,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC078883.4,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC079305.10,2.0,3.0,3,2.0,5.0,2.0,2.0,1.0
AC079741.2,1.0,1.0,1,2.0,2.0,2.0,2.0,1.0
AC079767.4,1.0,1.0,0,0.0,1.0,0.0,186.0,0.0
AC079807.4,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0
AC083843.1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AC083949.1,1.0,1.0,1,1.0,2.0,2.0,4.0,1.0
AC084219.3,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0
AC087501.1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC090627.1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC091133.1,2.0,2.0,2,2.0,1.0,2.0,3.0,2.0
AC091633.3,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0
AC092155.4,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AC092192.1,0.0,0.0,0,0.0,1.0,0.0,0.0,1.0
AC092620.2,45.0,3.0,2,1.0,1.0,3.0,21.0,2.0
AC092660.1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC092667.2,1.0,1.0,1,1.0,1.0,1.0,0.0,1.0
AC099684.1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC099850.1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC100830.4,0.0,1.0,0,1.0,0.0,1.0,0.0,1.0
AC104537.2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC104667.3,1.0,1.0,2,2.0,2.0,2.0,2.0,1.0
AC106801.1,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0
AC108056.1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
AC112198.1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC114730.11,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC114752.3,1.0,1.0,1,1.0,2.0,1.0,1.0,1.0
AC124997.1,1.0,1.0,1,0.0,1.0,1.0,1.0,1.0
AC128677.4,1.0,1.0,1,12.0,1.0,1.0,137.0,7.0
AC136289.1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC139100.2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC139100.3,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC141928.1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
AC144652.1,2.0,3.0,3,3.0,2.0,2.0,2.0,1.0
AC145343.2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ACAA1,60.0,74.0,17,17.0,11.0,23.0,20.0,18.0
ACAA2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ACACA,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ACACB,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ACAD10,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ACAD11,3.0,4.0,8,10.0,4.0,15.0,6.0,4.0
ACAD8,7.0,2.0,5,3.0,2.0,4.0,2.0,5.0
ACAD9,4.0,5.0,5,4.0,3.0,3.0,3.0,6.0
ACADL,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0
ACADM,1.0,8.0,5,4.0,2.0,3.0,7.0,22.0
ACADS,3.0,3.0,4,4.0,2.0,3.0,2.0,3.0
ACADSB,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ACADVL,68.0,125.0,152,57.0,72.0,63.0,60.0,93.0
ACAN,1.0,1.0,0,1.0,1.0,0.0,0.0,1.0
ACAP1,1.0,1.0,1,1.0,1.0,2.0,2.0,1.0
ACAP2,1.0,1.0,1,0.0,1.0,0.0,1.0,1.0
ACAP3,2.0,3.0,2,3.0,3.0,2.0,3.0,2.0
ACAT1,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0
ACAT2,3.0,7.0,7,11.0,9.0,12.0,7.0,5.0
ACBD3,2.0,2.0,2,2.0,6.0,2.0,13.0,2.0
ACBD4,1.0,2.0,3,10.0,3.0,4.0,4.0,3.0
ACBD5,1.0,1.0,2,2.0,2.0,2.0,1.0,2.0
ACBD6,9.0,24.0,12,25.0,11.0,25.0,16.0,5.0
ACCS,9.0,12.0,5,10.0,4.0,6.0,9.0,11.0
ACD,4.0,7.0,16,14.0,14.0,11.0,9.0,13.0
ACE,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ACE2,1.0,1.0,0,1.0,1.0,0.0,0.0,1.0
ACER1,2.0,2.0,2,3.0,3.0,2.0,2.0,2.0
ACER3,1.0,1.0,0,0.0,0.0,0.0,0.0,1.0
ACHE,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ACIN1,11.0,9.0,15,23.0,9.0,21.0,13.0,9.0
ACKR1,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0
ACKR2,0.0,0.0,0,0.0,1.0,0.0,0.0,1.0
ACKR3,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ACKR4,0.0,0.0,0,1.0,0.0,1.0,0.0,0.0
ACLY,4.0,3.0,2,2.0,2.0,3.0,2.0,4.0
ACMSD,1.0,0.0,0,0.0,1.0,1.0,1.0,0.0
ACN9,1.0,2.0,1,3.0,1.0,2.0,1.0,3.0
ACO1,1.0,1.0,1,1.0,0.0,1.0,0.0,1.0
ACO2,1.0,1.0,1,2.0,2.0,1.0,2.0,2.0
ACOT1,3.0,3.0,5,3.0,2.0,3.0,3.0,2.0
ACOT11,1.0,1.0,1,1.0,0.0,1.0,1.0,0.0
ACOT12,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
ACOT13,1.0,2.0,1,2.0,2.0,1.0,1.0,3.0
ACOT2,3.0,3.0,5,3.0,2.0,3.0,3.0,2.0
ACOT4,1.0,1.0,2,1.0,1.0,1.0,1.0,2.0
ACOT6,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ACOT7,1.0,2.0,1,1.0,2.0,1.0,1.0,2.0
ACOT8,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ACOT9,164.0,36.0,7,3.0,25.0,12.0,17.0,8.0
ACOX1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ACOX2,1.0,1.0,1,1.0,2.0,1.0,1.0,1.0
ACOX3,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ACOXL,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ACP1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ACP2,2.0,2.0,2,1.0,2.0,1.0,1.0,3.0
ACP5,14.0,5.0,3,11.0,5.0,3.0,78.0,3.0
ACP6,1.0,0.0,0,1.0,0.0,1.0,1.0,1.0
ACPP,1.0,1.0,0,0.0,0.0,0.0,0.0,1.0
ACPT,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ACR,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ACRBP,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ACRC,1.0,1.0,4,4.0,2.0,12.0,2.0,3.0
ACRV1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
ACSBG1,1.0,1.0,0,1.0,1.0,1.0,1.0,0.0
ACSBG2,1.0,1.0,1,1.0,2.0,1.0,1.0,1.0
ACSF2,7.0,14.0,3,2.0,2.0,3.0,14.0,2.0
ACSF3,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ACSL1,222.0,2.0,1,1.0,1.0,1.0,1.0,2.0
ACSL3,1.0,1.0,1,1.0,0.0,1.0,1.0,2.0
ACSL4,4.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ACSL5,2.0,16.0,7,3.0,4.0,5.0,4.0,10.0
ACSL6,0.0,0.0,0,0.0,0.0,1.0,0.0,1.0
ACSM1,1.0,1.0,0,1.0,1.0,0.0,1.0,1.0
ACSM2A,1.0,1.0,0,1.0,1.0,1.0,1.0,0.0
ACSM2B,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
ACSM3,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0
ACSM5,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0
ACSS1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ACSS2,4.0,8.0,1,5.0,2.0,3.0,1.0,2.0
ACSS3,0.0,1.0,1,0.0,1.0,0.0,1.0,1.0
ACTA1,2.0,2.0,1,1.0,1.0,1.0,2.0,3.0
ACTA2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
ACTA2-AS1,1.0,1.0,1,1.0,2.0,1.0,1.0,1.0
ACTB,52.0,803.0,17,166.0,119.0,21.0,25.0,1834.0
ACTBP9,11.0,19.0,2,5.0,6.0,3.0,2.0,38.0
ACTC1,1.0,2.0,1,1.0,2.0,1.0,1.0,2.0
ACTG1,317.0,1794.0,795,699.0,1172.0,278.0,517.0,1834.0
ACTG1P4,5.0,2.0,6,3.0,2.0,9.0,5.0,4.0
ACTG2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ACTL10,1.0,1.0,1,2.0,2.0,2.0,1.0,1.0
ACTL6A,2.0,2.0,3,3.0,1.0,7.0,2.0,11.0
ACTL6B,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ACTL7A,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ACTL7B,1.0,1.0,1,2.0,1.0,2.0,2.0,1.0
ACTL8,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ACTL9,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ACTN1,1.0,2.0,1,2.0,1.0,2.0,1.0,1.0
ACTN2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
ACTN3,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ACTN4,14.0,20.0,114,5.0,46.0,7.0,14.0,42.0
ACTR10,140.0,34.0,40,32.0,32.0,45.0,46.0,61.0
ACTR1A,13.0,6.0,7,3.0,4.0,3.0,4.0,7.0
ACTR1B,8.0,20.0,22,37.0,28.0,18.0,15.0,18.0
ACTR2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
ACTR3,1.0,1.0,1,0.0,0.0,0.0,0.0,1.0
ACTR3B,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ACTR3BP2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ACTR3BP5,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ACTR3C,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ACTR3P2,0.0,1.0,1,0.0,1.0,0.0,0.0,1.0
ACTR5,2.0,2.0,2,3.0,3.0,4.0,2.0,2.0
ACTR6,2.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ACTR8,1.0,0.0,1,0.0,0.0,0.0,0.0,1.0
ACTRT2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ACTRT3,1.0,0.0,0,0.0,0.0,0.0,1.0,0.0
ACVR1,3.0,2.0,1,6.0,7.0,5.0,1.0,1.0
ACVR1B,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ACVR1C,0.0,0.0,0,1.0,1.0,1.0,0.0,0.0
ACVR2A,2.0,1.0,1,1.0,1.0,2.0,1.0,2.0
ACVR2B,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ACVR2B-AS1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ACVRL1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ACY1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ACY3,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ACYP1,1.0,4.0,10,17.0,7.0,9.0,10.0,14.0
ACYP2,5.0,23.0,4,6.0,5.0,5.0,8.0,4.0
ADA,45.0,7.0,11,6.0,5.0,6.0,1.0,17.0
ADAD1,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0
ADAD2,1.0,1.0,2,2.0,2.0,1.0,1.0,1.0
ADAL,1.0,1.0,1,1.0,0.0,1.0,1.0,1.0
ADAM10,1.0,1.0,1,1.0,1.0,1.0,1.0,2.0
ADAM11,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ADAM12,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
ADAM15,1.0,3.0,1,1.0,2.0,1.0,1.0,1.0
ADAM17,1.0,1.0,1,1.0,1.0,1.0,2.0,1.0
ADAM18,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
ADAM19,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
ADAM1A,0.0,1.0,2,2.0,1.0,2.0,1.0,2.0
ADAM2,1.0,0.0,0,0.0,1.0,1.0,1.0,0.0
ADAM20,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
