,mix1,mix2,mix3,mix4,mix5,mix6,mix7,mix8,mix9,mix10
FUS,2.027143235,1.147594591,1.32255365,2.113031939,1.203294636,2.027143235,1.147594591,1.32255365,2.113031939,1.915002811
RP11-388M20.6,0.012205938,0.005192755,0.006119292,0.006168575,0,0.012205938,0.005192755,0.006119292,0.006168575,0.00478209
RP11-388M20.1,0,0.007199583,0,0.007350941,0.009761945,0,0.007199583,0,0.007350941,0.008851026
PYCARD,2.45393035,5.816151453,3.46757004,3.622826971,5.450057814,2.45393035,5.816151453,3.46757004,3.622826971,4.419465239
C16orf98,0.039145569,0.043509448,0.077933071,0.049514989,0.033128375,0.039145569,0.043509448,0.077933071,0.049514989,0.055850814
ITGAM,0.118053645,0.370135287,0.170369847,0.180162149,0.165013011,0.118053645,0.370135287,0.170369847,0.180162149,0.229058377
ITGAX,0.108619773,0.240676907,0.175786596,0.148532307,0.261960633,0.108619773,0.240676907,0.175786596,0.148532307,0.186548553
RP11-452L6.1,0.009282946,0.015048373,0.013316991,0.013424242,0.017827202,0.009282946,0.015048373,0.013316991,0.013424242,0.009699279
RP11-452L6.5,0,0.010223042,0.003213219,0.017131342,0.013030815,0,0.010223042,0.003213219,0.017131342,0.010769742
ARMC5,0.029699677,0.064984394,0.028161656,0.034169175,0.025606315,0.029699677,0.064984394,0.028161656,0.034169175,0.052923697
TGFB1I1,0.007571699,0.003823836,0.017730074,0.015950127,0.014288536,0.007571699,0.003823836,0.017730074,0.015950127,0.008341175
SLC5A2,0.009585296,0,0,0.020128638,0.008708018,0.009585296,0,0,0.020128638,0
AC026471.6,0.003552398,0,0,0.002823479,0.00374954,0.003552398,0,0,0.002823479,0
C16orf58,0.090686213,0.030881728,0.050612858,0.054306316,0.061735993,0.090686213,0.030881728,0.050612858,0.054306316,0.060775289
RP11-452L6.7,0.017265649,0.006065183,0.007147386,0.007204948,0.009568069,0.017265649,0.006065183,0.007147386,0.007204948,0.005585522
ZNF720,0.147157805,0.099082767,0.147963179,0.143571044,0.067915227,0.147157805,0.099082767,0.147963179,0.143571044,0.137023045
ZNF267,0.154934679,0.169485238,0.13773901,0.124282246,0.097038971,0.154934679,0.169485238,0.13773901,0.124282246,0.153148749
SHCBP1,0,0.006267019,0,0,0,0,0.006267019,0,0,0.005771396
RP11-46D6.1,0,0,0.006677823,0,0,0,0,0.006677823,0,0
VPS35,0.374937023,0.344819923,0.388833278,0.354372602,0.400448144,0.374937023,0.344819923,0.388833278,0.354372602,0.403945443
ORC6,0.039515493,0.032707687,0.043912864,0.014474309,0.019393481,0.039515493,0.032707687,0.043912864,0.014474309,0.018390449
C16orf87,0.233226828,0.171790669,0.266953759,0.227428159,0.223927228,0.233226828,0.171790669,0.266953759,0.227428159,0.241083242
GPT2,0.01088911,0.006449449,0.005431605,0,0,0.01088911,0.006449449,0.005431605,0,0.015575697
DNAJA2,0.535020189,0.480892195,0.459219889,0.568152269,0.490807728,0.535020189,0.480892195,0.459219889,0.568152269,0.531152896
NETO2,0.021619429,0.031252064,0.038401659,0.036620059,0.038537307,0.021619429,0.031252064,0.038401659,0.036620059,0.02718697
ITFG1,0.251724275,0.202779036,0.276313852,0.263218042,0.266015182,0.251724275,0.202779036,0.276313852,0.263218042,0.270055634
PHKB,0.163934483,0.182617247,0.282230784,0.23109298,0.205718777,0.163934483,0.182617247,0.282230784,0.23109298,0.251020886
LONP2,0.247393007,0.191880583,0.215628369,0.211190467,0.237576088,0.247393007,0.191880583,0.215628369,0.211190467,0.217156127
SIAH1,0.046096962,0.067913835,0.101344762,0.079752687,0.068993886,0.046096962,0.067913835,0.101344762,0.079752687,0.074259831
