,mix1,mix2,mix3,mix4,mix5,mix6,mix7,mix8,mix9,mix10
AL627309.1,0.014551802,0.026328615,0.015363016,0.022960475,0.020566177,0.014551802,0.026328615,0.015363016,0.022960475,0.018613588
AP006222.2,0.009188196,0.005903571,0,0.004334136,0,0.009188196,0.005903571,0,0.004334136,0
RP11-206L10.2,0,0,0.009458996,0.004027248,0.005348128,0,0,0.009458996,0.004027248,0.007391994
RP11-206L10.9,0.004571443,0.00789217,0.005801784,0.00584851,0.007766738,0.004571443,0.00789217,0.005801784,0.00584851,0.004756964
LINC00115,0.02264124,0.023253831,0.024842093,0.011785243,0.009088263,0.02264124,0.023253831,0.024842093,0.011785243,0.034893899
NOC2L,0.47747007,0.365384429,0.477487466,0.445027017,0.497588865,0.47747007,0.365384429,0.477487466,0.445027017,0.429243277
KLHL17,0.007555425,0.011511758,0.006792858,0.004065057,0.005398338,0.007555425,0.011511758,0.006792858,0.004065057,0.005308466
PLEKHN1,0.01778833,0.021597847,0.005889243,0.005936674,0.007883818,0.01778833,0.021597847,0.005889243,0.005936674,0
RP11-54O7.17,0,0.008897494,0,0.002364838,0,0,0.008897494,0,0.002364838,0.003743103
HES4,0.304719757,0.465431258,0.40433186,0.383857701,0.824061458,0.304719757,0.465431258,0.40433186,0.383857701,0.512701998
RP11-54O7.11,0.00490918,0.005547096,0.014098232,0.007622271,0.013973058,0.00490918,0.005547096,0.014098232,0.007622271,0.002247964
ISG15,4.374569048,7.208963939,4.584748764,4.605038909,6.070769054,4.374569048,7.208963939,4.584748764,4.605038909,5.174241708
AGRN,0,0.036551359,0,0.006205649,0,0,0.036551359,0,0.006205649,0.007666081
C1orf159,0.035075307,0.051032884,0.038258754,0.051577472,0.023836266,0.035075307,0.051032884,0.038258754,0.051577472,0.035650969
TNFRSF18,0.147412222,0.057984504,0.08114016,0.104409996,0.11005522,0.147412222,0.057984504,0.08114016,0.104409996,0.078931934
TNFRSF4,0.419361119,0.09677903,0.115967058,0.136627162,0.148039122,0.419361119,0.09677903,0.115967058,0.136627162,0.192059267
SDF4,0.461937368,0.413504352,0.41665421,0.505268038,0.443080491,0.461937368,0.413504352,0.41665421,0.505268038,0.489029912
B3GALT6,0.114799488,0.122287014,0.116499598,0.086947942,0.098467458,0.114799488,0.122287014,0.116499598,0.086947942,0.097130361
FAM132A,0.00483559,0.009987336,0.006438868,0.018369325,0.015774612,0.00483559,0.009987336,0.006438868,0.018369325,0.018406191
UBE2J2,0.521682743,0.44859527,0.435739251,0.558601939,0.455060584,0.521682743,0.44859527,0.435739251,0.558601939,0.429580282
ACAP3,0.106165651,0.112762396,0.12999248,0.110104549,0.105152556,0.106165651,0.112762396,0.12999248,0.110104549,0.111926779
PUSL1,0.095462742,0.097226868,0.064226784,0.108006289,0.098968455,0.095462742,0.097226868,0.064226784,0.108006289,0.055155742
CPSF3L,0.302137537,0.222530027,0.755402663,0.41035148,0.335543162,0.302137537,0.222530027,0.755402663,0.41035148,0.649454302
GLTPD1,0.138841813,0.076934364,0.096367255,0.066985484,0.056317255,0.138841813,0.076934364,0.096367255,0.066985484,0.082155332
DVL1,0.008965716,0.009583028,0,0.005861493,0,0.008965716,0.009583028,0,0.005861493,0
MXRA8,0.0163941,0.005004178,0.005897068,0.005944561,0.007894292,0.0163941,0.005004178,0.005897068,0.005944561,0.004608427
AURKAIP1,1.375288644,1.697514289,1.425012396,1.560789545,1.434958575,1.375288644,1.697514289,1.425012396,1.560789545,1.392604162
CCNL2,0.246927317,0.256367796,0.232940053,0.250998071,0.241328593,0.246927317,0.256367796,0.232940053,0.250998071,0.212454123
RP4-758J18.2,0.159711757,0.104123699,0.171284116,0.169056827,0.142812935,0.159711757,0.104123699,0.171284116,0.169056827,0.161010707
MRPL20,1.326961591,1.631397255,1.392123419,1.357909866,1.447994746,1.326961591,1.631397255,1.392123419,1.357909866,1.455468011
ATAD3C,0.014278335,0.004530648,0.005339045,0.016411476,0.007147278,0.014278335,0.004530648,0.005339045,0.016411476,0.012722737
ATAD3B,0.033740819,0.029711187,0.050060015,0.04838076,0.029382418,0.033740819,0.029711187,0.050060015,0.04838076,0.036733179
ATAD3A,0.068822179,0.064928235,0.053001088,0.040282765,0.060705374,0.068822179,0.064928235,0.053001088,0.040282765,0.064523522
SSU72,1.859634384,1.968828708,1.992672779,1.87723129,1.835336915,1.859634384,1.968828708,1.992672779,1.87723129,1.901518889
AL645728.1,0.047923718,0.042242638,0.052131891,0.072634611,0.061784537,0.047923718,0.042242638,0.052131891,0.072634611,0.065474541
C1orf233,0.003652301,0.017139783,0,0.002364838,0.003875068,0.003652301,0.017139783,0,0.002364838,0.01470695
RP11-345P4.9,0.037657891,0.07362652,0.040774691,0.029865297,0.039660689,0.037657891,0.07362652,0.040774691,0.029865297,0.038884319
MIB2,0.246548453,0.134106276,0.196181907,0.413814132,0.183318641,0.246548453,0.134106276,0.196181907,0.413814132,0.287446822
MMP23B,0.007195623,0.004079218,0.004807068,0.046553569,0.009963841,0.007195623,0.004079218,0.004807068,0.046553569,0.020811492
CDK11B,0.127050252,0.108446375,0.073874215,0.100483757,0.092538535,0.127050252,0.108446375,0.073874215,0.100483757,0.119245473
SLC35E2B,0.089036324,0.046543954,0.055279883,0.093282524,0.038396254,0.089036324,0.046543954,0.055279883,0.093282524,0.057266828
CDK11A,0.284916771,0.28458321,0.237550162,0.287557723,0.257867769,0.284916771,0.28458321,0.237550162,0.287557723,0.247424227
SLC35E2,0.028030317,0.009514929,0.018918234,0.005251494,0.006973909,0.028030317,0.009514929,0.018918234,0.005251494,0.013913847
NADK,0.185363922,0.352851997,0.255837339,0.274560344,0.370387034,0.185363922,0.352851997,0.255837339,0.274560344,0.264029058
GNB1,0.466447222,0.69698989,0.518185289,0.643723986,0.670021862,0.466447222,0.69698989,0.518185289,0.643723986,0.600668321
RP1-140A9.1,0.003621876,0.004092515,0.009590221,0.009667457,0.012838245,0.003621876,0.004092515,0.009590221,0.009667457,0.003725681
TMEM52,0,0,0,0.005670815,0,0,0,0,0.005670815,0.004396209
PRKCZ,0.047717052,0.029969188,0.027253643,0.056097706,0.043557469,0.047717052,0.029969188,0.027253643,0.056097706,0.024917296
RP5-892K4.1,0.018435517,0.030260373,0.024850514,0.010502988,0.009764392,0.018435517,0.030260373,0.024850514,0.010502988,0.036781545
C1orf86,0.952138246,1.28265617,0.948608262,0.864746873,0.929013028,0.952138246,1.28265617,0.948608262,0.864746873,1.007527053
AL590822.2,0.012120997,0.005004178,0.005897068,0.005944561,0.007894292,0.012120997,0.005004178,0.005897068,0.005944561,0.004608427
SKI,0.139137898,0.125046868,0.076433541,0.075415387,0.087627723,0.139137898,0.125046868,0.076433541,0.075415387,0.099873551
RER1,1.504048342,1.631563636,1.381593543,1.534289068,1.636735729,1.504048342,1.631563636,1.381593543,1.534289068,1.097675429
PEX10,0.052737392,0.054873239,0.05781332,0.043134311,0.033371438,0.052737392,0.054873239,0.05781332,0.043134311,0.059309268
PLCH2,0.003988831,0,0,0.00769216,0,0.003988831,0,0,0.00769216,0
PANK4,0.07269247,0.057771489,0.071851945,0.123543953,0.070813693,0.07269247,0.057771489,0.071851945,0.123543953,0.08582913
RP3-395M20.12,0.31621083,0.2984428,0.235710035,0.287447423,0.317605113,0.31621083,0.2984428,0.235710035,0.287447423,0.302113031
TNFRSF14,1.011732699,0.945089791,1.099869703,1.115227748,1.147560477,1.011732699,0.945089791,1.099869703,1.115227748,1.168410887
RP3-395M20.9,0.028721309,0.012440401,0.022720404,0.006425476,0.012408008,0.028721309,0.012440401,0.022720404,0.006425476,0.023305747
FAM213B,0.046700247,0.046235975,0.019218684,0.058680596,0.043429636,0.046700247,0.046235975,0.019218684,0.058680596,0.070762893
MMEL1,0.028576928,0.029288776,0.019970623,0.02644511,0.03077723,0.028576928,0.029288776,0.019970623,0.02644511,0.022006197
TTC34,0.004476276,0,0,0,0,0.004476276,0,0,0,0
MEGF6,0.007920873,0.008394825,0,0.002823479,0.00374954,0.007920873,0.008394825,0,0.002823479,0.015973251
TPRG1L,0.078564146,0.090954375,0.050425749,0.09609288,0.07037763,0.078564146,0.090954375,0.050425749,0.09609288,0.047499837
WRAP73,0.156043226,0.124949459,0.17553174,0.185925209,0.150700761,0.156043226,0.124949459,0.17553174,0.185925209,0.139467785
TP73-AS1,0.052453703,0.024512871,0.052167049,0.037412531,0.043913337,0.052453703,0.024512871,0.052167049,0.037412531,0.068272361
SMIM1,0.021085432,0.023580695,0,0.006462599,0.013296684,0.021085432,0.023580695,0,0.006462599,0.012376927
LRRC47,0.166446415,0.165509566,0.173538845,0.220394412,0.223580437,0.166446415,0.165509566,0.173538845,0.220394412,0.239575238
CEP104,0.074560016,0.121100614,0.141210588,0.08086392,0.080534201,0.074560016,0.121100614,0.141210588,0.08086392,0.120013387
DFFB,0.026097529,0.029546212,0.035633232,0.035491888,0.038947078,0.026097529,0.029546212,0.035633232,0.035491888,0.046241169
C1orf174,0.239370708,0.216915871,0.195443782,0.206880232,0.190979461,0.239370708,0.216915871,0.195443782,0.206880232,0.20531259
NPHP4,0.021544803,0.039237676,0.026432893,0.026645776,0.03538521,0.021544803,0.039237676,0.026432893,0.026645776,0.022419149
KCNAB2,0.441694913,0.5119643,0.42749688,0.457012101,0.485869441,0.441694913,0.5119643,0.42749688,0.457012101,0.450009165
RPL22,10.04335905,7.346320831,8.71901355,7.778326478,7.687207842,10.04335905,7.346320831,8.71901355,7.778326478,8.226005904
RNF207,0.038069941,0.020527726,0.020256762,0.020419904,0.027117341,0.038069941,0.020527726,0.020256762,0.020419904,0.025131836
ICMT,0.123766458,0.112456475,0.115439785,0.123932461,0.120515839,0.123766458,0.112456475,0.115439785,0.123932461,0.133830074
GPR153,0.003783579,0.004275231,0.005038055,0.025329018,0.013817885,0.003783579,0.004275231,0.005038055,0.025329018,0.015506623
ACOT7,0.025379527,0.020874369,0.015757271,0.067109962,0.015018528,0.025379527,0.020874369,0.015757271,0.067109962,0.030755056
RP1-202O8.3,0.004422822,0.004997539,0.005889243,0.012935015,0.017177515,0.004422822,0.004997539,0.005889243,0.012935015,0.005425353
ESPN,0.003652301,0,0,0.006841396,0.009085276,0.003652301,0,0,0.006841396,0
TNFRSF25,0.360307938,0.164651205,0.172246028,0.310891354,0.229185613,0.360307938,0.164651205,0.172246028,0.310891354,0.206940192
PLEKHG5,0.03464939,0.01369399,0.005360539,0.00740056,0.002651787,0.03464939,0.01369399,0.005360539,0.00740056,0.009838342
NOL9,0.123282687,0.110910019,0.134432814,0.129188569,0.134657624,0.123282687,0.110910019,0.134432814,0.129188569,0.101987822
ZBTB48,0.079455143,0.112058199,0.11789116,0.11857325,0.114146474,0.079455143,0.112058199,0.11789116,0.11857325,0.139547936
KLHL21,0.083242356,0.08334788,0.082291998,0.08909754,0.093963732,0.083242356,0.08334788,0.082291998,0.08909754,0.071695957
PHF13,0.029337576,0.023529655,0.020838702,0.049120465,0.029511434,0.029337576,0.023529655,0.020838702,0.049120465,0.040383564
THAP3,0.116579469,0.086207607,0.079524737,0.137211013,0.107805966,0.116579469,0.086207607,0.079524737,0.137211013,0.135348731
DNAJC11,0.052308549,0.050584506,0.053819437,0.0568728,0.067138521,0.052308549,0.050584506,0.053819437,0.0568728,0.075714386
RP11-312B8.1,0,0.00862032,0,0,0,0,0.00862032,0,0,0.003876985
CAMTA1,0.520040278,0.431277621,0.416685198,0.375257071,0.365738939,0.520040278,0.431277621,0.416685198,0.375257071,0.36817074
VAMP3,0.329475422,0.479285607,0.294427811,0.314626107,0.394298445,0.329475422,0.479285607,0.294427811,0.314626107,0.427577268
PER3,0.045965259,0.026815995,0.032195597,0.061341799,0.068721884,0.045965259,0.026815995,0.032195597,0.061341799,0.030500221
UTS2,0.024430819,0.015902498,0.022264466,0.037054916,0.021459833,0.024430819,0.015902498,0.022264466,0.037054916,0.009736451
TNFRSF9,0.009811455,0.027793293,0.013064521,0.065695098,0.051251616,0.009811455,0.027793293,0.013064521,0.065695098,0.014657321
PARK7,2.927572054,3.420399207,2.808573119,3.14512563,3.159952631,2.927572054,3.420399207,2.808573119,3.14512563,2.99416318
SLC45A1,0.003716091,0,0.003679353,0.003708986,0.00492548,0.003716091,0,0.003679353,0.003708986,0.002875332
RERE,0.175342244,0.254692849,0.305790084,0.249369089,0.276714478,0.175342244,0.254692849,0.305790084,0.249369089,0.237817257
RP5-1115A15.1,0.013037617,0.010812438,0.008702993,0,0,0.013037617,0.010812438,0.008702993,0,0.006801194
ENO1,4.057224791,4.834586643,4.065251119,4.737786783,4.858833846,4.057224791,4.834586643,4.065251119,4.737786783,4.331894527
ENO1-AS1,0.047510302,0.025765678,0.034153449,0.017572294,0.023335756,0.047510302,0.025765678,0.034153449,0.017572294,0.024789247
CA6,0.016911564,0,0,0,0,0.016911564,0,0,0,0
SLC2A5,0.005390836,0.013419119,0.03109789,0.008704811,0.011559865,0.005390836,0.013419119,0.03109789,0.008704811,0.005618697
GPR157,0.010152481,0.007708268,0.004944515,0.004984337,0.006619128,0.010152481,0.007708268,0.004944515,0.004984337,0.003864028
H6PD,0.103103834,0.109614099,0.060423166,0.065691261,0.091539253,0.103103834,0.109614099,0.060423166,0.065691261,0.103802393
SPSB1,0.019497837,0.016224962,0.024733612,0.026046308,0.023059571,0.019497837,0.016224962,0.024733612,0.026046308,0.023428636
SLC25A33,0.148012289,0.213410224,0.188860726,0.189711704,0.235708964,0.148012289,0.213410224,0.188860726,0.189711704,0.177561449
TMEM201,0.003345601,0,0,0.01313122,0.00390906,0.003345601,0,0,0.01313122,0.011080588
PIK3CD,0.383327729,0.46234921,0.338486274,0.378310415,0.383652977,0.383327729,0.46234921,0.338486274,0.378310415,0.360307218
C1orf200,0.001939864,0.005307391,0.021582021,0.006304753,0.008372622,0.001939864,0.005307391,0.021582021,0.006304753,0.009117671
RP11-558F24.4,0.011437001,0.007403014,0.004633117,0.004670431,0.006202266,0.011437001,0.007403014,0.004633117,0.004670431,0.012585749
CLSTN1,0.215047073,0.173439809,0.220566014,0.251996222,0.243690123,0.215047073,0.173439809,0.220566014,0.251996222,0.226961967
CTNNBIP1,0.208062553,0.441755588,0.293114818,0.640266477,0.364907288,0.208062553,0.441755588,0.293114818,0.640266477,0.503991922
LZIC,0.238009992,0.262382119,0.282718657,0.231218866,0.22707981,0.238009992,0.262382119,0.282718657,0.231218866,0.259723091
NMNAT1,0.069763115,0.087844368,0.069347126,0.058152152,0.065971876,0.069763115,0.087844368,0.069347126,0.058152152,0.049986057
RBP7,0.376032749,1.486948519,0.477642155,0.461109661,0.639823191,0.376032749,1.486948519,0.477642155,0.461109661,0.614781129
UBE4B,0.108877168,0.144982063,0.161772912,0.158129974,0.182885138,0.108877168,0.144982063,0.161772912,0.158129974,0.135814414
KIF1B,0.028217398,0.050485533,0.052573647,0.039110832,0.071900785,0.028217398,0.050485533,0.052573647,0.039110832,0.053062431
PGD,0.422922059,1.161113192,0.563751913,0.544370188,0.711027531,0.422922059,1.161113192,0.563751913,0.544370188,0.608135093
APITD1,0.080360063,0.039816257,0.064040014,0.060229044,0.051040389,0.080360063,0.039816257,0.064040014,0.060229044,0.067192916
DFFA,0.14603428,0.216496094,0.20515868,0.228914873,0.258639918,0.14603428,0.216496094,0.20515868,0.228914873,0.205267385
PEX14,0.074135141,0.04885348,0.080343027,0.054504988,0.062655317,0.074135141,0.04885348,0.080343027,0.054504988,0.069939637
CASZ1,0.004533092,0.005122137,0.02167383,0.012616472,0,0.004533092,0.005122137,0.02167383,0.012616472,0.01607203
TARDBP,0.334819895,0.248414657,0.374504007,0.356058489,0.309308349,0.334819895,0.248414657,0.374504007,0.356058489,0.284000409
RP4-635E18.8,0.005178664,0.006201666,0.018862695,0.007367079,0.009783376,0.005178664,0.006201666,0.018862695,0.007367079,0.007402391
SRM,0.698118876,0.627246557,0.622879104,0.73188597,0.621742571,0.698118876,0.627246557,0.622879104,0.73188597,0.653579166
EXOSC10,0.203986299,0.160525367,0.190728829,0.167259853,0.160951614,0.203986299,0.160525367,0.190728829,0.167259853,0.144662677
MTOR,0.045585444,0.062387322,0.041249738,0.04562036,0.043673295,0.045585444,0.062387322,0.041249738,0.04562036,0.049711815
UBIAD1,0.304203732,0.099741232,0.124709989,0.125301272,0.087436097,0.304203732,0.099741232,0.124709989,0.125301272,0.232241668
FBXO2,0.034476986,0.004814416,0.012937811,0.01665395,0.01471367,0.034476986,0.004814416,0.012937811,0.01665395,0.01011061
FBXO44,0.125914468,0.081207024,0.155581765,0.181739939,0.109712959,0.125914468,0.081207024,0.155581765,0.181739939,0.124424277
FBXO6,0.152282422,0.246778,0.220980297,0.253305182,0.22319272,0.152282422,0.246778,0.220980297,0.253305182,0.289532188
MAD2L2,0.306204705,0.365570341,0.296700596,0.360493809,0.401337372,0.306204705,0.365570341,0.296700596,0.360493809,0.338745382
DRAXIN,0.005376344,0.010044031,0.024398043,0.0119315,0.015844862,0.005376344,0.010044031,0.024398043,0.0119315,0.015411349
AGTRAP,0.580080562,1.575215786,0.617712063,0.659005602,0.987037396,0.580080562,1.575215786,0.617712063,0.659005602,0.901229604
MTHFR,0.077049813,0.141612368,0.10308074,0.077408825,0.092425731,0.077049813,0.141612368,0.10308074,0.077408825,0.115164917
CLCN6,0.021094072,0.019707643,0.060049954,0.073964201,0.061692335,0.021094072,0.019707643,0.060049954,0.073964201,0.029094922
NPPA-AS1,0,0,0.007569971,0,0,0,0,0.007569971,0,0
KIAA2013,0.101536839,0.173902411,0.101069056,0.098718618,0.099425077,0.101536839,0.173902411,0.101069056,0.098718618,0.109165794
PLOD1,0.031869354,0.067682821,0.027230832,0.02745014,0.045086086,0.031869354,0.067682821,0.027230832,0.02745014,0.049836765
MFN2,0.104933469,0.165622813,0.139659891,0.14344452,0.154496778,0.104933469,0.165622813,0.139659891,0.14344452,0.12671445
MIIP,0.294855762,0.376207118,0.289182069,0.302220936,0.366971843,0.294855762,0.376207118,0.289182069,0.302220936,0.296085764
TNFRSF8,0.047284418,0.098126001,0.058500695,0.054136532,0.11716345,0.047284418,0.098126001,0.058500695,0.054136532,0.091468928
TNFRSF1B,0.649695883,1.462702356,0.754080409,0.855757009,1.097163591,0.649695883,1.462702356,0.754080409,0.855757009,1.157484027
VPS13D,0.093370608,0.10250851,0.07515594,0.074093183,0.05402513,0.093370608,0.10250851,0.07515594,0.074093183,0.096737149
DHRS3,0.129019275,0.057884689,0.064714406,0.083067541,0.074057007,0.129019275,0.057884689,0.064714406,0.083067541,0.077721893
PRDM2,0.255029866,0.246319155,0.299884655,0.378282205,0.270001096,0.255029866,0.246319155,0.299884655,0.378282205,0.373019219
TMEM51,0.005959144,0.025280974,0.004092065,0.004125021,0.005477969,0.005959144,0.025280974,0.004092065,0.004125021,0.013931163
RP3-467K16.4,0.006455778,0.007294664,0.008596242,0.015128073,0.00858224,0.006455778,0.007294664,0.008596242,0.015128073,0
EFHD2,0.797891905,1.804854288,1.046702981,1.23442243,1.430167506,0.797891905,1.804854288,1.046702981,1.23442243,1.26892358
CASP9,0.056223279,0.065615099,0.080347855,0.040576678,0.053969947,0.056223279,0.065615099,0.080347855,0.040576678,0.070329137
DNAJC16,0.050349592,0.023487133,0.033094367,0.033360899,0.044302798,0.050349592,0.023487133,0.033094367,0.033360899,0.037481716
AGMAT,0.090428244,0.025555742,0.046720932,0.027260751,0.016737639,0.090428244,0.025555742,0.046720932,0.027260751,0.03370247
DDI2,0.175715774,0.191768239,0.235100554,0.211673797,0.258423067,0.175715774,0.191768239,0.235100554,0.211673797,0.192843526
PLEKHM2,0.040953789,0.114940217,0.060456076,0.059983419,0.075791195,0.040953789,0.114940217,0.060456076,0.059983419,0.087254116
FBLIM1,0.035928579,0.035105907,0.053554784,0.044425971,0.038398491,0.035928579,0.035105907,0.053554784,0.044425971,0.045867317
RP11-169K16.9,0.245623539,0.262184852,0.260362185,0.19348823,0.228727214,0.245623539,0.262184852,0.260362185,0.19348823,0.269473564
SPEN,0.112015195,0.137893709,0.1197508,0.12284011,0.149176194,0.112015195,0.137893709,0.1197508,0.12284011,0.134013543
ZBTB17,0.04373326,0.081843653,0.088009335,0.076714916,0.088651329,0.04373326,0.081843653,0.088009335,0.076714916,0.047354401
ARHGEF19,0.021979869,0.012266692,0.030177287,0.020725965,0.027523786,0.021979869,0.012266692,0.030177287,0.020725965,0.026450386
RSG1,0.008236731,0.003312646,0.00661952,0.003935156,0.010937242,0.008236731,0.003312646,0.00661952,0.003935156,0.014027472
FBXO42,0.069771391,0.123864412,0.092476178,0.103447382,0.125912081,0.069771391,0.123864412,0.092476178,0.103447382,0.091796632
SZRD1,0.386377642,0.410998454,0.327846119,0.464450459,0.455397498,0.386377642,0.410998454,0.327846119,0.464450459,0.417867235
SPATA21,0.006368758,0.00365441,0,0,0,0.006368758,0.00365441,0,0,0.002436391
NECAP2,0.992476155,0.809573708,0.885570107,0.84857535,0.869040778,0.992476155,0.809573708,0.885570107,0.84857535,0.86168005
RP4-798A10.2,0,0.02240838,0.00402892,0.010179334,0.005393438,0,0.02240838,0.00402892,0.010179334,0.013487249
RP4-798A10.7,0.003633721,0,0,0,0,0.003633721,0,0,0,0
RP4-798A10.4,0.002901073,0.003278049,0.014134171,0.007603044,0.010096734,0.002901073,0.003278049,0.014134171,0.007603044,0.011045539
NBPF1,0.062840984,0.063039329,0.075065475,0.070872882,0.100337105,0.062840984,0.063039329,0.075065475,0.070872882,0.067617775
CROCCP2,0.192227791,0.190408433,0.246899385,0.221868592,0.161878749,0.192227791,0.190408433,0.246899385,0.221868592,0.212426845
CROCC,0.055072924,0.038797246,0.019292616,0.025408392,0.025826657,0.055072924,0.038797246,0.019292616,0.025408392,0.047183333
RP11-108M9.4,0.210388182,0.266398327,0.243100538,0.156305865,0.196480768,0.210388182,0.266398327,0.243100538,0.156305865,0.247898413
RP11-108M9.6,0.058353906,0.017796829,0.020972295,0.028250743,0.036587858,0.058353906,0.017796829,0.020972295,0.028250743,0.0293256
ATP13A2,0.096904168,0.079845659,0.075775713,0.134425545,0.15520288,0.096904168,0.079845659,0.075775713,0.134425545,0.083625316
SDHB,1.007630436,2.054541057,1.182719136,1.049282084,1.249801258,1.007630436,2.054541057,1.182719136,1.049282084,1.754627585
PADI2,0.011033214,0.014966231,0.013009959,0.013114737,0.017416184,0.011033214,0.014966231,0.013009959,0.013114737,0
PADI4,0.10069804,0.137028088,0.088311051,0.052517145,0.058784881,0.10069804,0.137028088,0.088311051,0.052517145,0.124274081
RCC2,0.118314116,0.22808581,0.116574557,0.12820444,0.119066991,0.118314116,0.22808581,0.116574557,0.12820444,0.12623998
ARHGEF10L,0.032847308,0.118401763,0.018755767,0.01890682,0.036513881,0.032847308,0.118401763,0.018755767,0.01890682,0.052783302
ALDH4A1,0.003437607,0.003884302,0.004577373,0.004614238,0.006127642,0.003437607,0.003884302,0.004577373,0.004614238,0
IFFO2,0.03082138,0.021902229,0.020567862,0.036360651,0.03810635,0.03082138,0.021902229,0.020567862,0.036360651,0.027942348
UBR4,0.209387904,0.460832272,0.235099098,0.266174384,0.282754704,0.209387904,0.460832272,0.235099098,0.266174384,0.282529964
RP1-43E13.2,0.016274648,0.011831861,0,0,0,0.016274648,0.011831861,0,0,0.008905301
EMC1,0.036377659,0.048754305,0.080434116,0.057834587,0.073034172,0.036377659,0.048754305,0.080434116,0.057834587,0.070928138
MRTO4,0.216849475,0.145900754,0.193345742,0.178493657,0.16119419,0.216849475,0.145900754,0.193345742,0.178493657,0.19940307
AKR7A2,0.542739377,0.678836568,0.64042136,0.679423497,0.577910851,0.542739377,0.678836568,0.64042136,0.679423497,0.670074705
PQLC2,0.027657425,0.038683755,0.027189384,0.024242862,0.048043293,0.027657425,0.038683755,0.027189384,0.024242862,0.039237323
CAPZB,3.819161241,4.125068585,3.843575575,4.293132352,4.627180395,3.819161241,4.125068585,3.843575575,4.293132352,4.020453939
MINOS1-NBL1,0.009490713,0.010723969,0.012637434,0.012739212,0.021162624,0.009490713,0.010723969,0.012637434,0.012739212,0.01235404
MINOS1,1.3891817,1.346135146,1.407618882,1.651244405,1.655008952,1.3891817,1.346135146,1.407618882,1.651244405,1.39199289
NBL1,0.014806168,0,0,0.014787344,0.003740099,0.014806168,0,0,0.014787344,0.009280307
TMCO4,0.038182293,0.028160881,0.051952878,0.052398217,0.04369787,0.038182293,0.028160881,0.051952878,0.052398217,0.070324965
OTUD3,0.023219922,0.035655295,0.046900249,0.032774196,0.02704114,0.023219922,0.035655295,0.046900249,0.032774196,0.016499061
UBXN10-AS1,0.011578678,0.005463943,0.006438868,0.012118741,0,0.011578678,0.005463943,0.006438868,0.012118741,0.005031831
UBXN10,0,0,0,0.004149248,0,0,0,0,0.004149248,0
CAMK2N1,0.06835207,0,0,0.011818965,0,0.06835207,0,0,0.011818965,0.012671471
MUL1,0.085980078,0.115164057,0.11992691,0.094979072,0.108478358,0.085980078,0.115164057,0.11992691,0.094979072,0.109848415
CDA,0.719354407,2.626057205,1.085634415,1.093819594,1.789954272,0.719354407,2.626057205,1.085634415,1.093819594,1.390607853
PINK1,0.111917543,0.208695264,0.161489214,0.170660133,0.213914965,0.111917543,0.208695264,0.161489214,0.170660133,0.167317351
PINK1-AS,0.033975502,0.033349423,0.028147029,0.011327679,0.015042997,0.033975502,0.033349423,0.028147029,0.011327679,0.02826905
DDOST,0.90631777,0.882800192,0.873034147,0.972334368,0.814111226,0.90631777,0.882800192,0.873034147,0.972334368,0.865876504
HP1BP3,0.599416814,0.462661392,0.517319773,0.657183666,0.508500729,0.599416814,0.462661392,0.517319773,0.657183666,0.553395764
RP5-930J4.4,0.009030518,0,0,0.006068182,0,0.009030518,0,0,0.006068182,0.005197716
EIF4G3,0.067214736,0.067928705,0.080140926,0.071135373,0.075059831,0.067214736,0.067928705,0.080140926,0.071135373,0.061962367
ECE1,0.144119706,0.172121966,0.153597634,0.170473102,0.180328635,0.144119706,0.172121966,0.153597634,0.170473102,0.153245741
RP3-329E20.2,0.004938272,0.005579968,0.006575595,0.006628552,0,0.004938272,0.005579968,0.006575595,0.006628552,0
NBPF3,0.023536237,0.009041848,0.018843329,0.018092815,0.01842684,0.023536237,0.009041848,0.018843329,0.018092815,0.017178494
ALPL,0.012996561,0.01468538,0.017305674,0.017445048,0.023166776,0.012996561,0.01468538,0.017305674,0.017445048,0.013523997
USP48,0.203792125,0.218943136,0.233194002,0.206489418,0.163959845,0.203792125,0.218943136,0.233194002,0.206489418,0.220502244
HSPG2,0.006565988,0,0.014585931,0,0,0.006565988,0,0.014585931,0,0.004516418
RP1-224A6.3,0.003690037,0.004919214,0,0,0,0.003690037,0.004919214,0,0,0.004530182
LINC00339,0.060403429,0.049963108,0.078463865,0.071747668,0.062507673,0.060403429,0.049963108,0.078463865,0.071747668,0.054147065
CDC42,1.988660143,2.142247146,2.192077022,2.420879569,2.329959595,1.988660143,2.142247146,2.192077022,2.420879569,2.274040318
ZBTB40,0.076298664,0.057752238,0.071046828,0.068210884,0.093649716,0.076298664,0.057752238,0.071046828,0.068210884,0.075935947
C1QA,0.172727011,0.210339156,0.229375315,0.238317146,0.414784089,0.172727011,0.210339156,0.229375315,0.238317146,0.248514906
C1QC,0.019060592,0.021537392,0.025380282,0.025584687,0.061415487,0.019060592,0.021537392,0.025380282,0.025584687,0.031335911
C1QB,0.121591665,0.141852602,0.161906345,0.170304802,0.285875298,0.121591665,0.141852602,0.161906345,0.170304802,0.166884539
EPHB2,0.012324691,0.013843484,0.006845843,0.006900977,0.00888922,0.012324691,0.013843484,0.006845843,0.006900977,0.008786131
KDM1A,0.114659966,0.10317516,0.109189319,0.103010814,0.121973618,0.114659966,0.10317516,0.109189319,0.103010814,0.090270224
