Name,CD8.T.cells,CD4.T.cells,NK.cells,B.cells,monocytic.lineage,neutrophils,fibroblasts,endothelial.cells
CYBB,144.5,373.0,253.5,1278.0,6465.5,464.0,4036.5,1425.0
CYLD,1970.0,3125.0,1249.0,865.0,765.0,1284.0,962.0,200.0
CYP1B1,61.0,54.25,76.5,259.75,3166.75,257.5,12882.25,1356.25
CYSLTR1,246.0,1033.0,1426.5,1080.5,2777.5,3284.0,158.5,161.5
DAF ,4261.0,5733.0,2867.0,5353.0,9077.0,7690.0,1678.0,127.0
DAPP1,755.6666666666666,1079.3333333333333,565.3333333333334,2065.6666666666665,3632.0,3526.0,1419.3333333333333,333.3333333333333
DCAL1,367.0,420.0,286.0,547.0,737.0,399.0,587.0,636.0
DCNP1,173.5,245.0,275.0,347.5,256.5,325.0,277.0,2102.0
DCSTAMP,87.0,74.0,136.0,256.0,115.0,381.0,479.0,881.0
DDEF1,1033.6666666666667,1156.3333333333333,946.1666666666666,872.6666666666666,3001.8333333333335,4254.5,7726.0,1922.3333333333333
DDHD1,494.0,553.0,675.0,283.0,344.0,167.0,294.0,178.0
DDOST,1655.0,1182.0,2027.0,704.0,1869.0,338.0,1816.0,594.0
DDX17 ,2440.0,2916.5,4101.0,1423.0,3665.0,1896.5,3807.5,725.5
DDX21,2100.0,1238.0,1162.0,1968.0,1348.0,810.0,1048.0,1024.0
DDX39,2020.0,2107.0,2429.0,2295.0,1437.0,349.0,2868.0,276.0
DDX41 ,469.0,535.0,617.0,1366.0,11022.0,13040.0,10636.0,2033.0
DEDD2,5056.0,3573.0,3490.0,1629.0,4976.0,7853.0,6389.0,459.0
DEF6,4177.0,2449.0,3623.0,962.0,2120.0,2532.0,261.0,313.0
DEFA3,7634.0,7930.0,8235.0,332.0,190.0,5364.0,162.0,35.0
DEFA4,1077.0,745.0,1013.0,505.0,131.0,627.0,135.0,44.0
DENR,1700.0,1358.0,1305.0,804.0,1004.0,662.0,886.0,131.0
DESR1 ,680.0,1011.0,468.0,315.0,1083.0,1420.0,2734.0,282.0
DFNA5,126.0,99.0,140.0,640.0,318.0,274.0,3359.0,583.0
DGKA ,2576.0,4021.0,424.0,752.5,372.5,458.5,229.0,61.5
DHX33,1673.0,1544.0,1397.0,1755.0,1661.0,1117.0,1255.0,147.0
DHX36,2322.0,1902.0,1707.0,750.0,2015.0,475.0,2571.0,231.0
DIRC2,250.0,310.0,460.0,196.0,1854.0,1180.0,3703.0,1933.0
DKC1,1102.0,700.0,491.0,586.0,334.0,338.0,280.0,97.0
DKFZP434B195,844.0,1078.0,761.0,248.0,1779.0,477.0,1569.0,477.0
DKFZP434H132,477.0,621.0,799.0,653.0,1308.0,2133.0,730.0,54.0
DKFZP564J0863,316.0,612.0,428.0,251.0,707.0,437.0,1634.0,189.0
DKFZP564O0463,2543.0,2084.0,1672.0,1470.0,1724.0,747.0,1848.0,471.0
DKFZP566A1524,278.0,325.0,492.0,856.0,1304.0,1950.0,1337.0,227.0
DKFZP761E1824,1089.0,334.0,3179.0,425.0,3208.0,729.0,2082.0,363.0
DKFZp313J1810 ,377.0,446.0,2140.0,745.0,343.0,1944.0,195.0,68.0
DKFZp547A023,1346.0,1231.0,4489.0,624.0,1092.0,270.0,1281.0,141.0
DKFZp547E052,581.0,694.0,343.0,139.0,728.0,65.0,893.0,206.0
DKFZp667L0210 ,378.5,393.5,397.5,9056.0,427.5,558.5,1930.5,252.0
DKFZp686E1929 ,10478.0,7181.0,6782.0,2840.0,2963.0,8035.0,1342.0,599.0
DKFZp761K1824,2084.0,2975.0,916.0,493.0,174.0,335.0,123.0,62.0
DKFZp761P0423,3111.0,1376.0,1159.0,544.0,784.0,252.0,761.0,1443.0
DKFZp762C1112 ,1074.0,514.0,1245.0,205.0,247.0,26.0,222.0,357.0
DNAH3,650.0,951.0,1378.0,3066.0,673.0,4838.0,723.0,110.0
DNAJ,2429.0,3438.0,2133.0,652.0,2612.0,1434.0,2477.0,387.0
DNAJB1,3673.0,4706.0,945.0,383.0,523.0,815.0,447.0,52.0
DNAJC1,2788.0,1938.0,3054.0,735.0,1837.0,745.0,2040.0,223.0
DNAJC3 ,1229.0,1500.0,2486.0,1432.0,3291.0,2861.0,7460.0,218.0
DNCH1,609.0,575.0,900.0,49.0,1315.0,65.0,2101.0,644.0
DNMT1,1647.0,1544.0,1549.0,471.0,755.0,64.0,644.0,449.0
DOCK10 ,1373.0,1604.0,1273.0,253.0,653.0,24.0,1030.0,299.0
DOCK2,1446.0,1641.0,1484.0,1099.0,2749.0,1268.0,783.0,339.0
DOCK5 ,259.0,179.0,1551.0,449.0,3572.0,7657.0,3897.0,240.0
DOCK8,3584.5,3142.0,3253.0,1780.5,6783.5,7570.0,2021.5,1349.5
DPEP2,454.0,896.0,560.0,620.0,1313.0,4466.0,47.0,190.0
DPYD,726.0,569.0,601.0,310.0,3640.0,760.0,1140.0,165.0
DRAK2,9228.0,8725.0,4944.0,3571.0,10552.0,10116.0,5070.0,438.0
DREV1,562.0,368.0,442.0,67.0,1938.0,1285.0,3109.0,381.0
DSIPI,1298.0,3046.0,635.0,1745.0,569.0,1262.0,108.0,36.0
DTNB,50.0,19.0,9.0,133.0,41.0,73.0,34.0,22.0
DTR,35.5,65.0,46.0,142.0,584.5,98.5,6708.5,342.5
DUFD1,277.0,966.0,318.0,668.0,285.0,521.0,290.0,123.0
DUSP2,3495.0,1870.0,345.0,77.0,406.0,61.0,947.0,51.0
DUSP4,42.5,100.0,22.0,57.0,32.5,35.0,603.0,17.5
DUSP5,454.0,832.0,507.0,1019.0,629.0,422.0,4386.0,241.0
DUSP6,17.0,96.0,269.0,61.0,4726.0,1690.0,3512.0,365.0
DUT,2393.0,2590.0,1789.0,1004.0,1642.0,451.0,352.0,210.0
DYRK2,1981.0,1869.0,1941.0,372.0,237.0,161.0,137.0,138.0
DcR1,61.25,156.75,112.5,132.5,274.5,7182.75,73.0,34.25
EAF1 ,812.0,969.0,1000.0,537.0,1452.0,740.0,4974.0,290.0
EAF2,241.0,401.0,237.0,2232.0,645.0,248.0,293.0,64.0
EBI2,642.0,1689.0,233.0,510.0,308.0,281.0,976.0,356.0
EBI3,14.0,18.0,16.0,28.0,562.0,29.0,7336.0,35.0
ECGF1,220.0,334.0,163.0,164.0,2873.0,1435.0,1351.0,217.0
EDG6,1286.0,1112.0,719.0,499.0,585.0,2917.0,96.0,138.0
EDG8,3489.0,389.0,12430.0,94.0,60.0,78.0,61.0,102.0
EED,660.0,567.0,484.0,418.0,395.0,163.0,632.0,83.0
EGFL5,556.0,700.0,1134.0,712.0,5754.0,7560.0,1307.0,271.0
EGLN1,586.0,669.0,678.0,1000.0,396.0,2302.0,160.0,85.0
EGLN3,50.0,166.0,25.0,70.0,28.0,44.0,31.0,715.0
EHD4 ,481.5,663.0,375.0,412.0,812.5,289.5,1365.5,451.5
EIF2AK3,556.0,613.0,1012.0,2405.0,418.0,195.0,486.0,92.0
EIF2C2,2342.0,3829.0,2684.0,704.0,2027.0,2065.0,4213.0,373.0
EIF2S3,1427.0,2558.0,911.0,1428.0,1192.0,380.0,538.0,329.0
EIF5 ,2257.0,1010.0,2813.0,1680.0,4026.0,2077.0,1475.0,181.0
EIF5A,1380.5,1688.5,1646.5,1014.0,1198.0,641.5,1744.0,633.5
EIF5B,1092.0,773.0,629.0,577.0,647.0,84.0,958.0,285.0
ELF1,2127.0,1865.0,1787.0,1573.0,2043.0,2757.0,1430.0,250.0
ELF4 ,1176.0,846.0,2260.0,473.0,1744.0,1482.0,1517.0,226.0
ELL2,23.0,36.0,19.0,62.0,31.0,50.0,185.0,60.0
ELLP3030 ,258.0,347.0,788.0,100.0,2398.0,79.0,2919.0,1677.0
EMILIN2,802.0,935.0,941.0,1185.0,9875.0,1566.0,13549.0,2515.0
EMR2,80.0,92.0,87.0,159.0,342.0,2618.0,738.0,17.0
EMR2 ,61.0,229.0,239.0,278.0,1607.0,4474.0,1328.0,225.0
ENO1 ,2977.0,3187.0,1913.0,858.0,3657.0,561.0,3253.0,1145.0
ENTPD1,112.0,96.0,117.5,611.5,889.5,1058.5,94.5,427.0
EOMES,6495.0,684.0,7471.0,808.0,254.0,918.0,256.0,95.0
