,CYFZ,FY2H,FLWA,453W,684C,CZJE,925L,9JD4,G4YW,4DUY,36TS,CR3L
CREBRF,21.20028321,30.00695152,25.82483696,44.72338171,24.04536871,36.33687113,17.08774885,15.48994699,14.02699578,11.11468794,42.50634955,32.79463217
BNIP1,14.57078148,13.10865775,15.7646378,10.6959358,14.24652881,19.73174989,12.24444269,13.48658345,8.585751655,9.691306336,17.0419551,9.871318705
BOD1,10.68131757,0.801269361,6.552246549,2.290259033,13.32721192,7.932401512,7.716434151,13.02887432,11.07853683,6.250082389,13.09598585,3.210806978
CPEB4,12.25851732,20.42308064,19.43345065,16.51660955,23.08830387,20.29631991,21.41284245,20.17913362,15.07916599,14.97587791,17.55138343,17.79417146
SFXN1,33.99126832,40.6985112,39.31659657,57.77888183,59.41060279,37.79156117,32.8249824,44.16969493,34.95026443,53.62515588,36.27554718,60.02589901
HRH2,11.40612401,37.95228385,30.51228769,30.1366838,23.77604657,23.55511473,27.26214117,23.43436722,32.47751452,38.91905265,30.5058034,23.52747383
RP11-91H12.1,2.050693714,0,7.763921095,3.310290537,7.90953577,1.989685176,13.31512232,0.594635796,5.497703201,2.521410974,1.566207372,1.798811996
THOC3,77.01801148,58.47466491,57.1065989,44.94220222,61.92185086,53.78583696,73.85551339,50.2862884,68.17125517,48.4850772,43.14114686,57.60299458
FAM153B,3.888383378,7.317088096,10.74420726,6.089863779,7.678171178,7.648258847,7.564627032,3.45138459,2.306892759,5.011338765,4.301177124,8.088224411
SIMC1,14.58908089,13.3653621,17.43361257,14.41756468,26.61765119,9.982850339,25.36137728,17.9024447,19.1219882,16.50194911,12.75430829,14.66881988
KIAA1191,46.16475857,40.61621829,38.14223231,50.18898225,43.85466849,40.10319016,49.03065835,45.17818303,37.37778823,46.6570884,39.34859991,43.02346364
RP11-843P14.1,2.46691396,0,3.209835281,7.762131113,4.754983423,0.25668891,3.697694514,3.220839557,1.378362871,7.951813828,4.804009404,4.862090794
ARL10,2.232129757,0.514728713,1.956235409,0.243686537,0.718772268,0.708611722,1.015924755,1.067695665,1.666980118,1.439980702,3.744198261,0.765100603
NOP16,29.34455,35.01386966,39.52191002,19.15110496,25.93896459,26.59019501,25.98036815,31.81786861,40.41738634,16.49371425,24.14608492,29.03677066
HIGD2A,71.11828457,69.72831818,88.15659892,57.55862984,59.34576993,64.10056913,67.62804875,69.99319208,69.90989711,64.17772796,70.07657197,56.62971309
CLTB,9.346672528,5.082023049,12.00818117,8.728642655,6.952140812,8.942912919,17.17399646,21.26609008,15.20684381,15.97168021,18.86923187,14.92121847
FAF2,25.64933415,22.20932422,21.84052456,20.45718042,19.98904891,31.59520613,26.10665844,18.69153515,28.09961148,24.69258212,15.69728602,23.0431621
RNF44,10.57998676,12.59012339,29.1628531,19.97203102,20.89695402,15.69609227,14.90772948,21.50344562,19.93238408,15.80421623,12.48721626,17.46476256
TSPAN17,8.553284492,13.73506346,20.90512526,12.8448914,11.32998494,11.10691787,17.99220976,16.37740242,16.46632672,15.83589565,11.51810804,11.44479387
