gene,naive.B.cells,CD4.T.cells,CD8.T.cells,NK.cells,neutrophils,monocytes,fibroblasts,endothelial.cells
LAYN,0.144893188,0.311586,3.82166365,1.37726775,0.140389,0.197470942,0,22.665
PCSK6,2.285326276,2.01865625,11.79767488,2.29936825,0.41398775,0.945783675,2.0775,0
LIX1,8.58744,0.20524825,0.358678,0.51154375,0.2092325,0.2247713,0.945,0
RTKN2,1.118344838,6.73663705,1.3795652,1.7049108,1.41465325,0.957771817,0.085,0
PHEX,0.088469712,0.017726675,0.051503825,0.0317698,0.26977455,0.065481983,0,0
MAL,2.374484255,262.7347373,158.0700302,0.189389,0.4371755,0.158390833,0,17.27
PRRG4,0.671791875,0.524676,0.86474575,0.770327,15.3423725,2.171252,12.3825,14.0425
MSR1,2.803222088,1.649454775,2.241905,2.58678325,3.676919275,64.20261367,0,0
IDO1,0.761887293,0.31100025,0.107428,1.0489635,7.169554625,2.275938395,26.565,35.905
CCL5,24.53545525,48.84515818,31.7564475,1197.387325,8.1153215,16.55588387,273.13,131.2325
SERPINE1,0.250488487,0.2544923,0.24746675,1.18922825,0.2781765,0.158023117,25.45,249.98
HAL,8.9098362,0.77244625,1.03416195,2.39728575,207.5670128,35.39654358,0,0
C12orf74,3.25157075,0,0,0,0,0,0,0
ANKRD31,0.13121085,1.313122615,3.1511575,0.13417865,0,0.00162975,0,0
DFNB59,1.465917875,2.65401575,7.817422,0.66480075,0.159819725,0.306140075,0,0
KLHL33,1.297989875,1.097291,1.771826375,1.263965,0.98578975,0.737336875,0,0
SRPX2,0.716287825,0.136046375,0.158390475,0.1385372,0.08015155,0.110513425,3.285,40.23
WNT7A,0.033567163,16.27926,1.80471275,0.08452405,0,0.030455025,0,0
ZFAT,12.04042036,9.947261111,14.2602464,7.988497125,6.13533919,9.404224934,0.6475,0.2775
CDK14,68.70123139,0.062275475,1.230362,0,14.00870533,3.221833692,0,0
ADTRP,0.81411075,60.518737,5.82347875,0.4872863,0.803132,3.96201802,0,0
KLF1,1.243247875,0.022625075,0.017282525,0.4151405,0.43356725,0.765567583,0,0
RHPN1,0.848677191,18.02508412,14.06069501,0.291484426,0.211566692,0.105968253,0,0
JAKMIP1,1.214605814,1.25013625,0.070206805,29.9048486,0.169221274,0.292409742,0,0
TMIE,0.008515163,5.867565,1.8735875,0.020984025,0,0.176261417,18.9025,0
RGS13,2.973784881,2.30432625,2.1900835,2.25092375,0.97233925,1.01246485,0,0
DGAT2,9.861227236,0.3119239,0.493363025,0.491305495,390.9349665,12.51809642,0,11.775
INPP4B,0.247936068,136.0852384,72.60881168,4.019847625,0.08258715,0.647044038,17.805,29.985
IGLL1,0.29504875,0.04755375,0.54481325,0.2950725,0.0720195,0.046306083,0,0
COBLL1,90.73342779,1.68013135,1.3685948,2.687663425,1.26529335,0.6787824,0,0
SLAMF8,0.55253735,2.356922125,1.905003025,9.257354175,0.29275785,3.712440233,0,0
KLHL4,0.00582825,0.03549735,0.0392598,4.72371075,0.00529065,0.0124891,0,0
SOX5,12.49596413,1.7661006,0.45881085,0.253433675,1.3742542,0.340629775,0,1.6025
CPNE7,0.004314588,0.31122965,0,0.224975075,0,0,0,0
KIR3DL1,1.576579421,0.623574225,0.2705275,266.594985,0.334534,2.08020826,0,0
IL17RE,0.3213025,0.30839095,0.539658925,0.38017215,0.69580575,0.377647775,15.7425,0
FEZ1,1.668407754,1.03342125,1.1103315,66.10795175,0.5086705,1.451239667,197.735,6.475
CHL1,4.530974368,0.102015,0,0,0,0.036979308,1.105,0.09
TBC1D8,10.610771,9.114077,11.51950575,13.30739775,7.79228725,116.9702216,3.9625,0
DBNDD1,26.04738701,8.20765825,4.031990948,0.06866955,0.0257245,0.041676758,16.525,6.7925
NECAB2,0.146923163,0,0,0,37.1958855,0.308207583,0,0
MRAS,1.111616425,0.365488775,0.28956425,0.30806445,0.2887795,22.12531616,0.9375,0
