gene,naive.B.cells,CD4.T.cells,CD8.T.cells,NK.cells,neutrophils,monocytes,fibroblasts,endothelial.cells
CPNE5,145.9244738,0.071328163,0.073695364,0.351525142,1.843577167,1.863564217,0,0
RGS17,0.316652625,0.76634225,0.495195125,5.5876345,0.5557815,0.327769083,0,0
TCN1,4.099749301,0,0,0.756726075,8.7232812,0.29639025,177.82,0
KIAA0087,0.181343375,0.179401725,0.281391,0.13710225,0.12787115,0.109696792,0.1225,0
TCEA3,0.2841956,42.2864985,38.40915375,0.192214925,0.02706425,0.748327775,0,0
EPHA1,1.917394925,54.36133675,71.44809025,4.7326805,22.54393625,8.043254717,0,0
PI16,3.358092835,5.8714955,1.5992635,3.00745475,0.251799875,0,0,0
BEND6,0.523840625,0.6963145,0.911381,0.6717435,0.516744,0.489417158,0,0
COCH,97.18904231,1.011925625,1.3988535,0.075692,0.4018907,0.779636323,0,0
CACNG8,0.452000875,0.69303025,0.699886,0.63259325,0.69673675,0.35043,6.535,5.065
TPRG1,0.887943375,2.602646,0.40577525,20.05889675,2.870489825,3.257747517,0,0
CCSER1,15.94711754,0.082812025,0.349646,1.3167005,0.7694935,1.020364492,0,0
GZMH,8.05248375,36.555746,2.5169825,888.6368118,0.8263495,8.849876167,0,0
ZBTB16,21.53496413,11.20901125,8.99895575,165.6126028,2.22447725,15.55206633,62.225,6.2375
TSPAN6,0.60205,7.3982185,6.01232175,0.7087859,0.44361278,0.231670977,0,61.12
FCRL2,167.7653131,2.2407175,3.451589,2.551446975,2.4237766,2.873057675,0.92,0.2575
CACNA1E,0.625961274,0.003470225,0.005535575,0.001519498,13.22471292,0.094070799,0,0
TTC39A,0.179925862,0.297846,0.20919025,0.228916,0.936144425,0.443961442,0,21.515
ARVCF,0.488741833,0.161611524,1.197357633,23.28530156,0,0.860604863,0,0
LINC00612,0.179499175,1.59791125,0.821901,6.7110625,0,0.070766092,0,0
EREG,12.54550988,1.52365375,1.9712715,1.68052325,2.517157,91.31365758,5.4425,3.395
MIR650,54.5143075,1.0875975,0,2.4862225,0,0.2505525,0,0
BOLA2B,11.8803795,5.71316455,5.861940025,7.9795125,0.71193375,4.132920975,29.29,4.6175
RNASE6,139.7407375,1.42350025,0.3532985,4.26357,127.324,90.64083,0,0
KLK1,6.133247125,0,0,0.04921525,0,0.297193083,0,0
C5AR2,1.987774375,1.2872105,1.7031375,2.08233325,38.8645,9.409134167,0,0
CTNNA2,0.16038605,0.189505,0.23789025,0.1143715,0.112668075,0.092502567,2.9025,0
A2M-AS1,0.450456438,1.149079,1.528625,8.08804,0.01554745,0.430094917,9.995,0
PDPN,1.115121875,0.8336354,0.855973375,0.47893325,1.4883815,0.340885258,15.7975,0.2425
CXCL3,4.30916175,0.0273845,0,0.078095,1.3339942,45.29618475,10.3075,9.1475
S1PR3,1.176185,0.37013595,0.3512015,0.35292925,0.2459833,11.22567908,0,4.565
ISM1,0,1.96508725,0.48338975,0,0,0.003981975,0,0
GTF3C1,15.5039047,18.9194565,20.52379225,119.7275352,8.7875035,17.05647326,1.9625,0.2675
NTNG1,3.665638696,0.036470075,0.006221425,0.041819,0.04677445,0.022958383,0,0
PDK4,2.17506495,0,0.012371325,0.2328185,3.348958725,45.4973156,191.3625,163.8125
MAFB,2.69109175,0.01655565,0.0211722,0.23737855,3.4918025,111.11635,0,0
MYOZ3,0.323499525,0.06627945,0.29931075,0.288430775,0.3231035,0.116536942,0.7225,0.215
SSPN,22.76983211,0.092793775,0.0455451,0.077954425,1.829270064,0.045194617,2.565,12.0525
LRP1,6.403545525,2.21891825,2.2122203,0.965767975,0.98774555,62.61779337,10.695,5.5
GNG2,97.6218265,175.4620289,185.6525077,737.8357025,273.8552653,329.6300069,11.715,6.165
ITGA1,1.1786564,5.94298305,1.87676595,10.2738532,3.945971525,1.697301833,67.855,83.505
KY,0.102081475,0.264049225,0.1010675,0.271907625,47.47948,0.341064667,0,0
FYCO1,6.889047839,7.29963775,8.386561042,15.0792648,1.543547102,7.033931779,20.265,6.39
TNFRSF21,1.4303106,0.08843715,0.03840815,1.08842475,0.098732925,1.454996092,88.3625,0
TRIM64,0.004950238,0,0,0,0,0,0,0
TNFRSF13B,62.35619625,0.174775275,0.2960941,0.132920975,0.48291025,0.277495692,5.4475,0
SAMD3,14.88012144,106.2307872,129.1406648,534.6891842,1.472596825,5.538045746,0,13.675
ABCC3,5.692127926,3.128001725,3.934748778,3.535966073,2.9718036,47.19429764,0.75,38.3975
UGT8,16.59550375,0.2865055,0.32019775,0.520783725,0.275042,0.23550665,103.1325,82.8975
FZD2,0.028017875,0,0,0,0,0.368288917,4.07,1.78
ITGB8,0.727268625,0.40063525,0.450497525,0.737494975,1.123448,1.369043833,10.325,0.115
FSD1,2.128537475,2.36943575,4.659257638,13.15702755,1.245754625,0.73378715,0,0
LGALS2,5.31891,0,0,0.88102375,0.099742,42.65406583,0,0
SPON2,12.69286973,13.6109155,17.73108825,1082.637496,2.491677,13.03464606,1.9875,159.82
TNFRSF17,35.117829,0.485101,0.01000065,0.35749325,0.20579025,0.383896833,0,0
THSD7A,0.005380567,0.0760805,0.016559063,0.041464081,0,0.000691442,0,0
DLGAP1-AS3,0.37547875,0.4079785,0.75584375,0.30712525,0.50468575,0.425316083,0,0
REPS2,1.167665338,0.83558625,0.6285038,0.721803975,51.32715,1.868217975,1.0475,1.205
L1TD1,0.392245325,0.2049645,0.2549355,0.157390575,0.07324405,5.66002675,12.01,7.455
CFB,0.99935802,6.816966425,0.58217125,0.20016625,0.805425375,5.754605717,37.375,85.255
COLEC12,3.74726925,5.7365715,6.38044225,7.0002645,7.669696,3.2024185,0,0
LMO7,15.4837759,60.9401675,67.40585244,7.194220425,1.5675035,4.383637253,4.31,0
SORCS3,0,4.15626925,0.28585795,0,0,0,0,0
GNAL,1.588599912,1.07257225,1.5194,19.25964575,2.949625,1.25016975,6.22,4.27
RNF157,1.121402582,25.8940835,35.0769305,4.0602275,1.66789275,1.120880317,15.9725,29.3775
LYPD2,0.066588375,0,0,0,0,14.43330917,0,0
NAIP,24.58197595,13.46077079,20.66310811,19.01767013,113.4180238,71.10929998,4.2825,7.4625
PLVAP,0.887940375,0.014861,0,0,0.0142488,2.008636408,0,594.5675
XKRX,1.751569188,2.5605255,4.588879,0,0,0,0,0
PLEKHG7,5.839032975,0.17016125,0.256727775,0.064329625,0,0.084552867,0,0
ENPP2,1.625903019,7.517470868,3.343945317,0.5521268,0.58744335,1.493424171,3.6025,205.5225
MS4A1,3457.55663,1.3891454,0.732141767,4.67761289,4.627305195,1.405452623,0,0
IL6ST,23.82936208,515.1882759,341.0085284,17.54839123,12.21310886,43.30352556,178.455,82.9975
WNT16,15.52529625,0.0943221,0.253363775,0.075629,0.0525631,0.006486483,0,0
CYB5R2,1.859224998,0.355479,0.404640391,0.177232625,0.4763309,1.138758567,26.1125,0
MPL,0.611162035,0.09980725,0.022470277,0.018878229,0.129550813,0.120666002,9.685,2.125
KCNJ15,2.547513536,0.23518625,1.167098,0.9487265,756.431912,8.381035699,25.2775,0
FKBP10,0.066733313,0,0.20967475,5.01888575,0,0.1560215,162.0775,143.52
PID1,3.82946885,0.1215345,0.18280425,0.737328275,0.361708818,32.64788292,0,0
PLA2G7,4.838128813,0.2582885,0.48014725,0.44604575,0.36739325,20.02531636,0,0
FPR2,8.900664754,0.66986975,0.9016375,2.36616575,900.7862798,108.1180586,0,0
FAM160B1,9.552788315,10.091113,12.03177308,25.66005726,34.287848,10.24541653,0,4.495
RNF144B,14.23824325,3.920125,6.382465,1.80766975,67.34660775,122.8908533,0.1375,0
SGCD,0,0.09016725,0.00524466,8.635407,0.002783075,0.034265842,0,5.3775
RPH3A,4.2234513,1.188961901,1.146101375,1.12272385,8.5731936,25.75259231,0,0
TPM2,0.4506779,4.1695784,2.216598,2.630101875,0.54898725,0.34618445,1125.3,42.07
KLRB1,2.062616125,5.23349,0.45773625,163.46375,0.51356685,1.414916167,0,0
CLEC4A,26.92393838,5.400648,6.25606075,6.91826975,167.9940128,104.774112,0,0
BLNK,270.8208774,0.095991,0.2902675,1.544527505,0.17685125,3.022286,0,21.4925
CCR5,0.45581125,0.960785678,0.0081428,6.11383,0.413169875,4.872219075,0,0
ARSJ,0.77670125,0.99683675,0.851194325,2.557074075,0.5664625,0.58841575,2.38,4.7525
MMP9,1.080778788,0,0.054171025,0.011493325,146.282375,0.435850583,0,0
CST7,9.0922275,14.19358,3.1743515,690.6735,149.143,7.0040435,0,0
OXNAD1,11.24742141,257.7284015,302.6443862,26.22139325,4.774893569,11.96281435,0,21.4775
PRKCA,1.66283625,29.50417825,37.421014,6.167145,0.802807775,3.592268083,11.22,2.3925
VAV3-AS1,11.3984925,0,0,0.4886095,0.19949175,0.024335,0,0
SFRP5,0,0.106146225,5.094935,0,0.110463,0.022222583,0,0
CD8B,0.0893373,15.5050705,991.9055922,4.412296,0.18104035,0.053472583,0,31.0975
MROH9,0.352931873,0,0,0.06393525,0,0,0,0
SERPINF1,20.09385663,10.8144829,36.01382625,9.68205185,6.573124,9.835489766,484.365,0
DNAH6,0.455596066,3.055806658,5.016189832,0.767417667,0.15274225,0.371237975,3.4325,0.4025
CYP11A1,0.04457675,0.10628375,0.30467915,0.359247,0.40390825,0.0125965,0,0
CLEC10A,2.208463225,0,0,2.04568875,0.23861425,19.90423783,0,52.885
GRIP1,0.922104612,5.5323115,5.7895735,0.643165825,1.174230875,2.011461083,0,0
NELL2,0.795876312,245.6470208,617.8034063,3.289860075,0.18963725,0.077879075,0,25.015
ME1,0.613085875,0.227775375,0,0.162739,0,1.517617858,0,0
PLOD2,0.654569875,0.55702825,0.641769,0.8411785,0.783344825,0.585175917,5.59,41.5125
DOK7,13.18368342,0,0.07535475,2.433599,0.084085375,0.101433583,0,0
TNFRSF10C,2.687331625,1.02753955,0.3889591,0.79800125,1665.708313,13.77585954,0,14.6425
CD14,99.68127125,1.360908,0.87748925,1.54917275,338.5088075,645.8843667,31.415,59.465
RAB6B,0.877184001,1.1604675,1.0896825,2.09854832,0.0216029,0.1840327,6.4725,0
KCNIP3,0.019976213,0.321168094,0.01998235,0.043211475,0,0.007638683,0,0
EPAS1,0.743218697,0.095050675,0.2459546,1.344699094,2.030993379,1.089736333,207.825,329.3125
LRP1B,0.002214154,0.00160869,0,0.167940225,0,0.107229458,0,0
PTPRS,2.124285171,0.76494425,1.0515142,0.58109525,0.95269475,0.496354858,22.375,6.7525
MEF2C,523.5276291,0.15946105,0.261426001,13.75271231,54.63604438,181.4588399,0,13.93
LPAR1,1.168461096,0,0,0.645719177,3.088564225,8.908309514,26.8,8.1275
PCDH9,31.3254425,0.1309006,0.106470625,0.623345475,0.098851775,0.076479075,0,0
FOLR2,2.768363147,0,0,0,0.184259501,19.85489492,0,0
CNTNAP2,22.26413663,1.13910578,1.314208593,0.932013272,0.862969458,0.60490632,0.3325,0
CDH23,2.281665616,6.777225565,14.04977864,1.635299837,23.09184258,67.85839232,7.45,2.545
EPHA1-AS1,0.624056313,27.704395,28.130985,1.387073,4.26961175,3.930350483,2.69,0.085
FIBCD1,0.01825575,0,0,0,0,3.352394212,0,0
TIMD4,0.156730875,12.19428276,11.72468025,3.397798425,0,0.075802425,0,0
CD177,0.529736338,0,0.021742175,0,39.065923,0,0,0
KCNK6,9.44590875,15.1183575,12.287795,9.094125,12.2648975,19.9796125,0,8.005
MATK,3.100722713,5.575715685,7.583102388,127.8791648,1.795704235,1.967030392,0,0
STEAP4,1.921599475,0.59064025,0.690618,0.662717075,335.518675,12.96840133,44.72,4.0925
HRASLS2,4.372702875,0.15161425,0,0.96649775,0,0.052421917,0,0
GPBAR1,9.261814769,0.474912875,0.67767875,1.9996415,2.8652555,212.2504002,0,0
SYNM,0.1474629,2.09316175,0.4198825,0.48509675,0,0.069701367,10.515,5.0175
ACVRL1,0.5473354,0.335735825,0.504666775,0.469119,0.4349828,2.322716667,2.3875,2.7075
P2RX5,342.028326,6.366326508,9.856066753,3.674006325,0.339270065,1.118093605,0,9.2475
KRT72,0.082255875,57.959085,39.514052,19.70421175,0,0.39461,0,0
LRRK2,17.55977188,0.0489584,0.068397575,0.864996425,244.592558,51.92211517,0,1.4325
AIM2,71.134004,0.729404,1.24863175,1.8266615,31.7281635,14.80962675,0,8.1075
SPIB,280.3099221,1.98974225,2.29472025,3.894300958,1.82999525,1.463101071,35.6225,21.76
ARHGEF10L,2.52933156,0,0,0.08901525,0.2279072,42.80002946,1.1025,3.59
DTNA,3.1651033,2.8481425,3.1561525,2.754720675,2.3269325,3.824992753,37.2925,13.4125
SLC37A2,9.403909688,1.599891,2.100487925,1.94273425,2.2847613,80.38915449,53.905,12.225
SLC7A8,1.614014325,3.103286,22.3465965,1.0210528,0.10001705,0.801133456,0,79.0525
MXRA8,0.087121925,4.026025514,33.02462025,0.060557,0.08903375,0.225724025,413.08,0
PROC,0.778827125,0.38888,0.1283025,0.093756,1.62013175,0.012913917,0,0
FCGBP,1.721165234,4.059915,22.951969,5.4940415,0.02952325,1.301311842,0.67,0
CLCN4,10.99551082,0,0,0,6.960253,0.968204197,0,3.4875
MYO7A,0.579617363,0.695375875,0.66571975,0.620297811,0.760648875,4.039609394,1.505,10.675
FAM111B,24.47733975,1.43963,1.82939,1.695681423,1.023696535,0.953499333,13.6675,4.265
LILRB4,8.305092619,1.018948775,0.66870075,1.560798475,11.532736,116.4670624,0,0
ADAMTS5,0.03254885,0,0,0,0,0.5552924,0,0
AOC2,0.469931513,0.529175,0.416637506,0.795654,19.0419625,0.258910483,0,16.5675
DSG3,0.062971075,0.112997575,0.03202005,0.090107425,0.13327185,0.058591117,2.515,2.0975
IDO2,0.636074688,1.016502,1.040803,0.61419775,0.737325,0.515419358,0,0
MERTK,1.3603203,0.258741,1.016857,0.14963825,0.659779,26.36781192,0,0.3625
GLIS3,0.001867287,1.292103325,6.94103955,0.089718075,0.2405078,0.503293616,0,1.96
FLJ27354,7.454759625,32.171325,21.41562275,2.565651,0.19836275,4.14025975,0,0
MANSC1,1.433444013,3.725607241,1.663115,1.57623125,101.6170825,2.173633742,1.88,51.8175
TCF4,265.6824769,10.50276176,13.8797082,22.92582133,17.42620422,36.90022624,19.675,48.1475
TTC16,0.797881575,6.13160075,13.629278,25.7427575,1.12462975,0.603993892,0,0
KIAA1211,0.363961125,0,0,0,0,0,2.3225,0
EPHX4,0.7743965,0.97716775,1.21955025,4.81513,0.68051625,0.674239917,0,0
KLRK1,39.79489738,39.35861075,1343.859053,1698.627135,3.37606925,14.1481875,0,17.14
FAM157A,1.33411425,1.11075875,0.96099875,0.7413375,80.06695,7.218791833,0,2.17
MS4A14,4.765028657,0.010108375,0,0.04609015,0.0791645,44.39016869,3.5775,0
CD5,6.373970875,221.4865975,192.833,4.1084005,0.23642825,1.036113392,0,15.0625
ZMAT4,0.820730688,0.240009,0.4489825,45.35163322,0.256300225,0.689433167,0,0
CYB561,2.351284383,5.00541835,3.594613216,31.64878813,10.06749213,19.87016574,12.445,4.3775
CXCL2,29.299457,0.026372,0.0990025,0.8369505,14.51722905,224.1761099,102.7475,843.0525
TAPT1,65.9325,28.88229625,26.00102959,17.49202215,16.041092,14.5207294,5.1075,0
OTX1,0.039934,0,0.099162,0,4.827227608,0,0,0
EPS8,2.722020401,4.20110165,2.936043618,1.848944425,1.74887765,39.62930569,50.425,17.56
TUBB4A,4.558315483,4.723057425,2.735735,6.848662965,0.1967915,0.25206575,0,0
FCRL1,1188.992044,1.1909165,1.33492315,1.4426326,4.801250225,7.982625208,0.665,0.325
MYOF,3.826170282,0,0,0.253846233,0.406015269,101.6433586,15.82,40.495
EDAR,0.003015138,20.53052631,12.54070511,0.108968275,0,0.004515983,0,2.645
ERBB2,4.196458993,4.558139425,4.83154825,83.29543125,3.077339108,2.989848596,7.66,2.5175
DPEP3,1.501837125,5.27272,6.2148777,1.752895,16.80365,1.32736275,0,0
FAT4,0.13390575,0,0,2.3910975,0,0.027720967,2.2125,16.7725
MARVELD1,0.424063625,0.26160825,0.564296775,1.196468,0.010195875,5.643813167,0,0
ZNF365,0.300510663,1.049245575,0.163684125,8.4342791,0.674245,0.445580975,0,0
CXCL1,2.52319975,0,0.0498065,0,358.018675,4.641825308,10.805,198.3175
TNFRSF4,0.095679125,1.144972,0,5.77511365,0,0.207488667,0,194.28
KLRC4-KLRK1,1.848636136,2.806304604,151.3786075,168.9072183,0.39175725,1.552473469,0,0
MYO1B,5.05572399,0.408350975,1.467604627,0.514768,0.275244825,0.225947467,204.49,17.88
CKB,2.04782825,1.233346,0,2.427783,1.419453,104.1164652,0,0
PODN,0.156087925,0.1746146,0.1687907,11.21754425,0.130594125,0.262462675,57.34,0
CYP46A1,0.97554425,1.2106055,2.588631,1.461933725,1.190103825,0.744112083,0,0
KLHL14,17.6123765,0,0,0.008200225,0.0074698,0.007352683,0,14.4575
RXFP2,0.424786338,0,0,0,0,4.098444333,0,0
NUDT16P1,2.350577625,0.496886,0.7629705,1.238298,19.64617,25.5146975,0.5125,0.5925
ADAM23,0.298783845,0.765467,0.18340225,0,0,0,0,0
MCF2L-AS1,0.679899375,15.1608425,10.92414,0.05689475,0,0,0,0
RRAS,1.1256465,1.36218475,2.042297851,0.85180775,0,14.00702217,112.9075,22.625
CD1E,0.660889888,0.0368,0,0.632377146,0,3.204811243,0,0
CLC,3.394914,0.1872545,0,1.709459,4.1769525,0.788020083,0,0
APBA1,0.212138813,0.503780625,0.288550125,0.22780005,0.315600275,1.037396183,0,0
TMEM108,0.176237363,0.3534161,4.237257,0.2506665,0.133666175,0.142929208,0.8075,0
DPP4,0.860660137,79.6524415,59.46631275,3.5654835,0.491754025,0.9062413,2.865,1.515
OSCAR,6.785173092,0.540814026,0.396206103,1.537309458,57.05529623,87.57822701,3.5825,0
PROM1,0.040447163,0.104608425,0.033027775,0.20007137,0.007434825,0.024404442,0,0
DPEP1,0.063421125,0,0,0.083125,0,0,0,0
CXCR6,0.879300075,2.045152725,1.74768075,11.1847705,0.03200125,0.645993025,0,0
ANGPTL1,14.57165766,0.33753635,0.780442175,0.253984325,1.1246553,0.434923358,0,0
REG4,0.006529075,0.98550825,9.0780525,0.013145375,0,0,0,0
FAM153B,3.712585101,36.438568,30.5536435,3.26679945,1.69203275,1.459693483,0,0
CD8A,1.517537475,16.67622475,720.414215,124.034617,0.443380725,1.242623825,0.23,20.79
BANK1,579.2383997,0.6815284,0.166484,2.315018197,1.03143165,3.057732162,0,0
SH2D2A,1.880725843,14.58771225,23.36551675,180.55159,0.645759,1.374657122,0,0
ADAM12,0.16406135,0.01214,0.267235,0.818039687,0,0.185786375,1.82,0
SLC7A11,0.1235512,0.13635205,0.135609225,0.147796225,0.5719385,0.115666542,6.1675,1.1625
LUM,0,0.011103975,0,0,0,0.002573133,706.6925,0
GPA33,2.829553252,64.6641625,11.2821495,9.93299,0.02549875,5.860777167,0,0
CYTL1,0.435413875,0.09803275,0,2.279235,0.09431725,0.1490465,48.1975,0
LONRF3,0.318680075,2.53917425,2.196398725,5.6249876,0.9590605,2.510242593,0,0
IL12RB2,0.777806911,3.006714991,0.85959715,37.7672725,0.118013475,0.561091359,0,0
CCNA1,0.923676125,0,0,0,0.0979245,0.094247,0,0
EMID1,0.018436625,0,0,0.331035175,0.016770725,0.0759425,0,0
LINC00092,0.382823887,1.48771475,6.21852175,14.00821,0.47351925,0.779473167,7.0925,8.3375
ROR2,1.32586425,0.15711925,0,0.3215015,0,0.072692183,2.725,0
BMX,0.288825509,0,0.04550325,0,20.8111674,0.073034892,0,0
EPHX2,6.646300887,194.825573,152.1932336,9.4959284,3.75427895,2.310104658,0,65.425
A2MP1,0.1904218,2.59379335,1.79511415,6.92847,0,0.038046875,0,10.84
TMEM176B,34.23469525,0.14994025,0.113386675,0.2818035,1.8211075,173.6530316,573.5775,181.03
PLEKHA7,1.176255221,1.7915172,0.8821435,0.1364193,0.06742065,0.431405933,0,41.2825
CR2,70.7854885,12.070944,18.883334,1.07995875,0.4385139,0.680087583,0,3.46
NRCAM,1.968162213,4.282858216,27.21335895,0,0,0.051891667,0,17.0825
SYTL4,0.826095439,0.49273725,0.81767025,0.501159275,1.34941583,0.450177617,1.105,2.3925
RNF157-AS1,0,16.65448275,35.67094075,1.642706884,0,0,0,0
ARHGAP24,71.38422638,0.03338865,0.08686725,0.1811277,16.5465265,24.40760413,2.66,2.0325
ZBTB32,42.45987885,3.04264675,5.754598636,0.2201737,0.0528108,0.256650481,0,1.5075
AFF3,200.6442511,17.74673889,2.812048525,6.208530115,1.290784225,2.893474204,4.9225,4.3825
CEP41,9.900758312,33.923568,87.1479416,21.08824025,1.758964906,10.42685506,129.7225,14.765
CRHBP,0.141842125,0,0,0.07149825,1.06060125,1.648061158,0,93.34
CYP2E1,0.083541825,0.2864598,1.0500884,0.464594825,0.0284643,0.3852474,0,0
C3orf80,0,0,0,0,0,0,0,0
KLRC3,0.716555625,0.6039615,2.8500775,72.934125,0,0.677469478,50.81,26.2825
ANXA3,3.23839665,0.3328095,0.505626425,0.8585135,339.2636681,1.035571136,7.16,9.0825
POU2AF1,101.8794685,1.304962575,1.22819725,1.20507595,0.9853115,0.858278583,11.1525,5.4575
BAALC,0.264127375,0,0.28925175,2.97332425,0,0.030877167,0,0
C5orf64,0.7418163,0.89558825,1.380654,1.65972,1.00167615,0.74378125,0.78,4.355
TIGIT,3.3981307,9.019555248,5.57255175,157.4432495,0.21804745,2.014364177,0,6.02
UNC45B,0.022164233,0.399387028,0.37884423,2.2430135,0.024960544,0.142776452,0.1225,0
TMTC1,0.298779037,0.346575825,0.4653401,0.3698699,0.820821825,5.920654128,0.3,15.495
ZNF563,4.6642155,26.14682,18.15833075,4.0182705,0.684835495,2.099578883,0.8925,1.9825
RORC,0.309375175,1.73957025,0.50252785,0.614407425,0.29659625,0.381987,0,0
AKAP12,0.246293694,0.061216875,0.053716925,0.268935025,0.288203478,0.142974242,41.525,10.7275
CRISPLD1,0.023488988,0,0,0,0,0.105468658,1.085,0
GPR68,1.340795237,2.261700755,1.684776736,43.4640225,6.888442632,0.490049508,0.5,0
SDSL,0.908012875,0.15408065,0.1854715,1.067949425,0.37658625,3.825172967,26.4425,0
KLRC2,1.830637519,1.400945,4.63767625,281.0867124,0.133798575,1.988227992,154.6525,26.89
PTRF,0.480761462,0.381157675,0.37804475,0.31639425,0.4441855,0.381302,177.99,201.3875
MMP2,0,0,0,0,0,0.03370575,46.645,56.6625
TGM3,0,0,0,0.02286125,12.5775425,0.014511667,0,0
SDC1,0.70610475,0,0,0.160057,0,0,0,0
ENC1,3.237612446,2.325504725,0.7955149,19.91409505,0.23743515,5.807424382,25.2025,0
C1QC,0.261275,0,0,0,0,14.18706867,0,0
ZNF366,0.504086888,0.0773423,0.16773775,0.2696807,0.2591525,1.881011567,0,0
APBB2,5.557263588,0.7977975,1.436210072,0.77572875,1.369365875,1.343954586,22.4775,18.7
LGALS9C,1.510748125,0.018956375,0,83.366244,21.40045981,2.443415017,0,0
LRRC43,0.485446962,0.15184625,0.17214775,9.578715688,0.37892675,0.28743275,0,0
VMO1,0.11044275,0,0,0.468414804,0.21360225,18.20271442,0,0
ASGR1,2.198898163,1.668510175,2.82796025,1.373938475,2.42248825,12.68620676,0,0
HTR1F,0.004531025,0,0,0,0,0.014397633,0,0
BMP3,2.642795875,0.028612125,0.078586075,0.0377056,0.05604575,0.040424467,0.215,0
PPM1J,3.072238213,0.10634975,0.112801125,0.83259575,0,1.482713333,54.7125,0
PLXDC1,1.9941841,84.72117293,78.49563729,35.60200802,0.583576,1.585727308,2.8175,0.425
CD72,301.0292596,4.508894605,7.282985577,30.2600479,0.321030125,4.083740415,0,0
TCN2,3.59530527,0.569366,0.18798315,0.282326625,0.296638,46.34793658,33.1,94.615
EPHB3,0.443415838,0.0887973,0.1243671,0.1684395,0.20629145,0.576062625,49.6475,0
EOMES,0.400041763,2.00100325,3.32237325,90.39622,0.12802655,0.814374,8.765,0
WNT5B,0.458530625,0.0432295,0,0,0,3.629162067,0,0
CDKN1C,0.2041093,0.265857,0.07508125,0.02780275,0.0980235,14.85638167,29.8725,0
SIGLEC15,1.143920875,1.206903,1.472725,1.7048775,1.600155,3.31000525,0,0
ERG,0.199759382,0,0,0,0.0066873,0.324691151,0,42.12
CXCL6,0,0,0,0,10.9571895,0.005771058,0,0
REM2,2.36361,2.292641,2.502773,1.21972425,20.09159,0.341350333,0,0
SHROOM1,0.855682438,0.128109875,0.144440325,0.412309175,0.405497175,3.983432438,8.1475,5.76
CD248,0,5.76136,57.7028,0,0,0.046199867,49.7575,0
RALGDS,12.31833697,19.80081398,24.15061817,198.0276,5.476379171,7.648238628,34.76,13.895
ZNF318,41.79708591,7.25374125,6.49879825,9.95647425,1.4066314,3.945505475,1.45,0
ASGR2,3.297812625,0.1072249,0.05471675,0.2361625,0,26.64674059,0,0
CDC42EP1,0.962067038,0.1815675,0.05729275,0.690094575,0.2418545,6.439492833,3.625,0
HTR1B,0,0,0,0,0,0,0,0
CD24,130.3936894,0.9039265,1.40126825,0.640144,3.30931075,0.571851333,75.7475,231.35
TRABD2A,12.54579058,260.814688,256.2775373,3.760346275,2.264958275,1.821572358,0,6.76
TRAT1,0.844563275,344.8056075,111.8924075,1.67004925,0.1513515,0.179421391,0,18.8075
KCNK1,0,0,0,0,0,0,0,0
LTBP3,10.98422853,42.7006905,40.4050941,18.74165113,2.52217575,3.681013362,58.7075,12.3575
SLC4A10,0.455582273,1.946306058,1.942016071,3.136573239,2.08835,0.758161457,0,0
SLFN13,15.01667121,11.79029618,17.37529774,155.2820776,3.192680327,4.880331751,0.7275,2.2375
ICOS,0.282549963,74.866456,38.094204,2.27752875,0,0.16344935,0,0
SCML1,5.260455696,29.28269111,34.41741025,1.654703124,1.552594533,13.46284535,0.88,0
PGLYRP1,1.230187625,0.07740625,0,0.9353395,101.08935,0.119510833,0,0
MGST1,8.055872388,2.00527575,2.732078018,2.6783502,1.4175953,30.20391736,28.395,0
MSLN,0.028062625,0,0.027983,0,0,1.872711374,0,0
NPTX2,0,0,0,0,0,0,4.165,0
HRK,6.458775875,0.8901143,0.151312675,0.108225675,0.165555575,0.158680883,0,0
CA6,1.544218875,11.96598015,34.9193875,1.617525,0.79556125,0.665955333,145.945,0
CECR7,15.70826533,10.11992355,12.08662275,4.95830125,2.265216,2.9566632,8.72,7.8525
EGFL7,0.33063975,0,0,0.078506,0.059199275,2.05962979,0,330.4975
ANKRD55,0.641905037,80.2233325,4.4690795,0.45162165,3.48784025,0.6335745,0,13.85
MYBPC2,2.905847125,0,0,0.008200925,0,0,0,0.1825
GALNT18,0.004916113,0.10135905,0,2.166687,0,0.0215935,0,126.345
SLC2A6,52.18569213,3.68673575,8.230535975,8.88352387,1.1648495,199.0404003,4.6925,32.4225
TMEM150B,1.74602475,0.44039275,0.49329775,0.304767,0.879525,8.689120201,0,0
FXYD6,4.226765025,0.6015575,0.48658575,0.616357,0.581068425,27.91801181,0,66.39
KRT23,0.928287375,0,0,0.45546025,180.7690079,1.434342959,0,0
SCAMP5,2.390034121,1.471366,0.83811173,2.027480087,0.4308805,1.21418599,6.9125,0.2975
RNF214,10.97542357,13.95958075,17.75116858,10.56774975,2.18900203,10.76607702,0.525,9.0975
NTN4,0,1.02570045,0.023443875,2.14387875,0,0.0156355,0,0
PLLP,1.741248125,13.061311,7.41661575,2.04433475,1.69130075,1.42794125,0,30.0425
THEM5,1.25419525,0.7394405,0.93987775,2.952725,0,0,0,0
CD1C,69.42376,0.13220625,0.0308675,3.28203425,0.3624725,19.90982583,0,0
C1QB,0.5776695,0,0,0.04189925,0.145314,54.81382225,0,0
TEX101,0.0119425,0.12878575,0.5827485,0.21839375,0.09532825,0.044421917,0,4.5325
