0,run_dtw_deconv,,Cell1,0.581871385,0.478415366,0.000441138
1,run_dtw_deconv,,Cell2,0.785974808,0.745210084,5.40E-10
2,run_dtw_deconv,,Cell3,0.893001089,0.890420168,4.99E-18
3,run_dtw_deconv,,Cell4,0.891977294,0.794957983,5.44E-12
4,run_dtw_deconv,,Cell5,0.760141683,0.837406963,3.47E-14
5,run_dtw_deconv,,Cell6,0.884349169,0.7284994,2.01E-09
0,run_dtw_deconv,,Cell1,0.701107779,0.849891957,5.91E-15
1,run_dtw_deconv,,Cell2,0.800261504,0.814261705,6.40E-13
2,run_dtw_deconv,,Cell3,0.889448981,0.881296519,3.06E-17
3,run_dtw_deconv,,Cell4,0.837143414,0.796686675,4.53E-12
4,run_dtw_deconv,,Cell5,0.855682326,0.833277311,6.02E-14
5,run_dtw_deconv,,Cell6,0.767585853,0.767010804,8.28E-11
0,run_dtw_deconv,,Cell1,0.623396504,0.477647059,0.000451962
1,run_dtw_deconv,,Cell2,0.843265201,0.866314526,4.45E-16
2,run_dtw_deconv,,Cell3,0.587062913,0.595966387,4.96E-06
3,run_dtw_deconv,,Cell4,0.89266444,0.790540216,8.59E-12
4,run_dtw_deconv,,Cell5,0.962529054,0.939879952,4.87E-24
5,run_dtw_deconv,,Cell6,0.689340181,0.706218487,1.01E-08
0,run_dtw_deconv,,Cell1,0.706658794,0.600192077,4.08E-06
1,run_dtw_deconv,,Cell2,0.902010404,0.882352941,2.50E-17
2,run_dtw_deconv,,Cell3,0.937561441,0.961680672,1.26E-28
3,run_dtw_deconv,,Cell4,0.957952463,0.9672509,3.09E-30
4,run_dtw_deconv,,Cell5,,,
5,run_dtw_deconv,,Cell6,0.952408124,0.949003601,1.04E-25
0,run_dtw_deconv,,Cell1,0.933245894,0.963121248,5.11E-29
1,run_dtw_deconv,,Cell2,0.842489523,0.897142857,1.18E-18
2,run_dtw_deconv,,Cell3,0.565780826,0.419447779,0.002428522
3,run_dtw_deconv,,Cell4,0.953975056,0.956782713,2.14E-27
4,run_dtw_deconv,,Cell5,0.751141096,0.726770708,2.29E-09
5,run_dtw_deconv,,Cell6,0.90401765,0.901752701,4.14E-19
0,run_dtw_deconv,,Cell1,0.943756809,0.951020408,4.04E-26
1,run_dtw_deconv,,Cell2,0.710033287,0.672989196,8.60E-08
2,run_dtw_deconv,,Cell3,0.917513562,0.924897959,8.57E-22
3,run_dtw_deconv,,Cell4,0.883556009,0.874285714,1.12E-16
4,run_dtw_deconv,,Cell5,0.922580386,0.911164466,4.12E-20
5,run_dtw_deconv,,Cell6,0.949100419,0.940744298,3.48E-24
0,run_dtw_deconv,,Cell1,0.862072331,0.852677071,3.90E-15
1,run_dtw_deconv,,Cell2,0.888533641,0.907995198,9.21E-20
2,run_dtw_deconv,,Cell3,0.87202946,0.933733493,4.70E-23
