,0,1,2,3,4,5,6
0,avg,10x,Microarray,cell1,0.9272107978310422,0.8152626917723008,0.00405065030072368
1,avg,10x,Microarray,cell2,0.7868231433168578,0.4822553024132208,0.15807226898115406
2,avg,10x,Microarray,cell3,0.7960167554310777,0.6210338067047952,0.055329184169790664
3,avg,10x,Microarray,cell4,0.8192356268240985,0.7598123109963695,0.010769501525610197
4,avg,10x,Microarray,cell5,0.8906743836841826,0.7699703200071729,0.009181533254450269
0,avg,Abbas,Microarray,Jurkat,0.9959847190229347,0.9716254134469436,1.3811738967574605e-07
1,avg,Abbas,Microarray,IM-9,0.9935697076346429,0.9716254134469436,1.3811738967574605e-07
2,avg,Abbas,Microarray,Raji,0.9923250990893192,0.9716254134469436,1.3811738967574605e-07
3,avg,Abbas,Microarray,THP-1,0.9746337920946369,0.8852587100294375,0.00012880556897956028
0,avg,BreastBlood,Microarray,Blood,0.8552044504956001,0.8215838362577492,0.00660265592724442
1,avg,BreastBlood,Microarray,Breast,0.9899884150070211,0.8215838362577492,0.00660265592724442
0,avg,xCell,Microarray,memory.CD4.T.cells,0.34589251655514863,0.38453105871004895,5.5738378764813324e-05
1,avg,xCell,Microarray,memory.CD8.T.cells,,,
2,avg,xCell,Microarray,memory.B.cells,0.1823018594016013,0.5983838693330416,1.9701774312622828e-11
3,avg,xCell,Microarray,monocytes,0.45695776478328015,0.40183842220094396,2.356944946165161e-05
4,avg,xCell,Microarray,naive.B.cells,0.752023710744655,0.6955315681545283,2.5419371596482404e-16
5,avg,xCell,Microarray,naive.CD4.T.cells,0.5825403701784458,0.533483411012046,5.512788823248326e-09
6,avg,xCell,Microarray,naive.CD8.T.cells,,,
7,avg,xCell,Microarray,NK.cells,0.3900538034172597,0.3570453115034266,0.0001987753439267122
8,avg,xCell,Microarray,regulatory.T.cells,,,
0,avg,CIBERSORT,Microarray,B cells naive,,,
1,avg,CIBERSORT,Microarray,B cells memory,0.8750837590977785,0.8944271909999159,0.040519326353834
2,avg,CIBERSORT,Microarray,Plasma cells,,,
3,avg,CIBERSORT,Microarray,T cells CD8,,,
4,avg,CIBERSORT,Microarray,T cells CD4 naive,,,
5,avg,CIBERSORT,Microarray,T cells CD4 memory resting,,,
6,avg,CIBERSORT,Microarray,T cells CD4 memory activated,,,
7,avg,CIBERSORT,Microarray,T cells follicular helper,,,
8,avg,CIBERSORT,Microarray,T cells regulatory (Tregs),0.725515729714273,0.6,0.28475697986529375
9,avg,CIBERSORT,Microarray,T cells gamma delta,0.9797394772255462,0.8720815992723809,0.05385421772754211
10,avg,CIBERSORT,Microarray,NK cells resting,,,
11,avg,CIBERSORT,Microarray,NK cells activated,,,
12,avg,CIBERSORT,Microarray,Monocytes,,,
13,avg,CIBERSORT,Microarray,Macrophages M0,,,
14,avg,CIBERSORT,Microarray,Macrophages M1,0.9775582617335931,0.8999999999999998,0.03738607346849874
15,avg,CIBERSORT,Microarray,Macrophages M2,,,
16,avg,CIBERSORT,Microarray,Dendritic cells resting,,,
17,avg,CIBERSORT,Microarray,Dendritic cells activated,,,
18,avg,CIBERSORT,Microarray,Mast cells resting,,,
19,avg,CIBERSORT,Microarray,Mast cells activated,0.9960755153512849,0.9746794344808963,0.004818230468198566
20,avg,CIBERSORT,Microarray,Eosinophils,,,
21,avg,CIBERSORT,Microarray,Neutrophils,,,
0,avg,DeconRNASeq,Microarray,brain,0.9992371303050348,0.9636363636363635,7.320974809529922e-06
1,avg,DeconRNASeq,Microarray,muscle,0.9960032773744036,0.9757575757575757,1.4675461874042197e-06
2,avg,DeconRNASeq,Microarray,lung,0.9976991462466067,0.9636363636363635,7.320974809529922e-06
3,avg,DeconRNASeq,Microarray,liver,0.9994963170716378,0.9878787878787878,9.307459988955517e-08
4,avg,DeconRNASeq,Microarray,heart,0.9662869352112496,0.8060606060606059,0.004862061101964606
0,avg,DSA,Microarray,liver,0.9851199284814866,0.9931584145359876,1.05041318021364e-09
1,avg,DSA,Microarray,brain,0.9833947164416942,0.9954441676503465,1.6909623943412074e-10
2,avg,DSA,Microarray,lung,0.9827695299205026,0.9862693712811287,2.390348942277324e-08
0,avg,EPIC,Microarray,Bcells,0.9258840880722855,0.7999999999999999,0.20000000000000007
1,avg,EPIC,Microarray,CD4_Tcells,0.7784414392079053,0.7999999999999999,0.20000000000000007
2,avg,EPIC,Microarray,CD8_Tcells,-0.7846601858106351,-1.0,0.0
3,avg,EPIC,Microarray,NKcells,,,
0,avg,RatBrain,Microarray,Neuronal,0.9959893658659372,0.8807710121010885,0.0007637917374575802
1,avg,RatBrain,Microarray,Astrocytic,0.9925143105078164,0.9597979585371711,1.0885873609834728e-05
2,avg,RatBrain,Microarray,Oligodendrocytic,0.9845086120355104,0.8807710121010885,0.0007637917374575802
3,avg,RatBrain,Microarray,Microglial,0.9484111107397126,0.6963106238227913,0.025293249585455497
0,avg,TIMER,Microarray,B_cell,,,
1,avg,TIMER,Microarray,CD4_Tcell,-0.4377386055320928,-0.6,0.28475697986529375
2,avg,TIMER,Microarray,CD8_Tcell,0.8932412244117853,0.39999999999999997,0.5046315754686911
3,avg,TIMER,Microarray,Neutrophil,,,
4,avg,TIMER,Microarray,Macrophage,,,
5,avg,TIMER,Microarray,Dendritic,0.6604217754822398,0.09999999999999999,0.8728885715695383
0,abs,10x,Microarray,cell1,0.9299728814589697,0.8152626917723008,0.00405065030072368
1,abs,10x,Microarray,cell2,0.7868231433168578,0.4822553024132208,0.15807226898115406
2,abs,10x,Microarray,cell3,0.7960167554310776,0.6210338067047952,0.055329184169790664
3,abs,10x,Microarray,cell4,0.8192356268240985,0.7598123109963695,0.010769501525610197
4,abs,10x,Microarray,cell5,0.8906743836841831,0.7699703200071729,0.009181533254450269
0,abs,Abbas,Microarray,Jurkat,0.9959847190229347,0.9716254134469436,1.3811738967574605e-07
1,abs,Abbas,Microarray,IM-9,0.9935697076346431,0.9716254134469436,1.3811738967574605e-07
2,abs,Abbas,Microarray,Raji,0.9951857100874754,0.9716254134469436,1.3811738967574605e-07
3,abs,Abbas,Microarray,THP-1,0.9746337920946367,0.8852587100294375,0.00012880556897956028
0,abs,BreastBlood,Microarray,Blood,0.8719108291427928,0.8215838362577492,0.00660265592724442
1,abs,BreastBlood,Microarray,Breast,0.9899884150070212,0.8215838362577492,0.00660265592724442
0,abs,xCell,Microarray,memory.CD4.T.cells,-0.29550434879613274,-0.3644307170361758,0.00014282944781757214
1,abs,xCell,Microarray,memory.CD8.T.cells,-0.23372719220175048,-0.28139537422690986,0.003807188259318421
2,abs,xCell,Microarray,memory.B.cells,-0.16316109950997706,-0.5068308705467227,4.0219946158127785e-08
3,abs,xCell,Microarray,monocytes,-0.46861273090707234,-0.4228687594240145,7.750599282960022e-06
4,abs,xCell,Microarray,naive.B.cells,-0.6507173706060597,-0.5056558883403465,4.373329463094346e-08
5,abs,xCell,Microarray,naive.CD4.T.cells,-0.5551015254116556,-0.4897724029742012,1.316110684922918e-07
6,abs,xCell,Microarray,naive.CD8.T.cells,-0.2961388314056896,-0.006241464665128697,0.9498604616229771
7,abs,xCell,Microarray,NK.cells,-0.39211775942293475,-0.3575734298019555,0.00019418383522091083
8,abs,xCell,Microarray,regulatory.T.cells,0.1754441082737658,0.21046173880585084,0.03199791854630889
0,abs,CIBERSORT,Microarray,B cells naive,,,
1,abs,CIBERSORT,Microarray,B cells memory,0.8750837590977785,0.8944271909999159,0.040519326353834
2,abs,CIBERSORT,Microarray,Plasma cells,,,
3,abs,CIBERSORT,Microarray,T cells CD8,,,
4,abs,CIBERSORT,Microarray,T cells CD4 naive,,,
5,abs,CIBERSORT,Microarray,T cells CD4 memory resting,,,
6,abs,CIBERSORT,Microarray,T cells CD4 memory activated,,,
7,abs,CIBERSORT,Microarray,T cells follicular helper,,,
8,abs,CIBERSORT,Microarray,T cells regulatory (Tregs),0.7255157297142734,0.6,0.28475697986529375
9,abs,CIBERSORT,Microarray,T cells gamma delta,0.9797394772255463,0.8720815992723809,0.05385421772754211
10,abs,CIBERSORT,Microarray,NK cells resting,,,
11,abs,CIBERSORT,Microarray,NK cells activated,,,
12,abs,CIBERSORT,Microarray,Monocytes,,,
13,abs,CIBERSORT,Microarray,Macrophages M0,,,
14,abs,CIBERSORT,Microarray,Macrophages M1,0.9775582617335931,0.8999999999999998,0.03738607346849874
15,abs,CIBERSORT,Microarray,Macrophages M2,,,
16,abs,CIBERSORT,Microarray,Dendritic cells resting,,,
17,abs,CIBERSORT,Microarray,Dendritic cells activated,,,
18,abs,CIBERSORT,Microarray,Mast cells resting,,,
