,0,1,2,3,4,5
0,run_dtw_deconv,0,Cell1,0.9562227293384308,0.9799279711884753,2.813718479299504e-35
1,run_dtw_deconv,0,Cell2,0.9484493384629046,0.9592797118847539,5.273964839747975e-28
2,run_dtw_deconv,0,Cell3,0.9452262181849245,0.9397839135654261,5.0590524234079075e-24
3,run_dtw_deconv,0,Cell4,0.9757174934534035,0.9725330132052822,4.816197431307528e-32
4,run_dtw_deconv,0,Cell5,0.9750811935542402,0.9894357743097237,6.384193236762257e-42
5,run_dtw_deconv,0,Cell6,0.9314679482038415,0.9215366146458582,2.3582660220726675e-21
6,run_dtw_deconv,0,Cell7,0.9863928159664895,0.9838655462184873,1.5567941699872901e-37
7,run_dtw_deconv,0,Cell8,0.9031803256281434,0.8705402160864345,2.1626224995534086e-16
8,run_dtw_deconv,0,Cell9,0.9784682985464813,0.9799279711884753,2.813718479299504e-35
9,run_dtw_deconv,0,Cell10,0.9654836627634023,0.9813685474189676,4.786088385233497e-36
0,run_dtw_deconv,1,Cell1,0.9495217079671456,0.9375750300120047,1.1713026833446549e-23
1,run_dtw_deconv,1,Cell2,0.9833647901017043,0.9806002400960383,1.2515713757679566e-35
2,run_dtw_deconv,1,Cell3,0.9059104129144695,0.826266506602641,1.488441338533366e-13
3,run_dtw_deconv,1,Cell4,0.8116394194668823,0.7872749099639856,1.1967206326235521e-11
4,run_dtw_deconv,1,Cell5,0.9810275064669054,0.9432412965186074,1.272873098636342e-24
5,run_dtw_deconv,1,Cell6,0.937206964334468,0.9612004801920767,1.6900178358702786e-28
6,run_dtw_deconv,1,Cell7,0.9698492980154432,0.9709003601440577,1.890648712311117e-31
7,run_dtw_deconv,1,Cell8,0.9691844113731651,0.9453541416566626,5.245392043266321e-25
8,run_dtw_deconv,1,Cell9,0.9433753243944976,0.9198079231692676,3.900634253531425e-21
9,run_dtw_deconv,1,Cell10,0.965535127763686,0.9788715486194477,9.523579872489877e-35
0,run_dtw_deconv,2,Cell1,0.9728933843217453,0.9829051620648258,6.169474002996564e-37
1,run_dtw_deconv,2,Cell2,0.9579461551822868,0.9059783913565426,1.5148108499145343e-19
2,run_dtw_deconv,2,Cell3,0.9507037740648185,0.970516206482593,2.5789421487549984e-31
3,run_dtw_deconv,2,Cell4,0.8816883392412821,0.8818727490996399,2.7401247667011276e-17
4,run_dtw_deconv,2,Cell5,0.9832205556949842,0.9592797118847539,5.273964839747975e-28
5,run_dtw_deconv,2,Cell6,0.9425775041578682,0.9534213685474189,1.2430576575707548e-26
6,run_dtw_deconv,2,Cell7,0.8996279186385185,0.7615366146458583,1.3514526943652205e-10
7,run_dtw_deconv,2,Cell8,0.9167343001264938,0.8737094837935174,1.238193991462197e-16
8,run_dtw_deconv,2,Cell9,0.9656300983488851,0.9667707082833132,4.3623892446426084e-30
9,run_dtw_deconv,2,Cell10,0.9760193453747096,0.9760864345738295,1.8027937732385443e-33
0,run_dtw_deconv,3,Cell1,0.760810640489582,0.7011284513805522,1.4256185027324851e-08
1,run_dtw_deconv,3,Cell2,0.9621498396057405,0.9662905162064825,6.122521205614507e-30
2,run_dtw_deconv,3,Cell3,0.9500274316284196,0.9617767106842736,1.187805025850096e-28
3,run_dtw_deconv,3,Cell4,0.9189650692319716,0.9029051620648259,3.163637296577094e-19
4,run_dtw_deconv,3,Cell5,0.9693471653731879,0.9512124849939975,3.686287033699318e-26
5,run_dtw_deconv,3,Cell6,0.8238739396303608,0.7077551020408163,9.05814859615051e-09
6,run_dtw_deconv,3,Cell7,0.9329520458801218,0.8347178871548621,4.976187772942591e-14
7,run_dtw_deconv,3,Cell8,0.969707449776598,0.9660984393757502,7.00191555091686e-30
8,run_dtw_deconv,3,Cell9,0.9068255952241312,0.9089555822328932,7.242447046048263e-20
9,run_dtw_deconv,3,Cell10,0.9615058898858618,0.9789675870348139,8.546329798893404e-35
0,run_dtw_deconv,4,Cell1,0.9525225390195298,0.8864825930372148,1.1122870105712788e-17
1,run_dtw_deconv,4,Cell2,0.9776344231328753,0.96984393757503,4.397074105676542e-31
2,run_dtw_deconv,4,Cell3,0.9480655783796396,0.9402641056422568,4.1974487660150585e-24
3,run_dtw_deconv,4,Cell4,0.9839613709725706,0.9819447779111645,2.266282447073528e-36
4,run_dtw_deconv,4,Cell5,0.939391933713734,0.8941656662665066,2.262331695177171e-18
5,run_dtw_deconv,4,Cell6,0.8646857484641307,0.7618247298919568,1.3175008450293743e-10
6,run_dtw_deconv,4,Cell7,0.9587540003165984,0.980984393757503,7.777601877312119e-36
7,run_dtw_deconv,4,Cell8,0.8848528972715412,0.9169267707082832,8.80422669466959e-21
8,run_dtw_deconv,4,Cell9,0.9779757610761384,0.9748379351740697,6.0302857928955545e-33
9,run_dtw_deconv,4,Cell10,0.8724676624641846,0.8566146458583433,2.1311370600310885e-15
0,run_dtw_deconv,5,Cell1,0.9700832995748194,0.9681152460984394,1.6434525194950975e-30
1,run_dtw_deconv,5,Cell2,0.9082041570108002,0.8774549819927971,6.281131660287993e-17
2,run_dtw_deconv,5,Cell3,0.8449342995393382,0.8314525810324129,7.653286994931299e-14
3,run_dtw_deconv,5,Cell4,0.9146116433008081,0.9293157262905161,2.1035822576848267e-22
4,run_dtw_deconv,5,Cell5,0.9444453925838447,0.9515966386554622,3.0625072808559104e-26
5,run_dtw_deconv,5,Cell6,0.8923343586770166,0.8888835534213685,6.847605438198848e-18
6,run_dtw_deconv,5,Cell7,0.8060003036583383,0.7339735894357742,1.322622300165241e-09
7,run_dtw_deconv,5,Cell8,0.9550567875747431,0.966578631452581,4.998786000032694e-30
8,run_dtw_deconv,5,Cell9,0.9249972480135761,0.9335414165666266,5.0276109218965814e-23
9,run_dtw_deconv,5,Cell10,0.9772987229221184,0.9433373349339735,1.2235077034372955e-24
0,run_dtw_deconv,6,Cell1,0.9828459143956023,0.9649459783913565,1.5418336947713886e-29
1,run_dtw_deconv,6,Cell2,0.9171174287763945,0.931812725090036,9.129799936045795e-23
2,run_dtw_deconv,6,Cell3,0.7439522429955563,0.626890756302521,1.111699071214943e-06
3,run_dtw_deconv,6,Cell4,0.8743099236574357,0.7460744297719087,5.035736326371793e-10
