GeneSymbol,naive.CD4.T.cells,naive.CD8.T.cells,naive.B.cells,monocytes,NK.cells ,myeloid.dendritic.cells
CNDP2,0.730591954,0.730591954,0.730591954,0.730591954,0.730591954,2.295998719
MBP,0.67535121,0.67535121,0.67535121,0.67535121,0.67535121,0.67535121
TXNL4A,0.703794644,0.703794644,0.703794644,0.703794644,0.703794644,2.095169839
FAM110A,0.797751979,0.797751979,0.797751979,0.797751979,0.797751979,0.797751979
FKBP1A,0.493434522,0.493434522,0.493434522,2.342396853,1.201174764,1.721806922
SIRPB1,0.852491591,0.852491591,0.852491591,0.852491591,0.852491591,0.852491591
SNRPB,0.540037136,0.540037136,0.540037136,0.540037136,1.78933654,1.641827262
NOP56,0.708284948,0.708284948,0.708284948,0.708284948,0.708284948,0.708284948
PTPRA,0.719437161,0.719437161,0.719437161,0.719437161,0.719437161,0.719437161
C20orf27,0.729628815,0.729628815,0.729628815,0.729628815,0.729628815,0.729628815
CDC25B,0.685307508,0.685307508,0.685307508,0.685307508,0.685307508,0.685307508
RASSF2,0.808351313,0.808351313,0.808351313,0.808351313,0.808351313,0.808351313
GPCPD1,0.764374652,0.764374652,0.764374652,0.764374652,0.764374652,0.764374652
LAMP5,0.942618345,0.942618345,0.942618345,0.942618345,0.942618345,192.0646492
MKKS,0.728830388,0.728830388,0.728830388,0.728830388,0.728830388,2.353996888
DSTN,0.640597061,0.640597061,0.640597061,0.640597061,0.640597061,2.541614031
RRBP1,0.817373351,0.817373351,0.817373351,0.817373351,0.817373351,4.816160869
XRN2,0.65136736,0.65136736,0.65136736,1.475218374,0.65136736,0.65136736
CD93,0.826036044,0.826036044,0.826036044,0.826036044,0.826036044,0.826036044
CST3,0.5699341,0.5699341,0.5699341,3.583701952,0.5699341,2.969684397
CST7,0.711744383,0.711744383,0.711744383,0.711744383,5.399323687,0.711744383
APMAP,0.746816929,0.746816929,0.746816929,0.746816929,4.890919473,0.746816929
HM13,0.697849248,0.697849248,0.697849248,0.697849248,0.697849248,2.24314427
ID1,0.848205294,0.848205294,0.848205294,0.848205294,0.848205294,0.848205294
HCK,0.764491968,0.764491968,0.764491968,2.657095254,0.764491968,0.764491968
COMMD7,0.688970777,0.688970777,0.688970777,0.688970777,0.688970777,0.688970777
CHMP4B,0.672033597,0.672033597,0.672033597,0.672033597,0.672033597,1.949208575
RALY,0.634463704,0.634463704,0.634463704,0.634463704,0.634463704,0.634463704
EIF2S2,0.595333027,0.595333027,0.595333027,0.595333027,0.595333027,1.545865867
ASIP,0.956551045,0.956551045,0.956551045,0.956551045,0.956551045,1024
AHCY,0.821793315,0.821793315,0.821793315,0.821793315,0.821793315,0.821793315
MMP24-AS1,0.702973477,0.702973477,0.702973477,0.702973477,0.702973477,0.702973477
EIF6,0.675596498,0.675596498,0.675596498,0.675596498,0.675596498,0.675596498
ERGIC3,0.602507627,0.602507627,0.602507627,0.602507627,0.602507627,1.617060201
CPNE1,0.670951897,0.670951897,0.670951897,0.670951897,0.670951897,0.670951897
ROMO1,0.639362413,0.639362413,0.639362413,0.639362413,0.639362413,1.729667435
RBM39,1.211803662,1.145651538,1.340325383,1.069475557,1.536927948,0.993928873
SCAND1,0.568962545,0.568962545,0.568962545,1.442320988,0.568962545,1.410070378
LINC00657,0.746607124,0.746607124,0.746607124,0.746607124,0.746607124,0.746607124
MYL9,0.955964667,0.955964667,0.955964667,0.955964667,0.955964667,0.955964667
C20orf24,0.669685312,0.669685312,0.669685312,1.740038966,0.669685312,1.692423
