,0,1,2,3,4,5,6
0,msigdb,Challenge,,naive.B.cells,0.6269191234349089,0.6120300751879698,0.004129875210325543
1,msigdb,Challenge,,memory.B.cells,0.7612826006484259,0.6481203007518795,0.0019987135591128078
2,msigdb,Challenge,,naive.CD4.T.cells,-0.21931378156835968,-0.2681705068342666,0.25296923015249745
3,msigdb,Challenge,,naive.CD8.T.cells,-0.1895057343890552,-0.09844233795181936,0.6796757105777709
4,msigdb,Challenge,,memory.CD8.T.cells,0.07342001738138967,-0.14087438017243117,0.5535758913372801
5,msigdb,Challenge,,regulatory.T.cells,0.503221922273704,-0.020084046837350072,0.9330220642416469
6,msigdb,Challenge,,monocytes,0.08980493747142149,-0.04117096324397296,0.8631710321026356
7,msigdb,Challenge,,NK.cells,-0.2980119185370201,-0.19762702087952472,0.4036104794008831
8,msigdb,Challenge,,myeloid.dendritic.cells,0.7918397358975441,0.7578947368421052,0.00010832096279243408
9,msigdb,Challenge,,neutrophils,0.15145543959213884,0.1374954810223248,0.5632220204101902
0,nnls_deconv_constrained,Challenge,,naive.B.cells,0.885232805557557,0.8796992481203006,3.2136697448460926e-07
1,nnls_deconv_constrained,Challenge,,memory.B.cells,0.9008024023074592,0.8328322697787482,5.1884326012785054e-06
2,nnls_deconv_constrained,Challenge,,naive.CD4.T.cells,0.8211400701181767,0.7833558128745639,4.409242677697179e-05
3,nnls_deconv_constrained,Challenge,,naive.CD8.T.cells,0.5610183570615305,0.5481933927657583,0.012331534902923224
4,nnls_deconv_constrained,Challenge,,memory.CD8.T.cells,0.8463456417743755,0.6960134997585731,0.0006536998816792703
5,nnls_deconv_constrained,Challenge,,regulatory.T.cells,0.6773073137378406,0.5678827028149745,0.00900226017644768
6,nnls_deconv_constrained,Challenge,,monocytes,0.9550445958926801,0.9246998438411417,5.61165422761096e-09
7,nnls_deconv_constrained,Challenge,,NK.cells,0.9740129389989653,0.8965777241794035,8.785943920352079e-08
8,nnls_deconv_constrained,Challenge,,myeloid.dendritic.cells,0.8778293932178747,0.8755171736114309,4.30211958622644e-07
9,nnls_deconv_constrained,Challenge,,neutrophils,0.9694276768476283,0.9473684210526315,2.4297293106691235e-10
