0,1,2,3,4,5
89134.csv,RNASeq,naive.CD8.T.cells,1,1,0
109348.csv,Microarray,naive.B.cells,0.97400736,0.935338346,1.48E-09
109348.csv,Microarray,monocytes,0.429396827,0.458646617,0.041954312
109348.csv,Microarray,naive.CD4.T.cells,0.728341694,0.67518797,0.001088943
109348.csv,Microarray,naive.CD8.T.cells,0.669324434,0.527819549,0.016759127
109348.csv,Microarray,neutrophils,0.222051044,0.278195489,0.234973791
109348.csv,Microarray,NK.cells,0.844446209,0.75037594,0.000138412
109348.csv,Microarray,memory.CD4.T.cells,0.830702214,0.772932331,6.46E-05
109348.csv,Microarray,myeloid.dendritic.cells,0.962523678,0.894736842,1.02E-07
15659.csv,Microarray,naive.CD4.T.cells,0.364467802,0.288721805,0.216992667
15659.csv,Microarray,memory.CD4.T.cells,0.266194668,0.269172932,0.251131454
15659.csv,Microarray,regulatory.T.cells,-0.108836552,-0.207518797,0.379993237
22886.csv,Microarray,B.cells,0.981056604,0.972932331,6.71E-13
22886.csv,Microarray,CD4.T.cells,0.559964584,0.566917293,0.00914627
22886.csv,Microarray,CD8.T.cells,0.798394898,0.858646617,1.27E-06
22886.csv,Microarray,monocytic.lineage,0.955356322,0.894736842,1.02E-07
22886.csv,Microarray,neutrophils,0.943065096,0.833082707,5.12E-06
22886.csv,Microarray,NK.cells,0.774107988,0.780451128,4.91E-05
25638.csv,Microarray,memory.B.cells,0.435754239,0.356390977,0.122986311
25638.csv,Microarray,naive.B.cells,0.636385301,0.603007519,0.004886612
28490.csv,Microarray,B.cells,0.995018288,0.980451128,3.69E-14
28490.csv,Microarray,CD4.T.cells,0.588068529,0.65112782,0.001873644
28490.csv,Microarray,CD8.T.cells,0.664419185,0.496240602,0.026051465
28490.csv,Microarray,NK.cells,0.869181541,0.583458647,0.006922691
28490.csv,Microarray,neutrophils,0.982940969,0.963909774,8.65E-12
28490.csv,Microarray,monocytic.lineage,0.916658868,0.879699248,3.21E-07
28492.csv,Microarray,B.cells,0.993975683,0.987969925,4.80E-16
28492.csv,Microarray,CD4.T.cells,0.383215145,0.263157895,0.262287123
28492.csv,Microarray,CD8.T.cells,0.620371011,0.503759398,0.023538039
28492.csv,Microarray,NK.cells,0.992911913,0.980451128,3.69E-14
28492.csv,Microarray,neutrophils,0.966224869,0.936842105,1.21E-09
28492.csv,Microarray,monocytic.lineage,0.916603367,0.923308271,6.58E-09
3982.csv,Microarray,naive.B.cells,0.977726935,0.947368421,2.43E-10
3982.csv,Microarray,neutrophils,0.990255494,0.969924812,1.71E-12
3982.csv,Microarray,regulatory.T.cells,,,
3982.csv,Microarray,NK.cells,0.983017885,0.89924812,7.01E-08
3982.csv,Microarray,memory.CD4.T.cells,0.9024443,0.882706767,2.59E-07
3982.csv,Microarray,myeloid.dendritic.cells,0.940876497,0.812030075,1.38E-05
3982.csv,Microarray,macrophages,0.506904568,0.544360902,0.013082609
40240.csv,Microarray,neutrophils,0.804497145,0.817957874,1.06E-07
40240.csv,Microarray,monocytic.lineage,-0.05729715,-0.057486999,0.771384743
44621.csv,Microarray,B.cells,0.855345783,0.834429772,5.17E-14
44621.csv,Microarray,monocytic.lineage,0.982670746,0.978679472,1.18E-34
44621.csv,Microarray,CD4.T.cells,-0.647708341,-0.557743097,2.58E-05
44621.csv,Microarray,CD8.T.cells,-0.50044374,-0.536326531,5.96E-05
58173.csv,Microarray,CD4.T.cells,0.878411701,0.747368421,0.000152314
58173.csv,Microarray,CD8.T.cells,0.470502474,0.294736842,0.207135421
58173.csv,Microarray,monocytic.lineage,0.831596044,0.84962406,2.13E-06
58173.csv,Microarray,neutrophils,0.966316535,0.941353383,6.29E-10
58173.csv,Microarray,B.cells,0.96688102,0.971428571,1.09E-12
58173.csv,Microarray,NK.cells,0.798337391,0.778947368,5.19E-05
6244.csv,Microarray,memory.CD8.T.cells,0.368484396,0.39697479,0.004312486
6244.csv,Microarray,naive.CD8.T.cells,0.721547512,0.667707083,1.18E-07
6244.csv,Microarray,naive.CD4.T.cells,-0.392132151,-0.372773109,0.007674092
6244.csv,Microarray,memory.CD4.T.cells,-0.136712227,-0.048931573,0.735778139
6244.csv,Microarray,regulatory.T.cells,-0.127300629,-0.118847539,0.411052559
6244.csv,Microarray,naive.B.cells,0.742413281,0.645906363,4.07E-07
6244.csv,Microarray,memory.B.cells,0.730494864,0.626890756,1.11E-06
64385.csv,Microarray,NK.cells,0.968311499,0.951515152,2.28E-05
64385.csv,Microarray,monocytic.lineage,0.952532197,0.951515152,2.28E-05
64385.csv,Microarray,neutrophils,0.895116306,0.96011363,1.06E-05
72642-110085.csv,Microarray,B.cells,0.930098146,0.916638655,9.54E-21
72642-110085.csv,Microarray,CD4.T.cells,0.424168252,0.400144058,0.00398633
72642-110085.csv,Microarray,CD8.T.cells,0.693682458,0.623241297,1.34E-06
72642-110085.csv,Microarray,monocytic.lineage,0.582022755,0.535270108,6.20E-05
72642-110085.csv,Microarray,NK.cells,0.837093315,0.72244898,3.16E-09
72642-110085.csv,Microarray,neutrophils,0.983396475,0.947370948,2.18E-25
72642-110085.csv,Microarray,endothelial.cells,0.977541635,0.955918367,3.41E-27
72642-110085.csv,Microarray,fibroblasts,0.981540534,0.979927971,2.81E-35
77343.csv,Microarray,neutrophils,0.797580013,0.772214614,2.86E-40
77343.csv,Microarray,monocytic.lineage,0.590346378,0.470219837,3.13E-12
93683.csv,Microarray,memory.CD8.T.cells,-0.913132982,-0.872180451,5.39E-07
93683.csv,Microarray,naive.CD8.T.cells,-0.930401043,-0.89924812,7.01E-08
93777.csv,Microarray,CD4.T.cells,0.790807211,0.755294118,2.33E-10
93777.csv,Microarray,CD8.T.cells,0.591525557,0.544969988,4.28E-05
93777.csv,Microarray,monocytic.lineage,0.867484033,0.828283313,1.15E-13
93777.csv,Microarray,neutrophils,0.937880153,0.889747899,5.73E-18
93777.csv,Microarray,NK.cells,0.918774264,0.911068427,4.22E-20
93777.csv,Microarray,B.cells,-0.305176565,-0.246386555,0.084554083
93777.csv,Microarray,fibroblasts,0.58360006,0.509627851,0.000156769
