Symbol,B.cells,CD4.T.cells,CD8.T.cells,endothelial.cells,fibroblasts,monocytic.lineage,neutrophils,NK.cells
IL21,797.6202045,284.0147977,145.9849188,298.2202177,125.2588364,207.3250871,488.7850465,121.5604494
SLC12A8,29.39498541,28.06692462,57.8954554,75.58021543,248.1177149,70.26513412,47.5356485,70.88060144
SLC15A3,160.4456342,389.0970588,47.81860455,37.6209058,98.59622574,2425.911249,1594.118874,215.6952525
SELL,12709.41506,8915.230307,8714.919208,437.1927304,113.1372014,9217.535996,24462.71387,6403.989618
THY1,142.3376233,101.8342988,157.7823881,154.0551215,2874.459334,136.6993901,209.6677003,157.5491637
IFI44L,75.19895068,299.0607865,172.7782007,102.814414,56.11008951,656.4534522,60.61298536,2323.090366
FOSB,389.002183,176.3963644,442.4120719,369.6407913,36.69984581,4460.768294,94.24249718,69.15763045
TREM1,301.7995949,373.9192562,131.5216621,92.55071091,141.9558879,2853.316044,15611.38302,109.0942178
PTGFR,15.07225801,9.840188807,14.33694848,8.228403339,454.4466207,20.43300511,12.70254302,16.04447693
CCL7,138.2780303,75.76868056,99.0250278,174.8252497,77.58012278,104.7652239,173.9679555,54.79666002
GZMM,80.87817196,1553.371511,1271.647727,64.38155777,89.45492206,65.77925048,160.7440902,2681.711839
VNN1,49.10927021,196.3233806,26.12401691,44.06059553,37.76468411,1272.028597,1096.907265,109.8703644
SLC12A1,144.6075902,16.87312942,26.73975412,45.19402016,8.767842745,12.36919647,20.48929836,12.65529955
TBX3,27.33667358,12.63226232,12.79391806,14.28268468,757.1976152,16.37677516,28.53490433,11.17604814
LAIR2,794.2381536,497.2444537,975.380192,1414.51157,227.0793326,271.4958164,532.6557033,1512.556331
DCBLD2,26.46282533,14.42190485,19.48421501,78.01701264,844.2515125,15.81941471,26.35289545,13.13098207
CD37,16280.43669,4014.010236,5677.45365,60.19935068,104.2135769,5912.613218,5447.84076,2562.725346
CD3G,63.89192028,3059.097165,3992.312488,50.03250872,39.24757649,45.58666494,90.8430331,375.4050367
DPP4,21.14191321,625.4482589,632.0399556,62.93234586,311.7236258,19.38509418,20.74467298,330.5378566
C3AR1,208.5000026,653.9730349,352.6749433,151.7262675,124.3130983,2104.661859,825.7334677,1085.196346
IL18R1,66.52001934,386.7116777,353.6074363,143.2842454,50.60940621,47.19184057,433.963009,1450.541907
CD27,555.3191637,4398.34053,6368.627684,199.7252637,145.6643907,234.3583736,461.1601928,289.3233548
