	Lin-_1	MNC_1
200649_at	831.0215785	868.875079
200650_s_at	7926.115448	7184.153264
200651_at	18581.92703	14263.81432
200652_at	6837.658075	5359.005723
200653_s_at	3244.712332	6838.217422
200654_at	2396.578284	1710.980286
200655_s_at	2183.795525	4809.371629
200656_s_at	723.7879032	541.0144172
200657_at	11644.07838	7501.171813
200658_s_at	1875.458547	527.1021791
200659_s_at	667.5226581	303.1094478
200660_at	606.0839006	6161.896385
200661_at	2700.402767	2957.501825
200662_s_at	7826.306907	2710.725347
200663_at	5491.80065	5901.440093
200664_s_at	461.6325436	899.2391883
200665_s_at	2233.29636	1177.49314
200666_s_at	1584.588692	2039.138434
200667_at	4627.555115	5749.815492
200668_s_at	3661.672087	5984.237941
200669_s_at	1518.669956	3527.144452
200670_at	988.2620648	861.3139338
200671_s_at	177.889871	143.2935364
200672_x_at	153.7013075	104.2482991
200673_at	5800.978894	6671.795514
200674_s_at	31035.77954	27667.15503
200675_at	1356.924895	842.5680251
200676_s_at	410.5562896	292.3334183
200677_at	2900.459487	2759.982475
200678_x_at	287.8672786	1455.432659
200679_x_at	7172.803102	3477.415222
200680_x_at	10422.98438	7633.571344
200681_at	1616.833801	707.3177404
200682_s_at	2672.353331	1919.286906
200683_s_at	972.6147565	775.5578977
200684_s_at	1155.316203	790.1967033
200685_at	2252.475892	2306.697178
200686_s_at	2090.831331	2129.816532
200687_s_at	1139.060197	615.3442215
200688_at	203.6758398	114.566753
200689_x_at	19227.91645	15814.96329
200690_at	860.0729681	368.555539
200691_s_at	3193.903598	1685.598408
200692_s_at	2302.911797	992.8911081
200693_at	4038.450083	1904.87826
200694_s_at	1519.863995	930.1475406
200695_at	788.352718	500.6903829
200696_s_at	258.7997043	785.6630108
200697_at	1418.566735	1573.767216
200698_at	593.2402048	550.349945
200699_at	1839.9566	1344.573676
200700_s_at	270.3218875	229.062355
200701_at	3441.53712	3937.059683
200702_s_at	458.2165038	324.8368373
200703_at	4795.339051	3431.039524
200704_at	4163.353965	17479.17136
200705_s_at	22879.66461	18559.12026
200706_s_at	356.9191434	2660.31362
200707_at	2587.787776	1335.151939
200708_at	1900.265481	779.5890726
200709_at	3365.988656	4636.103704
200710_at	1226.299599	843.6786485
200711_s_at	1039.723103	783.8325045
200712_s_at	303.9568189	327.9740502
200713_s_at	4366.132987	3957.73348
200714_x_at	2029.360031	2531.042817
200715_x_at	15583.80578	12566.73281
200716_x_at	24365.51111	21881.44112
200717_x_at	19163.33833	16288.71315
200718_s_at	2640.841506	2411.127177
200719_at	763.9285205	664.775394
200720_s_at	427.279096	466.8086674
200721_s_at	3722.641547	3888.41838
200722_s_at	232.241876	167.1785257
200723_s_at	1464.99131	672.5581438
200724_at	586.0892441	943.1230708
200725_x_at	23558.05541	20724.82388
200726_at	3458.591489	2468.82308
200727_s_at	714.0299837	1519.664853
200728_at	2174.926519	4278.162235
200729_s_at	881.8110572	2085.156734
200730_s_at	219.439393	313.1165204
200731_s_at	323.2002831	305.228811
200732_s_at	2132.128919	1815.216012
200733_s_at	1356.809323	1267.513443
200734_s_at	351.2567148	398.7313251
200735_x_at	25133.33605	23079.90895
200736_s_at	4661.81292	3716.869528
200737_at	1812.280561	2526.418004
200738_s_at	3662.983552	5340.724304
200739_s_at	234.3219374	152.8099123
200740_s_at	1381.683228	656.8481939
200741_s_at	14740.50474	13418.52691
200742_s_at	1195.092532	2111.082148
200743_s_at	3343.535608	4317.474764
200744_s_at	668.1496259	954.051947
200745_s_at	943.7667578	1043.286641
200746_s_at	3064.774295	2753.693234
200747_s_at	884.8154513	742.2761679
200748_s_at	17881.83379	23336.82249
200749_at	1622.817421	1034.613482
200750_s_at	6620.710218	2489.90062
200751_s_at	3155.012015	2203.737572
200752_s_at	818.0026699	672.7992296
200753_x_at	1192.678416	845.0917229
200754_x_at	11746.57585	8621.69925
200755_s_at	540.4703643	320.28614
200756_x_at	124.0273359	72.88431306
200757_s_at	1801.500405	870.1785619
200758_s_at	377.7135047	354.606843
200759_x_at	1992.654967	1696.003782
200760_s_at	1825.257791	2548.463391
200761_s_at	4059.280762	6043.20244
200762_at	2252.401274	3141.590571
200763_s_at	16643.67076	13692.03411
200764_s_at	637.452962	522.9166899
200765_x_at	2072.821587	1393.176002
200766_at	174.5034561	557.6178872
200767_s_at	131.8245663	176.2278541
200768_s_at	9592.934727	5743.101676
200769_s_at	206.6469707	109.3631194
200770_s_at	248.7338902	153.7855382
200771_at	461.0656202	216.4934098
200772_x_at	17555.89827	10492.09623
200773_x_at	6550.314383	5305.216477
200774_at	2376.229563	3199.763442
200775_s_at	15223.70802	16736.84875
200776_s_at	482.5825542	546.9313486
200777_s_at	2890.898156	2465.543492
200778_s_at	335.1149937	294.0149662
200779_at	12869.13152	9641.183356
200780_x_at	9892.38021	8572.462397
200781_s_at	25859.21023	24681.10831
200782_at	400.4837154	982.8034096
200783_s_at	2058.998001	505.8455512
200784_s_at	73.03632389	233.7574199
200785_s_at	62.54555154	412.5008884
200786_at	7205.433912	4235.381248
200787_s_at	189.5421926	169.0391967
200788_s_at	793.1872992	935.4375601
200789_at	1941.758607	1120.399914
200790_at	1167.474977	485.8308661
200791_s_at	5323.751276	11697.74632
200792_at	6329.268675	3083.05078
200793_s_at	372.9583824	283.3684512
200794_x_at	3686.896681	6362.722935
200795_at	31.19173094	19.87045576
200796_s_at	36.45880921	89.6512252
200797_s_at	3668.734664	7731.727981
200798_x_at	634.4085631	4242.044063
200799_at	3304.005619	8027.950788
200800_s_at	691.0662092	2340.724828
200801_x_at	24138.21371	31563.62546
200802_at	1861.196241	1736.916088
200803_s_at	1422.378589	2862.524665
200804_at	4326.120985	6306.914762
200805_at	2557.319064	2673.315518
200806_s_at	4697.203441	941.5398401
200807_s_at	6659.384191	1840.686576
200808_s_at	658.029632	1971.886316
200809_x_at	18930.26669	14976.74931
200810_s_at	8786.909455	7380.648641
200811_at	8597.470157	6653.438274
200812_at	2625.158354	944.5430465
200813_s_at	4385.025948	3962.292345
200814_at	6748.800174	5970.27422
200815_s_at	801.3802588	1286.396033
200816_s_at	1935.354026	2024.696684
200817_x_at	17189.46194	14745.41903
200818_at	7439.185727	4369.286434
200819_s_at	19428.90148	13515.69431
200820_at	2497.743759	1572.366927
200821_at	556.9327938	1029.008372
200822_x_at	2335.251145	1953.060792
200823_x_at	19148.26868	13964.42001
200824_at	7235.576869	3796.055491
200825_s_at	534.4825246	365.0107431
200826_at	6081.748755	2986.838088
200827_at	260.6473479	346.2618173
200828_s_at	2262.440827	1530.970644
200829_x_at	3091.177614	2046.097461
200830_at	2668.779543	1716.553704
200831_s_at	798.3551494	129.4958065
200832_s_at	1364.965928	347.8248464
200833_s_at	11458.54763	11377.99725
200834_s_at	12310.59291	7035.859473
200835_s_at	686.2080344	414.8772416
200836_s_at	609.2474592	431.6218512
200837_at	1766.778515	1616.388029
200838_at	834.6223926	2857.814814
200839_s_at	2700.055331	7196.584849
200840_at	6616.130964	3958.428148
200841_s_at	152.8582941	93.68309712
200842_s_at	1070.907337	410.4774175
200843_s_at	2001.588954	891.4437516
200844_s_at	5709.114107	3731.432023
200845_s_at	3265.355489	2248.469238
200846_s_at	3538.714521	4107.132676
200847_s_at	4998.672284	7307.431685
200848_at	707.5019026	511.3217204
200849_s_at	1233.20493	865.0009902
200850_s_at	2806.104679	2105.194676
200851_s_at	1485.905744	1861.285793
200852_x_at	233.2769129	463.2682977
200853_at	3753.808576	2812.07989
200854_at	1253.297329	1222.797211
200855_at	400.0204558	494.5933092
200856_x_at	329.0969114	469.0717495
200857_s_at	420.4665791	405.7348236
200858_s_at	18477.20021	15292.99479
200859_x_at	1025.751881	1944.173556
200860_s_at	3400.931879	2804.888705
200861_at	1343.473427	1026.362016
200862_at	950.4751011	204.7461052
200863_s_at	4265.257353	3815.234763
200864_s_at	359.974662	338.000915
200865_at	14.59081453	9.786898574
200866_s_at	1165.057947	4533.113337
200867_at	1991.818998	1678.416947
200868_s_at	835.8294583	823.4835203
200869_at	18368.76613	12315.96282
200870_at	3242.787011	1991.175842
200871_s_at	4349.051645	12420.66763
200872_at	2416.300273	5834.815686
200873_s_at	5448.157176	3080.077929
200874_s_at	942.4392146	348.390425
200875_s_at	5858.023024	2730.212755
200876_s_at	4858.992935	3875.682765
200877_at	6971.301157	2581.442612
200878_at	103.5516187	162.7059857
200879_s_at	40.07120027	42.98175914
200880_at	1320.627707	852.1471002
200881_s_at	3346.175723	2498.826792
200882_s_at	5884.227359	5083.96637
200883_at	2753.920367	1781.117194
200884_at	316.313816	107.0103881
200885_at	218.6102728	270.3720224
200886_s_at	2284.909332	3101.080034
200887_s_at	700.9892611	1327.853108
200888_s_at	19104.64892	16621.88427
200889_s_at	731.2480122	780.8996454
200890_s_at	410.2522179	399.3844605
200891_s_at	5634.412949	5152.09564
200892_s_at	3437.609452	1498.88196
200893_at	5547.217798	3226.881277
200894_s_at	979.7514492	278.1860949
200895_s_at	3801.620031	1034.111336
200896_x_at	3863.413538	2557.440807
200897_s_at	98.54410189	179.8146081
200898_s_at	1091.459761	2433.837339
200899_s_at	3324.624402	5390.132323
200900_s_at	382.1313982	306.218043
200901_s_at	2267.41177	1848.27038
200902_at	3326.106695	3816.175938
200903_s_at	1762.595458	473.072394
200904_at	8769.353366	16041.81544
200905_x_at	4761.541966	9983.996637
200906_s_at	81.58803823	100.4574516
200907_s_at	120.5470596	168.2428508
200908_s_at	21148.32897	21552.38778
200909_s_at	22929.23398	20841.4275
200910_at	7704.599561	3211.850443
200911_s_at	1986.609663	2348.807901
200912_s_at	6542.551072	5971.892107
200913_at	1109.642676	632.3098576
