prop,col,pearson,spearman,p
sim,Cell1016,0.923798055318171,0.8866746698679471,1.070378503006956e-17
sim,Cell943,0.9522977721756564,0.9416086434573828,2.467911182383003e-24
sim,Cell1681,0.8443563739360591,0.7923649459783914,7.121522609240672e-12
sim,Cell2878,0.9135428602596634,0.9185594237695076,5.571115006383623e-21
sim,Cell1680,0.9328754436483222,0.9313325330132052,1.0745543708096014e-22
sim,Cell1651,0.9242269789080612,0.889171668667467,6.455553114349271e-18
sim,Cell1900,0.9418463390844384,0.9485234093637456,1.2960328785677346e-25
sim,Cell2940,0.9360548208112368,0.9367106842737096,1.6133565169407933e-23
sim,Cell2453,0.9297469897832014,0.9337334933973588,4.700495463431778e-23
sim,Cell2462,0.8804429371742158,0.902905162064826,3.163637296577094e-19
sim,Cell2217,0.9554836817353324,0.9611044417767106,1.7913901882555139e-28
sim,Cell428,0.905681640588736,0.902905162064826,3.163637296577094e-19
sim,Cell865,0.9155452698980024,0.9127010804321728,2.7589746542944764e-20
sim,Cell1144,0.9219878060797678,0.904249699879952,2.299267785256224e-19
sim,Cell2463,0.8475704264035598,0.8691956782713085,2.727821607852297e-16
sim,Cell1762,0.948397107509744,0.9337334933973588,4.700495463431778e-23
sim,Cell117,0.9171251074035114,0.925186074429772,7.8397515054087765e-22
sim,Cell1668,0.8637219094736579,0.8886914765906362,7.12147314863427e-18
sim,Cell2975,0.9200022287271908,0.8996398559423769,6.738242436693606e-19
sim,Cell2248,0.9410945945536824,0.9466026410564226,3.055047305040501e-25
sim,Cell2034,0.8791989438310485,0.8939735894357743,2.3576944148218445e-18
sim,Cell1291,0.926237297601686,0.9406482593037216,3.6110505025032885e-24
sim,Cell380,0.937988129985661,0.8991596638655461,7.514228769646212e-19
sim,Cell2651,0.9121217945001,0.9191356542617046,4.729358563979501e-21
sim,Cell2282,0.918035703721099,0.8926290516206482,3.140889897769937e-18
sim,Cell1349,0.9183630145296692,0.9363265306122448,1.857409006783346e-23
sim,Cell1944,0.9235239637084752,0.9028091236494598,3.23600490475706e-19
sim,Cell654,0.8875468331420596,0.918847539015606,5.1337884852488056e-21
sim,Cell1943,0.9192032356699376,0.8699639855942376,2.389641162208034e-16
sim,Cell1649,0.8375772330869697,0.8476830732292917,8.175215323269229e-15
sim,Cell2861,0.9241747716533252,0.913469387755102,2.251371906666933e-20
sim,Cell1933,0.9517168450530976,0.9355582232893156,2.455428240324397e-23
sim,Cell1049,0.894683681443219,0.8813925570228092,3.0034428560228855e-17
sim,Cell1493,0.9447029596900224,0.9493877551020408,8.716862437537944e-26
sim,Cell2914,0.9581944894306332,0.9495798319327732,7.973916156047839e-26
sim,Cell480,0.8823788777542513,0.8883073229291716,7.700852231303216e-18
sim,Cell2628,0.8977273505483769,0.8946458583433373,2.039751805698706e-18
sim,Cell2795,0.9400685618566322,0.9388235294117646,7.315718974289648e-24
sim,Cell2240,0.9039423131320886,0.88062424969988,3.475536558575289e-17
sim,Cell2421,0.9370812647949224,0.9558223289315724,3.586211522677661e-27
sim,Cell1450,0.8844069956890892,0.9006962785114045,5.291250997204968e-19
sim,Cell1024,0.8608514746714548,0.8312605042016806,7.847312489975792e-14
sim,Cell1287,0.9398267653456132,0.9503481392557022,5.564067437090369e-26
sim,Cell1921,0.910864376635776,0.9322929171668668,7.747768859246367e-23
sim,Cell1428,0.8458457877987074,0.8548859543817527,2.783842754118113e-15
sim,Cell347,0.9049365299597446,0.8718847539015606,1.710080832094357e-16
sim,Cell2284,0.954865701350258,0.9684033613445376,1.3260096661488464e-30
sim,Cell1962,0.9455468439616932,0.9376710684273708,1.1300442146675792e-23
sim,Cell1455,0.9237606903776644,0.9409363745498198,3.223541042375548e-24
sim,Cell1825,0.911580890496792,0.934501800720288,3.584180302761253e-23
sim,Cell2083,0.862864989061985,0.8671788715486194,3.845938925510386e-16
sim,Cell684,0.9369252452139752,0.9211524609843936,2.639902619716538e-21
sim,Cell1333,0.9486783490741976,0.9296038415366148,1.9134419105815692e-22
sim,Cell48,0.9249708843122008,0.8742857142857142,1.1170055724579928e-16
sim,Cell1185,0.940968023084524,0.930564225690276,1.3912250750285138e-22
sim,Cell2979,0.9488342097142493,0.9623529411764704,8.302887979370324e-29
sim,Cell869,0.9005030003905696,0.9147178871548618,1.6113755149398296e-20
sim,Cell1041,0.9375951925449932,0.9111644657863144,4.1203714008460436e-20
sim,Cell2763,0.9382472238467882,0.9288355342136856,2.461209700334525e-22
sim,Cell1612,0.8393183304831422,0.8230012004801921,2.2376088332273842e-13
sim,Cell2754,0.965185324230687,0.9600480192076832,3.367831586852504e-28
sim,Cell2723,0.9180415677071008,0.9124129651860744,2.976124630984405e-20
sim,Cell423,0.9078579221017068,0.8943577430972388,2.1706541052291495e-18
sim,Cell838,0.9296094368391729,0.9262424969987996,5.640501453007451e-22
sim,Cell2866,0.8552424394900827,0.8799519807923168,3.9458763988428856e-17
sim,Cell1711,0.8358842615831025,0.8379831932773109,3.205156579812763e-14
sim,Cell2382,0.926859963131792,0.9102040816326532,5.27485746255197e-20
sim,Cell1239,0.8883800497105504,0.8696758703481393,2.5114902766448137e-16
sim,Cell1337,0.9062943492657138,0.915486194477791,1.3082891828487799e-20
sim,Cell1633,0.9195163806490568,0.8864825930372148,1.1122870105712788e-17
sim,Cell886,0.927419109333684,0.91750300120048,7.499169832164256e-21
